,Concept_ID,cv,ka
0,Auge::N,куҫ,თვალი
1,Ohr::N,хӑлха,ყური
2,Nase::N,сӑмса,ცხვირი
3,Mund::N,ҫӑвар,პირი
4,Zahn::N,шӑл,კბილი
5,Zunge::N,чӗлхе,ენა
6,Lippe::N,тута,ბაგე
7,Wange::N,пит ҫӑмарти,ლოყა
8,Gesicht::N,пит,სახე
9,Gesicht::N,пит-куҫ,სახე
10,Stirn::N,ҫамка,შუბლი
11,Haar::N,ҫӳҫ,თმა
12,Schnurrbart::N,усси,ულვაში
13,Bart::N,сухал,წვერი
14,Kinn::N,янах,ნიკაპი
15,Kiefer[Anatomie]::N,янах,ყბა
16,Kehle::N,пыр,ყელი
17,Kehle::N,карланкӑ,ყელი
18,Hals::N,пыр,ყელი
19,Hals::N,пыр,კისერი
20,Genick::N,ӗнсе,კეფა
21,Kopf::N,пуҫ,თავი
22,Rücken::N,ҫурӑм,ზურგი
23,Nabel::N,кӑвапа,ჭიპი
24,Busen::N,кӑкӑр,ძუძუ
25,Brust::N,умӗ,მკერდი
26,Schulter::N,хул пуҫҫи,მხარი
27,Schulter::N,хул пуҫҫи,მკლავი
28,Arm::N,алӑ,ხელი
29,Ellenbogen::N,чавса,იდაყვი
30,Hand::N,алӑ сыппи,ხელი
31,Handfläche::N,ал лаппи,ნები
32,Handfläche::N,ал лаппи,ხელისგული
33,Finger::N,пӳрне,თითი
34,Fingernagel::N,чӗрне,ფრჩხილი
35,Nagel[Anatomie]::N,чӗрне,ფრჩხილი
36,Zeh::N,пӳрне,ფეხის თითი
37,Fuß::N,ура лаппи,ტერფი
38,Fuß::N,ура лаппи,ფეხისგული
39,Ferse::N,кӗле,ქუსლი
40,Knie::N,чӗркуҫҫи,მუხლი
41,Oberschenkel::N,пӗҫӗ,ბარძაყი
42,Bein::N,ура,ფეხი
43,Körper::N,ӳт,ტანი
44,Körper::N,ӳт,სხეული
45,Körper::N,ӳт-пӳ,ტანი
46,Körper::N,ӳт-пӳ,სხეული
47,Haut::N,тир,კანი
48,Blut::N,юн,სისხლი
49,Ader::N,вена,ძარღვი
50,Sehne::N,шӑнӑр,მყესი
51,Knochen::N,шӑмӑ,ძვალი
52,Gehirn::N,миме,ტვინი
53,Herz::N,чӗре,გული
54,Magen::N,хырӑмлӑх,კუჭი
55,Leber::N,пӗвер,ღვიძლი
56,Atem::N,сывлав,სუნთქვა
57,Hunger::N,выҫлӑх,შიმშილი
58,Träne::N,куҫҫуль,ცრემლი
59,Geschmack::N,техӗм,გემო
60,Geruch::N,шӑршӑ,სუნი
61,Schlaf::N,ыйхӑ,ძილი
62,Traum::N,тӗлӗк,სიზმარი
63,Himmel::N,пӗлӗт,ცა
64,Sonne::N,хӗвел,მზე
65,Mond::N,уйӑх,მთვარე
66,Stern::N,ҫӑлтӑр,ვარსკვლავი
67,Luft::N,сывлӑш,ჰაერი
68,Wind::N,ҫил,ქარი
69,Welle::N,хум,ტალღა
70,Wasser::N,шыв,წყალი
71,Wasser::N,шыв-шур,წყალი
72,Stein::N,чул,ქვა
