,Concept_ID,hy,he
0,Auge::N,աչք,עין
1,Ohr::N,ականջ,אזן
2,Nase::N,քիթ,אף
3,Nase::N,քիթ,חטם
4,Mund::N,բերան,פה
5,Zahn::N,ատամ,שן
6,Zunge::N,լեզու,לשון
7,Lippe::N,շրթունք,שפה
8,Wange::N,այտ,לחי
9,Wange::N,թուշ,לחי
10,Gesicht::N,դեմք,פנים
11,Stirn::N,ճակատ,מצח
12,Haar::N,մազ,שערה
13,Schnurrbart::N,բեղ,שפם
14,Bart::N,մորուք,זקן
15,Kinn::N,կզակ,סנטר
16,Kiefer[Anatomie]::N,ծնոտ,לסת
17,Kehle::N,կոկորդ,גרון
18,Hals::N,վիզ,צואר
19,Hals::N,պարանոց,צואר
20,Genick::N,ծոծրակ,ערף
21,Kopf::N,գլուխ,ראש
22,Rücken::N,մեջք,גב
23,Bauch::N,փոր,בטן
24,Bauch::N,որովայն,בטן
25,Nabel::N,պորտ,טבור
26,Busen::N,ծոց,שד
27,Brust::N,կուրծք,חזה
28,Schulter::N,ուս,כתף
29,Arm::N,թեւ,זרוע
30,Arm::N,բազուկ,זרוע
31,Ellenbogen::N,արմունկ,מרפק
32,Hand::N,ձեռք,יד
33,Handfläche::N,ափ,כף יד
34,Finger::N,մատ,אצבע
35,Fingernagel::N,եղունգ,צפרן
36,Nagel[Anatomie]::N,եղունգ,צפרן
37,Zeh::N,ոտքի մատ,אצבע
38,Fuß::N,ոտք,רגל
39,Ferse::N,գարշապար,עקב
40,Knie::N,ծունկ,ברך
41,Oberschenkel::N,ազդր,ירך
42,Bein::N,ոտք,רגל
43,Körper::N,մարմին,גוף
44,Haut::N,մաշկ,עור
45,Blut::N,արյուն,דם
46,Ader::N,երակ,וריד
47,Sehne::N,ջիղ,גיד
48,Sehne::N,ձգտան,גיד
49,Knochen::N,ոսկոր,עצם
50,Gehirn::N,խելք,מוח
51,Herz::N,սիրտ,לב
52,Magen::N,ստամոքս,קבה
53,Leber::N,լյարդ,כבד
54,Atem::N,շունչ,נשימה
55,Hunger::N,քաղց,רעב
56,Träne::N,արտասուք,דמעה
57,Geschmack::N,համ,טעם
58,Geschmack::N,բուրմունք,טעם
59,Geruch::N,հոտ,ריח
60,Geruch::N,բուրում,ריח
61,Schlaf::N,քուն,שנה
62,Traum::N,երազ,חלום
63,Himmel::N,երկինք,שמים
64,Sonne::N,արեւ,שמש
65,Mond::N,լուսին,ירח
66,Stern::N,աստղ,כוכב
67,Luft::N,օդ,אויר
68,Wind::N,քամի,רוח
69,Welle::N,ալիք,גל
70,Wasser::N,ջուր,מים
71,Stein::N,քար,אבן
72,Boden::N,գետին,קרקע
73,Erde::N,հող,אדמה
74,Staub::N,փոշի,אבק
75,Rauch::N,ծուխ,עשן
76,Funke::N,կայծ,ניצוץ
77,Feuer::N,կրակ,אש
78,Feuer::N,հրդեհ,אש
79,Licht::N,լույս,אור
80,Schatten::N,ստվեր,צל
81,Wetter::N,եղանակ,מזג אויר
82,Nebel::N,մեգ,ערפל
83,Nebel::N,մառախուղ,ערפל
84,Wolke::N,ամպ,ענן
85,Regen::N,անձրև,גשם
86,Schnee::N,ձյուն,שלג
87,Eis::N,սառույց,קרח
88,Frost::N,սառնամանիք,צנה
89,Kälte::N,դող,קר
90,Hitze::N,շոգ,חם
91,Raureif::N,ցօղեղեամ,כפור
92,Regenbogen::N,ծիածան,קשת
93,Donner::N,որոտ,רעם
94,Strömung::N,հոսանք,זרימה
95,Tropfen::N,կաթիլ,טפה
96,Schaum::N,փրփուր,קצף
