,Concept_ID,az,kl
0,Auge::N,göz,isi
1,Ohr::N,qulaq,siut
2,Nase::N,burun,
3,Mund::N,ağız,paaq
4,Mund::N,ağız,qaneq
5,Zahn::N,diş,kigut
6,Zunge::N,dil,oqaq
7,Lippe::N,dodaq,qarloq
8,Wange::N,yanaq,ersaq
9,Gesicht::N,üz,kiinaq
10,Stirn::N,alın,qaaq
11,Haar::N,saç,meqqoq
12,Schnurrbart::N,bığ,
13,Bart::N,saqqal,umik
14,Kinn::N,çənə,talloq
15,Kiefer[Anatomie]::N,çənə,alleroq
16,Kehle::N,boğaz,malaq
17,Hals::N,boyun,qungaseq
18,Genick::N,ənsə,pukusuk
19,Kopf::N,baş,niaqoq
20,Rücken::N,bel,qimerlut
21,Bauch::N,qarın,naaq
22,Nabel::N,göbək,qalaseq
23,Busen::N,məmə,iviangeq
24,Brust::N,döş,iviangeq
25,Schulter::N,çiyin,ersik
26,Schulter::N,çiyin,assaqqoq
27,Arm::N,qol,taleq
28,Ellenbogen::N,dirsək,ikusik
29,Hand::N,əl,assak
30,Handfläche::N,ovuc,itumak
31,Finger::N,barmaq,inuak
32,Fingernagel::N,barmaq dırnağı,kikiak
33,Nagel[Anatomie]::N,dırnak,kukik
34,Zeh::N,ayaq barmağı,isigak
35,Fuß::N,ayaq,
36,Ferse::N,daban,kimmik
37,Knie::N,diz,seeqqoq
38,Oberschenkel::N,bud,uppat
39,Oberschenkel::N,bud,quttoraq
40,Bein::N,qıç,isigak
41,Körper::N,əndam,timi
42,Haut::N,dəri,mattak
43,Blut::N,qan,aak
44,Ader::N,damar,taqaq
45,Sehne::N,vətər,ujalu
46,Sehne::N,vətər,ujaloq
47,Knochen::N,sümük,saanikut
48,Gehirn::N,beyin,qarasaq
49,Herz::N,ürək,uummat
50,Magen::N,mədə,aqajaroq
51,Leber::N,qara ciyər,tinguk
52,Atem::N,nəfəs,anerneq
53,Hunger::N,aclıq,kaanneq
54,Träne::N,göz yaşı,qia
55,Träne::N,göz yaşı,qiak
56,Geschmack::N,tam,qilanaartuut
57,Geschmack::N,ləzzət,qilanaartuut
58,Geruch::N,qoxu,tipi
59,Geruch::N,qoxu,tipik
60,Schlaf::N,yuxu,
61,Traum::N,röya,sinnattoq
62,Traum::N,röya,sinnattugaq
63,Himmel::N,göy,qilak
64,Himmel::N,səma,qilak
65,Sonne::N,günəş,seqineq
66,Mond::N,ay,qaammat
67,Stern::N,ulduz,ulloriaq
68,Luft::N,hava,silaannaq
69,Wind::N,yel,anori
70,Wind::N,yel,anorsarik
71,Wind::N,külək,anori
72,Wind::N,külək,anorsarik
73,Welle::N,dalğa,aalappaa
74,Wasser::N,su,imeq
75,Stein::N,daş,ujarak
76,Boden::N,yer,nateq
77,Boden::N,zəmin,nateq
78,Erde::N,yer torpaq,issoq
79,Staub::N,toz,pujualanerit
80,Staub::N,toz,pujoralanerit
81,Rauch::N,tüstü,iseq
82,Rauch::N,tüstü,pujoq
83,Funke::N,qığılcım,illoorneq
84,Feuer::N,od,inneq
85,Licht::N,işıq,qaamaneq
86,Schatten::N,kölgə,tarraq
87,Wetter::N,hava,sila
88,Nebel::N,duman,pujoq
89,Wolke::N,bulud,nuia
90,Regen::N,yağış,sialuk
91,Regen::N,yağmur,sialuk
92,Schnee::N,qar,aput
93,Eis::N,buz,siku
94,Frost::N,ayaz,issi
95,Frost::N,ayaz,issik
96,Kälte::N,soyuq,issi
97,Hitze::N,coşğunluq,kianneq
98,Hitze::N,coşğunluq,kiassuseq
99,Raureif::N,qırov,kaneq
100,Regenbogen::N,göy qurşağı,neriusaaq
101,Donner::N,göy gurultusu,kalleq
102,Strömung::N,axın,
103,Tropfen::N,damcı,kuseriarneq
104,Schaum::N,köpük,qapuk
105,Schmutz::N,çamır,minguk
106,See::N,göl,taseq
107,Sumpf::N,bataqlıq,maqulluk
108,Moor::N,bataqlıq,
109,Wiese::N,çəmən,masarsuk
110,Wald::N,meşə,
111,Hügel::N,təpə,qattuneq
112,Hügel::N,təpə,majuariaq
113,Hügel::N,təpə,majorajaaq
114,Hügel::N,təpə,qaqqannguaq
115,Anhöhe::N,təpə,
116,Berg::N,dağ,qaqqaq
117,Gipfel::N,zirvə,
118,Höhle::N,mağara,qaarusuk
119,Abhang::N,yamac,ippik
120,Abhang::N,yamac,sivinganeq
121,Abhang::N,yamac,sivingajaaq
122,Abhang::N,yamac,kussangajaaq
123,Quelle::N,bulaq,
124,Bach::N,kiçik çay,kuunnguaq
125,Fluss::N,çay,kuuk
126,Ufer::N,kənar,sissap sinaa
127,Küste::N,sahil,sineriak
128,Festland::N,materik,
129,Meer::N,dəniz,imaq
130,Bucht::N,körfəz,ikeq
131,Bucht::N,körfəz,kangerluk
132,Bucht::N,körfəz,kangerliumaneq
133,Insel::N,ada,qeqertaq
134,Blume::N,çiçək,naasoq
135,Gras::N,ot,ivigaq
136,Wurzel::N,kök,niulutaq
137,Baum::N,ağac,orpik
138,Stamm::N,gövdə,kanaartaq
139,Rinde::N,qabıq,ameraq
140,Ast::N,şax,avalequt
141,Zweig::N,budaq,avalequt
142,Blatt::N,yarpaq,pilutaq
143,Birke::N,tozağacı,patitsit
144,Kiefer[Baum]::N,şam,
145,Weide[Baum]::N,söyüd,palleq
146,Tanne::N,küknar,orsuerneq
147,Horn::N,buynuz,nassuk
148,Feder::N,tük,suluk
149,Feder::N,lələk,suluk
150,Fell::N,xəz,ameq
151,Flügel::N,qanad,suluk
152,Flügel::N,qanad,isaroq
153,Klaue::N,pəncə,kukik
154,Kralle::N,dırnaq,kukik
155,Schwanz::N,quyruq,pamioq
156,Schwanz::N,quyruq,paperuusaq
157,Ei::N,yumurta,mannik
158,Nest::N,yuva,ullut
159,Bau::N,yuva,ini
160,Tier::N,heyvan,uumasoq
161,Herde::N,sürü,unguukkat
