,Concept_ID,br,ga
0,Auge::N,lagad,súil
1,Ohr::N,skouarn,cluas
2,Nase::N,fri,soc
3,Mund::N,genoù,béal
4,Zahn::N,dant,fiacail
5,Zunge::N,teod,teanga
6,Lippe::N,muzell,liopa
7,Wange::N,chot,grua
8,Wange::N,chot,leiceann
9,Gesicht::N,dremm,éadan
10,Gesicht::N,dremm,aghaidh
11,Stirn::N,tal,baithis
12,Stirn::N,tal,clár éadain
13,Haar::N,blev,gruaig
14,Schnurrbart::N,mourenn,croiméal
15,Bart::N,barv,féasóg
16,Kinn::N,groñj,smig
17,Kiefer[Anatomie]::N,javed,giall
18,Kehle::N,gouzoug,scornach
19,Hals::N,gouzoug,muinéal
20,Genick::N,choug,baic
21,Kopf::N,penn,ceann
22,Rücken::N,kein,droim
23,Bauch::N,kof,bolg
24,Nabel::N,begel,imleacán
25,Busen::N,bronn,cíoch
26,Brust::N,bruched,brollach
27,Schulter::N,skoaz,gualainn
28,Arm::N,brec'h,lámh
29,Ellenbogen::N,ilin,uillinn
30,Hand::N,dorn,lámh
31,Handfläche::N,palv,bos
32,Finger::N,biz,méar
33,Fingernagel::N,ivin,ionga
34,Nagel[Anatomie]::N,ivin,ionga
35,Zeh::N,biz-troad,ladhar
36,Fuß::N,troad,cos
37,Fuß::N,troad,troigh
38,Ferse::N,seul,sáil
39,Knie::N,glin,glúin
40,Oberschenkel::N,morzhed,ceathrú
41,Bein::N,gar,cos
42,Körper::N,korf,corp
43,Körper::N,korf,colainn
44,Haut::N,kroc'hen,cneas
45,Haut::N,kroc'hen,craiceann
46,Blut::N,gwad,fuil
47,Ader::N,gwazhi,
48,Sehne::N,stir,teannán
49,Sehne::N,stir,féitheog
50,Knochen::N,askorn,cnámh
51,Gehirn::N,empenn,inchinn
52,Herz::N,kalon,croí
53,Magen::N,stomog,bolg
54,Magen::N,stomog,goile
55,Leber::N,avu,ae
56,Atem::N,anal,anáil
57,Hunger::N,naon,ocras
58,Träne::N,daer,deoir
59,Geschmack::N,blaz,blas
60,Geruch::N,c'hwezh,boladh
61,Schlaf::N,kousked,suan
62,Schlaf::N,kousked,codladh
63,Traum::N,hune,taibhreamh
64,Himmel::N,oabl,spéir
65,Sonne::N,heol,grian
66,Mond::N,loar,ré
67,Mond::N,loar,gealach
68,Stern::N,steredenn,rinn
69,Stern::N,steredenn,réalta
70,Luft::N,aer,aer
71,Wind::N,avel,gaoth
72,Welle::N,houlenn,tonn
73,Wasser::N,dour,uisce
74,Stein::N,maen,cloch
75,Boden::N,tachenn,talamh
76,Erde::N,douar,cré
77,Erde::N,douar,ithir
78,Staub::N,poultr,dusta
79,Staub::N,poultr,deannach
80,Rauch::N,moged,toit
81,Rauch::N,moged,deatach
82,Funke::N,ful,drithle
83,Feuer::N,tan,tine
84,Licht::N,gouloù,solas
85,Schatten::N,disheol,scáth
86,Wetter::N,amzer,aimsir
87,Nebel::N,brumenn,ceo
88,Wolke::N,koumoulenn,néal
89,Wolke::N,koumoulenn,scamall
90,Regen::N,glav,báisteach
91,Regen::N,glav,fearthainn
92,Schnee::N,erc'h,sneachta
93,Eis::N,skorn,oighear
94,Frost::N,rev,sioc
95,Kälte::N,yen,fuacht
96,Hitze::N,tommder,teas
97,Hitze::N,tommder,teocht
98,Raureif::N,frim,sioc bán
