,Concept_ID,ce,eu
0,Auge::N,бӏаьрг,begi
1,Ohr::N,лерг,belarri
2,Nase::N,мара,sudur
3,Mund::N,бага,aho
4,Zahn::N,церг,hortz
5,Zunge::N,мотт,mihi
6,Lippe::N,балда,ezpain
7,Wange::N,бесни,masail
8,Gesicht::N,юьхь,aurpegi
9,Stirn::N,хьаж,bekoki
10,Haar::N,мас,ile
11,Haar::N,мас,bilo
12,Schnurrbart::N,мекх,bibote
13,Schnurrbart::N,мекх,sudurpeko
14,Bart::N,маж,bizar
15,Kinn::N,чӏениг,kokots
16,Kiefer[Anatomie]::N,мочхал,masailezur
17,Kehle::N,къамкъарг,eztarri
18,Hals::N,ворта,sama
19,Genick::N,кӏесаркӏаг,garondo
20,Kopf::N,корта,buru
21,Rücken::N,букъ,bizkar
22,Bauch::N,кийра,sabel
23,Nabel::N,цӏонга,zilbor
24,Busen::N,зударийн накха,titi
25,Busen::N,зударийн накха,ugatz
26,Brust::N,накха,bular
27,Schulter::N,белш,besaburu
28,Arm::N,пхьарс,beso
29,Ellenbogen::N,пхьаьрсан гола,ukondo
30,Hand::N,куьг,esku
31,Handfläche::N,кераюкъ,ahur
32,Finger::N,пӏелг,hatz
33,Fingernagel::N,мӏара,azazkal
34,Nagel[Anatomie]::N,мӏара,azazkal
35,Zeh::N,кога пӏелг,behatz
36,Fuß::N,ког,oin
37,Ferse::N,кӏажа,orpo
38,Ferse::N,кӏажа,oinburu
39,Knie::N,гола,belaun
40,Oberschenkel::N,варе,izter
41,Bein::N,ког,zango
42,Körper::N,хӏума,soin
43,Haut::N,чкъор,azal
44,Blut::N,цӏий,odol
45,Ader::N,пха,zain
46,Sehne::N,хьорзам,gihar-zain
47,Knochen::N,даьӏахк,hezur
48,Gehirn::N,хье,garun
49,Gehirn::N,хье,burmuin
50,Herz::N,дог,bihotz
51,Magen::N,зорх,urdail
52,Leber::N,доӏах,gibel
53,Atem::N,садеӏар,hats
54,Atem::N,садеӏар,arnasa
55,Hunger::N,мацалла,gose
56,Träne::N,бӏаьрхи,malko
57,Geschmack::N,чам,dasta
58,Geruch::N,хьожа,usain
59,Schlaf::N,наб,lo
60,Traum::N,гӏан,amets
61,Himmel::N,стигал,zeru
62,Sonne::N,малх,eguzki
63,Mond::N,бутт,ilargi
64,Stern::N,седа,izar
65,Luft::N,xӏаваъ,aire
66,Wind::N,мох,haize
67,Welle::N,тулгӏе,uhin
68,Welle::N,тулгӏе,olatu
69,Wasser::N,хи,ur
70,Stein::N,тӏулг,harri
71,Boden::N,цӏенкъа,lur
72,Boden::N,цӏенкъа,zoru
73,Erde::N,латта,lur
74,Staub::N,чан,hauts
75,Rauch::N,кӏур,ke
76,Funke::N,суй,zirta
77,Funke::N,суй,txinparta
78,Feuer::N,цӏе,su
79,Licht::N,серло,argi
80,Schatten::N,ӏиндагӏ,itzal
81,Schatten::N,ӏиндагӏ,geriza
82,Wetter::N,хенан хӏоттам,eguraldi
83,Nebel::N,дохк,laino
84,Wolke::N,марха,hodei
85,Regen::N,догӏа,euri
86,Schnee::N,ло,elur
87,Eis::N,ша,horma
88,Frost::N,шело,izotzaldi
89,Kälte::N,шело,hotz
90,Hitze::N,йовхо,bero
91,Raureif::N,йис,antzigar
92,Regenbogen::N,стелаӏад,ostadar
93,Regenbogen::N,стелаӏад,ortzadar
94,Donner::N,ткъес,ostots
95,Donner::N,ткъес,ihurtzuri
96,Strömung::N,дӏаэхар,laster
97,Strömung::N,дӏасалелар,laster
98,Tropfen::N,тӏадам,xorta
99,Schaum::N,чопа,bits
100,Schmutz::N,хатт,lohi
101,Schmutz::N,хатт,zikin
102,See::N,ӏам,laku
103,See::N,ӏам,aintzira
104,Sumpf::N,уьшал,zingira
105,Moor::N,уьшал,zohikaztegi
106,Wiese::N,бай,larre
107,Wiese::N,бай,belardi
108,Wald::N,хьун,baso
109,Wald::N,хьун,oihan
110,Hügel::N,гу,muino
111,Hügel::N,гу,pentoka
112,Hügel::N,шу,muino
113,Hügel::N,шу,pentoka
114,Hügel::N,барз,muino
115,Hügel::N,барз,pentoka
116,Anhöhe::N,акъари,garai
117,Anhöhe::N,акъари,goragune
118,Berg::N,лам,mendi
119,Gipfel::N,бохь,gain
120,Gipfel::N,бохь,tontor
121,Höhle::N,хьех,kobazulo
122,Abhang::N,басе,aldapa
123,Quelle::N,шовда,iturri
124,Quelle::N,шовда,iturbegi
125,Bach::N,татол,lats
126,Bach::N,татол,erreka
127,Fluss::N,хи,ibai
128,Fluss::N,хи,uhaitz
129,Ufer::N,хийист,bazter
130,Küste::N,йист,itsasalde
131,Festland::N,латта,lehor
132,Meer::N,xӏорд,itsaso
133,Bucht::N,чож,golko
134,Insel::N,гӏайре,irla
135,Insel::N,гӏайре,uharte
136,Blume::N,зезаг,lili
137,Gras::N,буц,belar
138,Wurzel::N,орам,zuztar
139,Wurzel::N,орам,sustrai
140,Baum::N,дитт,zuhaitz
141,Stamm::N,гӏад,enbor
142,Stamm::N,тайпа,enbor
143,Rinde::N,кевстиг,azal
144,Ast::N,га,adar
145,Zweig::N,га,abar
146,Blatt::N,гӏа,hosto
147,Birke::N,дакх,urki
148,Kiefer[Baum]::N,бага,ler
149,Weide[Baum]::N,дак,zume
150,Weide[Baum]::N,дак,sahats
151,Tanne::N,база,izei
152,Horn::N,маӏа,adar
153,Feder::N,пелаг,luma
154,Feder::N,пелаг,hegaki
155,Fell::N,цӏока,ile
156,Fell::N,цӏока,larru
157,Flügel::N,тӏам,hego
158,Klaue::N,мӏара,atzapar
159,Kralle::N,тlод,erpe
160,Kralle::N,тlод,atzapar
161,Schwanz::N,цӏога,isats
162,Schwanz::N,цӏога,buztan
163,Ei::N,xӏoa,arrautza
164,Nest::N,бен,habia
165,Bau::N,lуьрг,ohantze
166,Tier::N,дийнат,abere
167,Tier::N,дийнат,piztia
168,Herde::N,жа,saldo
169,Herde::N,жа,abere talde
170,Kuh::N,етт,behi
171,Bulle::N,сту,zezen
172,Pferd::N,говр,zaldi
173,Schaf::N,жий,ardi
174,Schaf::N,уьстагӏ,ardi
175,Schwein::N,хьакха,urde
176,Schwein::N,хьакха,txerri
177,Hund::N,жӏаьла,txakur
178,Katze::N,цициг,katu
179,Bär::N,ча,hartz
180,Eichhörnchen::N,тарсал,urtxintxa
181,Elch::N,сай,altze
182,Fuchs::N,цхьогал,azeri
183,Hase::N,пхьагал,erbi
184,Maus::N,дахка,sagu
185,Wolf::N,борз,otso
186,Vogel::N,олхазар,txori
187,Vogel::N,олхазар,hegazti
188,Huhn::N,котам,oilo
189,Hahn::N,нӏаьна,oilar
190,Hahn::N,боргӏал,oilar
191,Gans::N,гӏаз,antzara
192,Adler::N,aьрзу,arrano
193,Ente::N,бад,ahate
194,Eule::N,бухӏа,hontza
195,Kranich::N,гӏаргӏули,kurrilo
196,Krähe::N,къиг,bele
197,Kuckuck::N,aттйокх,kuku
198,Schwan::N,гӏургӏаз,beltxarga
199,Fisch::N,чӏара,arrain
200,Barsch::N,окунь,perka
201,Hecht::N,гӏазкхийн чӏара,lutxo
202,Schlange[Tier]::N,лаьхьа,suge
203,Wurm::N,нӏаьна,har
204,Spinne::N,гезг,armiarma
205,Ameise::N,зингат,inurri
206,Laus::N,меза,zorri
207,Laus::N,гӏениг,zorri
