,Concept_ID,hu,mn
0,Auge::N,szem,нүд
1,Ohr::N,fül,чих
2,Nase::N,orr,хамар
3,Mund::N,száj,ам
4,Zahn::N,fog,шүд
5,Zunge::N,nyelv,хэл
6,Lippe::N,ajak,уруул
7,Wange::N,orca,хацар
8,Gesicht::N,arc,царай
9,Gesicht::N,arc,нүүр
10,Stirn::N,homlok,дух
11,Haar::N,haj,үс
12,Schnurrbart::N,bajusz,дээд сахал
13,Schnurrbart::N,bajusz,живэр сахал
14,Bart::N,szakáll,сахал
15,Kinn::N,áll,эрүү
16,Kiefer[Anatomie]::N,állkapocs,эрүү
17,Kehle::N,gége,хоолой
18,Kehle::N,torok,хоолой
19,Hals::N,nyak,хүзүү
20,Genick::N,tarkó,шил
21,Genick::N,tarkó,хүзүү
22,Kopf::N,fő,толгой
23,Kopf::N,fej,толгой
24,Rücken::N,hát,ар
25,Rücken::N,hát,нуруу
26,Bauch::N,has,хэвлий
27,Bauch::N,has,гэдэс
28,Nabel::N,köldök,хүйс
29,Busen::N,mell,хөх
30,Busen::N,kebel,хөх
31,Brust::N,mell,цээж
32,Schulter::N,váll,мөр
33,Schulter::N,váll,бугалга
34,Arm::N,kar,гар
35,Ellenbogen::N,könyök,тохой
36,Hand::N,kéz,гар
37,Hand::N,kéz,алга
38,Handfläche::N,tenyér,алга
39,Finger::N,ujj,хуруу
40,Fingernagel::N,köröm,хурууны хумс
41,Nagel[Anatomie]::N,köröm,хумс
42,Zeh::N,lábujj,хуруу
43,Fuß::N,láb,хөл
44,Ferse::N,sarok,өсгий
45,Knie::N,térd,өвдөг
46,Oberschenkel::N,comb,гуя
47,Bein::N,láb,хөл
48,Bein::N,lábszár,хөл
49,Körper::N,test,бие
50,Haut::N,bőr,арьс
51,Blut::N,vér,цус
52,Ader::N,ér,судас
53,Sehne::N,ín,бүлх
54,Sehne::N,ín,шандас
55,Knochen::N,csont,яс
56,Gehirn::N,agy,тархи
57,Gehirn::N,agyvelő,тархи
58,Herz::N,szív,зүрх
59,Magen::N,gyomor,ходоод
60,Leber::N,máj,элэг
61,Atem::N,lehelet,амьсгаа
62,Atem::N,lélegzet,амьсгаа
63,Hunger::N,éhség,өлсгөлөн
64,Träne::N,könny,нулимс
65,Geschmack::N,íz,амт
66,Geruch::N,szag,үнэр
67,Schlaf::N,álom,нойр
68,Schlaf::N,alvás,нойр
69,Traum::N,álom,зүүд
70,Himmel::N,ég,тэнгэр
71,Himmel::N,ég,огторгуй
72,Himmel::N,menny,тэнгэр
73,Himmel::N,menny,огторгуй
74,Sonne::N,nap,нар
75,Mond::N,hold,сар
76,Stern::N,csillag,од
77,Luft::N,levegő,агаар
78,Wind::N,szél,салхи
79,Welle::N,hullám,долгио
80,Welle::N,hullám,давалгаа
81,Wasser::N,víz,ус
82,Stein::N,kő,чулуу
83,Boden::N,föld,хөрс
84,Boden::N,talaj,хөрс
85,Erde::N,föld,газар
86,Erde::N,föld,шороо
87,Staub::N,por,тоос
88,Rauch::N,füst,утаа
89,Funke::N,szikra,оч
90,Feuer::N,tűz,гал
91,Licht::N,fény,гэрэл
92,Licht::N,fény,гэгээ
93,Schatten::N,árnyék,сүүдэр
94,Wetter::N,idő,тэнгэр
95,Wetter::N,idő,цаг уур
96,Wetter::N,időjárás,тэнгэр
97,Wetter::N,időjárás,цаг уур
98,Nebel::N,köd,будан
99,Wolke::N,felhő,үүл
100,Regen::N,eső,бороо
101,Schnee::N,hó,цас
102,Eis::N,jég,мөс
103,Frost::N,fagy,хүйт
104,Kälte::N,hideg,хүйт
105,Hitze::N,hő,халуун
106,Hitze::N,hőség,халуун
107,Raureif::N,zúzmara,цан
108,Raureif::N,zúzmara,хяруу
109,Regenbogen::N,szivárvány,солонго
110,Donner::N,dörgés,тэнгэрийн дуу
111,Donner::N,mennydörgés,тэнгэрийн дуу
112,Strömung::N,áramlat,урсгал
113,Tropfen::N,csepp,дусал
114,Schaum::N,hab,хөөс
115,Schaum::N,tajték,хөөс
116,Schmutz::N,piszok,хир
117,Schmutz::N,piszok,шавхай
118,See::N,tó,нуур
119,Sumpf::N,mocsár,намаг
120,Sumpf::N,mocsár,балчиг
121,Moor::N,láp,хүлрийн намаг
122,Wiese::N,rét,нуга
123,Wiese::N,mező,нуга
124,Wald::N,erdő,ой
125,Hügel::N,domb,болдог
126,Anhöhe::N,magaslat,гүвээ
127,Berg::N,hegy,уул
128,Gipfel::N,csúcs,орой
