,Concept_ID,de,ja
0,Auge::N,Auge,目
1,Ohr::N,Ohr,耳
2,Nase::N,Nase,鼻
3,Mund::N,Mund,口
4,Zahn::N,Zahn,歯
5,Zunge::N,Zunge,舌
6,Lippe::N,Lippe,唇
7,Wange::N,Wange,頬
8,Gesicht::N,Gesicht,顔
9,Stirn::N,Stirn,額
10,Haar::N,Haar,髪
11,Schnurrbart::N,Schnurrbart,口髭
12,Bart::N,Bart,髭
13,Kinn::N,Kinn,顎
14,Kiefer[Anatomie]::N,Kiefer,顎
15,Kehle::N,Kehle,喉
16,Hals::N,Hals,首
17,Genick::N,Genick,首
18,Kopf::N,Kopf,頭
19,Rücken::N,Rücken,背中
20,Bauch::N,Bauch,腹
21,Bauch::N,Bauch,お腹
22,Nabel::N,Nabel,へそ
23,Busen::N,Busen,乳房
24,Brust::N,Brust,胸
25,Schulter::N,Schulter,肩
26,Arm::N,Arm,腕
27,Ellenbogen::N,Ellenbogen,肘
28,Hand::N,Hand,手
29,Handfläche::N,Handfläche,手のひら
30,Finger::N,Finger,指
31,Fingernagel::N,Fingernagel,爪
32,Nagel[Anatomie]::N,Nagel,爪
33,Zeh::N,Zeh,足の指
34,Fuß::N,Fuß,足
35,Ferse::N,Ferse,かかと
36,Knie::N,Knie,膝
37,Oberschenkel::N,Oberschenkel,上腿
38,Bein::N,Bein,足
39,Körper::N,Körper,体
40,Haut::N,Haut,皮膚
41,Blut::N,Blut,血
42,Ader::N,Ader,血管
43,Sehne::N,Sehne,腱
44,Knochen::N,Knochen,骨
45,Gehirn::N,Gehirn,脳
46,Herz::N,Herz,心
47,Herz::N,Herz,心臓
48,Magen::N,Magen,胃
49,Leber::N,Leber,肝臓
50,Atem::N,Atem,息
51,Atem::N,Atem,呼吸
52,Hunger::N,Hunger,空腹
53,Träne::N,Träne,涙
54,Geschmack::N,Geschmack,味
55,Geruch::N,Geruch,匂い
56,Schlaf::N,Schlaf,睡眠
57,Traum::N,Traum,夢
58,Himmel::N,Himmel,空
59,Sonne::N,Sonne,太陽
60,Mond::N,Mond,月
61,Stern::N,Stern,星
62,Luft::N,Luft,空気
63,Wind::N,Wind,風
64,Welle::N,Welle,波
65,Wasser::N,Wasser,水
66,Stein::N,Stein,石
67,Boden::N,Boden,土地
68,Erde::N,Erde,土
69,Staub::N,Staub,埃
70,Rauch::N,Rauch,煙
71,Funke::N,Funke,火花
72,Feuer::N,Feuer,火
73,Licht::N,Licht,光
74,Schatten::N,Schatten,陰
75,Wetter::N,Wetter,天気
76,Nebel::N,Nebel,霧
77,Wolke::N,Wolke,雲
78,Regen::N,Regen,雨
79,Schnee::N,Schnee,雪
80,Eis::N,Eis,氷
81,Frost::N,Frost,霜
82,Kälte::N,Kälte,寒さ
83,Hitze::N,Hitze,暑さ
84,Raureif::N,Raureif,霧氷
85,Regenbogen::N,Regenbogen,虹
86,Donner::N,Donner,雷
87,Strömung::N,Strömung,流れ
88,Tropfen::N,Tropfen,滴
89,Schaum::N,Schaum,泡
90,Schmutz::N,Schmutz,汚れ
91,See::N,See,湖
92,Sumpf::N,Sumpf,沼
93,Moor::N,Moor,湿原
94,Wiese::N,Wiese,草原
95,Wald::N,Wald,森
96,Hügel::N,Hügel,丘
97,Anhöhe::N,Anhöhe,高み
98,Berg::N,Berg,山
99,Gipfel::N,Gipfel,頂上
100,Höhle::N,Höhle,洞窟
101,Abhang::N,Abhang,斜面
102,Quelle::N,Quelle,泉
103,Bach::N,Bach,小川
104,Fluss::N,Fluss,川
105,Ufer::N,Ufer,岸
106,Küste::N,Küste,海岸
107,Festland::N,Festland,陸
108,Meer::N,Meer,海
109,Bucht::N,Bucht,湾
110,Insel::N,Insel,島
111,Blume::N,Blume,花
112,Gras::N,Gras,草
113,Wurzel::N,Wurzel,根
114,Baum::N,Baum,木
115,Stamm::N,Stamm,幹
116,Rinde::N,Rinde,皮層
117,Ast::N,Ast,枝
118,Zweig::N,Zweig,小枝
119,Blatt::N,Blatt,葉
120,Birke::N,Birke,樺
121,Kiefer[Baum]::N,Kiefer,松
122,Weide[Baum]::N,Weide,柳
123,Tanne::N,Tanne,樅
124,Horn::N,Horn,角
125,Feder::N,Feder,羽根
126,Fell::N,Fell,毛皮
127,Flügel::N,Flügel,羽
128,Klaue::N,Klaue,鉤爪
129,Kralle::N,Kralle,爪
130,Schwanz::N,Schwanz,尻尾
131,Ei::N,Ei,卵
132,Nest::N,Nest,巣
133,Bau::N,Bau,穴
134,Tier::N,Tier,動物
135,Herde::N,Herde,群れ
136,Kuh::N,Kuh,牛
137,Bulle::N,Bulle,雄牛
138,Pferd::N,Pferd,馬
139,Schaf::N,Schaf,羊
140,Schwein::N,Schwein,豚
141,Hund::N,Hund,犬
142,Katze::N,Katze,猫
143,Bär::N,Bär,熊
144,Eichhörnchen::N,Eichhörnchen,栗鼠
145,Elch::N,Elch,ヘラジカ
146,Fuchs::N,Fuchs,狐
147,Hase::N,Hase,兎
148,Maus::N,Maus,鼠
149,Wolf::N,Wolf,狼
150,Vogel::N,Vogel,鳥
151,Schwarm::N,Schwarm,群れ
152,Huhn::N,Huhn,鶏
153,Hahn::N,Hahn,雄鶏
154,Gans::N,Gans,ガチョウ
155,Adler::N,Adler,鷲
156,Ente::N,Ente,鴨
157,Eule::N,Eule,フクロウ
158,Kranich::N,Kranich,鶴
159,Krähe::N,Krähe,烏
160,Kuckuck::N,Kuckuck,郭公
161,Schwan::N,Schwan,白鳥
162,Fisch::N,Fisch,魚
163,Barsch::N,Barsch,鱸
164,Hecht::N,Hecht,川魳
165,Schlange[Tier]::N,Schlange,蛇
166,Wurm::N,Wurm,虫
167,Spinne::N,Spinne,蜘蛛
168,Ameise::N,Ameise,蟻
169,Laus::N,Laus,虱
170,Mücke::N,Mücke,蚊
171,Fliege::N,Fliege,蝿
172,Schmetterling::N,Schmetterling,蝶
173,Beere::N,Beere,漿果
174,Apfel::N,Apfel,林檎
175,Pilz::N,Pilz,茸
176,Zwiebel::N,Zwiebel,玉葱
177,Saat::N,Saat,種
178,Korn::N,Korn,粒
179,Heu::N,Heu,干し草
180,Schale::N,Schale,皮
181,Grube::N,Grube,穴
182,Falle::N,Falle,わな
183,Schlinge::N,Schlinge,輪
184,Spur::N,Spur,跡
185,Asche::N,Asche,灰
186,Dreck::N,Dreck,泥
187,Eisen::N,Eisen,鉄
188,Gold::N,Gold,金
189,Silber::N,Silber,銀
190,Kohle::N,Kohle,炭
