,Concept_ID,br,tt
0,Auge::N,lagad,күз
1,Ohr::N,skouarn,колак
2,Nase::N,fri,борын
3,Mund::N,genoù,авыз
4,Mund::N,genoù,тамак
5,Zahn::N,dant,теш
6,Zunge::N,teod,тел
7,Lippe::N,muzell,ирен
8,Wange::N,chot,яңак
9,Gesicht::N,dremm,йөз
10,Stirn::N,tal,маңгай
11,Haar::N,blev,чәч
12,Schnurrbart::N,mourenn,мыек
13,Bart::N,barv,сакал
14,Kinn::N,groñj,ияк
15,Kiefer[Anatomie]::N,javed,казналык
16,Kehle::N,gouzoug,тамак
17,Hals::N,gouzoug,бугаз
18,Genick::N,choug,җилкә
19,Kopf::N,penn,баш
20,Rücken::N,kein,сырт
21,Bauch::N,kof,корсак
22,Nabel::N,begel,кендек
23,Busen::N,bronn,түш
24,Brust::N,bruched,имчәк
25,Brust::N,bruched,күкрәк
26,Schulter::N,skoaz,иңбаш
27,Schulter::N,skoaz,кулбаш
28,Arm::N,brec'h,кул
29,Ellenbogen::N,ilin,терсәк
30,Hand::N,dorn,кул
31,Handfläche::N,palv,уч
32,Finger::N,biz,бармак
33,Fingernagel::N,ivin,тырнак
34,Nagel[Anatomie]::N,ivin,тырнак
35,Zeh::N,biz-troad,бармак
36,Fuß::N,troad,табан
37,Ferse::N,seul,үкчә
38,Knie::N,glin,тез
39,Oberschenkel::N,morzhed,бот
40,Bein::N,gar,аяк
41,Körper::N,korf,тән
42,Körper::N,korf,җисем
43,Haut::N,kroc'hen,тире
44,Blut::N,gwad,кан
45,Ader::N,gwazhi,тамыр
46,Sehne::N,stir,сеңер
47,Knochen::N,askorn,сөяк
48,Gehirn::N,empenn,ми
49,Herz::N,kalon,йөрәк
50,Magen::N,stomog,ашказаны
51,Leber::N,avu,бавыр
52,Atem::N,anal,сулыш
53,Hunger::N,naon,ачлык
54,Träne::N,daer,яшь
55,Geschmack::N,blaz,тәм
56,Geschmack::N,blaz,зәвык
57,Geruch::N,c'hwezh,ис
58,Schlaf::N,kousked,йокы
59,Traum::N,hune,төш
60,Himmel::N,oabl,күк
61,Sonne::N,heol,кояш
62,Mond::N,loar,ай
63,Stern::N,steredenn,йолдыз
64,Luft::N,aer,һава
65,Wind::N,avel,җил
66,Welle::N,houlenn,дулкын
67,Wasser::N,dour,су
68,Stein::N,maen,таш
69,Boden::N,tachenn,туфрак
70,Erde::N,douar,җир
71,Staub::N,poultr,тузан
72,Rauch::N,moged,төтен
73,Funke::N,ful,очкын
74,Feuer::N,tan,ут
75,Licht::N,gouloù,якты
76,Schatten::N,disheol,күләгә
77,Wetter::N,amzer,һава
78,Nebel::N,brumenn,томан
79,Wolke::N,koumoulenn,болыт
80,Regen::N,glav,яңгыр
81,Schnee::N,erc'h,кар
82,Eis::N,skorn,боз
83,Frost::N,rev,суык
84,Frost::N,rev,салкын
85,Kälte::N,yen,суык
86,Kälte::N,yen,салкын
87,Hitze::N,tommder,эсселек
88,Raureif::N,frim,бәс
89,Raureif::N,frim,сыкы
90,Regenbogen::N,gwareg-ar-glav,салават күпере
91,Donner::N,kurun,күкрәү
92,Strömung::N,red,агыш'агым
93,Tropfen::N,bannac'h,тамчы
94,Tropfen::N,takenn,тамчы
95,Schaum::N,spoum,күбек
96,Schmutz::N,fank,пычрак
97,See::N,lenn,күл
98,Sumpf::N,gwern,саз
99,Moor::N,taouarc'heg,торфлык
100,Wiese::N,prad,болын
101,Wald::N,koad,урман
102,Hügel::N,torgenn,калку
103,Anhöhe::N,run,үр
104,Berg::N,menez,тау
105,Gipfel::N,barr,оч
106,Höhle::N,kav,мәгарә
107,Abhang::N,naou,кабырга
108,Quelle::N,feunteun,чишмә
109,Bach::N,gwazh,елга
110,Fluss::N,stêr,дәрья
111,Ufer::N,ribl,су кырые
112,Küste::N,aod,яр буе
113,Festland::N,douar,коры җир
114,Meer::N,mor,диңгез
115,Bucht::N,mor-bihan,бухта
116,Bucht::N,mor-bihan,култык
117,Insel::N,enez,атау
118,Insel::N,enez,утрау
119,Blume::N,bleunienn,чәчкә
120,Gras::N,geot,үлән
121,Wurzel::N,gwrizienn,тамыр
122,Baum::N,gwezenn,агач
123,Stamm::N,kef,кәүсә
124,Rinde::N,rusk,кабык
125,Ast::N,barr,ботак
126,Zweig::N,bod,ботак
127,Zweig::N,bod,тармак
128,Blatt::N,delienn,яфрак
129,Birke::N,bezvenn,каен
130,Kiefer[Baum]::N,pinenn,нарат
131,Weide[Baum]::N,halegenn,тал
132,Tanne::N,sapenn,чыршы
133,Horn::N,korn,мөгез
134,Feder::N,pluñv,йон
135,Fell::N,kreoñ,тире
136,Flügel::N,askell,канат
137,Klaue::N,skilf,тырнак
