,Concept_ID,ady,ce
0,Auge::N,нэ,бӏаьрг
1,Ohr::N,тхьакӏу́м,лерг
2,Nase::N,пэ,мара
3,Mund::N,жэ,бага
4,Zahn::N,цэ,церг
5,Zunge::N,бзэгу,мотт
6,Lippe::N,ӏупшӏэ́,балда
7,Wange::N,нэкӏу́шъу,бесни
8,Gesicht::N,нэ́гу,юьхь
9,Stirn::N,натӏэ́,хьаж
10,Haar::N,шъхьацы́,мас
11,Bart::N,жакӏэ́,маж
12,Kinn::N,жэкӏэпэпкъ,чӏениг
13,Kiefer[Anatomie]::N,жэпкъы́,мочхал
14,Kehle::N,чый,къамкъарг
15,Hals::N,пшъэ,ворта
16,Genick::N,шъхьэпхэтыку,кӏесаркӏаг
17,Kopf::N,шъхьэ́,корта
18,Rücken::N,кӏыбы́,букъ
19,Bauch::N,ныбэ́,кийра
20,Busen::N,бгъэ́,зударийн накха
21,Brust::N,бгъэ́,накха
22,Schulter::N,блыпкъ,белш
23,Arm::N,ӏэ,пхьарс
24,Ellenbogen::N,ӏэнтэ́гъу,пхьаьрсан гола
25,Hand::N,ӏэтхьэцу,куьг
26,Handfläche::N,ӏэ́гу,кераюкъ
27,Finger::N,ӏэхъуа́мб,пӏелг
28,Fingernagel::N,ӏэбжъа́н,мӏара
29,Nagel[Anatomie]::N,ӏэбжъа́н,мӏара
30,Zeh::N,ӏэхъуа́мб,кога пӏелг
31,Fuß::N,лъэгу,ког
32,Ferse::N,лъэдакъэ,кӏажа
33,Knie::N,лъагуа́ндж,гола
34,Oberschenkel::N,ко,варе
35,Bein::N,лъакъо́,ког
36,Körper::N,пкъышъол,хӏума
37,Haut::N,кӏы́шъу,чкъор
38,Blut::N,лъы,цӏий
39,Ader::N,льытф,пха
40,Sehne::N,фэ,хьорзам
41,Knochen::N,къупшъхьэ́,даьӏахк
42,Gehirn::N,куцӏы,хье
43,Herz::N,гу,дог
44,Magen::N,мышкӏу,зорх
45,Leber::N,шӏу,доӏах
46,Atem::N,къэщэныр,садеӏар
47,Hunger::N,гъаблэ́,мацалла
48,Träne::N,нэпсы,бӏаьрхи
49,Geschmack::N,ӏэшӏугъа́кӏ,чам
50,Geruch::N,мэ,хьожа
51,Schlaf::N,пчыхьы́пӏ,наб
52,Traum::N,пчыхьы́пӏ,гӏан
53,Himmel::N,уашъо́,стигал
54,Sonne::N,тыгъэ,малх
55,Mond::N,мазэ,бутт
56,Stern::N,жъуагъо́,седа
57,Luft::N,жьы,xӏаваъ
58,Wind::N,жьыбгъэ́,мох
59,Welle::N,ор,тулгӏе
60,Welle::N,оры,тулгӏе
61,Wasser::N,псы,хи
62,Stein::N,мыжъо́,тӏулг
63,Boden::N,чӏ́ыгу,цӏенкъа
64,Erde::N,чӏ́ыгу,латта
65,Staub::N,сап,чан
66,Rauch::N,ӏугъо́,кӏур
67,Funke::N,мэшӏуа́ч,суй
68,Feuer::N,машӏо́,цӏе
69,Licht::N,нэфы,серло
70,Licht::N,нэфын,серло
71,Schatten::N,жьау́,ӏиндагӏ
72,Schatten::N,ныбжьыкъу,ӏиндагӏ
73,Nebel::N,пща́гъу,дохк
74,Wolke::N,ошъуапщэ,марха
75,Regen::N,ощхы,догӏа
76,Schnee::N,осы́,ло
77,Eis::N,мылы,ша
78,Kälte::N,чъыӏэ́,шело
79,Hitze::N,фэба́е,йовхо
80,Regenbogen::N, лэгъупэкъо́пс,стелаӏад
81,Donner::N,шыблэ́,ткъес
82,Strömung::N,ток,дӏаэхар
83,Strömung::N,ток,дӏасалелар
84,Tropfen::N,ткӏопс,тӏадам
85,Tropfen::N,гъуаткӏу,тӏадам
86,Schaum::N,тхъурбэ,чопа
87,Schmutz::N,псынжъы,хатт
88,See::N,хыку́м,ӏам
89,See::N,псыхъура́й,ӏам
90,Sumpf::N,орыжъ,уьшал
91,Moor::N,орыжъ,уьшал
92,Wiese::N,хъупӏэ́,бай
93,Wiese::N,мэкъупӏ,бай
94,Wald::N,мэзы́,хьун
95,Hügel::N,ӏуашъхь,гу
96,Hügel::N,ӏуашъхь,шу
97,Hügel::N,ӏуашъхь,барз
98,Anhöhe::N,чӏыӏэтыгъ,акъари
99,Berg::N,къушъхьэ́,лам
100,Gipfel::N,шыгу,бохь
101,Höhle::N,гъочӏэгъ,хьех
102,Abhang::N,чапэ,басе
103,Quelle::N,псынэчэ́чъ,шовда
104,Bach::N,псышкуашку,татол
