,Concept_ID,lez,sl
0,Auge::N,вил,okó
1,Ohr::N,яб,uhó
2,Nase::N,нер,nós
3,Mund::N,сив,ústa
4,Zahn::N,сас,zób
5,Zahn::N,свах,zób
6,Zunge::N,мез,jêzik
7,Lippe::N,пӏуз,ústnica
8,Wange::N,хъвехъ,líce
9,Gesicht::N,ччин,oblíčje
10,Stirn::N,пел,čêlo
11,Haar::N,чӏар,lás
12,Schnurrbart::N,спел,bŕki
13,Schnurrbart::N,спелар,bŕki
14,Bart::N,ччуру,bráda
15,Kinn::N,чене,bráda
16,Kiefer[Anatomie]::N,чене,čeljúst
17,Kehle::N,туьд,gŕlo
18,Hals::N,гардан,vrát
19,Genick::N,кьам,zatílnik
20,Kopf::N,кьил,gláva
21,Rücken::N,далу,hrbèt
22,Bauch::N,руфун,trébuh
23,Nabel::N,пицӏ,pópek
24,Busen::N,мам,nédrja
25,Brust::N,хур,pŕsi
26,Schulter::N,къуьн,ráma
27,Schulter::N,къуьн,plêče
28,Arm::N,гъил,rôka
29,Ellenbogen::N,кьуьнт,komólec
30,Hand::N,капаш,rôka
31,Handfläche::N,капан юкь,dlán
32,Finger::N,тӏуб,pŕst
33,Fingernagel::N,кек,nóht na rôki
34,Nagel[Anatomie]::N,кек,nóht
35,Zeh::N,кул,pŕst na nôgi
36,Fuß::N,кӏвач,nôga
37,Ferse::N,дабан,pêta
38,Knie::N,мет,koléno
39,Bein::N,кӏвач,nôga
40,Körper::N,беден,teló
41,Haut::N,хам,kóža
42,Blut::N,иви,krí
43,Ader::N,дамар,žíla
44,Sehne::N,кьуру дамар,kíta
45,Knochen::N,кӏараб,kóst
46,Gehirn::N,мефт,možgáni
47,Herz::N,рикӏ,srcé
48,Magen::N,хук,želódec
49,Leber::N,лекь,jétra
50,Atem::N,ял,díh
51,Atem::N,нефес,díh
52,Hunger::N,каш,glád
53,Träne::N,вилин нагъв,sólza
54,Geschmack::N,дад,okús
55,Geschmack::N,тӏям,okús
56,Geruch::N,ни,vónj
57,Schlaf::N,ахвар,sèn
58,Schlaf::N,ахвар,spánec
59,Traum::N,ахвар,sánje
60,Himmel::N,цав,nebó
61,Sonne::N,рагъ,sónce
62,Mond::N,варз,lúna
63,Mond::N,варз,mésec
64,Stern::N,гъед,zvézda
65,Luft::N,гьава,zràk
66,Wind::N,гар,véter
67,Welle::N,лепе,vál
68,Wasser::N,яд,vôda
69,Stein::N,къван,kámen
70,Boden::N,накьв,tlà
71,Erde::N,ччил,pŕst
72,Erde::N,ччил,zêmlja
73,Staub::N,руг,práh
74,Rauch::N,гум,dìm
75,Funke::N,цӏелхем,ískra
76,Feuer::N,цӏай,ôgenj
77,Licht::N,экв,lúč
78,Schatten::N,серин,sénca
79,Wetter::N,гьава,vrême
80,Nebel::N,ччилин циф,meglà
81,Wolke::N,циф,oblák
82,Regen::N,марф,dèž
83,Schnee::N,жив,snég
84,Eis::N,мурк,léd
85,Frost::N,аяз,zmrzál
86,Kälte::N,мекь,mràz
87,Kälte::N,мекьивал,mràz
88,Hitze::N,зегьем,pripéka
89,Raureif::N,къирав,ívje
90,Raureif::N,къирав,slána
91,Regenbogen::N,яргъируш,mávrica
92,Donner::N,цавун ван,gròm
93,Tropfen::N,стӏал,káplja
94,Schaum::N,каф,péna
95,Schmutz::N,чирк,nesnága
96,Schmutz::N,кьуруш,nesnága
97,See::N,вир,jézero
98,Sumpf::N,уьлен,močvírje
99,Wiese::N,векь,trávnik
100,Wald::N,там,lés
101,Wald::N,там,gòzd
102,Hügel::N,кӏунтӏ,brég
103,Hügel::N,кӏунтӏ,goríca
104,Anhöhe::N,тепе,gríč
105,Anhöhe::N,тепе,višína
106,Anhöhe::N,гьуьндуьрвал,gríč
107,Anhöhe::N,гьуьндуьрвал,višína
108,Berg::N,дагъ,gôra
109,Berg::N,дагъ,planína
110,Gipfel::N,кӏукӏ,vŕh
111,Höhle::N,кьветӏ,jáma
112,Höhle::N,кьветӏ,votlína
113,Abhang::N,гуьне,pobóčje
114,Quelle::N,чешме,izvír
115,Bach::N,булах,pôtok
116,Fluss::N,вацӏ,réka
117,Ufer::N,къерех,brég
118,Küste::N,къерех,obála
119,Küste::N,къерех,obréžje
120,Festland::N,кьурамат,celína
121,Festland::N,кьурамат,kopnína
122,Meer::N,гьуьл,mórje
123,Bucht::N,бухта,zalív
124,Insel::N,остров,ôtok
125,Blume::N,цуьк,cvetlíca
126,Gras::N,хъач,tráva
127,Wurzel::N,дувул,korenína
128,Baum::N,ттар,drevó
129,Stamm::N,тан,dêblo
130,Rinde::N,чкал,lúbje
131,Rinde::N,чкал,skórja
132,Ast::N,тӏур,véja
133,Zweig::N,хел,véja
134,Blatt::N,пеш,líst
135,Birke::N,верх,bréza
136,Kiefer[Baum]::N,шамагъаж,bòr
137,Weide[Baum]::N,цӏвелин ттар,vŕba
138,Tanne::N,ель,hója
139,Horn::N,карч,róg
140,Feder::N,цӏакул,peró
141,Fell::N,хам,kŕzno
142,Flügel::N,лув,krílo
143,Klaue::N,къармах,párkelj
144,Kralle::N,пац,krémpelj
145,Kralle::N,тапас,krémpelj
146,Schwanz::N,ттум,rèp
147,Ei::N,кака,jájce
148,Nest::N,муг,gnézdo
149,Bau::N,тӏеквен,brlòg
150,Tier::N,гьайван,živál
151,Herde::N,суьруь,čréda
152,Kuh::N,ккал,kráva
153,Bulle::N,яц,bìk
154,Bulle::N,бугъа,bìk
155,Pferd::N,балкӏан,kònj
156,Schaf::N,хеб,ôvca
157,Schwein::N,вак,svínja
158,Hund::N,кицӏ,pès
159,Katze::N,кац,máčka
160,Bär::N,сев,mêdved
161,Eichhörnchen::N,белка,véverica
162,Elch::N,лось,lós
163,Fuchs::N,сикӏ,lisíca
164,Hase::N,къуьр,zájec
165,Maus::N,кьиф,mìš
166,Wolf::N,жанавур,vólk
167,Vogel::N,луван ничхир,ptìč
168,Vogel::N,луван ничхир,ptíca
169,Schwarm::N,луж,játa
170,Huhn::N,верч,kokóš
171,Hahn::N,кӏек,petêlin
172,Gans::N,къаз,gós
173,Adler::N,лекь,ôrel
174,Ente::N,пӏатӏ,ráca
175,Eule::N,тӏиб,sôva
176,Kranich::N,дурна,žerjàv
177,Krähe::N,къаргъа,vrána
178,Kuckuck::N,кукупӏ,kúkavica
179,Schwan::N,къугь,labód
180,Fisch::N,гъед,ríba
181,Barsch::N,окунь,ostríž
182,Hecht::N,щука,ščúka
183,Schlange[Tier]::N,илан,káča
184,Schlange[Tier]::N,гъуьлягъ,káča
185,Wurm::N,квак,čr̀v
186,Wurm::N,квак,glísta
187,Spinne::N,хуьшрекан,pájek
188,Ameise::N,цегв,mrávlja
189,Laus::N,нет,úš
190,Mücke::N,ветӏ,komár
191,Fliege::N,тӏветӏ,múha
192,Schmetterling::N,чепелукь,metúlj
193,Beere::N,куьлуь емиш,jágoda
194,Apfel::N,ич,jábolko
195,Pilz::N,къарникъуз,góba
196,Zwiebel::N,чичӏек,čebúla
197,Saat::N,тумар,séme
198,Korn::N,твар,zŕno
199,Heu::N,векь,senó
200,Heu::N,векьер,senó
