,Concept_ID,ru,ar
0,Auge::N,глаз,عين
1,Ohr::N,ухо,أذن
2,Nase::N,нос,أنف
3,Mund::N,рот,فم
4,Zahn::N,зуб,سن
5,Zunge::N,язык,لسان
6,Lippe::N,губа,شفة
7,Wange::N,щека,خد
8,Wange::N,щека,وجنة
9,Gesicht::N,лицо,وجه
10,Stirn::N,лоб,جبين
11,Haar::N,волос,شعر
12,Haar::N,волосы,شعر
13,Schnurrbart::N,ус,شارب
14,Schnurrbart::N,усы,شارب
15,Bart::N,борода,لحية
16,Kinn::N,подбородок,ذقن
17,Kiefer[Anatomie]::N,челюсть,فك
18,Kehle::N,горло,حلق
19,Hals::N,шея,عنق
20,Hals::N,шея,رقبة
21,Genick::N,затылок,قفا
22,Kopf::N,голова,رأس
23,Rücken::N,спина,ظهر
24,Bauch::N,живот,بطن
25,Nabel::N,пупок,سرة
26,Busen::N,женская грудь,ثدي
27,Brust::N,грудь,صدر
28,Schulter::N,плечо,كتف
29,Arm::N,рука,ذراع
30,Ellenbogen::N,локоть,كوع
31,Hand::N,кисть,يد
32,Handfläche::N,ладонь,كف
33,Finger::N,палец,إصبع
34,Fingernagel::N,ноготь,ظفر
35,Nagel[Anatomie]::N,ноготь,ظفر
36,Zeh::N,палец,إصبع القدم
37,Fuß::N,ступня,قدم
38,Ferse::N,пята,كعب
39,Ferse::N,пятка,كعب
40,Knie::N,колено,ركبة
41,Oberschenkel::N,бедро,فخذ
42,Bein::N,нога,ساق
43,Körper::N,тело,جسم
44,Haut::N,кожа,بشرة
45,Blut::N,кровь,دم
46,Ader::N,вена,عرق
47,Ader::N,сосуд,عرق
48,Sehne::N,жила,طنب
49,Sehne::N,тетива,طنب
50,Sehne::N,сухожилие,طنب
51,Knochen::N,кость,عظم
52,Gehirn::N,мозг,دماغ
53,Herz::N,сердце,قلب
54,Magen::N,желудок,معدة
55,Leber::N,печень,كبد
56,Atem::N,дух,نفس
57,Atem::N,дыхание,نفس
58,Hunger::N,голод,جوع
59,Träne::N,слеза,دمعة
60,Geschmack::N,вкус,طعم
61,Geschmack::N,вкус,مذاق
62,Geruch::N,запах,رائحة
63,Schlaf::N,сон,نوم
64,Schlaf::N,сон,منام
65,Traum::N,сновидение,حلم
66,Himmel::N,небо,سماء
67,Sonne::N,солнце,شمس
68,Mond::N,луна,قمر
69,Stern::N,звезда,نجم
70,Stern::N,звезда,كوكب
71,Luft::N,воздух,هواء
72,Wind::N,ветер,ريح
73,Welle::N,волна,موجة
74,Wasser::N,вода,ماء
75,Stein::N,камень,حجر
76,Boden::N,почва,تراب
77,Erde::N,земля,أرض
78,Staub::N,пыль,غبار
79,Rauch::N,дым,دخان
80,Funke::N,искра,شرارة
81,Feuer::N,огонь,نار
82,Licht::N,свет,نور
83,Licht::N,свет,ضوء
84,Schatten::N,тень,ظل
85,Schatten::N,тень,فيء
86,Wetter::N,погода,جو
