,Concept_ID,ga,az
0,Auge::N,súil,göz
1,Ohr::N,cluas,qulaq
2,Nase::N,soc,burun
3,Mund::N,béal,ağız
4,Zahn::N,fiacail,diş
5,Zunge::N,teanga,dil
6,Lippe::N,liopa,dodaq
7,Wange::N,grua,yanaq
8,Wange::N,leiceann,yanaq
9,Gesicht::N,éadan,üz
10,Gesicht::N,aghaidh,üz
11,Stirn::N,baithis,alın
12,Stirn::N,clár éadain,alın
13,Haar::N,gruaig,saç
14,Schnurrbart::N,croiméal,bığ
15,Bart::N,féasóg,saqqal
16,Kinn::N,smig,çənə
17,Kiefer[Anatomie]::N,giall,çənə
18,Kehle::N,scornach,boğaz
19,Hals::N,muinéal,boyun
20,Genick::N,baic,ənsə
21,Kopf::N,ceann,baş
22,Rücken::N,droim,bel
23,Bauch::N,bolg,qarın
24,Nabel::N,imleacán,göbək
25,Busen::N,cíoch,məmə
26,Brust::N,brollach,döş
27,Schulter::N,gualainn,çiyin
28,Arm::N,lámh,qol
29,Ellenbogen::N,uillinn,dirsək
30,Hand::N,lámh,əl
31,Handfläche::N,bos,ovuc
32,Finger::N,méar,barmaq
33,Fingernagel::N,ionga,barmaq dırnağı
34,Nagel[Anatomie]::N,ionga,dırnak
35,Zeh::N,ladhar,ayaq barmağı
36,Fuß::N,cos,ayaq
37,Fuß::N,troigh,ayaq
38,Ferse::N,sáil,daban
39,Knie::N,glúin,diz
40,Oberschenkel::N,ceathrú,bud
41,Bein::N,cos,qıç
42,Körper::N,corp,əndam
43,Körper::N,colainn,əndam
44,Haut::N,cneas,dəri
45,Haut::N,craiceann,dəri
46,Blut::N,fuil,qan
47,Sehne::N,teannán,vətər
48,Sehne::N,féitheog,vətər
49,Knochen::N,cnámh,sümük
50,Gehirn::N,inchinn,beyin
51,Herz::N,croí,ürək
52,Magen::N,bolg,mədə
53,Magen::N,goile,mədə
54,Leber::N,ae,qara ciyər
55,Atem::N,anáil,nəfəs
56,Hunger::N,ocras,aclıq
57,Träne::N,deoir,göz yaşı
58,Geschmack::N,blas,tam
59,Geschmack::N,blas,ləzzət
60,Geruch::N,boladh,qoxu
61,Schlaf::N,suan,yuxu
62,Schlaf::N,codladh,yuxu
63,Traum::N,taibhreamh,röya
64,Himmel::N,spéir,göy
65,Himmel::N,spéir,səma
66,Sonne::N,grian,günəş
67,Mond::N,ré,ay
68,Mond::N,gealach,ay
69,Stern::N,rinn,ulduz
70,Stern::N,réalta,ulduz
71,Luft::N,aer,hava
72,Wind::N,gaoth,yel
73,Wind::N,gaoth,külək
74,Welle::N,tonn,dalğa
75,Wasser::N,uisce,su
76,Stein::N,cloch,daş
77,Boden::N,talamh,yer
78,Boden::N,talamh,zəmin
79,Erde::N,cré,yer torpaq
80,Erde::N,ithir,yer torpaq
81,Staub::N,dusta,toz
82,Staub::N,deannach,toz
83,Rauch::N,toit,tüstü
84,Rauch::N,deatach,tüstü
85,Funke::N,drithle,qığılcım
86,Feuer::N,tine,od
87,Licht::N,solas,işıq
88,Schatten::N,scáth,kölgə
89,Wetter::N,aimsir,hava
90,Nebel::N,ceo,duman
91,Wolke::N,néal,bulud
92,Wolke::N,scamall,bulud
93,Regen::N,báisteach,yağış
94,Regen::N,báisteach,yağmur
95,Regen::N,fearthainn,yağış
96,Regen::N,fearthainn,yağmur
97,Schnee::N,sneachta,qar
98,Eis::N,oighear,buz
99,Frost::N,sioc,ayaz
100,Kälte::N,fuacht,soyuq
101,Hitze::N,teas,coşğunluq
102,Hitze::N,teocht,coşğunluq
103,Raureif::N,sioc bán,qırov
104,Regenbogen::N,stua ceatha,göy qurşağı
105,Regenbogen::N,bogha báistí,göy qurşağı
106,Donner::N,toirneach,göy gurultusu
107,Strömung::N,sruth,axın
108,Tropfen::N,deoir,damcı
109,Schaum::N,cúr,köpük
110,Schmutz::N,salachar,çamır
111,See::N,loch,göl
112,Sumpf::N,portach,bataqlıq
113,Moor::N,caorán,bataqlıq
114,Moor::N,móinteán,bataqlıq
115,Wiese::N,cluain,çəmən
116,Wiese::N,móinéar,çəmən
117,Wald::N,coill,meşə
118,Wald::N,foraois,meşə
119,Hügel::N,ard,təpə
120,Anhöhe::N,ard,təpə
121,Anhöhe::N,ardán,təpə
122,Berg::N,sliabh,dağ
123,Gipfel::N,barr,zirvə
124,Gipfel::N,mullach,zirvə
125,Höhle::N,uaimh,mağara
126,Höhle::N,pluais,mağara
127,Abhang::N,fána,yamac
128,Quelle::N,foinse,bulaq
129,Bach::N,sruthán,kiçik çay
130,Fluss::N,abhainn,çay
131,Ufer::N,bruach,kənar
132,Küste::N,cósta,sahil
133,Küste::N,cladach,sahil
134,Festland::N,míntír,materik
135,Meer::N,muir,dəniz
136,Meer::N,farraige,dəniz
137,Bucht::N,bá,körfəz
138,Bucht::N,cuan,körfəz
139,Insel::N,inis,ada
140,Insel::N,oileán,ada
141,Blume::N,bláth,çiçək
142,Gras::N,féar,ot
143,Wurzel::N,rúta,kök
144,Wurzel::N,fréamh,kök
145,Baum::N,crann,ağac
146,Stamm::N,stoc,gövdə
147,Stamm::N,tamhan,gövdə
148,Rinde::N,coirt,qabıq
149,Rinde::N,craiceann,qabıq
150,Ast::N,géag,şax
151,Zweig::N,géag,budaq
152,Zweig::N,craobh,budaq
153,Blatt::N,duille,yarpaq
154,Blatt::N,duilleog,yarpaq
155,Birke::N,beith,tozağacı
156,Birke::N,crann beithe,tozağacı
157,Kiefer[Baum]::N,péine,şam
158,Weide[Baum]::N,saileach,söyüd
159,Tanne::N,giúis,küknar
160,Horn::N,adharc,buynuz
161,Feder::N,cleite,tük
162,Feder::N,cleite,lələk
163,Fell::N,clúmh,xəz
164,Flügel::N,eite,qanad
165,Flügel::N,sciathán,qanad
166,Klaue::N,crúb,pəncə
167,Klaue::N,crobh,pəncə
168,Kralle::N,crobh,dırnaq
169,Schwanz::N,eireaball,quyruq
170,Ei::N,ubh,yumurta
171,Nest::N,nead,yuva
172,Bau::N,brocais,yuva
173,Tier::N,ainmhí,heyvan
174,Tier::N,beithíoch,heyvan
175,Herde::N,tréad,sürü
176,Kuh::N,bó,inək
177,Bulle::N,tarbh,öküz
178,Pferd::N,each,at
179,Pferd::N,capall,at
180,Schaf::N,caora,qoyun
181,Schwein::N,muc,donuz
182,Hund::N,madra,it
183,Hund::N,madra,köpək
184,Katze::N,cat,pişik
185,Bär::N,béar,ayı
186,Eichhörnchen::N,iora,dələ
187,Elch::N,eilc,sığın
188,Fuchs::N,sionnach,tülkü
189,Fuchs::N,madra rua,tülkü
190,Hase::N,giorria,dovşan
191,Maus::N,luch,siçan
192,Wolf::N,mac tíre,qurd
193,Vogel::N,éan,quş
194,Schwarm::N,saithe,sürü
195,Huhn::N,cearc,toyuq
196,Hahn::N,coileach,xoruz
197,Gans::N,gé,qaz
198,Adler::N,iolar,qartal
199,Adler::N,iolar,qaraquş
200,Ente::N,lacha,ördək
201,Eule::N,ulchabhán,bayquş
202,Kranich::N,grús,durna
203,Krähe::N,caróg,qarğa
204,Krähe::N,préachán,qarğa
205,Kuckuck::N,cuach,ququ
206,Schwan::N,eala,qu quşu
207,Fisch::N,iasc,balıq
208,Barsch::N,péirse,tar
209,Hecht::N,liús,durnabalığı
210,Schlange[Tier]::N,nathair,ilan
211,Wurm::N,péist,qurd
212,Spinne::N,damhán alla,hörümçək
213,Ameise::N,seangán,qarışqa
214,Laus::N,míol,bit
215,Mücke::N,muiscít,ağcaqanad
216,Mücke::N,corrmhíol,ağcaqanad
217,Fliege::N,cuil,milçək
218,Fliege::N,cuileog,milçək
219,Schmetterling::N,féileacán,kəpənək
220,Beere::N,caor,gilə
221,Apfel::N,úll,alma
222,Pilz::N,beacán,göbələk
223,Pilz::N,muisiriún,göbələk
224,Zwiebel::N,oinniún,soğan
225,Saat::N,síol,əkin
226,Korn::N,gráinne,taxıl
227,Heu::N,féar,quru ot
228,Schale::N,scaimh,qabıq
229,Grube::N,poll,çuxur
230,Falle::N,gaiste,tələ
231,Falle::N,gaiste,duzaq
232,Schlinge::N,sealán,ilmək
233,Spur::N,rian,iz
234,Asche::N,luaith,kül
235,Dreck::N,salachar,kir
236,Eisen::N,iarann,dəmir
237,Gold::N,ór,altun
238,Silber::N,airgead,gümüş
239,Kohle::N,gual,kömür
240,Glas::N,gloine,şüşə
241,Lehm::N,cré,gil
242,Lehm::N,cré,palçıq
243,Sand::N,gaineamh,qum
244,Mensch::N,duine,adam
245,Mensch::N,duine,insan
246,Mann::N,fear,kişi
247,Frau::N,bean,qadın
248,Kind::N,gasúr,uşaq
249,Kind::N,páiste,uşaq
250,Junge::N,buachaill,oğlan
251,Mädchen::N,cailín,qız
252,Familie::N,teaghlach,ailə
253,Familie::N,comhluadar,ailə
254,Großvater::N,seanathair,baba
255,Großmutter::N,seanmháthair,nənə
256,Eltern::N,tuismitheoirí,valideyn
257,Vater::N,athair,ata
258,Mutter::N,máthair,ana
259,Sohn::N,mac,oğul
260,Tochter::N,iníon,qız
261,Bruder::N,deartháir,qardaş
262,Schwester::N,deirfiúr,bacı
263,Onkel::N,uncail,əmi
264,Onkel::N,uncail,dayı
265,Tante::N,aintín,bibi
266,Ehemann::N,fear céile,ər
267,Ehefrau::N,bean chéile,arvad
268,Freude::N,áthas,nəşə
269,Freude::N,áthas,sevinc
270,Gelächter::N,gáire,gülüş
271,Gelächter::N,gáire,qəhqəhə
272,Glück::N,séan,səadət
273,Glück::N,séan,xoşbəxtlik
274,Glück::N,sonas,səadət
275,Glück::N,sonas,xoşbəxtlik
276,Kummer::N,brón,qəm
277,Kummer::N,brón,kədər
278,Kummer::N,buairt,qəm
279,Kummer::N,buairt,kədər
280,Wunsch::N,guí,arzu
281,Wunsch::N,achainí,arzu
282,Lust::N,fonn,həvəs
283,Geist::N,meon,ruh
284,Geist::N,spiorad,ruh
285,Gedanke::N,smaoineamh,fikir
286,Gedanke::N,smaoineamh,düşüncə
287,Gedächtnis::N,cuimhne,xatir
288,Gedächtnis::N,cuimhne,hafizə
289,Verstand::N,ciall,ağıl
290,Verstand::N,intinn,ağıl
291,Sinn::N,brí,məna
292,Sinn::N,ciall,məna
293,Grund::N,fáth,səbəb
294,Wahrheit::N,fírinne,haqq
295,Wahrheit::N,fírinne,doğruluq
296,Gespräch::N,comhrá,söhbət
297,Gespräch::N,comhrá,qonuşma
298,Märchen::N,scéal,nağıl
299,Erzählung::N,scéal,hekayə
300,Nachricht::N,teachtaireacht,xəbər
301,Neuigkeit::N,scéala,xəbər
302,Neuigkeit::N,scéala,yenilik
303,Name::N,ainm,ad
304,Rätsel::N,tomhas,tapmaca
305,Rede::N,óráid,nitq
306,Rede::N,aitheasc,nitq
307,Sprache::N,teanga,dil
308,Stimme::N,guth,səs
309,Wort::N,focal,söz
310,Wort::N,focal,kəlmə
311,Zeichen::N,comhartha,nişan
312,Ruf::N,glaoch,çığırtı
313,Lärm::N,torann,gurultu
314,Laut::N,fuaim,səs
315,Ton::N,ton,ton
316,Lied::N,amhrán,mahnı
317,Ruhe::N,suaimhneas,sakitlik
318,Leute::N,muintir,xalq
319,Volk::N,pobal,millət
320,Arbeit::N,obair,iş
321,Arbeit::N,obair,əmək
322,Gast::N,aoi,qonaq
323,Gast::N,aoi,müsafir
324,Geschenk::N,féirín,hədiyyə
325,Geschenk::N,bronntanas,hədiyyə
326,Spiel::N,cluiche,oyun
327,Spiel::N,cluiche,tamaşa
328,Gesellschaft::N,comhluadar,cəmiyyet
329,Hilfe::N,cúnamh,kömək
330,Hilfe::N,cúnamh,yardım
331,Hilfe::N,cabhair,kömək
332,Hilfe::N,cabhair,yardım
333,Freund::N,cara,dost
