,Concept_ID,kv,vep
0,Auge::N,син,sil'm
1,Ohr::N,пель,korv
2,Nase::N,ныр,nena
3,Mund::N,ӧм,su
4,Zahn::N,пинь,pi
5,Zahn::N,пинь,hambaz
6,Zunge::N,кыв,kel'
7,Lippe::N,тырп,hul'
8,Wange::N,рожабан,modpolišk
9,Gesicht::N,бан,mod
10,Stirn::N,кымӧс,oc
11,Haar::N,юрси,tuk
12,Haar::N,юрси,hibuz
13,Schnurrbart::N,уссэз,habinod
14,Bart::N,тош,bard
15,Kinn::N,тшӧка,löug
16,Kiefer[Anatomie]::N,ан,hambazlu
17,Kehle::N,юан,kurk
18,Hals::N,юан,kagl
19,Genick::N,юр бӧр,tagarai
20,Kopf::N,юр,pä
21,Rücken::N,мышк,sel'g
22,Bauch::N,кынӧм,vac
23,Bauch::N,кынӧм,koht
24,Nabel::N,гӧг,naba
25,Busen::N,морос,niža
26,Brust::N,морос,rind
27,Schulter::N,пельпон,oug
28,Arm::N,ки,käzi
29,Ellenbogen::N,гырдзза,künambruz
30,Hand::N,кикар,käzi
31,Hand::N,кикар,käzitera
32,Handfläche::N,ки пыдӧс,kämen
33,Finger::N,чунь,sor'm
34,Fingernagel::N,гыж,künz'
35,Nagel[Anatomie]::N,гыж,künz'
36,Zeh::N,чунь,barbaz
37,Fuß::N,кокпыдӧс,jaug
38,Ferse::N,кокдзир,kand
39,Knie::N,пидзӧс,komb
40,Knie::N,пидзӧс,pol'v
41,Oberschenkel::N,лядьбей,riiže
42,Bein::N,кок,jaug
43,Körper::N,вывтыр,hibj
44,Haut::N,кучик,nahk
45,Blut::N,вир,čak
46,Blut::N,вир,veri
47,Ader::N,сӧн,son'
48,Sehne::N,жила,jände
49,Knochen::N,коска,lu
50,Gehirn::N,вем,aivod
51,Herz::N,сьӧлӧм,südäin
52,Magen::N,жӧвдӧк,südäikoht
53,Leber::N,мус,maks
54,Atem::N,лолалӧм,hengaiduz
55,Hunger::N,тшыг,näl'g
56,Träne::N,синва,kündal'
57,Geschmack::N,кӧр,magu
58,Geruch::N,дук,haju
59,Schlaf::N,он,uni
60,Traum::N,вӧт,unikuva
61,Himmel::N,небо,taivaz
62,Sonne::N,шондi,päiväine
63,Mond::N,тӧлiсь,kudmaine
64,Stern::N,кӧдзыв,tähtaz
65,Luft::N,ру,il'm
66,Wind::N,тӧв,döl
67,Wind::N,тӧв,tullei
68,Welle::N,гы,ald
69,Welle::N,гы,laineh
70,Wasser::N,ва,vezi
71,Stein::N,из,kivi
72,Boden::N,му,ma
73,Boden::N,му,pohj
74,Erde::N,му,ma
75,Staub::N,бус,pölü
76,Rauch::N,тшын,savu
77,Funke::N,бичир,kibin
78,Feuer::N,би,lämoi
79,Licht::N,би,vauktuz
80,Schatten::N,вуджӧр,pil'vez
81,Schatten::N,вуджӧр,kuvahaine
82,Wetter::N,погоддя,sä
83,Nebel::N,туман,sumeg
84,Wolke::N,кымӧр,pil'v
85,Regen::N,зэр,vihm
86,Schnee::N,лым,lumi
87,Eis::N,йы,jä
88,Frost::N,мороз,hala
89,Frost::N,мороз,pakaine
90,Kälte::N,кӧдзыт,vilu
91,Hitze::N,ӧд,räk
92,Raureif::N,кижа,hüde
93,Regenbogen::N,енӧшка,jumalanbembel'
94,Donner::N,гым,juru
95,Donner::N,гым,jumalanjuru
96,Strömung::N,визывтӧм,joksmuz
97,Tropfen::N,тёп,tilkuine
98,Schaum::N,быг,vaht
99,Schmutz::N,нять,redu
100,Schmutz::N,нять,pačak
101,See::N,ты,järv
102,Sumpf::N,арай,so
103,Moor::N,нюр,so
104,Wiese::N,видз,nit
105,Wald::N,вӧр,mec
106,Hügel::N,мыльк,kukaz
107,Anhöhe::N,вывтас,kukaz
108,Anhöhe::N,вылынін,kukaz
109,Berg::N,керӧс,mägi
110,Gipfel::N,йыв,ladv
111,Höhle::N,нора,mägionduz
112,Abhang::N,покат,paute
113,Quelle::N,больган,lähte
114,Bach::N,шор,oja
115,Fluss::N,ю,jogi
116,Ufer::N,берег,rand
117,Küste::N,берег,randišt
118,Festland::N,му,kuivma
119,Meer::N,море,meri
120,Bucht::N,курья,laht
121,Blume::N,цветок,änik
122,Gras::N,турун,hein
123,Wurzel::N,вуж,jur'
124,Baum::N,пу,pu
125,Stamm::N,мыр,tüvi
126,Stamm::N,кер,tüvi
127,Rinde::N,кач,kor'
128,Ast::N,ув,oks
129,Zweig::N,ув,oks
130,Zweig::N,ув,barb
131,Blatt::N,лист,lehtez
132,Birke::N,кыдз,koiv
133,Kiefer[Baum]::N,пожум,pedai
134,Weide[Baum]::N,бадь,raid
135,Tanne::N,кӧз,kuz'
136,Horn::N,сюр,sar'v
137,Feder::N,гӧн,höuneh
138,Fell::N,кучик,nahk
139,Flügel::N,борд,suug
140,Klaue::N,гыж,künz'
141,Kralle::N,кабыр,künz'
142,Schwanz::N,бӧж,händ
143,Ei::N,кольть,muna
144,Nest::N,поз,peza
145,Bau::N,осьта,uru
146,Bau::N,нора,uru
147,Tier::N,зверь,živat
148,Herde::N,гурт,kogo
149,Kuh::N,мӧс,lehm
150,Bulle::N,ӧшка,härg
151,Pferd::N,вӧв,hebo
152,Schaf::N,баля,lambaz
153,Schwein::N,порсь,siga
154,Hund::N,пон,koir
155,Katze::N,кань,kaži
156,Bär::N,ош,kondi
157,Eichhörnchen::N,ур,orav
158,Elch::N,вӧр мӧс,hirb'
159,Fuchs::N,руч,reboi
160,Hase::N,кӧч,jäniš
161,Maus::N,шыр,hir'
162,Wolf::N,кӧин,händikaz
163,Vogel::N,кай,lind
164,Schwarm::N,стая,parveh
165,Schwarm::N,чукӧр,parveh
166,Huhn::N,курӧг,kana
167,Hahn::N,петух,kukoi
168,Hahn::N,ай курӧг,kukoi
169,Gans::N,дзодзог,hanh'
170,Adler::N,куч,orl
171,Adler::N,кутш,orl
172,Ente::N,утка,sorz
173,Eule::N,тупка,hir'pulo
174,Kranich::N,тури,kurg
175,Krähe::N,рака,variš
176,Kuckuck::N,кӧк,kägi
177,Schwan::N,юсь,joucen
178,Fisch::N,чери,kala
179,Barsch::N,ёкыш,ahven
180,Hecht::N,сирпинь,haug'
181,Schlange[Tier]::N,змей,kü
182,Schlange[Tier]::N,змей,mado
183,Wurm::N,номыр,mado
184,Spinne::N,черань,hämähouk
185,Ameise::N,кӧдзывкар,murahaine
186,Laus::N,ляпа той,täi
187,Mücke::N,ном,säs'k
188,Fliege::N,гут,kärbhaine
189,Schmetterling::N,бабыв,lipkaine
190,Beere::N,ягӧд,marj
191,Apfel::N,яблоко,jablok
192,Pilz::N,тшак,sen'
193,Pilz::N,тшак,babuk
194,Zwiebel::N,грез,lauk
195,Saat::N,кӧдзыс,semned
196,Korn::N,сю,jüvä
197,Korn::N,сю,vill'
198,Heu::N,турун,hein
199,Schale::N,кыш,kor'
200,Schale::N,киль,kor'
201,Grube::N,яма,kop
202,Falle::N,нальк,rida
203,Falle::N,кляпча,rida
204,Schlinge::N,лӧч,rihm
205,Spur::N,туй,jäl'g
206,Asche::N,пӧим,tuhk
207,Dreck::N,нять,redu
208,Dreck::N,нять,pačak
209,Eisen::N,кӧрт,raud
210,Gold::N,зарни,kuld
211,Silber::N,язісь,hobed
212,Kohle::N,шом,hil'
213,Kohle::N,уголь,hil'
214,Glas::N,стекло,stökol
215,Lehm::N,сёй,savi
216,Sand::N,лыа,lete
217,Mensch::N,морт,mez'
218,Mensch::N,морт,ristit
219,Mann::N,мужик,mez'
220,Frau::N,инька,naine
221,Kind::N,кага,laps'
222,Junge::N,зонка,poig
223,Junge::N,зонка,prihaine
224,Mädchen::N,нывкаок,neičukaine
225,Familie::N,семья,kanz
226,Familie::N,семья,pereh
227,Großvater::N,дед,ded
228,Großmutter::N,баб,bab
229,Eltern::N,ай-мам,vanhembad
230,Eltern::N,ай-мам,kazvatajad
231,Vater::N,ай,tat
232,Mutter::N,мам,mam
233,Sohn::N,зон,poig
234,Tochter::N,ныв,tütär
235,Bruder::N,вон,veik
236,Bruder::N,вон,vell'
237,Schwester::N,сой,čiža
238,Schwester::N,сой,sizar
239,Onkel::N,дядь,däd'
240,Tante::N,айӧлӧн сой,tädi
241,Tante::N,ичинь,tädi
242,Ehemann::N,жӧник,mužik
243,Ehefrau::N,инь,ak
244,Freude::N,гаж,ilo
245,Freude::N,гаж,ihastuz
246,Freude::N,радъялӧм,ilo
247,Freude::N,радъялӧм,ihastuz
248,Gelächter::N,сералӧм,nagr
249,Glück::N,мичлун,oza
250,Kummer::N,шог,gor'a
251,Wunsch::N,мӧдӧм,taht
252,Wunsch::N,охотитӧм,taht
253,Lust::N,охота,himo
254,Geist::N,лов,heng
255,Gedanke::N,дума,meletuz
256,Gedächtnis::N,тӧдвыв,mušt
257,Verstand::N,вежӧр,mel'
258,Sinn::N,ылӧс,jüvä
259,Grund::N,мог,sü
260,Wahrheit::N,правда,tozi
261,Gespräch::N,сёрни,lodu
262,Gespräch::N,сёрни,pagin
263,Märchen::N,сказка,sarn
264,Erzählung::N,висьт,sanutez
265,Nachricht::N,юӧр,tedotuz
266,Nachricht::N,висьталӧм,tedotuz
267,Neuigkeit::N,новость,uzištuz
268,Name::N,ним,nimi
269,Rätsel::N,загадка,ozoitez
270,Rede::N,сёрни,pagin
271,Rede::N,сёрни,sanad
272,Sprache::N,кыв,kel'
273,Stimme::N,голос,än'
274,Wort::N,кыв,sana
275,Zeichen::N,пас,znam
276,Ruf::N,чуксӧм,kida
277,Ruf::N,чуксӧм,kucund
278,Ruf::N,чукӧстӧм,kida
279,Ruf::N,чукӧстӧм,kucund
280,Lärm::N,шум,judu
281,Laut::N,шы,kulund
282,Ton::N,гор,kulund
283,Lied::N,сьыланкыв,pajo
284,Ruhe::N,спокой,lebu
285,Leute::N,йӧз,rahvaz
286,Volk::N,йӧз,rahvaz
287,Volk::N,народ,rahvaz
288,Arbeit::N,удж,tö
289,Arbeit::N,удж,rad
290,Gast::N,гӧсь,adiv
291,Geschenk::N,гӧснеч,lahj
292,Geschenk::N,подарок,lahj
293,Spiel::N,орсӧм,vänd
294,Gesellschaft::N,компания,sebr
295,Hilfe::N,отсӧт,abu
296,Freund::N,модз,sebranik
297,Freund::N,дружок,sebranik
