,Concept_ID,nl,udm
0,Auge::N,oog,син
1,Ohr::N,oor,пель
2,Nase::N,neus,ныр
3,Mund::N,mond,ым
4,Zahn::N,tand,пинь
5,Zunge::N,tong,кыл
6,Lippe::N,lip,ымдур
7,Wange::N,wang,бам
8,Gesicht::N,gelaat,ымныр
9,Gesicht::N,gezicht,ымныр
10,Stirn::N,voorhoofd,кымес
11,Haar::N,haar,йырси
12,Schnurrbart::N,snor,мыйык
13,Bart::N,baard,туш
14,Kinn::N,kin,ангес
15,Kiefer[Anatomie]::N,kaak,ан
16,Kiefer[Anatomie]::N,kaak,анлы
17,Kehle::N,keel,гульым
18,Kehle::N,strot,гульым
19,Hals::N,hals,чырты
20,Genick::N,nek,йырбер
21,Kopf::N,hoofd,йыр
22,Rücken::N,rug,мыш
23,Bauch::N,buik,кӧт
24,Nabel::N,navel,гогы
25,Busen::N,boezem,ноны
26,Brust::N,borst,мӧля
27,Schulter::N,schouder,пельпум
28,Arm::N,arm,суй
29,Ellenbogen::N,elleboog,гырпум
30,Hand::N,hand,ки
31,Handfläche::N,handpalm,ки пыдэс
32,Handfläche::N,handpalm,кырым пыдэс
33,Finger::N,vinger,чиньы
34,Fingernagel::N,nagel,гижы
35,Fingernagel::N,nagel,гиждӥнь
36,Nagel[Anatomie]::N,nagel,гижы
37,Zeh::N,teen,пыдчиньы
38,Fuß::N,voet,пыд
39,Ferse::N,hak,пыдбер
40,Ferse::N,hiel,пыдбер
41,Knie::N,knie,пыдес
42,Oberschenkel::N,dij,макес
43,Bein::N,been,пыд
44,Körper::N,lichaam,мугор
45,Körper::N,lichaam,вылтыр
46,Haut::N,huid,ку
47,Blut::N,bloed,вир
48,Ader::N,ader,вирсэр
49,Sehne::N,pees,вуж
50,Knochen::N,bot,лы
51,Knochen::N,been,лы
52,Knochen::N,knook,лы
53,Gehirn::N,hersenen,вим
54,Herz::N,hart,сюлэм
55,Magen::N,maag,ӝуш
56,Leber::N,lever,мус
57,Atem::N,adem,лул
58,Atem::N,adem,шокан
59,Hunger::N,honger,кӧтсюман
60,Träne::N,traan,синкыли
61,Geschmack::N,smaak,шӧм
62,Geruch::N,geur,зын
63,Schlaf::N,slaap,вӧт
64,Traum::N,droom,уйвӧт
65,Himmel::N,hemel,ин
66,Sonne::N,zon,шунды
67,Mond::N,maan,толэзь
68,Stern::N,ster,кизили
69,Luft::N,lucht,омыр
70,Wind::N,wind,тӧл
71,Welle::N,golf,тулкым
72,Wasser::N,water,ву
73,Stein::N,steen,из
74,Boden::N,grond,музъем
75,Erde::N,aarde,му
76,Staub::N,stof,пыль
77,Rauch::N,rook,ӵын
78,Funke::N,vonk,гизьы
79,Feuer::N,vuur,тыл
80,Licht::N,licht,тыл
81,Schatten::N,schaduw,вужер
82,Wetter::N,weer,куазь
83,Nebel::N,mist,бус
84,Nebel::N,nevel,бус
85,Wolke::N,wolk,пилем
86,Regen::N,regen,зор
87,Schnee::N,sneeuw,лымы
88,Eis::N,ijs,йӧ
89,Frost::N,vorst,кезьыт
90,Kälte::N,kou,кезьыт
91,Kälte::N,koude,кезьыт
92,Hitze::N,hitte,пӧсь
93,Raureif::N,rijp,гӧр
94,Regenbogen::N,regenboog,вуюись
95,Donner::N,donder,гудыри
96,Strömung::N,stroming,бызён
97,Tropfen::N,druppel,шапык
98,Schaum::N,schuim,шукы
99,Schmutz::N,vuil,нӧд
100,Schmutz::N,vuil,дэри
101,See::N,meer,ты
102,Sumpf::N,moeras,нюр
103,Moor::N,veen,нюр
104,Wiese::N,wei,возь
105,Wiese::N,wei,возьвыл
106,Wiese::N,weide,возь
107,Wiese::N,weide,возьвыл
108,Wald::N,bos,сик
109,Wald::N,bos,нюлэс
110,Hügel::N,heuvel,выр
111,Hügel::N,heuvel,вырйыл
112,Anhöhe::N,hoogte,выр
113,Anhöhe::N,hoogte,вырйыл
114,Berg::N,berg,гурезь
115,Gipfel::N,top,йыл
116,Höhle::N,hol,гу
117,Abhang::N,helling,бам
118,Quelle::N,bron,ошмес
119,Bach::N,beek,пичи шур
120,Fluss::N,stroom,шур
121,Ufer::N,wal,ярдур
122,Ufer::N,oever,ярдур
123,Küste::N,kust,вудур
124,Festland::N,vasteland,мувыр
125,Meer::N,zee,зарезь
126,Bucht::N,baai,вукож
127,Bucht::N,inham,вукож
