,Concept_ID,br,ml
0,Auge::N,lagad,കണ്ണ്
1,Ohr::N,skouarn,ചെവി
2,Nase::N,fri,മൂക്ക്
3,Mund::N,genoù,വായ
4,Zahn::N,dant,പല്ല്
5,Zunge::N,teod,നാക്ക്
6,Lippe::N,muzell,ചുണ്ട്
7,Wange::N,chot,കവിൾത്തടം
8,Gesicht::N,dremm,മുഖം
9,Stirn::N,tal,നെറ്റി
10,Haar::N,blev,തലമുടി
11,Schnurrbart::N,mourenn,മീശ
12,Bart::N,barv,താടിരോമം
13,Kinn::N,groñj,താടി
14,Kiefer[Anatomie]::N,javed,താടിയെല്ല്
15,Kehle::N,gouzoug,കണ്ഠനാളം
16,Hals::N,gouzoug,കഴുത്ത്
17,Genick::N,choug,പിടലി
18,Kopf::N,penn,തല
19,Rücken::N,kein,മുതുക്
20,Bauch::N,kof,നയറ്
21,Nabel::N,begel,നാഭി
22,Busen::N,bronn,സ്തനം
23,Brust::N,bruched,സ്തനം
24,Schulter::N,skoaz,തോൾ
25,Arm::N,brec'h,കൈ
26,Ellenbogen::N,ilin,കൈമുട്ട്
27,Hand::N,dorn,കൈ
28,Handfläche::N,palv,ഉള്ളം കൈ
29,Finger::N,biz,വിരൽ
30,Fingernagel::N,ivin,നഖം
31,Nagel[Anatomie]::N,ivin,നഖം
32,Zeh::N,biz-troad,കാൽവിരൽ
33,Fuß::N,troad,കാൽപ്പാദം
34,Ferse::N,seul,ഉപ്പൂറ്റി
35,Knie::N,glin,കാൽമുട്ട്
36,Oberschenkel::N,morzhed,തുട
37,Bein::N,gar,കാൽ
38,Körper::N,korf,ശരീരം
39,Haut::N,kroc'hen,ചർമ്മം
40,Blut::N,gwad,രക്തം
41,Ader::N,gwazhi,ഞരമ്പ്
42,Sehne::N,stir,സ്നായു
43,Knochen::N,askorn,അസ്ഥി
44,Gehirn::N,empenn,തലച്ചോറ്
45,Herz::N,kalon,ഹൃദയം
46,Magen::N,stomog,വയർ
47,Leber::N,avu,കരൾ
48,Atem::N,anal,ശ്വാസം
49,Hunger::N,naon,വിശപ്പ്
50,Träne::N,daer,കണ്ണീർ
51,Geschmack::N,blaz,രുചി
52,Geruch::N,c'hwezh,ഗന്ധം
53,Schlaf::N,kousked,ഉറകും
54,Traum::N,hune,സ്വപ്നം
55,Himmel::N,oabl,ആകാശം
56,Sonne::N,heol,സൂര്യൻ
57,Mond::N,loar,ചന്ദ്രൻ
58,Stern::N,steredenn,നക്ഷത്രം
59,Luft::N,aer,കാറ്റ്
60,Wind::N,avel,കാറ്റ്
61,Welle::N,houlenn,തിരമാല
62,Wasser::N,dour,വെള്ളം
63,Stein::N,maen,ശില
64,Stein::N,maen,കല്ല്
65,Boden::N,tachenn,തറ
66,Boden::N,tachenn,നിലം
67,Erde::N,douar,മണ്ണ്
68,Staub::N,poultr,പൊടി
69,Rauch::N,moged,പുക
70,Funke::N,ful,തീപ്പൊരി
71,Feuer::N,tan,തീ
72,Licht::N,gouloù,വിളക്ക്
73,Licht::N,gouloù,സൂര്യപ്രകാശം
74,Schatten::N,disheol,തണൽ
75,Wetter::N,amzer,കാലാവസ്ഥ
76,Nebel::N,brumenn,മൂടൽമഞ്ഞ്
77,Wolke::N,koumoulenn,മേഘം
78,Regen::N,glav,മഴ
79,Schnee::N,erc'h,മഞ്ഞ്
80,Eis::N,skorn,ഐസ്
81,Frost::N,rev,മൂടൽമഞ്ഞ്
82,Kälte::N,yen,തണുപ്പ്
83,Hitze::N,tommder,ചൂട്
84,Raureif::N,frim,കോടമഞ്ഞ്
85,Regenbogen::N,gwareg-ar-glav,മഴവില്ല്
86,Donner::N,kurun,ഇടി
87,Strömung::N,red,പ്രവാഹം
88,Tropfen::N,bannac'h,തുള്ളി
89,Tropfen::N,takenn,തുള്ളി
90,Schaum::N,spoum,നുര
91,Schmutz::N,fank,അഴുക്ക്
92,See::N,lenn,തടാകം
93,Sumpf::N,gwern,ചതുപ്പുനിലം
94,Moor::N,taouarc'heg,പാഴ്നിലം
95,Wiese::N,prad,പുൽത്തകിടി
96,Wald::N,koad,വനം
97,Wald::N,koad,കാട്
98,Hügel::N,torgenn,കുന്ന്
99,Anhöhe::N,run,ഉയർന്ന ഭൂമി
100,Berg::N,menez,പർവ്വതം
101,Gipfel::N,barr,ഉച്ചകോടി
102,Höhle::N,kav,ഗുഹ
103,Abhang::N,naou,ചരിവ്
104,Quelle::N,feunteun,ഉറവിടം
105,Bach::N,gwazh,അരുവി
106,Fluss::N,stêr,നദി
107,Ufer::N,ribl,തീരം
108,Küste::N,aod,കടൽത്തീരം
109,Festland::N,douar,കര
110,Meer::N,mor,കടൽ
111,Bucht::N,mor-bihan,ഉൾക്കടല്
112,Insel::N,enez,ദ്വീപ്
113,Blume::N,bleunienn,പൂവ്
