,Concept_ID,fr,vep
0,Auge::N,œil,sil'm
1,Ohr::N,oreille,korv
2,Nase::N,nez,nena
3,Mund::N,bouche,su
4,Zahn::N,dent,pi
5,Zahn::N,dent,hambaz
6,Zunge::N,langue,kel'
7,Lippe::N,lèvre,hul'
8,Wange::N,joue,modpolišk
9,Gesicht::N,face,mod
10,Gesicht::N,visage,mod
11,Stirn::N,front,oc
12,Haar::N,cheveu,tuk
13,Haar::N,cheveu,hibuz
14,Schnurrbart::N,moustache,habinod
15,Bart::N,barbe,bard
16,Kinn::N,menton,löug
17,Kiefer[Anatomie]::N,mâchoire,hambazlu
18,Kehle::N,gorge,kurk
19,Hals::N,cou,kagl
20,Genick::N,nuque,tagarai
21,Kopf::N,tête,pä
22,Rücken::N,dos,sel'g
23,Bauch::N,ventre,vac
24,Bauch::N,ventre,koht
25,Nabel::N,nombril,naba
26,Busen::N,sein,niža
27,Brust::N,poitrine,rind
28,Schulter::N,épaule,oug
29,Arm::N,bras,käzi
30,Ellenbogen::N,coude,künambruz
31,Hand::N,main,käzi
32,Hand::N,main,käzitera
33,Handfläche::N,paume,kämen
34,Finger::N,doigt,sor'm
35,Fingernagel::N,ongle,künz'
36,Nagel[Anatomie]::N,ongle,künz'
37,Zeh::N,orteil,barbaz
38,Zeh::N,doigt de pied,barbaz
39,Fuß::N,pied,jaug
40,Ferse::N,talon,kand
41,Knie::N,genou,komb
42,Knie::N,genou,pol'v
43,Oberschenkel::N,cuisse,riiže
44,Bein::N,jambe,jaug
45,Körper::N,corps,hibj
46,Haut::N,peau,nahk
47,Blut::N,sang,čak
48,Blut::N,sang,veri
49,Ader::N,veine,son'
50,Sehne::N,tendon,jände
51,Knochen::N,os,lu
52,Gehirn::N,cerveau,aivod
53,Herz::N,cœur,südäin
54,Magen::N,estomac,südäikoht
55,Leber::N,foie,maks
56,Atem::N,haleine,hengaiduz
57,Hunger::N,faim,näl'g
58,Träne::N,larme,kündal'
59,Geschmack::N,goût,magu
60,Geschmack::N,saveur,magu
61,Geruch::N,odeur,haju
62,Schlaf::N,sommeil,uni
63,Traum::N,songe,unikuva
64,Himmel::N,ciel,taivaz
65,Sonne::N,soleil,päiväine
66,Mond::N,lune,kudmaine
67,Stern::N,étoile,tähtaz
68,Luft::N,air,il'm
69,Wind::N,vent,döl
70,Wind::N,vent,tullei
71,Welle::N,vague,ald
72,Welle::N,vague,laineh
73,Wasser::N,eau,vezi
74,Stein::N,pierre,kivi
75,Boden::N,sol,ma
76,Boden::N,sol,pohj
77,Boden::N,terrain,ma
78,Boden::N,terrain,pohj
79,Erde::N,terre,ma
80,Staub::N,poussière,pölü
81,Rauch::N,fumée,savu
82,Funke::N,étincelle,kibin
83,Feuer::N,feu,lämoi
84,Licht::N,lumière,vauktuz
85,Schatten::N,ombre,pil'vez
86,Schatten::N,ombre,kuvahaine
87,Wetter::N,temps,sä
88,Nebel::N,brume,sumeg
89,Nebel::N,brouillard,sumeg
90,Wolke::N,nuage,pil'v
91,Regen::N,pluie,vihm
92,Schnee::N,neige,lumi
93,Eis::N,glace,jä
94,Frost::N,gel,hala
95,Frost::N,gel,pakaine
96,Frost::N,gelée,hala
97,Frost::N,gelée,pakaine
98,Kälte::N,froid,vilu
99,Hitze::N,chaleur,räk
100,Raureif::N,givre,hüde
101,Regenbogen::N,arc-en-ciel,jumalanbembel'
102,Donner::N,tonnerre,juru
103,Donner::N,tonnerre,jumalanjuru
104,Strömung::N,courant,joksmuz
105,Tropfen::N,goutte,tilkuine
106,Schaum::N,écume,vaht
107,Schaum::N,mousse,vaht
108,Schmutz::N,boue,redu
109,Schmutz::N,boue,pačak
110,Schmutz::N,saleté,redu
111,Schmutz::N,saleté,pačak
112,See::N,lac,järv
113,Sumpf::N,marais,so
114,Sumpf::N,marécage,so
115,Moor::N,tourbière,so
116,Wiese::N,pré,nit
117,Wald::N,bois,mec
118,Wald::N,forêt,mec
119,Hügel::N,coteau,kukaz
120,Hügel::N,colline,kukaz
121,Anhöhe::N,éminence,kukaz
122,Anhöhe::N,élévation,kukaz
123,Berg::N,mont,mägi
124,Berg::N,montagne,mägi
125,Gipfel::N,cime,ladv
126,Gipfel::N,sommet,ladv
127,Höhle::N,caverne,mägionduz
128,Abhang::N,pente,paute
129,Abhang::N,versant,paute
130,Quelle::N,source,lähte
131,Quelle::N,fontaine,lähte
132,Bach::N,ruisseau,oja
133,Fluss::N,fleuve,jogi
134,Fluss::N,rivière,jogi
135,Ufer::N,bord,rand
