,Concept_ID,cv,tr
0,Auge::N,куҫ,göz
1,Ohr::N,хӑлха,kulak
2,Nase::N,сӑмса,burun
3,Mund::N,ҫӑвар,ağız
4,Zahn::N,шӑл,diş
5,Zunge::N,чӗлхе,dil
6,Lippe::N,тута,dudak
7,Wange::N,пит ҫӑмарти,yanak
8,Gesicht::N,пит,yüz
9,Gesicht::N,пит-куҫ,yüz
10,Stirn::N,ҫамка,alın
11,Haar::N,ҫӳҫ,saç
12,Schnurrbart::N,усси,bıyık
13,Bart::N,сухал,sakal
14,Kinn::N,янах,çene
15,Kiefer[Anatomie]::N,янах,çene
16,Kehle::N,пыр,boğaz
17,Kehle::N,карланкӑ,boğaz
18,Hals::N,пыр,boyun
19,Hals::N,пыр,gerdan
20,Genick::N,ӗнсе,ense
21,Kopf::N,пуҫ,baş
22,Kopf::N,пуҫ,kafa
23,Rücken::N,ҫурӑм,arka
24,Nabel::N,кӑвапа,göbek
25,Busen::N,кӑкӑр,koyun
26,Brust::N,умӗ,göğüs
27,Schulter::N,хул пуҫҫи,omuz
28,Arm::N,алӑ,kol
29,Ellenbogen::N,чавса,dirsek
30,Hand::N,алӑ сыппи,el
31,Handfläche::N,ал лаппи,avuç
32,Handfläche::N,ал лаппи,el ayası
33,Finger::N,пӳрне,parmak
34,Fingernagel::N,чӗрне,el tırnağı
35,Nagel[Anatomie]::N,чӗрне,tırnak
36,Zeh::N,пӳрне,ayak parmağı
37,Fuß::N,ура лаппи,ayak
38,Ferse::N,кӗле,topuk
39,Knie::N,чӗркуҫҫи,diz
40,Oberschenkel::N,пӗҫӗ,uyluk
41,Bein::N,ура,bacak
42,Körper::N,ӳт,vücut
43,Körper::N,ӳт-пӳ,vücut
44,Haut::N,тир,cilt
45,Blut::N,юн,kan
46,Ader::N,вена,damar
47,Sehne::N,шӑнӑр,kiriş
48,Knochen::N,шӑмӑ,kemik
49,Gehirn::N,миме,beyin
50,Herz::N,чӗре,kalp
51,Herz::N,чӗре,yürek
52,Magen::N,хырӑмлӑх,mide
53,Leber::N,пӗвер,karaciğer
54,Atem::N,сывлав,nefes
55,Hunger::N,выҫлӑх,açlık
56,Träne::N,куҫҫуль,gözyaşı
57,Geschmack::N,техӗм,tat
58,Geschmack::N,техӗм,lezzet
59,Geruch::N,шӑршӑ,koku
60,Schlaf::N,ыйхӑ,uyku
61,Traum::N,тӗлӗк,düş
62,Traum::N,тӗлӗк,rüya
63,Himmel::N,пӗлӗт,gök
64,Sonne::N,хӗвел,güneş
65,Mond::N,уйӑх,ay
66,Stern::N,ҫӑлтӑр,yıldız
67,Luft::N,сывлӑш,hava
68,Wind::N,ҫил,yel
69,Wind::N,ҫил,rüzgâr
70,Welle::N,хум,dalga
71,Wasser::N,шыв,su
72,Wasser::N,шыв-шур,su
73,Stein::N,чул,taş
74,Boden::N,тӑпра,yer
75,Boden::N,тӑпра,zemin
76,Erde::N,ҫӗр,toprak
77,Staub::N,тусан,toz
78,Rauch::N,тӗтӗм,duman
79,Funke::N,хӗм,kıvılcım
80,Feuer::N,вут,ateş
81,Feuer::N,ҫулӑм,ateş
82,Licht::N,ҫутӑ,ışık
83,Schatten::N,сулхӑн,gölge
84,Wetter::N,ҫанталӑк,hava
85,Nebel::N,тӗтре,pus
86,Wolke::N,пӗлӗт,bulut
87,Regen::N,ҫумӑр,yağmur
88,Schnee::N,юр,kar
89,Eis::N,пӑр,buz
90,Frost::N,сивӗ,don
91,Kälte::N,сивӗ,soğukluk
92,Hitze::N,вӗри,sıcaklık
93,Hitze::N,шӑрӑх,sıcaklık
94,Raureif::N,пас,kırç
95,Regenbogen::N,асамат кӗперӗ,gökkuşağı
96,Donner::N,аслати,gök gürlemesi
97,Strömung::N,юхӑ,akıntı
98,Strömung::N,юхӑ,cereyan
99,Tropfen::N,тумлам,damla
100,Schaum::N,кӑпӑк,köpük
101,Schmutz::N,пылчӑк,çamur
102,Schmutz::N,пылчӑк,pislik
103,See::N,кӳлӗ,göl
104,Sumpf::N,шур,batak
105,Sumpf::N,шурлӑх,batak
