,Concept_ID,da,lt
0,Auge::N,øje,akis
1,Ohr::N,øre,ausis
2,Nase::N,næse,nosis
3,Mund::N,mund,burna
4,Zahn::N,tand,dantis
5,Zunge::N,tunge,liežuvis
6,Lippe::N,læbe,lūpa
7,Wange::N,kind,žandas
8,Wange::N,kind,skruostas
9,Gesicht::N,ansigt,veidas
10,Stirn::N,pande,kakta
11,Haar::N,hår,plaukai
12,Schnurrbart::N,overskæg,ūsai
13,Bart::N,skæg,barzda
14,Kinn::N,hage,smakras
15,Kiefer[Anatomie]::N,kæbe,žandikaulis
16,Kehle::N,strube,gerklė
17,Hals::N,hals,kaklas
18,Genick::N,nakke,sprandas
19,Kopf::N,hoved,galva
20,Rücken::N,ryg,nugara
21,Bauch::N,mave,pilvas
22,Nabel::N,navle,bamba
23,Busen::N,barm,krūtinė
24,Brust::N,bryst,krūtis
25,Schulter::N,skulder,petys
26,Arm::N,arm,ranka
27,Ellenbogen::N,albue,alkūnė
28,Hand::N,hånd,ranka
29,Hand::N,hånd,plaštaka
30,Handfläche::N,håndflade,delnas
31,Handfläche::N,håndflade,plaštaka
32,Finger::N,finger,pirštas
33,Fingernagel::N,fingernegl,nagas
34,Nagel[Anatomie]::N,negl,nagas
35,Zeh::N,tå,pirštas
36,Fuß::N,fod,pėda
37,Ferse::N,hæl,kulnas
38,Knie::N,knæ,kelis
39,Oberschenkel::N,lår,kulšis
40,Oberschenkel::N,lår,šlaunis
41,Bein::N,ben,koja
42,Körper::N,krop,kūnas
43,Körper::N,legeme,kūnas
44,Haut::N,hud,oda
45,Blut::N,blod,kraujas
46,Ader::N,åre,kraujagyslė
47,Sehne::N,sene,sausgyslė
48,Knochen::N,ben,kaulas
49,Gehirn::N,hjerne,smegenys
50,Herz::N,hjerte,širdis
51,Magen::N,mave,skrandis
52,Leber::N,lever,kepenys
53,Atem::N,ånde,kvapas
54,Hunger::N,sult,badas
55,Hunger::N,sult,alkis
56,Träne::N,tåre,ašara
57,Geschmack::N,smag,skonis
58,Geruch::N,lugt,kvapas
59,Schlaf::N,søvn,miegas
60,Traum::N,drøm,sapnas
61,Himmel::N,himmel,dangus
62,Sonne::N,sol,saulė
63,Mond::N,måne,mėnulis
64,Stern::N,stjerne,žvaigždė
65,Luft::N,luft,oras
66,Wind::N,vind,vėjas
67,Welle::N,bølge,banga
68,Welle::N,bølge,vilnis
69,Wasser::N,vand,vanduo
70,Stein::N,sten,akmuo
71,Boden::N,jord,žemė
72,Boden::N,jord,dugnas
73,Erde::N,jord,žemė
74,Staub::N,støv,dulkės
75,Rauch::N,røg,dūmai
76,Funke::N,gnist,kibirkštis
77,Feuer::N,ild,ugnis
78,Licht::N,lys,šviesa
79,Schatten::N,skygge,paūksmė
80,Wetter::N,vejr,oras
81,Nebel::N,tåge,migla
82,Nebel::N,tåge,rūkas
83,Wolke::N,sky,debesis
84,Regen::N,regn,lietus
85,Schnee::N,sne,sniegas
86,Eis::N,is,ledas
87,Frost::N,frost,šalna
88,Kälte::N,kulde,šaltis
89,Hitze::N,hede,karštis
90,Raureif::N,rimfrost,šerkšnas
91,Regenbogen::N,regnbue,vaivorykštė
92,Donner::N,torden,perkūnas
93,Donner::N,torden,griaustinis
94,Strömung::N,strømning,tėkmė
95,Tropfen::N,dråbe,lašas
96,Schaum::N,skum,putos
97,Schmutz::N,snavs,purvas
98,See::N,sø,ežeras
99,Sumpf::N,sump,klampynė
100,Sumpf::N,sump,liūnas
101,Moor::N,mose,pelkė
102,Wiese::N,eng,pieva
103,Wald::N,skov,miškas
104,Hügel::N,høj,kalva
105,Hügel::N,bakke,kalva
106,Anhöhe::N,høj,kauburys
107,Anhöhe::N,bakke,kauburys
108,Berg::N,bjerg,kalnas
109,Gipfel::N,top,viršūnė
110,Höhle::N,hule,ola
111,Abhang::N,skrænt,šlaitas
112,Abhang::N,skrænt,nuokalnė
113,Abhang::N,skråning,šlaitas
114,Abhang::N,skråning,nuokalnė
115,Quelle::N,kilde,versmė
116,Quelle::N,kilde,šaltinis
117,Bach::N,bæk,upelis
118,Fluss::N,flod,upė
119,Ufer::N,bred,krantas
120,Küste::N,kyst,pajūris
121,Festland::N,fastland,sausuma
122,Meer::N,hav,jūra
123,Bucht::N,bugt,įlanka
124,Bucht::N,bugt,užutekis
125,Insel::N,ø,sala
126,Blume::N,blomst,gėlė
127,Gras::N,græs,žolė
128,Wurzel::N,rod,šaknis
129,Baum::N,træ,medis
130,Stamm::N,stamme,kamienas
131,Rinde::N,bark,žievė
132,Ast::N,gren,šaka
133,Zweig::N,kvist,šakelė
134,Blatt::N,blad,lapas
135,Birke::N,birk,beržas
136,Kiefer[Baum]::N,fyrretræ,pušis
137,Weide[Baum]::N,piletræ,karklas
138,Tanne::N,gran,eglė
139,Tanne::N,gran,kėnis
140,Horn::N,horn,ragas
141,Feder::N,fjer,plunksna
142,Fell::N,skind,kailis
143,Flügel::N,vinge,sparnas
144,Klaue::N,klov,kanopa
145,Kralle::N,klo,nagas
146,Schwanz::N,hale,uodega
147,Ei::N,æg,kiaušinis
148,Nest::N,rede,gūžta
149,Nest::N,rede,lizdas
150,Bau::N,bo,ola
151,Tier::N,dyr,gyvūnas
152,Herde::N,flok,banda
153,Herde::N,flok,kaimenė
154,Kuh::N,ko,karvė
155,Bulle::N,tyr,bulius
156,Pferd::N,hest,arklys
157,Schaf::N,får,avis
158,Schwein::N,gris,kiaulė
159,Hund::N,hund,šuo
160,Katze::N,kat,katė
161,Bär::N,bjørn,lokys
162,Eichhörnchen::N,egern,voveraitė
163,Elch::N,elg,briedis
164,Fuchs::N,ræv,lapė
165,Hase::N,hare,kiškas
166,Maus::N,mus,pelė
167,Wolf::N,ulv,vilkas
168,Vogel::N,fugl,paukštis
169,Schwarm::N,sværm,spiečius
170,Huhn::N,høne,višta
171,Hahn::N,hane,gaidys
172,Gans::N,gås,žąsis
173,Adler::N,ørn,erelis
174,Ente::N,and,antis
175,Eule::N,ugle,pelėda
176,Kranich::N,trane,gervė
177,Krähe::N,krage,varna
178,Kuckuck::N,gøg,gegužė
179,Schwan::N,svane,gulbė
180,Fisch::N,fisk,žuvis
181,Barsch::N,aborre,ešerys
182,Hecht::N,gedde,lydeka
183,Schlange[Tier]::N,slange,gyvatė
184,Wurm::N,orm,kirmėlė
185,Spinne::N,edderkop,voras
186,Ameise::N,myre,skruzdė
187,Laus::N,lus,utėlė
188,Mücke::N,myg,uodas
189,Fliege::N,flue,musė
190,Schmetterling::N,sommerfugl,drugys
191,Schmetterling::N,sommerfugl,peteliškė
192,Beere::N,bær,uoga
193,Apfel::N,æble,obuolys
194,Pilz::N,svamp,grybas
195,Zwiebel::N,løg,svogūnas
196,Saat::N,sæd,sėkla
197,Korn::N,korn,grūdai
198,Heu::N,hø,šienas
199,Schale::N,skræl,žievelė
200,Grube::N,grav,duobė
201,Falle::N,fælde,pinklės
202,Falle::N,fælde,žabangai
203,Schlinge::N,snare,kilpa
204,Spur::N,spor,vėžė
205,Spur::N,spor,pėdos
206,Spur::N,spor,pėdsakas
207,Asche::N,aske,pelenai
208,Dreck::N,snavs,purvas
209,Eisen::N,jern,geležis
210,Gold::N,guld,auksas
211,Silber::N,sølv,sidabras
212,Kohle::N,kul,anglis
213,Glas::N,glas,stiklas
214,Lehm::N,ler,molis
215,Sand::N,sand,smėlis
216,Mensch::N,mennesge,žmogus
217,Mann::N,mand,vyras
218,Mann::N,mand,vyriškis
219,Frau::N,kvinde,moteris
220,Kind::N,barn,vaikas
221,Junge::N,dreng,vaikinas
222,Junge::N,dreng,berniukas
223,Mädchen::N,pige,mergytė
224,Mädchen::N,pige,mergaitė
225,Familie::N,familie,šeima
226,Großvater::N,bedstefar,senelis
227,Großmutter::N,bedstemor,senelė
228,Eltern::N,forældre,tėvai
229,Vater::N,far,tėvas
230,Mutter::N,mor,motina
231,Sohn::N,søn,sūnus
232,Tochter::N,datter,duktė
233,Bruder::N,bror,brolis
234,Schwester::N,søster,sesuo
235,Onkel::N,onkel,dėdė
236,Tante::N,tante,teta
237,Ehemann::N,ægtemand,vyras
238,Ehefrau::N,hustru,žmona
239,Freude::N,glæde,džiaugsmas
240,Gelächter::N,latter,juokas
241,Glück::N,lykke,laimė
242,Kummer::N,sorg,vargas
243,Kummer::N,sorg,rūpestis
244,Wunsch::N,ønske,troškimas
245,Wunsch::N,ønske,pageidavimas
246,Lust::N,lyst,noras
247,Lust::N,lyst,geidulys
248,Geist::N,ånd,dvasia
249,Gedanke::N,tanke,mintis
250,Gedächtnis::N,hukommelse,atmintis
251,Verstand::N,forstand,protas
252,Sinn::N,mening,prasmė
253,Sinn::N,betydning,prasmė
254,Grund::N,grund,priežastis
255,Wahrheit::N,sandhed,tiesa
256,Wahrheit::N,sandhed,teisybė
257,Gespräch::N,samtale,pokalbis
258,Märchen::N,eventyr,pasaka
259,Erzählung::N,fortælling,apsakymas
260,Erzählung::N,fortælling,pasakojimas
261,Nachricht::N,efterretning,žinia
262,Neuigkeit::N,nyhed,naujiena
263,Name::N,navn,vardas
