,Concept_ID,la,fa
187,Vogel::N,avis,پرنده
188,Schwarm::N,examen,دسته
189,Huhn::N,gallina,مرغ
190,Hahn::N,gallus,خروس
191,Gans::N,anser,غاز
192,Adler::N,aquila,عقاب
193,Ente::N,anas,اردک
194,Ente::N,anas,مرغابی
195,Eule::N,ulula,جغد
196,Eule::N,noctua,جغد
197,Kranich::N,grus,درنا
198,Krähe::N,cornix,زاغ
199,Krähe::N,cornix,کلاغ
200,Kuckuck::N,cuculus,فاخته
201,Schwan::N,olor,قو
202,Schwan::N,cycnus,قو
203,Fisch::N,piscis,ماهی
204,Barsch::N,perca,ماهی خاردار
205,Hecht::N,esox,اردک ماهی
206,Schlange[Tier]::N,serpens,مار
207,Wurm::N,vermis,کرم
208,Spinne::N,aranea,عنکبوت
209,Ameise::N,formica,مورچه
210,Laus::N,pediculus,شپش
211,Mücke::N,culex,پشه
212,Fliege::N,musca,مگس
213,Schmetterling::N,papilio,پروانه
214,Beere::N,baca,گیله
215,Apfel::N,malum,سیب
216,Pilz::N,fungus,قارچ
217,Zwiebel::N,cepa,پیاز
218,Saat::N,seges,بذر
219,Korn::N,granum,تخم
220,Korn::N,granum,دانه
221,Heu::N,faenum,علف خشک
222,Schale::N,putamen,پوست
223,Grube::N,fovea,گودال
224,Falle::N,pedica,دام
225,Schlinge::N,laqueus,حلقه
226,Spur::N,vestigium,رد
227,Asche::N,cinis,خاکستر
228,Dreck::N,lutum,کثافت
229,Eisen::N,ferrum,آهن
230,Gold::N,aurum,زر
231,Gold::N,aurum,طلا
232,Silber::N,argentum,نقره
233,Kohle::N,carbo,زغال
234,Glas::N,vitrum,شیشه
235,Lehm::N,lutum,گل
236,Sand::N,arena,شن
237,Sand::N,arena,ماسه
238,Mensch::N,homo,آدم
239,Mensch::N,homo,انسان
240,Mann::N,vir,مرد
241,Frau::N,mulier,زن
242,Kind::N,puer,بچه
243,Kind::N,puer,کودک
244,Kind::N,infans,بچه
245,Kind::N,infans,کودک
246,Junge::N,puer,پسر
247,Mädchen::N,puella,دختر
248,Familie::N,familia,فامیل
249,Familie::N,familia,خانواده
250,Großvater::N,avus,پدربزرگ
251,Großmutter::N,avia,مادر‌بزرگ
252,Eltern::N,parentes,والدین
253,Eltern::N,parentes,پدر‌و‌مادر
254,Vater::N,pater,پدر
255,Mutter::N,mater,مادر
256,Sohn::N,filius,پسر
257,Tochter::N,filia,دختر
258,Bruder::N,frater,برادر
259,Schwester::N,soror,خواهر
260,Onkel::N,patruus,عمو
261,Onkel::N,patruus,دایی
262,Onkel::N,avunculus,عمو
263,Onkel::N,avunculus,دایی
264,Tante::N,amita,عمه
265,Tante::N,amita,خاله
266,Ehemann::N,maritus,همسر
267,Ehefrau::N,uxor,همسر
268,Freude::N,gaudium,شادی
269,Freude::N,laetitia,شادی
270,Gelächter::N,risus,خنده
271,Gelächter::N,risus,قاه‌قاه
272,Glück::N,felicitas,اقبال
273,Kummer::N,aegritudo,غم
274,Kummer::N,aegritudo,غصه
275,Wunsch::N,voluntas,آرزو
276,Wunsch::N,desiderium,آرزو
277,Lust::N,libido,هوس
278,Lust::N,voluptas,هوس
279,Geist::N,mens,روح
280,Geist::N,animus,روح
281,Gedanke::N,sententia,فکر
282,Gedächtnis::N,memoria,حافظه
283,Verstand::N,ratio,هوش
284,Verstand::N,ingenium,هوش
285,Sinn::N,sensus,معنا
286,Sinn::N,sensus,مفهوم
287,Grund::N,causa,سبب
288,Grund::N,causa,دلیل
289,Wahrheit::N,veritas,حقیقت
290,Gespräch::N,sermo,صحبت
291,Gespräch::N,sermo,گفتگو
292,Märchen::N,fabula,قصه
293,Märchen::N,fabula,افسانه
294,Erzählung::N,fabula,داستان
295,Erzählung::N,narratio,داستان
296,Nachricht::N,nuntius,خبر
297,Neuigkeit::N,novitas,خبر تازه
298,Name::N,nomen,اسم
299,Rätsel::N,aenigma,معما
300,Rede::N,oratio,سخن
301,Sprache::N,lingua,زبان
302,Stimme::N,vox,صدا
303,Wort::N,verbum,کلمه
304,Wort::N,vocabulum,کلمه
305,Zeichen::N,signum,نشان
306,Zeichen::N,signum,علامت
307,Ruf::N,clamor,صدا
308,Lärm::N,strepitus,هیاهو
309,Laut::N,sonus,صدا
310,Ton::N,sonus,آهنگ
311,Lied::N,carmen,آواز
312,Lied::N,carmen,ترانه
313,Ruhe::N,quies,آرامش
314,Leute::N,homines,مردم
315,Volk::N,populus,خلق
316,Arbeit::N,labor,کار
317,Gast::N,hospes,مهمان
318,Gast::N,conviva,مهمان
319,Geschenk::N,munus,هدیه
320,Spiel::N,ludus,بازی
321,Gesellschaft::N,societas,جمعیت
322,Hilfe::N,auxilium,کمک
323,Hilfe::N,subsidium,کمک
324,Freund::N,amicus,دوست
325,Kamerad::N,socius,رفیق
326,Angelegenheit::N,res,امر
327,Angelegenheit::N,res,قضیه
328,Anzahl::N,numerus,عده
329,Anzahl::N,numerus,شمار
330,Art::N,genus,نوع
331,Stück::N,frustum,تکه
332,Stück::N,frustum,قطعه
333,Stück::N,fragmentum,تکه
334,Stück::N,fragmentum,قطعه
335,Teil::N,pars,بخش
336,Teil::N,pars,قسمت
337,Hälfte::N,dimidium,نیم
338,Kreis::N,orbis,حلقه
339,Kreis::N,orbis,دایره
340,Kreis::N,circus,حلقه
341,Kreis::N,circus,دایره
342,Kreuz::N,crux,صلیب
343,Linie::N,linea,خط
344,Linie::N,linea,سطر
345,Strich::N,lineamentum,خط
346,Abstand::N,intervallum,فاصله
347,Entfernung::N,spatium,مسافت
348,Gegend::N,loca,منطقه
349,Gegend::N,regio,منطقه
350,Platz::N,locus,گنجایش
351,Ort::N,locus,جا
352,Ort::N,locus,محل
353,Ort::N,locus,مکان
354,Seite::N,latus,طرف
355,Mitte::N,medium,وسط
356,Mitte::N,medium,میان
357,Gegenstand::N,res,چیز
358,Sache::N,res,چیز
359,Rand::N,margo,کنار
360,Rand::N,margo,حاشیه
361,Kante::N,angulus,لبه
362,Ecke::N,angulus,گوشه
363,Spitze::N,cacumen,سر
364,Spitze::N,cacumen,نوک
365,Ende::N,caput,ته
366,Ende::N,caput,آخر
367,Loch::N,foramen,سوراخ
368,Winkel::N,angulus,کنج
369,Muster::N,exemplum,نقش
370,Größe::N,magnitudo,قد
371,Größe::N,magnitudo,بزرگی
372,Länge::N,longitudo,طول
373,Höhe::N,altitudo,بلندی
374,Gewicht::N,pondus,وزن
375,Menge::N,copia,مقدار
376,Menge::N,copia,اندازه
377,Haufen::N,acervus,توده
378,Reihe::N,ordo,ردیف
379,Boot::N,navicula,قایق
380,Ruder::N,remus,پارو
381,Schlitten::N,sclodia,سورتمه
382,Ski::N,narta,اسکی
383,Lagerfeuer::N,ignis,آتش
384,Last::N,onus,بار
385,Last::N,onus,سنگینی
386,Gang::N,cursus,راه رفتن
387,Schritt::N,gradus,قدم
388,Norden::N,septentriones,شمال
389,Süden::N,meridies,جنوب
390,Westen::N,occidens,غرب
391,Osten::N,oriens,شرق
392,Holz::N,lignum,چوب
393,Brett::N,tabula,تخته
394,Platte::N,lamina,صفحه
395,Stütze::N,adminiculum,تکیه
396,Stange::N,pertica,میله
397,Stock::N,baculum,چوب
398,Stab::N,scipio,عصا
399,Rohr::N,tubus,لوله
400,Haus::N,aedes,منزل
401,Heim::N,domicilium,خانه
402,Heim::N,domicilium,کاشانه
403,Ofen::N,fornax,بخاری
404,Fußboden::N,solum,کف اتاق
405,Tisch::N,mensa,میز
406,Stuhl::N,sella,صندلی
407,Wiege::N,cunae,گهواره
408,Bett::N,lectus,تختخواب
409,Regal::N,foruli,قفسه
410,Kiste::N,cista,صندوق
411,Fenster::N,fenestra,پنجره
412,Tür::N,ianua,در
413,Tür::N,ianua,درب
414,Tor::N,porta,دروازه
415,Zaun::N,saepes,حصار
416,Dach::N,tectum,بام
417,Leiter::N,scalae,نردبان
418,Besen::N,scopae,جارو
419,Spaten::N,pala,بیل
420,Schaufel::N,pala,بیل
421,Schaufel::N,pala,پارو
422,Gabel::N,fuscinula,چنگال
423,Löffel::N,coclear,قاشق
424,Messer::N,culter,کارد
425,Nagel::N,clavus,میخ
426,Netz::N,rete,تور
427,Netz::N,rete,شبکه
428,Haken::N,hamus,قلاب
429,Griff::N,manubrium,دسته
430,Schloss::N,claustra,قفل
431,Bild::N,tabula,عکس
432,Bild::N,tabula,تصویر
433,Bild::N,pictura,عکس
434,Bild::N,pictura,تصویر
435,Figur::N,statunculum,تندیس
436,Puppe::N,pupa,عروسک
437,Beutel::N,sacculus,کیسه
438,Bündel::N,fascis,بسته
439,Tasche::N,sacculus,کیف
440,Eimer::N,situla,سطل
441,Deckel::N,operculum,در
442,Geschirr::N,vasa,ظرف
443,Sack::N,saccus,گونی
444,Tasse::N,pocillum,فنجان
445,Topf::N,olla,دیگ
446,Topf::N,olla,قابلمه
447,Kessel::N,aenum,دیگ
448,Essen::N,cena,خوراک
449,Nahrung::N,cibus,غذا
450,Nahrung::N,alimenta,غذا
451,Speise::N,cibus,خوراک
452,Fleisch::N,caro,گوشت
453,Getreide::N,frumentum,غله
454,Brei::N,puls,فرنی
455,Brei::N,puls,حریره
456,Brot::N,panis,نان
457,Scheibe::N,frustum,قاچ
458,Scheibe::N,frustum,لزگه
459,Fett::N,pingue,چربی
460,Butter::N,butȳrum,کره
461,Öl::N,oleum,روغن
462,Salz::N,sal,نمک
463,Suppe::N,ius,آش
464,Suppe::N,ius,سوپ
465,Honig::N,mel,عسل
466,Milch::N,lac,شیر
467,Tee::N,thea,چای
468,Leder::N,corium,چرم
469,Wolle::N,lana,پشم
470,Stoff::N,textum,پارچه
471,Nadel::N,acus,سوزن
472,Faden::N,filum,نخ
473,Knopf::N,bulla,دکمه
474,Knoten::N,nodus,گره
475,Farbe::N,pigmentum,رنگ
476,Kleidung::N,vestimenta,لباس
477,Kleidung::N,vestimenta,پوشاک
478,Hemd::N,tunica,پیراهن
479,Kragen::N,collare,یقه
480,Ärmel::N,manica,آستین
481,Hose::N,bracae,شلوار
482,Gürtel::N,cingulum,کمر‌بند
483,Mütze::N,pilleus,کلاه
484,Schuh::N,calceus,کفش
485,Stiefel::N,pero,چکمه
486,Stiefel::N,caliga,چکمه
487,Ring::N,anulus,حلقه
488,Ring::N,anulus,انگشتر
489,Band::N,redimiculum,نوار
490,Band::N,redimiculum,روبان
491,Kamm::N,pecten,شانه
492,Spiegel::N,speculum,آینه
493,Riemen::N,lorum,تسمه
494,Schnur::N,linum,ریسمان
495,Leine::N,retinaculum,قلاده
496,Decke::N,lodix,پتو
497,Kissen::N,pulvinus,بالش
498,Tuch::N,velum,شال
499,Handtuch::N,mantele,حوله
500,Kraft::N,vis,نیرو
501,Stärke::N,robur,زور
502,Gesundheit::N,valetudo,سلامتی
503,Gesundheit::N,valetudo,تندرستی
504,Krankheit::N,morbus,بیماری
505,Schmerz::N,dolor,درد
506,Wunde::N,vulnus,زخم
507,Fieber::N,febris,تب
508,Arznei::N,remedium,دارو
509,Brücke::N,pons,پل
510,Brunnen::N,puteus,چاه
511,Weide::N,pascua,چراگاه
512,Pfad::N,semita,راه
513,Weg::N,iter,راه
514,Weg::N,iter,طریق
515,Straße::N,via,راه
516,Straße::N,via,جاده
517,Dorf::N,vicus,ده
518,Dorf::N,vicus,روستا
519,Stadt::N,urbs,شهر
520,Stadt::N,oppidum,شهر
521,Brief::N,epistula,نامه
522,Buch::N,liber,کتاب
523,Buchstabe::N,littera,حرف
524,Zeitung::N,diurnum,روزنامه
525,Leben::N,vita,عمر
526,Leben::N,vita,زندگی
527,Tod::N,mors,مرگ
528,Grab::N,sepulcrum,گور
529,Grab::N,sepulcrum,مزار
530,Kirche::N,ecclesia,کلیسا
531,Sünde::N,peccatum,بزه
532,Sünde::N,peccatum,گناه
533,Gott::N,deus,خدا
534,Arbeiter::N,operarius,کارگر
535,Chef::N,praefectus,رئیس
536,Meister::N,magister,استاد
537,Arzt::N,medicus,پزشک
538,Lehrer::N,magister,معلم
539,Lehrer::N,magister,آموزگار
540,Geld::N,aes,پول
541,Geld::N,pecunia,پول
542,Geschäft::N,negotium,کار
543,Geschäft::N,negotium,بیزنس
544,Laden::N,taberna,دکان
545,Laden::N,taberna,مغازه
546,Preis::N,pretium,بها
547,Preis::N,pretium,قیمت
548,Ware::N,merx,جنس
549,Ware::N,merx,کالا
550,Nutzen::N,utilitas,مزیت
551,Nutzen::N,utilitas,امتیاز
552,Reichtum::N,opes,مال
553,Reichtum::N,opes,ثروت
554,Reichtum::N,divitiae,مال
555,Reichtum::N,divitiae,ثروت
556,Welt::N,mundus,دنیا
557,Land::N,terra,کشور
558,Land::N,terra,مملکت
559,Staat::N,res publica,دولت
560,König::N,rex,شاه
561,König::N,rex,پادشاه
562,Macht::N,potestas,قدرت
563,Macht::N,potestas,اختیار
564,Grenze::N,limes,مرز
565,Krieg::N,bellum,جنگ
566,Feind::N,inimicus,دشمن
567,Gewalt::N,vis,زور
568,Gewalt::N,vis,خشونت
569,Kampf::N,pugna,نبرد
570,Kampf::N,pugna,مبارزه
571,Bogen[Waffe]::N,arcus,کمان
572,Pfeil::N,sagitta,تیر
573,Gewehr::N,sclopetum,تفنگ
574,Fehler::N,error,غلط
575,Fehler::N,error,اشتباه
576,Lüge::N,mendacium,دروغ
577,Schaden::N,damnum,آسیب
578,Schaden::N,damnum,خسارت
579,Schaden::N,detrimentum,آسیب
580,Schaden::N,detrimentum,خسارت
581,Unglück::N,miseria,بلا
582,Unglück::N,calamitas,بلا
583,Schuld::N,culpa,گناه
584,Schuld::N,culpa,تقصیر
585,Alter::N,aetas,سن
586,Alter::N,aetas,عمر
587,Schluss::N,finis,انتها
588,Zeit::N,tempus,وقت
589,Zeit::N,tempus,زمان
590,Tag::N,dies,روز
591,Morgen::N,mane,صبح
592,Mittag::N,meridies,ظهر
593,Abend::N,vesper,شب
594,Abend::N,vesper,عصر
595,Nacht::N,nox,شب
596,Woche::N,septimana,هفته
597,Monat::N,mensis,ماه
598,Jahr::N,annus,سال
599,Frühling::N,ver,بهار
600,Sommer::N,aestas,تابستان
601,Herbst::N,autumnus,پاییز
602,Winter::N,hiems,زمستان
603,Januar::N,Ianuarius,ژانویه
604,Februar::N,Februarius,فوریه
605,März::N,Martius,مارس
606,April::N,Aprilis,آوریل
607,Mai::N,Maius,مه
608,Juni::N,Iunius,ژوئن
609,Juli::N,Iulius,ژویه
610,August::N,Augustus,اوت
611,September::N,September,سپتامبر
612,Oktober::N,Octobris,اکتبر
613,November::N,Novembris,نوامبر
614,Dezember::N,December,دسامبر
615,Montag::N,dies lunae,دو‌شنبه
616,Dienstag::N,dies Martis ,سه‌شنبه
617,Mittwoch::N,dies Mercurii,چهار‌شنبه
618,Donnerstag::N,dies Iovis,پنج شنبه
619,Freitag::N,dies Veneris,جمعه
620,Samstag::N,dies Saturni,شنبه
621,Sonntag::N,dominicus,یکشنبه
622,Sonntag::N,dies solis,یکشنبه
623,groß::A,magnus,بزرگ
624,klein::A,parvus,کوچک
625,lang::A,longus,بلند
626,kurz::A,brevis,کوتاه
627,breit::A,latus,پهن
628,schmal::A,angustus,تنگ
629,schmal::A,angustus,نازک
630,dicht::A,densus,چگال
631,dicht::A,densus,انبوه
632,dick[Gegenstand]::A,crassus,ضخیم
633,dünn::A,tenuis,نازک
634,fein::A,subtilis,ریز
635,fein::A,subtilis,باریک
636,fest::A,solidus,محکم
637,fest::A,stabilis,محکم
638,flach::A,planus,صاف
639,flach::A,planus,مسطح
640,glatt::A,levis,لیز
641,hart::A,durus,سفت
642,weich::A,mollis,نرم
643,weich::A,mollis,ملایم
