,Concept_ID,tr,cs
0,Auge::N,göz,oko
1,Ohr::N,kulak,ucho
2,Nase::N,burun,nos
3,Mund::N,ağız,pusa
4,Zahn::N,diş,zub
5,Zunge::N,dil,jazyk
6,Lippe::N,dudak,ret
7,Wange::N,yanak,tvář
8,Gesicht::N,yüz,obličej
9,Stirn::N,alın,čelo
10,Haar::N,saç,vlas
11,Haar::N,saç,vlasy
12,Schnurrbart::N,bıyık,kníry
13,Bart::N,sakal,vousy
14,Kinn::N,çene,brada
15,Kiefer[Anatomie]::N,çene,čelist
16,Kehle::N,boğaz,hrdlo
17,Hals::N,boyun,krk
18,Hals::N,gerdan,krk
19,Genick::N,ense,týl
20,Kopf::N,baş,hlava
21,Kopf::N,kafa,hlava
22,Rücken::N,arka,záda
23,Rücken::N,arka,hřbet
24,Bauch::N,karın,břicho
25,Nabel::N,göbek,pupek
26,Busen::N,koyun,ňadra
27,Brust::N,göğüs,prsa
28,Schulter::N,omuz,plece
29,Schulter::N,omuz,rameno
30,Arm::N,kol,ruka
31,Ellenbogen::N,dirsek,loket
32,Hand::N,el,ruka
33,Handfläche::N,avuç,dlaň
34,Handfläche::N,el ayası,dlaň
35,Finger::N,parmak,prst
36,Fingernagel::N,el tırnağı,nehet
37,Nagel[Anatomie]::N,tırnak,nehet
38,Zeh::N,ayak parmağı,prst u nohy
39,Fuß::N,ayak,noha
40,Ferse::N,topuk,pata
41,Knie::N,diz,koleno
42,Oberschenkel::N,uyluk,stehno
43,Bein::N,bacak,noha
44,Körper::N,vücut,tělo
45,Haut::N,cilt,kůže
46,Blut::N,kan,krev
47,Ader::N,damar,céva
48,Sehne::N,kiriş,šlacha
49,Knochen::N,kemik,kost
50,Gehirn::N,beyin,mozek
51,Herz::N,kalp,srdce
52,Herz::N,yürek,srdce
53,Magen::N,mide,žaludek
54,Leber::N,karaciğer,játra
55,Atem::N,nefes,dech
56,Hunger::N,açlık,hlad
57,Träne::N,gözyaşı,slza
58,Geschmack::N,tat,vkus
59,Geschmack::N,lezzet,vkus
60,Geruch::N,koku,vůně
61,Geruch::N,koku,zápach
62,Schlaf::N,uyku,spánek
63,Traum::N,düş,sen
64,Traum::N,rüya,sen
65,Himmel::N,gök,nebe
66,Sonne::N,güneş,slunce
67,Mond::N,ay,měsíc
68,Stern::N,yıldız,hvězda
69,Luft::N,hava,vzduch
70,Wind::N,yel,vítr
71,Wind::N,rüzgâr,vítr
72,Welle::N,dalga,vlna
73,Wasser::N,su,voda
74,Stein::N,taş,kámen
75,Boden::N,yer,půda
76,Boden::N,zemin,půda
77,Erde::N,toprak,země
78,Staub::N,toz,prach
79,Rauch::N,duman,dým
80,Rauch::N,duman,kouř
81,Funke::N,kıvılcım,jiskra
82,Feuer::N,ateş,oheň
83,Licht::N,ışık,světlo
84,Schatten::N,gölge,stín
85,Wetter::N,hava,počasí
86,Nebel::N,pus,mlha
87,Wolke::N,bulut,mrak
88,Wolke::N,bulut,oblak
89,Regen::N,yağmur,déšť
90,Schnee::N,kar,sníh
91,Eis::N,buz,led
92,Frost::N,don,mráz
93,Kälte::N,soğukluk,chlad
94,Hitze::N,sıcaklık,horko
95,Raureif::N,kırç,jinovatka
96,Regenbogen::N,gökkuşağı,duha
97,Donner::N,gök gürlemesi,hrom
98,Strömung::N,akıntı,proudění
99,Strömung::N,cereyan,proudění
100,Tropfen::N,damla,kapka
101,Schaum::N,köpük,pěna
102,Schmutz::N,çamur,špína
103,Schmutz::N,pislik,špína
104,See::N,göl,jezero
105,Sumpf::N,batak,močál
106,Sumpf::N,batak,bažina
107,Moor::N,cılgıt,bažina
108,Moor::N,cılgıt,slatina
109,Wiese::N,çimen,louka
110,Wald::N,koru,les
111,Wald::N,orman,les
112,Hügel::N,tepe,kopec
113,Anhöhe::N,tümsek,pahorek
114,Anhöhe::N,yükseklik,pahorek
115,Berg::N,dağ,hora
116,Gipfel::N,zirve,vrchol
117,Höhle::N,in,jeskyně
118,Höhle::N,mağara,jeskyně
119,Abhang::N,bayır,svah
120,Abhang::N,bayır,stráň
121,Quelle::N,pınar,pramen
122,Quelle::N,kaynak,pramen
123,Bach::N,çay,potok
124,Bach::N,dere,potok
125,Fluss::N,nehir,řeka
126,Ufer::N,kıyı,břeh
127,Ufer::N,sahil,břeh
128,Küste::N,kıyı,pobřeží
129,Küste::N,sahil,pobřeží
130,Festland::N,kara,souš
131,Festland::N,kara,pevnina
132,Meer::N,deniz,moře
133,Bucht::N,koy,záliv
134,Bucht::N,koy,zátoka
135,Bucht::N,körfez,záliv
136,Bucht::N,körfez,zátoka
137,Insel::N,ada,ostrov
138,Blume::N,çiçek,květina
139,Gras::N,ot,tráva
140,Gras::N,çim,tráva
141,Wurzel::N,kök,kořen
142,Baum::N,ağaç,strom
143,Stamm::N,gövde,kmen
144,Rinde::N,kabuk,kůra
145,Ast::N,dal,větev
146,Ast::N,budak,větev
147,Zweig::N,dal,větev
148,Blatt::N,yaprak,lupen
149,Birke::N,huş,bříza
150,Kiefer[Baum]::N,çam,sosna
151,Kiefer[Baum]::N,çam,borovice
