,Concept_ID,lez,mhr
0,Auge::N,вил,шинча́
1,Ohr::N,яб,пы́лыш
2,Nase::N,нер,нер
3,Mund::N,сив,умша́
4,Zahn::N,сас,пӱй
5,Zahn::N,свах,пӱй
6,Zunge::N,мез,йы́лме
7,Lippe::N,пӏуз,тӱ́рвӧ
8,Wange::N,хъвехъ,шӱ́ргӧ
9,Gesicht::N,ччин,чури́й
10,Stirn::N,пел,саҥга́
11,Haar::N,чӏар,ӱп
12,Schnurrbart::N,спел,ӧ́рыш
13,Schnurrbart::N,спелар,ӧ́рыш
14,Bart::N,ччуру,понда́ш
15,Kinn::N,чене,оҥыла́ш
16,Kiefer[Anatomie]::N,чене,пӱйдӱ́ҥ
17,Kiefer[Anatomie]::N,чене,пӱйората́
18,Kehle::N,туьд,лога́р
19,Hals::N,гардан,шӱй
20,Genick::N,кьам,шӱйло́дыш
21,Kopf::N,кьил,вуй
22,Rücken::N,далу,туп
23,Bauch::N,руфун,мӱ́шкыр
24,Nabel::N,пицӏ,кы́лымде
25,Busen::N,мам,чы́зе
26,Brust::N,хур,оҥ
27,Schulter::N,къуьн,ва́че
28,Arm::N,гъил,кид
29,Ellenbogen::N,кьуьнт,кынерву́й
30,Hand::N,капаш,кид
31,Hand::N,капаш,копа́
32,Handfläche::N,капан юкь,со́во
33,Finger::N,тӏуб,парня́
34,Fingernagel::N,кек,кидкӱ́ч
35,Fingernagel::N,кек,парнягӱ́ч
36,Nagel[Anatomie]::N,кек,кӱч
37,Zeh::N,кул,йолварня́
38,Fuß::N,кӏвач,йол
39,Fuß::N,кӏвач,йолкопа́
40,Ferse::N,дабан,тага́н
41,Knie::N,мет,пулву́й
42,Bein::N,кӏвач,йол
43,Körper::N,беден,кап
44,Haut::N,хам,кова́ште
45,Blut::N,иви,вӱр
46,Ader::N,дамар,шӧн
47,Sehne::N,кьуру дамар,шӧн
48,Sehne::N,кьуру дамар,кӱсе́н
49,Knochen::N,кӏараб,лу
50,Gehirn::N,мефт,вем
51,Gehirn::N,мефт,вуйве́м
52,Herz::N,рикӏ,шӱм
53,Magen::N,хук,пага́р
54,Leber::N,лекь,мокш
55,Atem::N,ял,шӱ́лыш
56,Atem::N,нефес,шӱ́лыш
57,Hunger::N,каш,шужыма́ш
58,Träne::N,вилин нагъв,шинчавӱ́д
59,Geschmack::N,дад,там
60,Geschmack::N,тӏям,там
61,Geruch::N,ни,пуш
62,Schlaf::N,ахвар,о́мо
63,Traum::N,ахвар,йӱдо́мо
64,Himmel::N,цав,кава́
65,Sonne::N,рагъ,ке́че
66,Mond::N,варз,ты́лзе
67,Stern::N,гъед,шӱ́дыр
68,Luft::N,гьава,юж
69,Wind::N,гар,марде́ж
70,Welle::N,лепе,то́лкын
71,Wasser::N,яд,вӱд
72,Stein::N,къван,кӱ
73,Boden::N,накьв,рок
74,Erde::N,ччил,мла́нде
75,Staub::N,руг,пура́к
76,Rauch::N,гум,шикш
77,Funke::N,цӏелхем,сеске́м
78,Funke::N,цӏелхем,тулйы́п
79,Feuer::N,цӏай,тул
80,Licht::N,экв,со́то
81,Schatten::N,серин,ӱ́мыл
82,Wetter::N,гьава,иге́че
83,Nebel::N,ччилин циф,тӱтыра́
84,Wolke::N,циф,пыл
85,Regen::N,марф,йӱр
86,Schnee::N,жив,лум
87,Eis::N,мурк,ий
88,Frost::N,аяз,чатлама́
89,Kälte::N,мекь,йӱ́штӧ
90,Kälte::N,мекьивал,йӱ́штӧ
91,Hitze::N,зегьем,шо́кшо
92,Raureif::N,къирав,пӧрш
93,Raureif::N,къирав,по́кшым
94,Regenbogen::N,яргъируш,шонанпы́л
95,Donner::N,цавун ван,кӱ́дырчӧ
96,Tropfen::N,стӏал,чӱча́лтыш
97,Schaum::N,каф,шоҥ
98,Schmutz::N,чирк,лавыра́
99,Schmutz::N,кьуруш,лавыра́
100,See::N,вир,ер
101,Sumpf::N,уьлен,лӱ́кӧ
102,Wiese::N,векь,о́лык
103,Wald::N,там,чодыра́
104,Hügel::N,кӏунтӏ,арка́
105,Anhöhe::N,тепе,тӧва́
106,Anhöhe::N,тепе,кӱкшака́
107,Anhöhe::N,гьуьндуьрвал,тӧва́
108,Anhöhe::N,гьуьндуьрвал,кӱкшака́
109,Berg::N,дагъ,ку́рык
110,Gipfel::N,кӏукӏ,чаҥга́
111,Gipfel::N,кӏукӏ,курыкву́й
112,Höhle::N,кьветӏ,пеще́р
113,Höhle::N,кьветӏ,курыкпо́мыш
114,Abhang::N,гуьне,та́йыл
115,Quelle::N,чешме,важ
116,Quelle::N,чешме,вӱдшинча́
117,Bach::N,булах,изэҥе́р
118,Fluss::N,вацӏ,эҥе́р
119,Ufer::N,къерех,сер
120,Küste::N,къерех,вӱдтӱ́р
121,Festland::N,кьурамат,мла́нде
122,Meer::N,гьуьл,те́ҥыз
123,Bucht::N,бухта,икса́
124,Insel::N,остров,отро́
125,Blume::N,цуьк,пеле́дыш
126,Gras::N,хъач,шу́до
127,Wurzel::N,дувул,вож
128,Baum::N,ттар,пуше́ҥге
129,Stamm::N,тан,йы́тыр
130,Rinde::N,чкал,шӱм
131,Ast::N,тӏур,укш
132,Zweig::N,хел,торма́к
133,Blatt::N,пеш,лышта́ш
134,Birke::N,верх,куэ́
135,Kiefer[Baum]::N,шамагъаж,пӱ́нчӧ
136,Weide[Baum]::N,цӏвелин ттар,уа́
137,Tanne::N,ель,кож
138,Horn::N,карч,шур
139,Feder::N,цӏакул,пы́стыл
140,Fell::N,хам,кова́ште
141,Flügel::N,лув,шу́лдыр
142,Klaue::N,къармах,кӱч
143,Kralle::N,пац,ла́па
144,Kralle::N,пац,копа́
145,Kralle::N,тапас,ла́па
146,Kralle::N,тапас,копа́
147,Schwanz::N,ттум,поч
148,Ei::N,кака,му́но
149,Nest::N,муг,пыжа́ш
150,Bau::N,тӏеквен,пыжа́ш
151,Tier::N,гьайван,я́нлык
152,Tier::N,гьайван,живо́тный
153,Herde::N,суьруь,кӱ́тӱ
154,Herde::N,суьруь,тӱшка́
155,Kuh::N,ккал,ушка́л
156,Bulle::N,яц,ӱ́шкыж
157,Bulle::N,бугъа,ӱ́шкыж
158,Pferd::N,балкӏан,и́мне
159,Schaf::N,хеб,шо́рык
160,Schwein::N,вак,сӧсна́
161,Hund::N,кицӏ,пий
162,Katze::N,кац,пы́рыс
163,Bär::N,сев,маска́
164,Eichhörnchen::N,белка,ур
165,Elch::N,лось,шо́рдо
166,Fuchs::N,сикӏ,ры́выж
167,Hase::N,къуьр,мера́ҥ
168,Maus::N,кьиф,коля́
169,Wolf::N,жанавур,пи́ре
170,Vogel::N,луван ничхир,ка́йык
171,Schwarm::N,луж,каша́к
172,Huhn::N,верч,чы́ве
173,Hahn::N,кӏек,агыта́н
174,Gans::N,къаз,ко́мбо
175,Adler::N,лекь,карагу́ш
176,Ente::N,пӏатӏ,лу́до
177,Eule::N,тӏиб,тумна́
178,Kranich::N,дурна,турня́
179,Krähe::N,къаргъа,кора́к
180,Kuckuck::N,кукупӏ,куку́
181,Schwan::N,къугь,йӱ́ксӧ
182,Fisch::N,гъед,кол
183,Barsch::N,окунь,ола́ҥге
184,Hecht::N,щука,нуж
185,Hecht::N,щука,чорта́н
186,Schlange[Tier]::N,илан,ки́шке
187,Schlange[Tier]::N,гъуьлягъ,ки́шке
188,Wurm::N,квак,шукш
189,Spinne::N,хуьшрекан,эҥыре́мыш
190,Ameise::N,цегв,ку́тко
191,Laus::N,нет,тий
192,Mücke::N,ветӏ,шыҥа́
193,Fliege::N,тӏветӏ,ка́рме
194,Schmetterling::N,чепелукь,лы́ве
195,Beere::N,куьлуь емиш,мӧр
196,Apfel::N,ич,олма́
197,Pilz::N,къарникъуз,по́ҥго
198,Zwiebel::N,чичӏек,шога́н
199,Saat::N,тумар,нӧ́шмӧ
200,Saat::N,тумар,туш
201,Korn::N,твар,шу́рно
202,Heu::N,векь,шу́до
203,Heu::N,векьер,шу́до
204,Schale::N,пириш,шӱм
205,Schale::N,хъуьруьш,шӱм
206,Grube::N,фур,выне́м
207,Falle::N,ракьар,лӧ́дӧ
208,Schlinge::N,гьалкъа,о́птыш
209,Schlinge::N,гьалкъа,шӧрга́лтыш
210,Spur::N,гел,кыша́
211,Asche::N,руьхъ,ло́мыж
212,Dreck::N,чирк,лавыра́
213,Dreck::N,кьуруш,лавыра́
214,Eisen::N,ракь,кӱ́ртньӧ
215,Gold::N,алтун,шӧ́ртньӧ
216,Silber::N,гимиш,ший
217,Kohle::N,цӏивин,мландышӱ́й
218,Glas::N,шуьше,янда́
219,Lehm::N,ччеб,шун
220,Sand::N,къум,ошма́
221,Mensch::N,инсан,еҥ
222,Mensch::N,инсан,айде́ме
223,Mann::N,итим,пӧръе́ҥ
224,Frau::N,паб,ӱдырама́ш
225,Frau::N,дишегьли,ӱдырама́ш
226,Kind::N,аял,аза́
227,Junge::N,гада,рве́зе
228,Mädchen::N,руш,ӱдыра́ш
229,Familie::N,хзан,еш
230,Familie::N,килфет,еш
231,Großvater::N,чӏехи буба,коча́
232,Großmutter::N,чӏехи диде,кова́
233,Eltern::N,диде-буба,ача́-ава́
234,Vater::N,буба,ача́
235,Mutter::N,диде,ава́
236,Sohn::N,хва,э́рге
237,Tochter::N,руш,ӱ́дыр
238,Bruder::N,стха,иза́
239,Bruder::N,стха,шо́льо
240,Schwester::N,вах,ака́
241,Onkel::N,ими,иза́
242,Onkel::N,халу,иза́
243,Tante::N,эме,кока́
244,Tante::N,хала,кока́
245,Ehemann::N,гъуьл,мари́й
246,Ehefrau::N,паб,ва́те
247,Freude::N,шадвал,куа́н
248,Freude::N,шадвал,куаныма́ш
249,Gelächter::N,хъвер,во́штылтыш
250,Glück::N,бахт,пиа́л
251,Kummer::N,дерт,о́йго
252,Kummer::N,хажалат,о́йго
253,Wunsch::N,мурад,ку́мыл
254,Lust::N,гьевес,ку́мыл
255,Geist::N,руьгь,ӧрт
256,Geist::N,руьгь,чон
257,Gedanke::N,фикир,ой
258,Gedanke::N,фикир,шоныма́ш
259,Verstand::N,акьул,уш
260,Sinn::N,мана,смысл
261,Grund::N,себеб,ама́л
262,Wahrheit::N,керчек,чын
263,Wahrheit::N,гьакъикъат,чын
264,Gespräch::N,ихтилат,мутланыма́ш
265,Märchen::N,мах,йома́к
266,Erzählung::N,кьиса,ойлыма́ш
267,Nachricht::N,хабар,увертарыма́ш
268,Neuigkeit::N,цӏийи хабар,уве́р
269,Name::N,тӏвар,лӱм
270,Rätsel::N,мискӏал,ту́што
271,Rede::N,рахун,ойлыма́ш
272,Sprache::N,чӏал,йы́лме
273,Stimme::N,ван,йӱк
274,Wort::N,гаф,ой
275,Wort::N,гаф,мут
276,Zeichen::N,ишара,ти́ште
277,Zeichen::N,ишара,знак
278,Ruf::N,эвер,ӱжма́ш
279,Lärm::N,ван-сес,лӱшкыма́ш
280,Lärm::N,ван-сес,йӱк-йӱа́н
281,Laut::N,ван,йӱк
282,Laut::N,сес,йӱк
283,Ton::N,ван-сес,йӱксе́м
284,Lied::N,мани,му́ро
285,Ruhe::N,ласвал,ты́мык
286,Ruhe::N,фаракъат,ты́мык
287,Ruhe::N,асайиш,ты́мык
288,Leute::N,инсанар,еҥ-влак
289,Volk::N,халкь,ка́лык
290,Arbeit::N,кӏвалах,паша́
291,Gast::N,мугьман,уна́
292,Geschenk::N,савкьат,пӧле́к
293,Spiel::N,къугъун,мо́дыш
294,Spiel::N,къугъун,модма́ш
295,Gesellschaft::N,жемят,тӱшка́
296,Gesellschaft::N,общество,тӱшка́
297,Hilfe::N,куьмек,по́лыш
298,Freund::N,дуст,таҥ
299,Freund::N,дуст,йолта́ш
300,Kamerad::N,яр-дуст,таҥ
301,Angelegenheit::N,кар,паша́
302,Anzahl::N,сан,чот
303,Anzahl::N,кьадар,чот
304,Art::N,жуьре,вид
305,Stück::N,кӏус,ка́тыш
306,Stück::N,кӏус,ла́стык
307,Teil::N,пай,ужа́ш
308,Hälfte::N,зур,пел
309,Hälfte::N,зур,пе́ле
310,Hälfte::N,зур пай,пел
