,Concept_ID,ga,ku
0,Auge::N,súil,çav
1,Ohr::N,cluas,guh
2,Nase::N,soc,bêvil
3,Mund::N,béal,dev
4,Zahn::N,fiacail,didan
5,Zunge::N,teanga,ziman
6,Lippe::N,liopa,lêv
7,Wange::N,grua,dêm
8,Wange::N,grua,hinarik
9,Wange::N,leiceann,dêm
10,Wange::N,leiceann,hinarik
11,Gesicht::N,éadan,rû
12,Gesicht::N,aghaidh,rû
13,Stirn::N,baithis,enî
14,Stirn::N,clár éadain,enî
15,Haar::N,gruaig,por
16,Schnurrbart::N,croiméal,simbêl
17,Bart::N,féasóg,rih
18,Kinn::N,smig,zenî
19,Kiefer[Anatomie]::N,giall,arguşk
20,Kehle::N,scornach,qirik
21,Hals::N,muinéal,stû
22,Hals::N,muinéal,qirik
23,Genick::N,baic,stû
24,Kopf::N,ceann,serî
25,Rücken::N,droim,pişt
26,Bauch::N,bolg,ûr
27,Bauch::N,bolg,zik
28,Nabel::N,imleacán,navik
29,Busen::N,cíoch,sîng
30,Brust::N,brollach,sîng
31,Schulter::N,gualainn,mil
32,Arm::N,lámh,çepil
33,Ellenbogen::N,uillinn,enîşk
34,Hand::N,lámh,dest
35,Handfläche::N,bos,kefadest
36,Finger::N,méar,tilî
37,Fingernagel::N,ionga,neynuk
38,Nagel[Anatomie]::N,ionga,bizmar
39,Zeh::N,ladhar,tilî linga
40,Fuß::N,cos,ling
41,Fuß::N,troigh,ling
42,Ferse::N,sáil,pahnî
43,Knie::N,glúin,kabok
44,Oberschenkel::N,ceathrú,rahn
45,Bein::N,cos,çip
46,Körper::N,corp,laş
47,Körper::N,corp,gowde
48,Körper::N,colainn,laş
49,Körper::N,colainn,gowde
50,Haut::N,cneas,çerm
51,Haut::N,craiceann,çerm
52,Blut::N,fuil,xwîn
53,Sehne::N,teannán,reh
54,Sehne::N,féitheog,reh
55,Knochen::N,cnámh,hestî
56,Gehirn::N,inchinn,mêjî
57,Herz::N,croí,dil
58,Magen::N,bolg,navêş
59,Magen::N,goile,navêş
60,Leber::N,ae,kezeb
61,Atem::N,anáil,hilm
62,Hunger::N,ocras,birçîtî
63,Träne::N,deoir,hêstir
64,Geschmack::N,blas,tam
65,Geruch::N,boladh,bêhn
66,Schlaf::N,suan,xew
67,Schlaf::N,codladh,xew
68,Traum::N,taibhreamh,xewn
69,Himmel::N,spéir,ezman
70,Sonne::N,grian,roj
71,Mond::N,ré,heyv
72,Mond::N,gealach,heyv
73,Stern::N,rinn,stêrk
74,Stern::N,réalta,stêrk
75,Luft::N,aer,ba
76,Wind::N,gaoth,ba
77,Welle::N,tonn,şewl
78,Wasser::N,uisce,av
79,Stein::N,cloch,kevir
80,Boden::N,talamh,herd
