,Concept_ID,mdf,ab
0,Auge::N,сельме,ала
1,Ohr::N,пиле,алымҳа
2,Nase::N,шалхка,аҧынҵа
3,Mund::N,курга,аҧышə
4,Zahn::N,пей,ахаҧыц
5,Zunge::N,кяль,абз
6,Lippe::N,търва́,ақьышə
7,Wange::N,щёка,аӡамҩа
8,Gesicht::N,шама,аҿы
9,Stirn::N,коня,алахь
10,Haar::N,шя́ярь,ахəыц
11,Schnurrbart::N,уса́,аҧаҵа
12,Bart::N,сакал,ажакьа
13,Kinn::N,ула,ацламкəыгə
14,Kiefer[Anatomie]::N,саласка,ацламҳəа
15,Kehle::N,кълдома,ахəда
16,Kehle::N,кърга́парь,ахəда
17,Hals::N,сялдаз,ахəда
18,Genick::N,шовонь,ахəдаџьал
19,Kopf::N,пря,ахы
20,Rücken::N,копорь,азқəа
21,Bauch::N,пеке,амгəа
22,Nabel::N,по́кон,аҷапан
23,Busen::N,потя,агəыҧҳəы
24,Brust::N,мяште,агəышҧы
25,Schulter::N,лафту,ажəҩахыр
26,Arm::N,кядь,амахəар
27,Ellenbogen::N,кенерьба́карь,амашьхəылҵ
28,Hand::N,кядь,анапы
29,Handfläche::N,кядьлапш,анапсаргəыҵа
30,Finger::N,сур,анацəа
31,Fingernagel::N,кенже,анапхыц
32,Nagel[Anatomie]::N,кенже,ашьапхыц
33,Zeh::N,пильгосу́р,ашьацəа
34,Fuß::N,пильге,ашьапсыргəыҵа
35,Fuß::N,пильгелапа,ашьапсыргəыҵа
36,Ferse::N,кочкяря,ашьхəа
37,Knie::N,эль,ашьамхы
38,Knie::N,пълма́нжа,ашьамхы
39,Oberschenkel::N,пильгепукша,ауаҭəа
40,Bein::N,пильге,ашьапы
41,Körper::N,ро́нга,ацəеижь
42,Körper::N,по́нда,ацəеижь
43,Haut::N,киське,ацəа
44,Blut::N,вер,ашьа
45,Ader::N,сан,ада
46,Ader::N,верза́н,ада
47,Sehne::N,коське сан,адаш
48,Knochen::N,пакарь,абаҩ
49,Gehirn::N,уй,ахшлыбаҩ
50,Gehirn::N,уй,ахшыбаҩ
51,Herz::N,седи,агəы
52,Magen::N,коткърдазь,аца
53,Magen::N,коткърдазь,ацар
54,Leber::N,макса,агəаҵəа
55,Atem::N,лекома,аҧсыҧлагаҩгара
56,Atem::N,ваймонь тарксема,аҧсыҧлагаҩгара
57,Hunger::N,вачеши,амла
58,Träne::N,сельмове́дь,алабжыш
59,Geschmack::N,таньф,агьама
60,Geruch::N,шине,афҩы
61,Schlaf::N,удома́,ацəа
62,Traum::N,он,аҧхыӡ
63,Himmel::N,менель,ажəҩан
64,Sonne::N,ши,амра
65,Mond::N,ков,амза
66,Stern::N,тяште,аеҵəа
67,Luft::N,кожф,аҳаир
68,Wind::N,варма,аҧша
69,Welle::N,тавла,ацəқəырҧа
70,Wasser::N,ведь,аӡы
71,Stein::N,кев,ахаҳə
72,Boden::N,мода,адгьыл
73,Boden::N,потмакс,адгьыл
74,Erde::N,мода,адгьыл
75,Erde::N,мастор,адгьыл
76,Staub::N,пуль,асаба
77,Rauch::N,качам,алҩа
78,Funke::N,ця́тка,акəиц
79,Funke::N,ця́тка,ацҧхь
80,Feuer::N,тол,амца
81,Licht::N,ва́лда,алашара
82,Schatten::N,цильф,ашəшьыра
83,Wetter::N,уша,амш
84,Nebel::N,тума́н,анаҟəа
85,Wolke::N,ковол,аҧсҭҳəа
86,Regen::N,пизем,ақəа
87,Schnee::N,лов,асы
88,Eis::N,эй,аҵаа
89,Frost::N,ке́льме,аҵаа
90,Kälte::N,якшама,ахьҭа
91,Hitze::N,пси,ашоура
92,Raureif::N,леш,аҵааҧшқа
93,Regenbogen::N,а́тямъёнга,ацəаҟəа
94,Donner::N,атям,адыд
95,Strömung::N,шудема́,аиасра
96,Strömung::N,шудема́,амҩасра
97,Tropfen::N,путькс,ацəыкəбар
98,Tropfen::N,пътняфкс,ацəыкəбар
99,Schaum::N,шов,ашəах
100,Schmutz::N,ърда́з,алымт
101,See::N,эрьхке,аӡиа
102,Sumpf::N,шяй,аӡмах
103,Moor::N,шяй,
104,Wiese::N,луга,адəы
105,Wald::N,вирь,абна
106,Hügel::N,губо́р,ахəы
107,Hügel::N,пандоня,ахəы
108,Anhöhe::N,губо́р,аҳаракыра
109,Berg::N,панда,ашьха
110,Gipfel::N,пря,ацəқəа
111,Höhle::N,у́нда,аҳаҧы
112,Abhang::N,па́нда ша́ма,анаара
113,Quelle::N,эшиня,аҵҵырҭа
114,Bach::N,шудерькс,акəараҷҷа
115,Fluss::N,ляй,аӡиас
116,Ufer::N,търва́,ахықə
117,Küste::N,ляйтърва́,ахықə
118,Festland::N,мода,абарра
119,Meer::N,моря,амшын
120,Bucht::N,ведьуське,аӡбжьахала
121,Insel::N,цёнга,адгьылбжьаха
122,Blume::N,панчф,ашəҭ
123,Gras::N,тише,аҳасакьын
124,Wurzel::N,юр,адац
