,Concept_ID,ab,hy
0,Auge::N,ала,աչք
1,Ohr::N,алымҳа,ականջ
2,Nase::N,аҧынҵа,քիթ
3,Mund::N,аҧышə,բերան
4,Zahn::N,ахаҧыц,ատամ
5,Zunge::N,абз,լեզու
6,Lippe::N,ақьышə,շրթունք
7,Wange::N,аӡамҩа,այտ
8,Wange::N,аӡамҩа,թուշ
9,Gesicht::N,аҿы,դեմք
10,Stirn::N,алахь,ճակատ
11,Haar::N,ахəыц,մազ
12,Schnurrbart::N,аҧаҵа,բեղ
13,Bart::N,ажакьа,մորուք
14,Kinn::N,ацламкəыгə,կզակ
15,Kiefer[Anatomie]::N,ацламҳəа,ծնոտ
16,Kehle::N,ахəда,կոկորդ
17,Hals::N,ахəда,վիզ
18,Hals::N,ахəда,պարանոց
19,Genick::N,ахəдаџьал,ծոծրակ
20,Kopf::N,ахы,գլուխ
21,Rücken::N,азқəа,մեջք
22,Bauch::N,амгəа,փոր
23,Bauch::N,амгəа,որովայն
24,Nabel::N,аҷапан,պորտ
25,Busen::N,агəыҧҳəы,ծոց
26,Brust::N,агəышҧы,կուրծք
27,Schulter::N,ажəҩахыр,ուս
28,Arm::N,амахəар,թեւ
29,Arm::N,амахəар,բազուկ
30,Ellenbogen::N,амашьхəылҵ,արմունկ
31,Hand::N,анапы,ձեռք
32,Handfläche::N,анапсаргəыҵа,ափ
33,Finger::N,анацəа,մատ
34,Fingernagel::N,анапхыц,եղունգ
35,Nagel[Anatomie]::N,ашьапхыц,եղունգ
36,Zeh::N,ашьацəа,ոտքի մատ
37,Fuß::N,ашьапсыргəыҵа,ոտք
38,Ferse::N,ашьхəа,գարշապար
39,Knie::N,ашьамхы,ծունկ
40,Oberschenkel::N,ауаҭəа,ազդր
41,Bein::N,ашьапы,ոտք
42,Körper::N,ацəеижь,մարմին
43,Haut::N,ацəа,մաշկ
44,Blut::N,ашьа,արյուն
45,Ader::N,ада,երակ
46,Sehne::N,адаш,ջիղ
47,Sehne::N,адаш,ձգտան
48,Knochen::N,абаҩ,ոսկոր
49,Gehirn::N,ахшлыбаҩ,խելք
50,Gehirn::N,ахшыбаҩ,խելք
51,Herz::N,агəы,սիրտ
52,Magen::N,аца,ստամոքս
53,Magen::N,ацар,ստամոքս
54,Leber::N,агəаҵəа,լյարդ
55,Atem::N,аҧсыҧлагаҩгара,շունչ
56,Hunger::N,амла,քաղց
57,Träne::N,алабжыш,արտասուք
58,Geschmack::N,агьама,համ
59,Geschmack::N,агьама,բուրմունք
60,Geruch::N,афҩы,հոտ
61,Geruch::N,афҩы,բուրում
62,Schlaf::N,ацəа,քուն
63,Traum::N,аҧхыӡ,երազ
64,Himmel::N,ажəҩан,երկինք
65,Sonne::N,амра,արեւ
66,Mond::N,амза,լուսին
67,Stern::N,аеҵəа,աստղ
68,Luft::N,аҳаир,օդ
69,Wind::N,аҧша,քամի
70,Welle::N,ацəқəырҧа,ալիք
71,Wasser::N,аӡы,ջուր
72,Stein::N,ахаҳə,քար
73,Boden::N,адгьыл,գետին
74,Erde::N,адгьыл,հող
75,Staub::N,асаба,փոշի
76,Rauch::N,алҩа,ծուխ
77,Funke::N,акəиц,կայծ
78,Funke::N,ацҧхь,կայծ
79,Feuer::N,амца,կրակ
80,Feuer::N,амца,հրդեհ
81,Licht::N,алашара,լույս
82,Schatten::N,ашəшьыра,ստվեր
83,Wetter::N,амш,եղանակ
84,Nebel::N,анаҟəа,մեգ
85,Nebel::N,анаҟəа,մառախուղ
86,Wolke::N,аҧсҭҳəа,ամպ
87,Regen::N,ақəа,անձրև
88,Schnee::N,асы,ձյուն
89,Eis::N,аҵаа,սառույց
90,Frost::N,аҵаа,սառնամանիք
91,Kälte::N,ахьҭа,դող
92,Hitze::N,ашоура,շոգ
93,Raureif::N,аҵааҧшқа,ցօղեղեամ
94,Regenbogen::N,ацəаҟəа,ծիածան
95,Donner::N,адыд,որոտ
96,Strömung::N,аиасра,հոսանք
97,Strömung::N,амҩасра,հոսանք
98,Tropfen::N,ацəыкəбар,կաթիլ
99,Schaum::N,ашəах,փրփուր
100,Schmutz::N,алымт,կեղտ
101,See::N,аӡиа,լիճ
102,Sumpf::N,аӡмах,ճահիճ
103,Wiese::N,адəы,մարգագետին
104,Wald::N,абна,անտառ
105,Hügel::N,ахəы,բլուր
106,Anhöhe::N,аҳаракыра,բարձունք
107,Berg::N,ашьха,լեռ
108,Gipfel::N,ацəқəа,գագաթ
109,Gipfel::N,ацəқəа,կատար
110,Höhle::N,аҳаҧы,քարայր
111,Abhang::N,анаара,լանջ
112,Abhang::N,анаара,զառիվայր
113,Quelle::N,аҵҵырҭа,աղբյուր
114,Bach::N,акəараҷҷа,վտակ
115,Fluss::N,аӡиас,գետ
116,Ufer::N,ахықə,ծովափ
117,Küste::N,ахықə,ափ
118,Küste::N,ахықə,ծովափ
119,Festland::N,абарра,ցամաք
120,Meer::N,амшын,ծով
121,Bucht::N,аӡбжьахала,հաչիւն
122,Insel::N,адгьылбжьаха,վղզի
123,Blume::N,ашəҭ,ծաղիկ
124,Gras::N,аҳасакьын,խոտ
125,Wurzel::N,адац,արմատ
126,Baum::N,аҵла,ծառ
127,Stamm::N,ашьапы,իրան
128,Rinde::N,ацəа,կեղեւ
129,Rinde::N,ацəа,հաչոց
130,Ast::N,амахə,ճյուղ
131,Ast::N,амахəҭа,ճյուղ
132,Zweig::N,амахə,ճյուղ
133,Zweig::N,амахəҭа,ճյուղ
134,Blatt::N,абҕьы,տերեւ
135,Birke::N,аҵааҵла,ցարասի
136,Kiefer[Baum]::N,амза,սոճի
137,Weide[Baum]::N,аҧслыш,ուռենի
138,Tanne::N,аҧсаӡ,եղեւին
139,Horn::N,атəыҩа,
140,Feder::N,ахӡы,փետուր
141,Fell::N,ацəа,մորթի
142,Flügel::N,амҵəыжəа,թեւ
143,Klaue::N,ашьапхыц,չանչ
144,Schwanz::N,аҵыхəа,պոչ
145,Ei::N,акəтаӷь,ձու
146,Nest::N,аҭра,բույն
147,Nest::N,аҵысҭра,բույն
148,Bau::N,аҭыҩра,որջ
149,Bau::N,аҭыҩра,բայոց
150,Tier::N,аҧстəы,կենդանի
151,Tier::N,агыгшəыг,կենդանի
152,Herde::N,агəарҭа,հոտ
153,Kuh::N,ажə,կով
154,Bulle::N,ацə,ցուլ
155,Pferd::N,аҽы,ձի
156,Schaf::N,ауаса,ոչխար
157,Schwein::N,аҳəа,խոզ
158,Hund::N,ала,շուն
159,Katze::N,ацгəы,կատու
160,Bär::N,амшə,արջ
161,Eichhörnchen::N,аеш,սկյուռ
162,Elch::N,аҽаҩа,հիւսիսային եղջերու
163,Fuchs::N,абгахəыҷы,աղվես
164,Hase::N,ажьа,նապաստակ
165,Maus::N,аҳəынаҧ,մուկ
166,Wolf::N,абгаду,գայլ
167,Vogel::N,аҧсаатə,թռչուն
168,Huhn::N,акəты,հավ
169,Hahn::N,арбаҕь,աքաղաղ
170,Gans::N,аҟыз,սագ
171,Adler::N,ауарба,արծիվ
172,Ente::N,акəата,բադ
173,Eule::N,аты,բու
174,Kranich::N,апҟа,կռունկ
175,Krähe::N,аҟəараан,ագռավ
176,Kuckuck::N,акəыкəу,կուկու
177,Schwan::N,агьад,կարապ
178,Fisch::N,аҧсыӡ,ձուկ
179,Barsch::N,ацəыбла,պերկես
180,Hecht::N,ахиаала,գայլաձուկ
181,Schlange[Tier]::N,амаҭ,օձ
182,Wurm::N,ахəа,որդ
183,Wurm::N,ахəа,ճիճու
184,Wurm::N,ахəац,որդ
185,Wurm::N,ахəац,ճիճու
186,Spinne::N,абызкаҭаҳа,սարդ
187,Ameise::N,ашышкамс,միջյուն
188,Laus::N,аҵа,ոջիլ
189,Mücke::N,акəыбры,մժղուկ
190,Fliege::N,амҵ,ճանճ
191,Schmetterling::N,аҧарҧалыкь,թիթեռ
192,Beere::N,аргуц,հատապտուղ
193,Apfel::N,аҵəа,խնձոր
194,Pilz::N,акəкəбаа,սունկ
195,Zwiebel::N,аџьымшьы,սոխ
196,Zwiebel::N,аџьымшьхы,սոխ
197,Saat::N,ажəла,սերմ
198,Korn::N,арыц,հատիկ
199,Heu::N,аҭəа,խոտ
200,Schale::N,ацəа,կեղեւ
201,Grube::N,ажра,փոս
202,Grube::N,атыша,փոս
203,Falle::N,арыҧҟьа,ծուղակ
204,Schlinge::N,аҟəараҟəантə,խեղդան
205,Spur::N,ашьҭа,հետք
206,Asche::N,ахəа,մոխիր
207,Dreck::N,аҳəынҵəа,աղտ
208,Dreck::N,аҟьамсар,աղտ
209,Eisen::N,аиха,երկաթ
210,Gold::N,ахьы,ոսկի
211,Silber::N,аразны,արծաթ
212,Kohle::N,арацəа,քարածուխ
213,Glas::N,асаркьа,ապակի
214,Lehm::N,анышəаҧшь,կավ
215,Sand::N,аҧслымӡ,ավազ
216,Mensch::N,ауаҩы,մարդ
217,Mann::N,ахаҵа,մարդ
218,Mann::N,ахаҵа,տղամարդ
219,Frau::N,аҧҳəыс,կին
220,Kind::N,ахəыҷы,զավակ
221,Junge::N,аҷкəын,տղա
222,Junge::N,ахаҵарҧыс,տղա
223,Mädchen::N,аӡӷаб,աղջիկ
224,Familie::N,аҭаацəа,ընտանիք
225,Großvater::N,абду,պապ
226,Großmutter::N,анду,տատ
227,Eltern::N,ани аби,ծնողներ
228,Vater::N,аб,հայր
229,Mutter::N,ан,մայր
230,Sohn::N,аҧа,որդի
231,Tochter::N,аҧҳа,աղջիկ
232,Tochter::N,аҧҳа,դուստր
233,Bruder::N,аиашьа,եղբայր
234,Schwester::N,Аҳəшьа,քույր
235,Onkel::N,абиашьа,քեռի
236,Onkel::N,абиашьа,հորեղբայր
237,Onkel::N,аншьа,քեռի
238,Onkel::N,аншьа,հորեղբայր
239,Tante::N,абиаҳəшьа,մորաքույր
240,Ehemann::N,ахаҵа,մարդ
241,Ehemann::N,ахаҵа,ամուսին
242,Ehemann::N,аҧшəма,մարդ
243,Ehemann::N,аҧшəма,ամուսին
244,Ehefrau::N,аҧҳəыс,կին ամուսին
245,Freude::N,агəырӷьара,ուրախություն
246,Gelächter::N,ачча,ծիծաղ
247,Gelächter::N,аччара,ծիծաղ
248,Glück::N,аразҟы,երջանկություն
249,Kummer::N,агəырҩа,վիշտ
250,Wunsch::N,агəхəтəы,ցանկություն
251,Wunsch::N,аҭахра,ցանկություն
252,Lust::N,агəазыҳəара,փափագ
253,Lust::N,агəазыҳəара,իղձ
254,Geist::N,аҧсы,ոգի
255,Gedanke::N,ахəыцырҭа,միտք
256,Gedächtnis::N,агəынкылара,հիշողություն
257,Verstand::N,ахшыҩ,խելք
258,Sinn::N,аҵакы,իմաստ
259,Grund::N,амзыз,պատճառ
260,Wahrheit::N,аиаша,ճշմարտություն
261,Gespräch::N,аиҿцәажәара,զրույց
262,Märchen::N,алакə,պայիկի պատմություն
263,Erzählung::N,ажәабжь,պատմվածք
264,Erzählung::N,ажәабжь,պատմություն
265,Nachricht::N,адырраҭара,հաղորդագրություն
266,Neuigkeit::N,ажәабжь ҿыц,լուր
267,Neuigkeit::N,ажәабжь ҿыц,նորություն
268,Name::N,ахьӡ,անուն
269,Rätsel::N,ацуфара,բարդ խնդիր
270,Rede::N,ажәа,ճառ
271,Rede::N,ажәа,ելույթ
272,Sprache::N,абызшəа,լեզու
273,Stimme::N,абжьы,ձայն
274,Wort::N,ажәа,բառ
275,Zeichen::N,адырга,նշան
276,Ruf::N,аҿҭы,կոչ
277,Ruf::N,аҿҭы,կանչ
278,Lärm::N,ашьҭыбжь,աղմուկ
279,Laut::N,ашьҭыбжь,հնչյուն
280,Laut::N,ашьҭыбжь,ձայն
281,Ton::N,атон,տոն
282,Lied::N,ашəа,երգ
283,Ruhe::N,аҭынчра,անդորրություն
284,Leute::N,ауаа,մարդիկ
285,Volk::N,ажəлар,ազգ
286,Arbeit::N,аусура,գործ
287,Arbeit::N,аусура,աշխատանք
288,Gast::N,асас,հյուր
289,Geschenk::N,аҳамҭа,նվեր
290,Geschenk::N,аҿанҵа,նվեր
291,Spiel::N,ахəмарра,խաղ
292,Gesellschaft::N,агəыҧ,ընկերություն
293,Hilfe::N,ацхыраара,օգնությթուն
294,Freund::N,аҩыза,ընկեր
295,Freund::N,аҩыза,բարեկամ
296,Kamerad::N,Аҧхнагьла,ուղեկից
297,Angelegenheit::N,аус,բան
298,Angelegenheit::N,аус,գործ
299,Anzahl::N,ахыҧхьаӡара,քանակ
300,Anzahl::N,ахыҧхьаӡара,գումար
301,Art::N,ахкы,տեսակ
302,Stück::N,аҽыҭ,կտոր
303,Teil::N,ахəҭа,մաս
304,Hälfte::N,абжа,կես
305,Kreis::N,агьагьа,շիջանակ
306,Kreuz::N,аџьар,խաչ
307,Linie::N,аицтәар,գիծ
308,Strich::N,ацəаҳəа,գիծ
309,Abstand::N,абжьара,անջրպետ
310,Entfernung::N,абжьара,հեռավորություն
311,Gegend::N,аҭыҧ,շրջան
312,Platz::N,аҭыҧ,տարածություն
313,Ort::N,аҭыҧ,տեղ
314,Ort::N,аҭыҧ,վայր
315,Seite::N,аган,կողմ
316,Mitte::N,агəҭа,մեջտեղ
