,Concept_ID,zh,ba
0,Auge::N,眼睛,күҙ
1,Ohr::N,耳朵,ҡолаҡ
2,Nase::N,鼻子,танау
3,Mund::N,嘴,ауыҙ
4,Zahn::N,牙齿,теш
5,Zunge::N,舌头,тел
6,Lippe::N,嘴唇,ирен
7,Wange::N,面颊,яцаҡтар
8,Gesicht::N,脸,бит
9,Stirn::N,额,маңлай
10,Haar::N,头发,сәс
11,Schnurrbart::N,髭须,мылтыҡ
12,Bart::N,胡子,һаҡал
13,Kinn::N,下巴,эйэк
14,Kiefer[Anatomie]::N,颌,яңаҡ һөйәге
15,Kehle::N,嗓子,тамаҡ
16,Hals::N,颈,муйын
17,Genick::N,后颈,соңҡа
18,Kopf::N,头,баш
19,Rücken::N,背,арҡа
20,Bauch::N,肚子,ҡорһаҡ
21,Nabel::N,肚脐,кендек
22,Busen::N,胸脯,күкрәк
23,Brust::N,胸,түш
24,Schulter::N,肩膀,яурын
25,Arm::N,臂膀,ҡул
26,Ellenbogen::N,肘,терһәк
27,Hand::N,手,ҡул
28,Hand::N,手,ҡул суғы
29,Handfläche::N,手掌,ус төбө
30,Finger::N,手指,бармаҡ
31,Fingernagel::N,指甲,тырнаҡ
32,Nagel[Anatomie]::N,指甲,тырнаҡ
33,Zeh::N,脚趾,бармаҡ
34,Fuß::N,脚,табан
35,Ferse::N,后跟,үксә
36,Knie::N,膝,тубыҡ
37,Oberschenkel::N,大腿,сандыр
38,Bein::N,腿,аяҡ
39,Körper::N,身体,тән
40,Haut::N,皮肤,тире
41,Blut::N,血,ҡан
42,Ader::N,血管,тамыр
43,Sehne::N,腱,һеңер
44,Sehne::N,腱,тарамыш
45,Knochen::N,骨,һойәк
46,Gehirn::N,脑,мейе
47,Herz::N,心,йорәк
48,Magen::N,胃,ашҡаҙан
49,Leber::N,肝,бауыр
50,Atem::N,呼吸,һулыш
51,Hunger::N,饿,аслыҡ
52,Träne::N,眼泪,күҙ иәше
53,Geschmack::N,味道,тәм
54,Geruch::N,气味,еҫ
55,Schlaf::N,睡眠,йоҡлау
56,Traum::N,梦,төш
57,Himmel::N,天空,күк
58,Sonne::N,太阳,ҡояш
59,Mond::N,月亮,ай
60,Stern::N,星,йондоҙ
61,Luft::N,空气,һауа
62,Wind::N,风,ел
63,Welle::N,波,тулҡын
64,Wasser::N,水,һыу
65,Stein::N,石头,таш
66,Boden::N,地面,тупраҡ
67,Erde::N,地,балсҡ
68,Staub::N,灰尘,туҙан
69,Rauch::N,烟,төтөн
70,Funke::N,火花,осҡон
71,Feuer::N,火,ут
72,Licht::N,光,яҡтылыҡ
73,Schatten::N,影子,күләгә
74,Wetter::N,天气,һауа торошо
75,Nebel::N,雾,төман
76,Wolke::N,云,болот
77,Regen::N,雨,ямғыр
78,Schnee::N,雪,ҡар
79,Eis::N,冰,боҙ
80,Frost::N,霜冻,һалҡын
81,Kälte::N,寒冷,һыуыҡ
82,Hitze::N,炎热,томра
83,Hitze::N,炎热,эҫелек
84,Raureif::N,霜,ҡырау
85,Regenbogen::N,虹,йәйғор
86,Donner::N,雷,күк күкрәү
87,Strömung::N,水流,ағым
88,Tropfen::N,滴,тамсы
89,Schaum::N,泡沫,күбек
90,Schmutz::N,赃物,батҡаҡ
91,See::N,湖,күл
92,Sumpf::N,沼泽,һаҙлык
93,Moor::N,沼泽,һаҙ
94,Wiese::N,草地,болон
95,Wald::N,森林,урман
96,Hügel::N,丘陵,түбә
97,Anhöhe::N,山丘,түбә
98,Anhöhe::N,山丘,ҡалҡыулыҡ
99,Berg::N,山,тау
100,Gipfel::N,峰,түбә
101,Höhle::N,洞穴,мәмерйә
102,Abhang::N,斜坡,ипкен
103,Quelle::N,泉,шишмә
104,Bach::N,溪,шишмә
105,Fluss::N,河流,йылға
106,Ufer::N,岸,яр
107,Küste::N,海岸,яр буйы
108,Festland::N,大陆,ҡоро ер
109,Meer::N,海,диңгез
110,Bucht::N,海湾,бухта
111,Insel::N,岛,үтрау
112,Blume::N,花,сәскә
113,Gras::N,草,үлән
114,Wurzel::N,根,тамыр
115,Baum::N,树,ағас
116,Stamm::N,树干,олон
117,Stamm::N,树干,көбәк
118,Rinde::N,树皮,ҡабыҡ
119,Ast::N,树枝,ботаҡ
120,Zweig::N,树枝,ботаҡ
121,Zweig::N,树枝,тармаҡ
122,Blatt::N,叶子,япраҡ
123,Birke::N,桦木,ҡайын
124,Kiefer[Baum]::N,松树,ҡарғай
125,Weide[Baum]::N,柳树,тал
126,Tanne::N,冷杉,шыршы
127,Horn::N,角,мөғөҙ
128,Feder::N,羽毛,ҡауырһын
129,Fell::N,皮毛,тире
130,Flügel::N,翅膀,ҡанат
131,Klaue::N,爪子,тырнаҡ
132,Kralle::N,爪子,аяҡ
133,Schwanz::N,尾巴,ҡойроҡ
134,Ei::N,蛋,йомортҡа
135,Nest::N,巢,оя
136,Bau::N,穴,оң
137,Tier::N,动物,жайуан
138,Tier::N,动物,йыртҡыс
139,Herde::N,群,көтөү
140,Kuh::N,母牛,һыйыр
