,Concept_ID,kk,lbe
0,Auge::N,көз,я
1,Ohr::N,құлақ,вичӏи
2,Nase::N,мұрын,май
3,Mund::N,ауыз,кьацӏ
4,Zahn::N,тіс,ккарччи
5,Zunge::N,тіл,маз
6,Lippe::N,ерін,мурччи
7,Wange::N,ұрт,чӏав
8,Gesicht::N,бет-аузы,лажин
9,Stirn::N,маңдай,ненттабакӏ
10,Haar::N,қыл,чӏара
11,Schnurrbart::N,мұрт,ссирссилтту
12,Bart::N,сақал,чӏири
13,Kinn::N,иек,лунттубакӏ
14,Kiefer[Anatomie]::N,жақ,ххинчулул
15,Kehle::N,алқым,кьакьари
16,Hals::N,мойын,ссурссу
17,Genick::N,желке,махъабакӏ
18,Kopf::N,кәллә,бакӏ
19,Rücken::N,арқа,ттиликӏ
20,Bauch::N,қарын,лякьа
21,Nabel::N,кіндік,цӏумуккутӏ
22,Busen::N,омырау,ккукку
23,Brust::N,кеуде,хъазам
24,Schulter::N,иық,хъачӏ
25,Arm::N,қол,ка
26,Ellenbogen::N,шынтақ,ссюрхъ
27,Hand::N,қол,бартка
28,Handfläche::N,алақан,хъат
29,Handfläche::N,алақан,битӏянхъ
30,Finger::N,саусақ,кӏисса
31,Fingernagel::N,тырнақ,михь
32,Nagel[Anatomie]::N,тырнақ,михь
33,Zeh::N,тырнақ,кӏисса
34,Zeh::N,тұяқ,кӏисса
35,Fuß::N,аяқ-басы,чӏанччан
36,Ferse::N,өкше,никъа
37,Ferse::N,өкшелік,никъа
38,Knie::N,тізе,ник
39,Oberschenkel::N,жамбас,жира
40,Bein::N,аяқ,ччан
41,Körper::N,дене,чурх
42,Haut::N,тері,бурчу
43,Blut::N,қан,оь
44,Ader::N,көктамыр,тунну
45,Ader::N,күретамыр,тунну
46,Sehne::N,сіңір,хьхьа
47,Knochen::N,жілік,ттаркӏ
48,Gehirn::N,ми,ня
49,Herz::N,жүрек,дакӏ
50,Herz::N,жүрек,къюкӏ
51,Magen::N,асқазан,лякьа
52,Leber::N,бауыр,
53,Atem::N,леп,ссихӏ ласаву
54,Atem::N,леп,ссихӏ бигьаву
55,Hunger::N,ашаршылық,ккаши
56,Träne::N,жас,макь
57,Geschmack::N,дәм,тӏин
58,Geschmack::N,дәм,тӏааьн
59,Geschmack::N,татым,тӏин
60,Geschmack::N,татым,тӏааьн
61,Geschmack::N,талғам,тӏин
62,Geschmack::N,талғам,тӏааьн
63,Geruch::N,иіс,кьанкь
64,Schlaf::N,ұйқы,шану
65,Schlaf::N,ұйықтау,шану
66,Traum::N,түс,макӏру
67,Himmel::N,аспан,ссав
68,Himmel::N,көқ,ссав
69,Himmel::N,таңдай,ссав
70,Sonne::N,күн,баргъ
71,Mond::N,ай,барз
72,Stern::N,жұлдыз,цӏуку
73,Luft::N,әуе,гьава
74,Wind::N,жел,марч
75,Welle::N,толқын,щатӏи
76,Wasser::N,су,щин
77,Stein::N,тас,чару
78,Boden::N,қыртыс,аьрщи
79,Erde::N,топырақ,аьрщи
80,Staub::N,шаң,ххит
81,Rauch::N,түтін,пуркӏу
82,Funke::N,ұшқын,пиягь
83,Feuer::N,алау,цӏу
84,Licht::N,шұғыла,чани
85,Schatten::N,көлеңке,ххют
86,Wetter::N,ауа райы,гьава
87,Nebel::N,тұман,шархь ттурлу
88,Wolke::N,бұлт,ттурлу
89,Regen::N,жаңбыр,гъарал
90,Schnee::N,қар,марххала
91,Eis::N,мұз,микӏ
92,Frost::N,суық,дяркъу
93,Frost::N,суық,замгьар
94,Kälte::N,ызғар,дяркъу
95,Kälte::N,суықтық,дяркъу
96,Hitze::N,аптап,кӏиришиву
97,Raureif::N,қырау,сил
98,Raureif::N,қырау,бурса
99,Regenbogen::N,кемпірқосақ,ссурул ккуртта
100,Donner::N,күн күркіреу,къув
101,Strömung::N,ағын,экьинанаву
102,Tropfen::N,тамшы,кӏунтӏ
103,Schaum::N,көбік,хьама
104,Schmutz::N,кір,кьяркьи
105,See::N,көл,бяр
106,Sumpf::N,саз,кунцӏа
107,Moor::N,саз,
108,Wiese::N,шалғын,кьан
109,Wald::N,орман,вацӏа
110,Hügel::N,төбе,бакӏу
111,Hügel::N,белес,бакӏу
112,Hügel::N,белес-белес,бакӏу
113,Anhöhe::N,дөң,
114,Anhöhe::N,адыр,
115,Anhöhe::N,қырат,
116,Berg::N,тау,зунтту
117,Gipfel::N,төбе,мицӏ
118,Höhle::N,үңгір,нух
119,Abhang::N,бауыр,сун
120,Quelle::N,қайнар,дайдихьу
121,Quelle::N,қайнар,бакӏ
122,Bach::N,жылға,чӏрир нех
123,Fluss::N,өзен,нех
124,Ufer::N,жиек,зума
125,Küste::N,жиегі,зумаинхалу
126,Küste::N,жиегі,зуманицӏалу
127,Küste::N,жағалау,зумаинхалу
128,Küste::N,жағалау,зуманицӏалу
129,Festland::N,құрылық,кьири
130,Meer::N,теңіз,хьхьири
131,Bucht::N,шығанақ,
132,Insel::N,арал,жазира
133,Blume::N,гүл,тӏутӏи
134,Gras::N,от,уртту
135,Wurzel::N,түбір,мархха
136,Baum::N,ағаш,мурхь
137,Baum::N,дарақ,мурхь
138,Stamm::N,сояу,ттарцӏ
139,Stamm::N,оқпан,ттарцӏ
140,Rinde::N,қабық,ккамара
141,Ast::N,бұтақ,матӏи
142,Zweig::N,шыбық,къяртта
143,Blatt::N,жапырақ,чӏапӏи
144,Birke::N,қайың,кӏялахӏи
145,Birke::N,қайың,кӏялахӏилул мурхь
146,Kiefer[Baum]::N,қарағай,ттар
147,Kiefer[Baum]::N,қарағай,ттарлил мурхь
148,Weide[Baum]::N,тал,щавщи
149,Tanne::N,шырша,ттарлил мурхь
150,Horn::N,мүйіз,хъи
151,Feder::N,қаламұш,лелуххул тӏиму
152,Fell::N,тері,бурчу
153,Flügel::N,қанат,хъа
154,Flügel::N,қанат,ххурупӏайрал тӏиму
155,Klaue::N,тырнақ,михь
156,Kralle::N,аяқ,ххяппа
157,Schwanz::N,құйрық,магъ
158,Ei::N,жұмыртқа,ккунук
159,Nest::N,ұя,кюру
160,Bau::N,жатақ,цукъуккутӏ
161,Tier::N,айуан,хӏайван
