,Concept_ID,hr,vep
0,Auge::N,oko,sil'm
1,Ohr::N,uho,korv
2,Nase::N,nos,nena
3,Mund::N,usta,su
4,Zahn::N,zub,pi
5,Zahn::N,zub,hambaz
6,Zunge::N,jezik,kel'
7,Lippe::N,usna,hul'
8,Wange::N,obraz,modpolišk
9,Gesicht::N,lice,mod
10,Stirn::N,čelo,oc
11,Haar::N,kosa,tuk
12,Haar::N,kosa,hibuz
13,Schnurrbart::N,brkovi,habinod
14,Bart::N,brada,bard
15,Kinn::N,brada,löug
16,Kinn::N,podbradak,löug
17,Kiefer[Anatomie]::N,čeljust,hambazlu
18,Kehle::N,grlo,kurk
19,Hals::N,vrat,kagl
20,Genick::N,zatiljak,tagarai
21,Kopf::N,glava,pä
22,Rücken::N,leđa,sel'g
23,Rücken::N,hrbat,sel'g
24,Bauch::N,trbuh,vac
25,Bauch::N,trbuh,koht
26,Nabel::N,pupak,naba
27,Busen::N,sisa,niža
28,Busen::N,njedra,niža
29,Brust::N,prsa,rind
30,Schulter::N,rame,oug
31,Schulter::N,pleći,oug
32,Arm::N,ruka,käzi
33,Ellenbogen::N,lakat,künambruz
34,Hand::N,ruka,käzi
35,Hand::N,ruka,käzitera
36,Handfläche::N,dlan,kämen
37,Finger::N,prst,sor'm
38,Fingernagel::N,nokat,künz'
39,Nagel[Anatomie]::N,nokat,künz'
40,Zeh::N,nozni prst,barbaz
41,Fuß::N,noga,jaug
42,Fuß::N,stopalo,jaug
43,Ferse::N,peta,kand
44,Knie::N,koljeno,komb
45,Knie::N,koljeno,pol'v
46,Oberschenkel::N,bedro,riiže
47,Bein::N,noga,jaug
48,Körper::N,tijelo,hibj
49,Haut::N,put,nahk
50,Haut::N,koža,nahk
51,Blut::N,krv,čak
52,Blut::N,krv,veri
53,Ader::N,žila,son'
54,Sehne::N,tetiva,jände
55,Knochen::N,kost,lu
56,Herz::N,srce,südäin
57,Magen::N,stomak,südäikoht
58,Magen::N,želudac,südäikoht
59,Leber::N,jetra,maks
60,Atem::N,dah,hengaiduz
61,Hunger::N,glad,näl'g
62,Träne::N,suza,kündal'
63,Geschmack::N,ukus,magu
64,Geruch::N,njuh,haju
65,Geruch::N,miris,haju
66,Schlaf::N,san,uni
67,Traum::N,san,unikuva
68,Himmel::N,nebo,taivaz
69,Sonne::N,sunce,päiväine
70,Mond::N,mjesec,kudmaine
71,Stern::N,zvijezda,tähtaz
72,Luft::N,zrak,il'm
73,Wind::N,vjetar,döl
74,Wind::N,vjetar,tullei
75,Welle::N,val,ald
76,Welle::N,val,laineh
77,Welle::N,talas,ald
78,Welle::N,talas,laineh
79,Wasser::N,voda,vezi
80,Stein::N,kamen,kivi
81,Boden::N,tlo,ma
82,Boden::N,tlo,pohj
83,Boden::N,zemlja,ma
84,Boden::N,zemlja,pohj
85,Erde::N,zemlja,ma
86,Staub::N,prah,pölü
87,Staub::N,prašina,pölü
88,Rauch::N,dim,savu
89,Funke::N,iskra,kibin
90,Funke::N,varnica,kibin
91,Feuer::N,vatra,lämoi
92,Licht::N,svjetlo,vauktuz
93,Schatten::N,hlad,pil'vez
94,Schatten::N,hlad,kuvahaine
95,Schatten::N,sjena,pil'vez
96,Schatten::N,sjena,kuvahaine
97,Wetter::N,vrijeme,sä
98,Nebel::N,magla,sumeg
99,Wolke::N,oblak,pil'v
100,Regen::N,kiša,vihm
101,Schnee::N,snijeg,lumi
102,Eis::N,led,jä
103,Frost::N,mraz,hala
104,Frost::N,mraz,pakaine
105,Kälte::N,studen,vilu
106,Kälte::N,hladnoća,vilu
107,Hitze::N,vrućina,räk
108,Raureif::N,inje,hüde
109,Regenbogen::N,duga,jumalanbembel'
110,Donner::N,grom,juru
111,Donner::N,grom,jumalanjuru
112,Donner::N,grmljavina,juru
113,Donner::N,grmljavina,jumalanjuru
114,Strömung::N,struja,joksmuz
115,Strömung::N,strujanje,joksmuz
116,Tropfen::N,kap,tilkuine
117,Tropfen::N,kaplja,tilkuine
118,Schaum::N,pjena,vaht
119,Schmutz::N,nečistoća,redu
120,Schmutz::N,nečistoća,pačak
121,Schmutz::N,prljavština,redu
122,Schmutz::N,prljavština,pačak
123,See::N,jezero,järv
124,Sumpf::N,bara,so
125,Moor::N,močvara,so
126,Wiese::N,livada,nit
127,Wald::N,šuma,mec
128,Hügel::N,brijeg,kukaz
129,Hügel::N,brežuljak,kukaz
130,Anhöhe::N,uzvišica,kukaz
131,Berg::N,brdo,mägi
132,Gipfel::N,vrh,ladv
133,Höhle::N,pećina,mägionduz
134,Höhle::N,spilja,mägionduz
135,Abhang::N,obronak,paute
136,Abhang::N,nizbrdica,paute
137,Quelle::N,izvor,lähte
138,Quelle::N,vrelo,lähte
139,Bach::N,potok,oja
140,Fluss::N,rijeka,jogi
141,Ufer::N,obala,rand
142,Küste::N,obala,randišt
143,Küste::N,morska obala,randišt
144,Festland::N,kopno,kuivma
145,Meer::N,more,meri
146,Bucht::N,zaliv,laht
147,Insel::N,ada,sar'
148,Insel::N,otok,sar'
149,Blume::N,cvijet,änik
150,Gras::N,trava,hein
151,Wurzel::N,korijen,jur'
152,Baum::N,drvo,pu
153,Baum::N,stablo,pu
154,Stamm::N,deblo,tüvi
155,Stamm::N,stablo,tüvi
