,Concept_ID,fi,te
0,Auge::N,silmä,కన్ను
1,Ohr::N,korva,చెవి
2,Nase::N,nenä,ముక్కు
3,Mund::N,suu,నోరు
4,Zahn::N,hammas,పల్లు
5,Zunge::N,kieli,నాలుక
6,Lippe::N,huuli,పెదవి
7,Wange::N,poski,చెంప
8,Gesicht::N,naama,ముఖము
9,Gesicht::N,kasvot,ముఖము
10,Stirn::N,otsa,నుదురు
11,Haar::N,hius,వెండ్రుక
12,Haar::N,tukka,వెండ్రుక
13,Schnurrbart::N,viikset,మీసము
14,Bart::N,parta,గడ్డము
15,Kinn::N,leuka,గడ్డము
16,Kiefer[Anatomie]::N,leukaluu,దౌడ
17,Kehle::N,kurkku,గొంతు
18,Hals::N,kaula,మెడ
19,Genick::N,niska,మూపు
20,Kopf::N,pää,తల
21,Rücken::N,selkä,వెన్ను
22,Bauch::N,maha,కడుపు
23,Bauch::N,vatsa,కడుపు
24,Nabel::N,napa,బొడ్డు
25,Busen::N,rinta,స్తనము
26,Brust::N,rinta,ఱొమ్ము
27,Schulter::N,olka,భుజము
28,Schulter::N,hartia,భుజము
29,Schulter::N,olkapää,భుజము
30,Arm::N,käsivarsi,చేయి
31,Ellenbogen::N,kyynärpää,మోచేయి
32,Hand::N,käsi,చేయి
33,Handfläche::N,kämmen,అరచేయు
34,Finger::N,sormi,చేతిప్రేలు
35,Fingernagel::N,kynsi,గోరు
36,Nagel[Anatomie]::N,kynsi,గోరు
37,Zeh::N,varvas,కాలిప్రేలు
38,Fuß::N,jalka,అడుగు
39,Ferse::N,kantapää,మడమ
40,Knie::N,polvi,మోకాలు
41,Oberschenkel::N,reisi,తొడ
42,Bein::N,jalka,కాలు
43,Körper::N,keho,కాయము
44,Körper::N,ruumis,కాయము
45,Haut::N,iho,చర్మము
46,Blut::N,veri,రక్తము
47,Ader::N,suoni,సిర
48,Sehne::N,jänne,స్నాయువు
49,Knochen::N,luu,ఎముక
50,Gehirn::N,aivot,మెదడు
51,Herz::N,sydän,హృదయము
52,Magen::N,maha,కడుపు
53,Magen::N,vatsa,కడుపు
54,Leber::N,maksa,కాలేయము
55,Atem::N,henki,ఉపిరి
56,Atem::N,hengitys,ఉపిరి
57,Hunger::N,nälkä,ఆకలి
58,Träne::N,kyynel,కన్నీటిచుక్క
59,Geschmack::N,maku,రుచి
60,Geruch::N,haju,వాసన
61,Schlaf::N,uni,నిద్ర
62,Traum::N,uni,కల
63,Himmel::N,taivas,ఆకాశము
64,Sonne::N,aurinko,సూర్యుడు
65,Mond::N,kuu,చంద్రుడు
66,Stern::N,tähti,నక్షత్రము
67,Luft::N,ilma,గాలి
68,Wind::N,tuuli,వీచుచున్నగాలి
69,Welle::N,aalto,అల
70,Wasser::N,vesi,నీరు
71,Stein::N,kivi,ఱాయి
72,Boden::N,maa,నేల
73,Boden::N,maaperä,నేల
74,Erde::N,maa,మన్ను
75,Staub::N,pöly,దుమ్ము
76,Rauch::N,savu,పొగ
77,Funke::N,kipinä,అగ్నికణము
78,Feuer::N,tuli,అగ్ని
79,Licht::N,valo,కాంతి
80,Schatten::N,varjo,నీడ
81,Wetter::N,sää,వాతావరణ స్థితి
82,Nebel::N,sumu,పొగమంచు
83,Wolke::N,pilvi,మేఘము
84,Regen::N,sade,వాన
85,Schnee::N,lumi,హిమము
