,Concept_ID,ar,ce
0,Auge::N,عين,бӏаьрг
1,Ohr::N,أذن,лерг
2,Nase::N,أنف,мара
3,Mund::N,فم,бага
4,Zahn::N,سن,церг
5,Zunge::N,لسان,мотт
6,Lippe::N,شفة,балда
7,Wange::N,خد,бесни
8,Wange::N,وجنة,бесни
9,Gesicht::N,وجه,юьхь
10,Stirn::N,جبين,хьаж
11,Haar::N,شعر,мас
12,Schnurrbart::N,شارب,мекх
13,Bart::N,لحية,маж
14,Kinn::N,ذقن,чӏениг
15,Kiefer[Anatomie]::N,فك,мочхал
16,Kehle::N,حلق,къамкъарг
17,Hals::N,عنق,ворта
18,Hals::N,رقبة,ворта
19,Genick::N,قفا,кӏесаркӏаг
20,Kopf::N,رأس,корта
21,Rücken::N,ظهر,букъ
22,Bauch::N,بطن,кийра
23,Nabel::N,سرة,цӏонга
24,Busen::N,ثدي,зударийн накха
25,Brust::N,صدر,накха
26,Schulter::N,كتف,белш
27,Arm::N,ذراع,пхьарс
28,Ellenbogen::N,كوع,пхьаьрсан гола
29,Hand::N,يد,куьг
30,Handfläche::N,كف,кераюкъ
31,Finger::N,إصبع,пӏелг
32,Fingernagel::N,ظفر,мӏара
33,Nagel[Anatomie]::N,ظفر,мӏара
34,Zeh::N,إصبع القدم,кога пӏелг
35,Fuß::N,قدم,ког
36,Ferse::N,كعب,кӏажа
37,Knie::N,ركبة,гола
38,Oberschenkel::N,فخذ,варе
39,Bein::N,ساق,ког
40,Körper::N,جسم,хӏума
41,Haut::N,بشرة,чкъор
42,Blut::N,دم,цӏий
43,Ader::N,عرق,пха
44,Sehne::N,طنب,хьорзам
45,Knochen::N,عظم,даьӏахк
46,Gehirn::N,دماغ,хье
47,Herz::N,قلب,дог
48,Magen::N,معدة,зорх
49,Leber::N,كبد,доӏах
50,Atem::N,نفس,садеӏар
51,Hunger::N,جوع,мацалла
52,Träne::N,دمعة,бӏаьрхи
53,Geschmack::N,طعم,чам
54,Geschmack::N,مذاق,чам
55,Geruch::N,رائحة,хьожа
56,Schlaf::N,نوم,наб
57,Schlaf::N,منام,наб
58,Traum::N,حلم,гӏан
59,Himmel::N,سماء,стигал
60,Sonne::N,شمس,малх
61,Mond::N,قمر,бутт
62,Stern::N,نجم,седа
63,Stern::N,كوكب,седа
64,Luft::N,هواء,xӏаваъ
65,Wind::N,ريح,мох
66,Welle::N,موجة,тулгӏе
67,Wasser::N,ماء,хи
68,Stein::N,حجر,тӏулг
69,Boden::N,تراب,цӏенкъа
70,Erde::N,أرض,латта
71,Staub::N,غبار,чан
72,Rauch::N,دخان,кӏур
73,Funke::N,شرارة,суй
74,Feuer::N,نار,цӏе
75,Licht::N,نور,серло
76,Licht::N,ضوء,серло
77,Schatten::N,ظل,ӏиндагӏ
78,Schatten::N,فيء,ӏиндагӏ
79,Wetter::N,جو,хенан хӏоттам
80,Wetter::N,طقس,хенан хӏоттам
81,Nebel::N,ضباب,дохк
82,Wolke::N,غيمة,марха
83,Wolke::N,سحابة,марха
84,Regen::N,مطر,догӏа
85,Schnee::N,ثلج,ло
86,Eis::N,جليد,ша
87,Frost::N,صقيع,шело
88,Kälte::N,برد,шело
89,Hitze::N,حر,йовхо
90,Hitze::N,حرارة,йовхо
91,Raureif::N,صقيع,йис
92,Regenbogen::N,قوس قزح,стелаӏад
93,Donner::N,رعد,ткъес
94,Strömung::N,تيار,дӏаэхар
95,Strömung::N,تيار,дӏасалелар
96,Tropfen::N,قطرة,тӏадам
97,Schaum::N,زبد,чопа
98,Schaum::N,رغوة,чопа
99,Schmutz::N,وسخ,хатт
100,See::N,بحيرة,ӏам
101,Sumpf::N,مستنقع,уьшал
102,Moor::N,مستنقع,уьшал
103,Wiese::N,مرج,бай
