,Concept_ID,fi,os
0,Auge::N,silmä,цӕст
1,Ohr::N,korva,хъус
2,Nase::N,nenä,фындз
3,Mund::N,suu,дзых
4,Zahn::N,hammas,дӕндаг
5,Zunge::N,kieli,ӕвзаг
6,Lippe::N,huuli,был
7,Wange::N,poski,рус
8,Wange::N,poski,уадул
9,Wange::N,poski,ӕхсӕрфарс
10,Gesicht::N,naama,цӕсгом
11,Gesicht::N,kasvot,цӕсгом
12,Stirn::N,otsa,ных
13,Haar::N,hius,хил
14,Haar::N,tukka,хил
15,Schnurrbart::N,viikset,рихи
16,Bart::N,parta,зачъе
17,Kinn::N,leuka,роцъо
18,Kiefer[Anatomie]::N,leukaluu,ӕфсӕр
19,Kehle::N,kurkku,хъуыр
20,Hals::N,kaula,къубал
21,Genick::N,niska,къӕбут
22,Kopf::N,pää,сӕр
23,Rücken::N,selkä,фӕсонтӕ
24,Bauch::N,maha,гуыбын
25,Bauch::N,vatsa,гуыбын
26,Nabel::N,napa,бикъ
27,Busen::N,rinta,дзидзи
28,Brust::N,rinta,риу
29,Schulter::N,olka,уӕхск
30,Schulter::N,hartia,уӕхск
31,Schulter::N,olkapää,уӕхск
32,Arm::N,käsivarsi,цонг
33,Ellenbogen::N,kyynärpää,рæмбын
34,Hand::N,käsi,къух
35,Handfläche::N,kämmen,армытъӕпӕн
36,Finger::N,sormi,ӕнруылдз
37,Fingernagel::N,kynsi,ных
38,Nagel[Anatomie]::N,kynsi,ных
39,Zeh::N,varvas,къух
40,Fuß::N,jalka,фад
41,Ferse::N,kantapää,зӕвӕт
42,Knie::N,polvi,уӕраг
43,Oberschenkel::N,reisi,агъд
44,Bein::N,jalka,зӕнг
45,Körper::N,keho,буар
46,Körper::N,ruumis,буар
47,Haut::N,iho,царм
48,Blut::N,veri,туг
49,Ader::N,suoni,дадзин
50,Ader::N,suoni,тугдадзин
51,Sehne::N,jänne,хъиутæ
52,Sehne::N,jänne,нуар
53,Knochen::N,luu,стӕг
54,Gehirn::N,aivot,магъз
55,Herz::N,sydän,зӕрдӕ
56,Magen::N,maha,ахсӕн
57,Magen::N,vatsa,ахсӕн
58,Leber::N,maksa,игæр
59,Atem::N,henki,улӕфт
60,Atem::N,hengitys,улӕфт
61,Hunger::N,nälkä,стонг
62,Träne::N,kyynel,цæссыг
63,Geschmack::N,maku,ад
64,Geruch::N,haju,смаг
65,Schlaf::N,uni,хуыссӕг
66,Traum::N,uni,фын
67,Himmel::N,taivas,арв
68,Himmel::N,taivas,уӕларв
69,Sonne::N,aurinko,хур
70,Mond::N,kuu,мӕй
71,Stern::N,tähti,стъалы
72,Luft::N,ilma,уӕлдӕф
73,Wind::N,tuuli,дымгӕ
74,Welle::N,aalto,уылӕн
75,Wasser::N,vesi,дон
76,Stein::N,kivi,дур
77,Boden::N,maa,зӕхх
78,Boden::N,maaperä,зӕхх
79,Erde::N,maa,сыджыт
80,Staub::N,pöly,рыг
81,Rauch::N,savu,фӕздӕг
82,Funke::N,kipinä,цӕхӕр
83,Feuer::N,tuli,зынг
84,Licht::N,valo,рухс
85,Schatten::N,varjo,аууон
