,Concept_ID,lv,mhr
0,Auge::N,син,шинча́
1,Auge::N,acs,шинча́
2,Ohr::N,пель,пы́лыш
3,Ohr::N,auss,пы́лыш
4,Nase::N,ныр,нер
5,Nase::N,deguns,нер
6,Mund::N,вом,умша́
7,Mund::N,mute,умша́
8,Zahn::N,пинь,пӱй
9,Zahn::N,zobs,пӱй
10,Zunge::N,кыв,йы́лме
11,Zunge::N,mēle,йы́лме
12,Lippe::N,вом дор,тӱ́рвӧ
13,Lippe::N,lūpa,тӱ́рвӧ
14,Wange::N,бан,шӱ́ргӧ
15,Wange::N,vaigs,шӱ́ргӧ
16,Gesicht::N,чужӧм,чури́й
17,Gesicht::N,seja,чури́й
18,Gesicht::N,ģīmis,чури́й
19,Stirn::N,плеш,саҥга́
20,Stirn::N,кымӧс,саҥга́
21,Stirn::N,piere,саҥга́
22,Haar::N,си,ӱп
23,Haar::N,юрси,ӱп
24,Haar::N,mats,ӱп
25,Schnurrbart::N,ус,ӧ́рыш
26,Schnurrbart::N,пыртсим,ӧ́рыш
27,Schnurrbart::N,ūsas,ӧ́рыш
28,Bart::N,тош,понда́ш
29,Bart::N,bārda,понда́ш
30,Kinn::N,тшӧка,оҥыла́ш
31,Kinn::N,zods,оҥыла́ш
32,Kinn::N,smakrs,оҥыла́ш
33,Kiefer[Anatomie]::N,черлы,пӱйдӱ́ҥ
34,Kiefer[Anatomie]::N,черлы,пӱйората́
35,Kiefer[Anatomie]::N,алака лы,пӱйдӱ́ҥ
36,Kiefer[Anatomie]::N,алака лы,пӱйората́
37,Kiefer[Anatomie]::N,вомкӧтш лы,пӱйдӱ́ҥ
38,Kiefer[Anatomie]::N,вомкӧтш лы,пӱйората́
39,Kiefer[Anatomie]::N,žoklis,пӱйдӱ́ҥ
40,Kiefer[Anatomie]::N,žoklis,пӱйората́
41,Kehle::N,голя,лога́р
42,Kehle::N,rīkle,лога́р
43,Hals::N,сьылі,шӱй
44,Hals::N,kakls,шӱй
45,Genick::N,юрбӧр,шӱйло́дыш
46,Genick::N,балябӧж,шӱйло́дыш
47,Genick::N,sprands,шӱйло́дыш
48,Kopf::N,юр,вуй
49,Kopf::N,galva,вуй
50,Rücken::N,мыш,туп
51,Rücken::N,mugura,туп
52,Bauch::N,рушку,мӱ́шкыр
53,Bauch::N,vēders,мӱ́шкыр
54,Nabel::N,гӧг,кы́лымде
55,Nabel::N,naba,кы́лымде
56,Busen::N,морӧс,чы́зе
57,Busen::N,krūts,чы́зе
