,Concept_ID,kv,da
0,Auge::N,син,øje
1,Ohr::N,пель,øre
2,Nase::N,ныр,næse
3,Mund::N,ӧм,mund
4,Zahn::N,пинь,tand
5,Zunge::N,кыв,tunge
6,Lippe::N,тырп,læbe
7,Wange::N,рожабан,kind
8,Gesicht::N,бан,ansigt
9,Stirn::N,кымӧс,pande
10,Haar::N,юрси,hår
11,Schnurrbart::N,уссэз,overskæg
12,Bart::N,тош,skæg
13,Kinn::N,тшӧка,hage
14,Kiefer[Anatomie]::N,ан,kæbe
15,Kehle::N,юан,strube
16,Hals::N,юан,hals
17,Genick::N,юр бӧр,nakke
18,Kopf::N,юр,hoved
19,Rücken::N,мышк,ryg
20,Bauch::N,кынӧм,mave
21,Nabel::N,гӧг,navle
22,Busen::N,морос,barm
23,Brust::N,морос,bryst
24,Schulter::N,пельпон,skulder
25,Arm::N,ки,arm
26,Ellenbogen::N,гырдзза,albue
27,Hand::N,кикар,hånd
28,Handfläche::N,ки пыдӧс,håndflade
29,Finger::N,чунь,finger
30,Fingernagel::N,гыж,fingernegl
31,Nagel[Anatomie]::N,гыж,negl
32,Zeh::N,чунь,tå
33,Fuß::N,кокпыдӧс,fod
34,Ferse::N,кокдзир,hæl
35,Knie::N,пидзӧс,knæ
36,Oberschenkel::N,лядьбей,lår
37,Bein::N,кок,ben
38,Körper::N,вывтыр,krop
39,Körper::N,вывтыр,legeme
40,Haut::N,кучик,hud
41,Blut::N,вир,blod
42,Ader::N,сӧн,åre
43,Sehne::N,жила,sene
44,Knochen::N,коска,ben
45,Gehirn::N,вем,hjerne
46,Herz::N,сьӧлӧм,hjerte
47,Magen::N,жӧвдӧк,mave
48,Leber::N,мус,lever
49,Atem::N,лолалӧм,ånde
50,Hunger::N,тшыг,sult
51,Träne::N,синва,tåre
52,Geschmack::N,кӧр,smag
53,Geruch::N,дук,lugt
54,Schlaf::N,он,søvn
55,Traum::N,вӧт,drøm
56,Himmel::N,небо,himmel
57,Sonne::N,шондi,sol
58,Mond::N,тӧлiсь,måne
59,Stern::N,кӧдзыв,stjerne
60,Luft::N,ру,luft
61,Wind::N,тӧв,vind
62,Welle::N,гы,bølge
63,Wasser::N,ва,vand
64,Stein::N,из,sten
65,Boden::N,му,jord
66,Erde::N,му,jord
67,Staub::N,бус,støv
68,Rauch::N,тшын,røg
69,Funke::N,бичир,gnist
70,Feuer::N,би,ild
71,Licht::N,би,lys
72,Schatten::N,вуджӧр,skygge
73,Wetter::N,погоддя,vejr
74,Nebel::N,туман,tåge
75,Wolke::N,кымӧр,sky
76,Regen::N,зэр,regn
77,Schnee::N,лым,sne
78,Eis::N,йы,is
79,Frost::N,мороз,frost
80,Kälte::N,кӧдзыт,kulde
81,Hitze::N,ӧд,hede
82,Raureif::N,кижа,rimfrost
83,Regenbogen::N,енӧшка,regnbue
84,Donner::N,гым,torden
85,Strömung::N,визывтӧм,strømning
86,Tropfen::N,тёп,dråbe
87,Schaum::N,быг,skum
88,Schmutz::N,нять,snavs
89,See::N,ты,sø
