,Concept_ID,lbe,tt
0,Auge::N,я,күз
1,Ohr::N,вичӏи,колак
2,Nase::N,май,борын
3,Mund::N,кьацӏ,авыз
4,Mund::N,кьацӏ,тамак
5,Zahn::N,ккарччи,теш
6,Zunge::N,маз,тел
7,Lippe::N,мурччи,ирен
8,Wange::N,чӏав,яңак
9,Gesicht::N,лажин,йөз
10,Stirn::N,ненттабакӏ,маңгай
11,Haar::N,чӏара,чәч
12,Schnurrbart::N,ссирссилтту,мыек
13,Bart::N,чӏири,сакал
14,Kinn::N,лунттубакӏ,ияк
15,Kiefer[Anatomie]::N,ххинчулул,казналык
16,Kehle::N,кьакьари,тамак
17,Hals::N,ссурссу,бугаз
18,Genick::N,махъабакӏ,җилкә
19,Kopf::N,бакӏ,баш
20,Rücken::N,ттиликӏ,сырт
21,Bauch::N,лякьа,корсак
22,Nabel::N,цӏумуккутӏ,кендек
23,Busen::N,ккукку,түш
24,Brust::N,хъазам,имчәк
25,Brust::N,хъазам,күкрәк
26,Schulter::N,хъачӏ,иңбаш
27,Schulter::N,хъачӏ,кулбаш
28,Arm::N,ка,кул
29,Ellenbogen::N,ссюрхъ,терсәк
30,Hand::N,бартка,кул
31,Handfläche::N,хъат,уч
32,Handfläche::N,битӏянхъ,уч
33,Finger::N,кӏисса,бармак
34,Fingernagel::N,михь,тырнак
35,Nagel[Anatomie]::N,михь,тырнак
36,Zeh::N,кӏисса,бармак
37,Fuß::N,чӏанччан,табан
38,Ferse::N,никъа,үкчә
39,Knie::N,ник,тез
40,Oberschenkel::N,жира,бот
41,Bein::N,ччан,аяк
42,Körper::N,чурх,тән
43,Körper::N,чурх,җисем
44,Haut::N,бурчу,тире
45,Blut::N,оь,кан
46,Ader::N,тунну,тамыр
47,Sehne::N,хьхьа,сеңер
48,Knochen::N,ттаркӏ,сөяк
49,Gehirn::N,ня,ми
50,Herz::N,дакӏ,йөрәк
51,Herz::N,къюкӏ,йөрәк
52,Magen::N,лякьа,ашказаны
53,Atem::N,ссихӏ ласаву,сулыш
54,Atem::N,ссихӏ бигьаву,сулыш
55,Hunger::N,ккаши,ачлык
56,Träne::N,макь,яшь
57,Geschmack::N,тӏин,тәм
58,Geschmack::N,тӏин,зәвык
59,Geschmack::N,тӏааьн,тәм
60,Geschmack::N,тӏааьн,зәвык
61,Geruch::N,кьанкь,ис
62,Schlaf::N,шану,йокы
63,Traum::N,макӏру,төш
64,Himmel::N,ссав,күк
65,Sonne::N,баргъ,кояш
66,Mond::N,барз,ай
67,Stern::N,цӏуку,йолдыз
68,Luft::N,гьава,һава
69,Wind::N,марч,җил
70,Welle::N,щатӏи,дулкын
71,Wasser::N,щин,су
72,Stein::N,чару,таш
73,Boden::N,аьрщи,туфрак
74,Erde::N,аьрщи,җир
75,Staub::N,ххит,тузан
76,Rauch::N,пуркӏу,төтен
77,Funke::N,пиягь,очкын
78,Feuer::N,цӏу,ут
79,Licht::N,чани,якты
80,Schatten::N,ххют,күләгә
81,Wetter::N,гьава,һава
82,Nebel::N,шархь ттурлу,томан
83,Wolke::N,ттурлу,болыт
84,Regen::N,гъарал,яңгыр
85,Schnee::N,марххала,кар
86,Eis::N,микӏ,боз
87,Frost::N,дяркъу,суык
88,Frost::N,дяркъу,салкын
89,Frost::N,замгьар,суык
90,Frost::N,замгьар,салкын
91,Kälte::N,дяркъу,суык
92,Kälte::N,дяркъу,салкын
93,Hitze::N,кӏиришиву,эсселек
94,Raureif::N,сил,бәс
95,Raureif::N,сил,сыкы
96,Raureif::N,бурса,бәс
97,Raureif::N,бурса,сыкы
98,Regenbogen::N,ссурул ккуртта,салават күпере
99,Donner::N,къув,күкрәү
100,Strömung::N,экьинанаву,агыш'агым
101,Tropfen::N,кӏунтӏ,тамчы
102,Schaum::N,хьама,күбек
103,Schmutz::N,кьяркьи,пычрак
104,See::N,бяр,күл
105,Sumpf::N,кунцӏа,саз
106,Wiese::N,кьан,болын
107,Wald::N,вацӏа,урман
108,Hügel::N,бакӏу,калку
109,Berg::N,зунтту,тау
110,Gipfel::N,мицӏ,оч
111,Höhle::N,нух,мәгарә
112,Abhang::N,сун,кабырга
113,Quelle::N,дайдихьу,чишмә
114,Quelle::N,бакӏ,чишмә
115,Bach::N,чӏрир нех,елга
116,Fluss::N,нех,дәрья
117,Ufer::N,зума,су кырые
118,Küste::N,зумаинхалу,яр буе
119,Küste::N,зуманицӏалу,яр буе
120,Festland::N,кьири,коры җир
121,Meer::N,хьхьири,диңгез
122,Insel::N,жазира,атау
123,Insel::N,жазира,утрау
124,Blume::N,тӏутӏи,чәчкә
125,Gras::N,уртту,үлән
126,Wurzel::N,мархха,тамыр
127,Baum::N,мурхь,агач
128,Stamm::N,ттарцӏ,кәүсә
129,Rinde::N,ккамара,кабык
130,Ast::N,матӏи,ботак
131,Zweig::N,къяртта,ботак
132,Zweig::N,къяртта,тармак
133,Blatt::N,чӏапӏи,яфрак
134,Birke::N,кӏялахӏи,каен
135,Birke::N,кӏялахӏилул мурхь,каен
136,Kiefer[Baum]::N,ттар,нарат
137,Kiefer[Baum]::N,ттарлил мурхь,нарат
138,Weide[Baum]::N,щавщи,тал
139,Tanne::N,ттарлил мурхь,чыршы
140,Horn::N,хъи,мөгез
141,Feder::N,лелуххул тӏиму,йон
142,Fell::N,бурчу,тире
143,Flügel::N,хъа,канат
144,Flügel::N,ххурупӏайрал тӏиму,канат
145,Klaue::N,михь,тырнак
146,Kralle::N,ххяппа,тырнак
147,Schwanz::N,магъ,койрык
148,Ei::N,ккунук,күкәй
149,Ei::N,ккунук,йомырка
150,Nest::N,кюру,оя
151,Bau::N,цукъуккутӏ,өн
152,Tier::N,хӏайван,хайван
153,Herde::N,газу,көтү
154,Kuh::N,оьл,сыер
155,Bulle::N,ниц,үгез
156,Pferd::N,чу,ат
157,Schaf::N,тта,сарык
158,Schwein::N,дунгъуз,дуңгыз
159,Hund::N,ккаччи,эт
160,Katze::N,ччиту,песи
161,Bär::N,цуша,аю
162,Eichhörnchen::N,бюрхттукку,тиен
163,Elch::N,ниц-бюрин,поши
164,Fuchs::N,цулчӏа,төлке
165,Fuchs::N,куча цулчӏа,төлке
166,Hase::N,бюрх,куян
167,Maus::N,кӏулу,тычкан
168,Wolf::N,барцӏ,бүре
169,Vogel::N,лелуххи,кош
170,Schwarm::N,гьухъала,көтү
171,Huhn::N,аьнакӏи,тавык
172,Hahn::N,ажари,әтәч
173,Gans::N,къаз,каз
174,Adler::N,барзу,каракош
175,Ente::N,урдак,үрдәк
176,Eule::N,ису,ябалак
177,Eule::N,ччиккумяв,ябалак
178,Kranich::N,кьурукь,торна
179,Krähe::N,хъатӏу,карга
180,Kuckuck::N,ччикку,күке
181,Kuckuck::N,ччикку,кәккүк
182,Schwan::N,урттил къаз,аккош
183,Fisch::N,чавахъ,балык
184,Schlange[Tier]::N,шатта,елан
185,Wurm::N,кьюнукьай шатта,корт
186,Spinne::N,ххялцу,үрмәкүч
187,Ameise::N,митӏикьукьу,кырмыска
188,Mücke::N,мичӏак,черки
189,Mücke::N,мичӏак,озынборын
190,Fliege::N,зимиз,чебен
191,Schmetterling::N,чӏимучӏали,күбәләк
192,Beere::N,хӏаллил ахъулсса,җиләк
193,Apfel::N,гьивч,алма
194,Pilz::N,ттуккул иис,гөмбә
195,Zwiebel::N,лаччул чсмусул бакӏ,суган
196,Zwiebel::N,лаччул чсмусул бакӏ,суганбаш
197,Saat::N,гьанна,орлык
198,Korn::N,къама,иген
199,Korn::N,къама,орлык
200,Heu::N,ххулув,печән
201,Schale::N,ккиртту,кабык
202,Grube::N,кӏаланг,баз
203,Grube::N,кӏаланг,чокыр
204,Falle::N,къатӏа,тозак
205,Falle::N,къатӏа,капкын
206,Schlinge::N,хӏатӏ,элмәк
207,Spur::N,ша,эз
208,Asche::N,лах,көл
209,Dreck::N,кьяркьи,пычрак
210,Dreck::N,венп,пычрак
