,Concept_ID,da,sq
0,Auge::N,øje,sy
1,Ohr::N,øre,vesh
2,Nase::N,næse,hundë
3,Mund::N,mund,gojë
4,Zahn::N,tand,dhëmb
5,Zunge::N,tunge,gjuhë
6,Lippe::N,læbe,buzë
7,Wange::N,kind,faqe
8,Wange::N,kind,mollëz
9,Gesicht::N,ansigt,fytyrë
10,Stirn::N,pande,ballë
11,Haar::N,hår,flokë
12,Schnurrbart::N,overskæg,mustaqe
13,Bart::N,skæg,mjekër
14,Kinn::N,hage,mjekër
15,Kiefer[Anatomie]::N,kæbe,nofull
16,Kehle::N,strube,fyt
17,Kehle::N,strube,grykë
18,Hals::N,hals,qafë
19,Genick::N,nakke,arrëz
20,Kopf::N,hoved,kokë
21,Rücken::N,ryg,kurriz
22,Bauch::N,mave,bark
23,Nabel::N,navle,kërthizë
24,Busen::N,barm,gji
25,Brust::N,bryst,gjoks
26,Brust::N,bryst,kraharor
27,Schulter::N,skulder,sup
28,Schulter::N,skulder,krah
29,Arm::N,arm,krah
30,Ellenbogen::N,albue,bërryl
31,Hand::N,hånd,dorë
32,Handfläche::N,håndflade,pëllëmbë
33,Finger::N,finger,gisht
34,Fingernagel::N,fingernegl,thua
35,Nagel[Anatomie]::N,negl,thua
36,Zeh::N,tå,gisht i këmbës
37,Fuß::N,fod,këmbë
38,Ferse::N,hæl,thembër
39,Knie::N,knæ,gju
40,Oberschenkel::N,lår,kofshë
41,Bein::N,ben,këmbë
42,Körper::N,krop,trup
43,Körper::N,legeme,trup
44,Haut::N,hud,lëkurë
45,Blut::N,blod,gjak
46,Ader::N,åre,venë
47,Sehne::N,sene,dell
48,Knochen::N,ben,asht
49,Knochen::N,ben,kockë
50,Gehirn::N,hjerne,tru
51,Herz::N,hjerte,zemër
52,Magen::N,mave,stomak
53,Leber::N,lever,mëlçi
54,Atem::N,ånde,frymë
55,Hunger::N,sult,uri
56,Träne::N,tåre,lot
57,Geschmack::N,smag,shije
58,Geruch::N,lugt,erë
59,Schlaf::N,søvn,gjumë
60,Traum::N,drøm,ëndërr
61,Himmel::N,himmel,qiell
62,Sonne::N,sol,diell
63,Mond::N,måne,hënë
64,Stern::N,stjerne,yll
65,Luft::N,luft,ajër
66,Wind::N,vind,erë
67,Welle::N,bølge,valë
68,Welle::N,bølge,dallgë
69,Wasser::N,vand,ujë
70,Stein::N,sten,gur
71,Boden::N,jord,tokë
72,Boden::N,jord,truall
73,Erde::N,jord,dhe
74,Erde::N,jord,baltë
75,Staub::N,støv,pluhur
76,Rauch::N,røg,tym
77,Funke::N,gnist,xixë
78,Funke::N,gnist,shkëndijë
79,Feuer::N,ild,zjarr
80,Licht::N,lys,dritë
81,Schatten::N,skygge,hije
82,Wetter::N,vejr,mot
83,Nebel::N,tåge,mjegull
84,Wolke::N,sky,re
85,Regen::N,regn,shi
86,Schnee::N,sne,borë
87,Eis::N,is,akull
88,Frost::N,frost,ngricë
89,Kälte::N,kulde,të ftohtë
90,Hitze::N,hede,vapë
91,Hitze::N,hede,nxehtësi
92,Raureif::N,rimfrost,cikmë
93,Regenbogen::N,regnbue,ylber
94,Donner::N,torden,gjëmim
95,Donner::N,torden,bubullimë
96,Strömung::N,strømning,rrymë
97,Tropfen::N,dråbe,pikë
98,Schaum::N,skum,shkumë
99,Schmutz::N,snavs,baltë
100,See::N,sø,liqen
101,Sumpf::N,sump,batak
102,Moor::N,mose,kënetë
103,Wiese::N,eng,livadh
104,Wald::N,skov,pyll
105,Hügel::N,høj,kodër
