,Concept_ID,te,ml
0,Auge::N,కన్ను,കണ്ണ്
1,Ohr::N,చెవి,ചെവി
2,Nase::N,ముక్కు,മൂക്ക്
3,Mund::N,నోరు,വായ
4,Zahn::N,పల్లు,പല്ല്
5,Zunge::N,నాలుక,നാക്ക്
6,Lippe::N,పెదవి,ചുണ്ട്
7,Wange::N,చెంప,കവിൾത്തടം
8,Gesicht::N,ముఖము,മുഖം
9,Stirn::N,నుదురు,നെറ്റി
10,Haar::N,వెండ్రుక,തലമുടി
11,Schnurrbart::N,మీసము,മീശ
12,Bart::N,గడ్డము,താടിരോമം
13,Kinn::N,గడ్డము,താടി
14,Kiefer[Anatomie]::N,దౌడ,താടിയെല്ല്
15,Kehle::N,గొంతు,കണ്ഠനാളം
16,Hals::N,మెడ,കഴുത്ത്
17,Genick::N,మూపు,പിടലി
18,Kopf::N,తల,തല
19,Rücken::N,వెన్ను,മുതുക്
20,Bauch::N,కడుపు,നയറ്
21,Nabel::N,బొడ్డు,നാഭി
22,Busen::N,స్తనము,സ്തനം
23,Brust::N,ఱొమ్ము,സ്തനം
24,Schulter::N,భుజము,തോൾ
25,Arm::N,చేయి,കൈ
26,Ellenbogen::N,మోచేయి,കൈമുട്ട്
27,Hand::N,చేయి,കൈ
28,Handfläche::N,అరచేయు,ഉള്ളം കൈ
29,Finger::N,చేతిప్రేలు,വിരൽ
30,Fingernagel::N,గోరు,നഖം
31,Nagel[Anatomie]::N,గోరు,നഖം
32,Zeh::N,కాలిప్రేలు,കാൽവിരൽ
33,Fuß::N,అడుగు,കാൽപ്പാദം
34,Ferse::N,మడమ,ഉപ്പൂറ്റി
35,Knie::N,మోకాలు,കാൽമുട്ട്
36,Oberschenkel::N,తొడ,തുട
37,Bein::N,కాలు,കാൽ
38,Körper::N,కాయము,ശരീരം
39,Haut::N,చర్మము,ചർമ്മം
40,Blut::N,రక్తము,രക്തം
41,Ader::N,సిర,ഞരമ്പ്
42,Sehne::N,స్నాయువు,സ്നായു
43,Knochen::N,ఎముక,അസ്ഥി
44,Gehirn::N,మెదడు,തലച്ചോറ്
45,Herz::N,హృదయము,ഹൃദയം
46,Magen::N,కడుపు,വയർ
47,Leber::N,కాలేయము,കരൾ
48,Atem::N,ఉపిరి,ശ്വാസം
49,Hunger::N,ఆకలి,വിശപ്പ്
50,Träne::N,కన్నీటిచుక్క,കണ്ണീർ
51,Geschmack::N,రుచి,രുചി
52,Geruch::N,వాసన,ഗന്ധം
53,Schlaf::N,నిద్ర,ഉറകും
54,Traum::N,కల,സ്വപ്നം
55,Himmel::N,ఆకాశము,ആകാശം
56,Sonne::N,సూర్యుడు,സൂര്യൻ
57,Mond::N,చంద్రుడు,ചന്ദ്രൻ
58,Stern::N,నక్షత్రము,നക്ഷത്രം
59,Luft::N,గాలి,കാറ്റ്
60,Wind::N,వీచుచున్నగాలి,കാറ്റ്
61,Welle::N,అల,തിരമാല
62,Wasser::N,నీరు,വെള്ളം
63,Stein::N,ఱాయి,ശില
64,Stein::N,ఱాయి,കല്ല്
65,Boden::N,నేల,തറ
66,Boden::N,నేల,നിലം
67,Erde::N,మన్ను,മണ്ണ്
68,Staub::N,దుమ్ము,പൊടി
69,Rauch::N,పొగ,പുക
70,Funke::N,అగ్నికణము,തീപ്പൊരി
71,Feuer::N,అగ్ని,തീ
72,Licht::N,కాంతి,വിളക്ക്
73,Licht::N,కాంతి,സൂര്യപ്രകാശം
74,Schatten::N,నీడ,തണൽ
75,Wetter::N,వాతావరణ స్థితి,കാലാവസ്ഥ
76,Nebel::N,పొగమంచు,മൂടൽമഞ്ഞ്
77,Wolke::N,మేఘము,മേഘം
78,Regen::N,వాన,മഴ
79,Schnee::N,హిమము,മഞ്ഞ്
80,Eis::N,మంచుగడ్డ,ഐസ്
81,Frost::N,పేరిన మంచు,മൂടൽമഞ്ഞ്
82,Kälte::N,చలి,തണുപ്പ്
83,Hitze::N,వేడిమి,ചൂട്
84,Raureif::N,మంచు,കോടമഞ്ഞ്
85,Regenbogen::N,ఇంద్రధనుస్సు,മഴവില്ല്
86,Donner::N,ఉరుము,ഇടി
87,Strömung::N,ప్రవాహము,പ്രവാഹം
88,Tropfen::N,చుక్క,തുള്ളി
89,Schaum::N,నురుగు,നുര
90,Schmutz::N,మైల,അഴുക്ക്
91,See::N,సరస్సు,തടാകം
92,Sumpf::N,చిత్తడినేల,ചതുപ്പുനിലം
93,Moor::N,చిత్తడినేల,പാഴ്നിലം
94,Wiese::N,పచ్చిక బయలు,പുൽത്തകിടി
95,Wald::N,అడవి,വനം
96,Wald::N,అడవి,കാട്
97,Hügel::N,చివ్నకొండ,കുന്ന്
98,Anhöhe::N,కొండ,ഉയർന്ന ഭൂമി
99,Berg::N,పర్వతము,പർവ്വതം
100,Gipfel::N,శిఖరము,ഉച്ചകോടി
101,Höhle::N,గుహ,ഗുഹ
102,Abhang::N,ఏటవాలు,ചരിവ്
103,Quelle::N,మూలము,ഉറവിടം
104,Bach::N,కాలువ,അരുവി
105,Fluss::N,నది,നദി
106,Ufer::N,తీరము,തീരം
107,Küste::N,తీరము,കടൽത്തീരം
108,Festland::N,భూమి,കര
109,Meer::N,సముద్రము,കടൽ
110,Bucht::N,మరుగు,ഉൾക്കടല്
111,Insel::N,దీవి,ദ്വീപ്
112,Blume::N,పుష్పము,പൂവ്
113,Gras::N,పచ్చగడ్డి,പുല്ല്
114,Wurzel::N,వేరు,വേര്
115,Baum::N,చెట్టు,മരം
116,Stamm::N,చెట్టుబోదె,തായ്ത്തടി
117,Rinde::N,చెట్టుపట్ట,പട്ട
118,Ast::N,కొమ్మ,ശാഖ
119,Zweig::N,చివుకు,ശാഖ
120,Blatt::N,ఆకు,ഇല
121,Birke::N,తరహా చెట్టు,പൂവരശ്
122,Kiefer[Baum]::N,దేవదారు చెట్టు,പൈൻമരം
123,Weide[Baum]::N,జాతిచెట్టు,വില്ലോ
124,Tanne::N,దేవదారుచెట్టు,ദേവദാരു
125,Horn::N,కొమ్ము,മൃഗത്തിൻറെ കൊമ്പ്
126,Feder::N,ఈక,തൂവൽ
127,Fell::N,తోలు,മൃദുരോമം
128,Flügel::N,ఱెక్క,ചിറക്
129,Klaue::N,వంకరగోరు,നഖം
130,Kralle::N,వంకరగోరు,നഖം
131,Schwanz::N,తోక,വാൽ
132,Ei::N,గ్రుడ్డు,മുട്ട
133,Nest::N,పక్షిగూడు,കൂട്
134,Bau::N,గుహ,മാളം
135,Tier::N,జంతువు,മൃഗം
136,Herde::N,మంద,കൂട്ടം
137,Kuh::N,ఆవు,പശു
138,Bulle::N,గిత్త,കാള
139,Pferd::N,గుఱ్ఱము,കുതിര
140,Schaf::N,గొఱ్ఱె,ആട്
141,Schwein::N,పంది,പന്നി
142,Hund::N,కుక్క,നായ്
143,Katze::N,పిల్లి,പൂച്ച
144,Bär::N,ఎలుగుబంటి,കരടി
145,Eichhörnchen::N,ఉడుత,അണ്ണാൻ
146,Elch::N,కణంజు,കടമാന്
147,Fuchs::N,గుంటనక్క,കുറുക്കൻ
148,Hase::N,కుందేలు,മുയൽ
149,Maus::N,చిట్టెలుక,ചുണ്ടലി
150,Wolf::N,తోడేలు,ചെന്നായ
151,Vogel::N,పక్షి,പക്ഷി
152,Schwarm::N,గుంపు,കൂട്ടം
153,Huhn::N,కోడిపిల్ల,കോഴി
154,Hahn::N,కోడివుంజు,പൂവൻകോഴി
155,Gans::N,ఆడుబాతు,അരയന്നം
156,Adler::N,గ్రద్ద,കഴുകൻ
157,Ente::N,పాట్టిబాతు,താറാവ്
158,Eule::N,గ్రుడ్లగూబ,മൂങ്ങ
159,Kranich::N,కొంగ,കൊക്ക്
160,Krähe::N,కాకి,കാക്ക
161,Kuckuck::N,కోయల,കുയിൽ
162,Schwan::N,హంస,അരയന്നം
163,Fisch::N,చేప,മത്സ്യം
164,Barsch::N,ఒకచేఁప,ഒരിനം മത്സ്യം
165,Hecht::N,గండుమీను,ഒരു മത്സ്യം
166,Schlange[Tier]::N,పాము,പാമ്പ്
167,Wurm::N,పురుగు,വിര
168,Spinne::N,సాలె పురుగు,ചിലന്തി
169,Ameise::N,చీమ,ഉറുമ്പ്
170,Laus::N,పేను,പേന്
171,Mücke::N,చీకటీగ,മശകം
172,Fliege::N,ఈగ,ഈച്ച
173,Schmetterling::N,సీతాకోకచిలుక,ചിത്രശലഭം
174,Beere::N,కాయ,ബെറി
175,Apfel::N,ఆపిల్ పండు,ആപ്പിൾ
176,Pilz::N,కుక్కగొడుగు,കൂൺ
177,Zwiebel::N,నీరుల్లి,സവാള
178,Saat::N,విత్తనము,വിത്ത്
179,Korn::N,గింజ,ധാന്യം
180,Heu::N,ఎండుగడ్డి,വയ്ക്കോൽ
181,Schale::N,పొట్టు,തൊലി
182,Grube::N,గొయ్యి,കുഴി
183,Falle::N,బోను,കെണി
184,Schlinge::N,ఉరి,കുടുക്ക്
185,Spur::N,జాడ,ചുവട്
186,Asche::N,బూడిద,ചാരം
187,Dreck::N,ముఱికి,അഴുക്ക്
188,Eisen::N,ఇనుము,ഇരുമ്പ്
189,Gold::N,బంగారము,സ്വർണ്ണം
190,Silber::N,వెండి,വെള്ളി
191,Kohle::N,నేలబొగ్గు,കൽക്കരി
192,Glas::N,గాజు,ഗ്ലാസ്
193,Lehm::N,బంకమన్ను,കളിമണ്ണ്
194,Sand::N,ఇసుక,മണൽ
195,Mensch::N,నరుడు,മനുഷ്യർ
196,Mann::N,పురుమడు,പുരുഷൻ
197,Frau::N,ఆడుది,സ്ത്രീ
198,Kind::N,బిడ్డ,കുഞ്ഞ്
199,Junge::N,బాలుడు,ആൺകുട്ടി
200,Mädchen::N,బాలిక,പെൺകുട്ടി
201,Familie::N,కుటుంబము,കുടുംബം
202,Großvater::N,తాత,അപ്പൂപ്പൻ
203,Großmutter::N,అయ్యమ్మ,അമ്മുമ്മ
204,Eltern::N,తల్లితండ్రులు,മാതാപിതാക്കള്
205,Vater::N,తండ్రి,അച്ഛൻ
206,Mutter::N,తల్లి,അമ്മ
207,Sohn::N,కొడుకు,മകൻ
208,Tochter::N,కూతురు,മകൾ
209,Bruder::N,పోదరుడు,ചേട്ടൻ
210,Bruder::N,పోదరుడు,അനിയൻ
211,Schwester::N,సోదరి,ചേച്ചി
212,Schwester::N,సోదరి,അനിയത്തി
213,Onkel::N,మేనమామ,അമ്മാവൻ
214,Tante::N,మేనత్త,മാമി
215,Tante::N,పినతల్లి,മാമി
216,Ehemann::N,భర్త,ഭർത്താവ്
217,Ehefrau::N,భార్య,ഭാര്യ
218,Freude::N,సంతోషము,ആഹ്ലാദം
219,Gelächter::N,నవ్వు,ചിരിയുടെ ശബ്ദം
220,Glück::N,సంతోషము,സന്തോഷം
221,Glück::N,సంతోషము,സന്തുഷ്ടി
222,Kummer::N,దుఃఖము,ശോകം
