,Concept_ID,fr,ady
0,Auge::N,œil,нэ
1,Ohr::N,oreille,тхьакӏу́м
2,Nase::N,nez,пэ
3,Mund::N,bouche,жэ
4,Zahn::N,dent,цэ
5,Zunge::N,langue,бзэгу
6,Lippe::N,lèvre,ӏупшӏэ́
7,Wange::N,joue,нэкӏу́шъу
8,Gesicht::N,face,нэ́гу
9,Gesicht::N,visage,нэ́гу
10,Stirn::N,front,натӏэ́
11,Haar::N,cheveu,шъхьацы́
12,Schnurrbart::N,moustache,
13,Bart::N,barbe,жакӏэ́
14,Kinn::N,menton,жэкӏэпэпкъ
15,Kiefer[Anatomie]::N,mâchoire,жэпкъы́
16,Kehle::N,gorge,чый
17,Hals::N,cou,пшъэ
18,Genick::N,nuque,шъхьэпхэтыку
19,Kopf::N,tête,шъхьэ́
20,Rücken::N,dos,кӏыбы́
21,Bauch::N,ventre,ныбэ́
22,Nabel::N,nombril,
23,Busen::N,sein,бгъэ́
24,Brust::N,poitrine,бгъэ́
25,Schulter::N,épaule,блыпкъ
26,Arm::N,bras,ӏэ
27,Ellenbogen::N,coude,ӏэнтэ́гъу
28,Hand::N,main,ӏэтхьэцу
29,Handfläche::N,paume,ӏэ́гу
30,Finger::N,doigt,ӏэхъуа́мб
31,Fingernagel::N,ongle,ӏэбжъа́н
32,Nagel[Anatomie]::N,ongle,ӏэбжъа́н
33,Zeh::N,orteil,ӏэхъуа́мб
34,Zeh::N,doigt de pied,ӏэхъуа́мб
35,Fuß::N,pied,лъэгу
36,Ferse::N,talon,лъэдакъэ
37,Knie::N,genou,лъагуа́ндж
38,Oberschenkel::N,cuisse,ко
39,Bein::N,jambe,лъакъо́
40,Körper::N,corps,пкъышъол
41,Haut::N,peau,кӏы́шъу
42,Blut::N,sang,лъы
43,Ader::N,veine,льытф
44,Sehne::N,tendon,фэ
45,Knochen::N,os,къупшъхьэ́
46,Gehirn::N,cerveau,куцӏы
47,Herz::N,cœur,гу
48,Magen::N,estomac,мышкӏу
49,Leber::N,foie,шӏу
50,Atem::N,haleine,къэщэныр
51,Hunger::N,faim,гъаблэ́
52,Träne::N,larme,нэпсы
53,Geschmack::N,goût,ӏэшӏугъа́кӏ
54,Geschmack::N,saveur,ӏэшӏугъа́кӏ
55,Geruch::N,odeur,мэ
56,Schlaf::N,sommeil,пчыхьы́пӏ
57,Traum::N,songe,пчыхьы́пӏ
58,Himmel::N,ciel,уашъо́
59,Sonne::N,soleil,тыгъэ
60,Mond::N,lune,мазэ
61,Stern::N,étoile,жъуагъо́
62,Luft::N,air,жьы
63,Wind::N,vent,жьыбгъэ́
64,Welle::N,vague,ор
65,Welle::N,vague,оры
66,Wasser::N,eau,псы
67,Stein::N,pierre,мыжъо́
68,Boden::N,sol,чӏ́ыгу
69,Boden::N,terrain,чӏ́ыгу
70,Erde::N,terre,чӏ́ыгу
71,Staub::N,poussière,сап
72,Rauch::N,fumée,ӏугъо́
73,Funke::N,étincelle,мэшӏуа́ч
74,Feuer::N,feu,машӏо́
75,Licht::N,lumière,нэфы
76,Licht::N,lumière,нэфын
77,Schatten::N,ombre,жьау́
78,Schatten::N,ombre,ныбжьыкъу
79,Wetter::N,temps,
80,Nebel::N,brume,пща́гъу
81,Nebel::N,brouillard,пща́гъу
82,Wolke::N,nuage,ошъуапщэ
83,Regen::N,pluie,ощхы
84,Schnee::N,neige,осы́
85,Eis::N,glace,мылы
86,Frost::N,gel,
