,Concept_ID,kv,tr
0,Auge::N,син,göz
1,Ohr::N,пель,kulak
2,Nase::N,ныр,burun
3,Mund::N,ӧм,ağız
4,Zahn::N,пинь,diş
5,Zunge::N,кыв,dil
6,Lippe::N,тырп,dudak
7,Wange::N,рожабан,yanak
8,Gesicht::N,бан,yüz
9,Stirn::N,кымӧс,alın
10,Haar::N,юрси,saç
11,Schnurrbart::N,уссэз,bıyık
12,Bart::N,тош,sakal
13,Kinn::N,тшӧка,çene
14,Kiefer[Anatomie]::N,ан,çene
15,Kehle::N,юан,boğaz
16,Hals::N,юан,boyun
17,Hals::N,юан,gerdan
18,Genick::N,юр бӧр,ense
19,Kopf::N,юр,baş
20,Kopf::N,юр,kafa
21,Rücken::N,мышк,arka
22,Bauch::N,кынӧм,karın
23,Nabel::N,гӧг,göbek
24,Busen::N,морос,koyun
25,Brust::N,морос,göğüs
26,Schulter::N,пельпон,omuz
27,Arm::N,ки,kol
28,Ellenbogen::N,гырдзза,dirsek
29,Hand::N,кикар,el
30,Handfläche::N,ки пыдӧс,avuç
31,Handfläche::N,ки пыдӧс,el ayası
32,Finger::N,чунь,parmak
33,Fingernagel::N,гыж,el tırnağı
34,Nagel[Anatomie]::N,гыж,tırnak
35,Zeh::N,чунь,ayak parmağı
36,Fuß::N,кокпыдӧс,ayak
37,Ferse::N,кокдзир,topuk
38,Knie::N,пидзӧс,diz
39,Oberschenkel::N,лядьбей,uyluk
40,Bein::N,кок,bacak
41,Körper::N,вывтыр,vücut
42,Haut::N,кучик,cilt
43,Blut::N,вир,kan
44,Ader::N,сӧн,damar
45,Sehne::N,жила,kiriş
46,Knochen::N,коска,kemik
47,Gehirn::N,вем,beyin
48,Herz::N,сьӧлӧм,kalp
49,Herz::N,сьӧлӧм,yürek
50,Magen::N,жӧвдӧк,mide
51,Leber::N,мус,karaciğer
52,Atem::N,лолалӧм,nefes
53,Hunger::N,тшыг,açlık
54,Träne::N,синва,gözyaşı
55,Geschmack::N,кӧр,tat
56,Geschmack::N,кӧр,lezzet
57,Geruch::N,дук,koku
58,Schlaf::N,он,uyku
59,Traum::N,вӧт,düş
60,Traum::N,вӧт,rüya
61,Himmel::N,небо,gök
62,Sonne::N,шондi,güneş
63,Mond::N,тӧлiсь,ay
64,Stern::N,кӧдзыв,yıldız
65,Luft::N,ру,hava
66,Wind::N,тӧв,yel
67,Wind::N,тӧв,rüzgâr
68,Welle::N,гы,dalga
69,Wasser::N,ва,su
70,Stein::N,из,taş
71,Boden::N,му,yer
72,Boden::N,му,zemin
73,Erde::N,му,toprak
74,Staub::N,бус,toz
75,Rauch::N,тшын,duman
76,Funke::N,бичир,kıvılcım
77,Feuer::N,би,ateş
78,Licht::N,би,ışık
79,Schatten::N,вуджӧр,gölge
80,Wetter::N,погоддя,hava
81,Nebel::N,туман,pus
82,Wolke::N,кымӧр,bulut
83,Regen::N,зэр,yağmur
84,Schnee::N,лым,kar
85,Eis::N,йы,buz
86,Frost::N,мороз,don
87,Kälte::N,кӧдзыт,soğukluk
88,Hitze::N,ӧд,sıcaklık
89,Raureif::N,кижа,kırç
90,Regenbogen::N,енӧшка,gökkuşağı
91,Donner::N,гым,gök gürlemesi
92,Strömung::N,визывтӧм,akıntı
93,Strömung::N,визывтӧм,cereyan
94,Tropfen::N,тёп,damla
95,Schaum::N,быг,köpük
96,Schmutz::N,нять,çamur
97,Schmutz::N,нять,pislik
98,See::N,ты,göl
99,Sumpf::N,арай,batak
100,Moor::N,нюр,cılgıt
101,Wiese::N,видз,çimen
102,Wald::N,вӧр,koru
103,Wald::N,вӧр,orman
104,Hügel::N,мыльк,tepe
105,Anhöhe::N,вывтас,tümsek
106,Anhöhe::N,вывтас,yükseklik
107,Anhöhe::N,вылынін,tümsek
108,Anhöhe::N,вылынін,yükseklik
109,Berg::N,керӧс,dağ
110,Gipfel::N,йыв,zirve
111,Höhle::N,нора,in
112,Höhle::N,нора,mağara
113,Abhang::N,покат,bayır
114,Quelle::N,больган,pınar
115,Quelle::N,больган,kaynak
116,Bach::N,шор,çay
117,Bach::N,шор,dere
118,Fluss::N,ю,nehir
119,Ufer::N,берег,kıyı
120,Ufer::N,берег,sahil
121,Küste::N,берег,kıyı
122,Küste::N,берег,sahil
123,Festland::N,му,kara
124,Meer::N,море,deniz
125,Bucht::N,курья,koy
126,Bucht::N,курья,körfez
127,Blume::N,цветок,çiçek
128,Gras::N,турун,ot
129,Gras::N,турун,çim
130,Wurzel::N,вуж,kök
131,Baum::N,пу,ağaç
132,Stamm::N,мыр,gövde
133,Stamm::N,кер,gövde
134,Rinde::N,кач,kabuk
135,Ast::N,ув,dal
136,Ast::N,ув,budak
137,Zweig::N,ув,dal
138,Blatt::N,лист,yaprak
139,Birke::N,кыдз,huş
140,Kiefer[Baum]::N,пожум,çam
141,Weide[Baum]::N,бадь,söğüt
142,Tanne::N,кӧз,çam
143,Tanne::N,кӧз,köknar
144,Horn::N,сюр,boynuz
145,Feder::N,гӧн,tüy
146,Fell::N,кучик,post
147,Flügel::N,борд,kanat
148,Klaue::N,гыж,pençe
149,Kralle::N,кабыр,tırnak
150,Schwanz::N,бӧж,kuyruk
151,Ei::N,кольть,yumurta
152,Nest::N,поз,yuva
153,Bau::N,осьта,in
154,Bau::N,нора,in
155,Tier::N,зверь,hayvan
156,Herde::N,гурт,sürü
157,Kuh::N,мӧс,inek
