,Concept_ID,bn,lbe
0,Auge::N,চক্ষু,я
1,Ohr::N,কর্ণ,вичӏи
2,Nase::N,নাক,май
3,Mund::N,মুখ,кьацӏ
4,Zahn::N,দাঁত,ккарччи
5,Zunge::N,জিহবা,маз
6,Lippe::N,অধর,мурччи
7,Wange::N,গণ্ড,чӏав
8,Gesicht::N,মুখমণ্ডল,лажин
9,Stirn::N,কপাল,ненттабакӏ
10,Haar::N,চুল,чӏара
11,Schnurrbart::N,গোঁফ,ссирссилтту
12,Bart::N,শ্মশ্রু,чӏири
13,Kinn::N,চিবুক,лунттубакӏ
14,Kiefer[Anatomie]::N,চোয়াল,ххинчулул
15,Kehle::N,কণ্ঠ,кьакьари
16,Hals::N,গল,ссурссу
17,Genick::N,ঘাড়,махъабакӏ
18,Kopf::N,মাথা,бакӏ
19,Rücken::N,পৃষ্ঠ,ттиликӏ
20,Bauch::N,উদর,лякьа
21,Nabel::N,নাভি,цӏумуккутӏ
22,Busen::N,স্তন,ккукку
23,Brust::N,বুক,хъазам
24,Schulter::N,স্কন্ধ,хъачӏ
25,Arm::N,বাহু,ка
26,Ellenbogen::N,কনুই,ссюрхъ
27,Hand::N,হাত,бартка
28,Handfläche::N,করতল,хъат
29,Handfläche::N,করতল,битӏянхъ
30,Finger::N,আঙ্গুল,кӏисса
31,Fingernagel::N,হাতের নখ,михь
32,Nagel[Anatomie]::N,নখ,михь
33,Zeh::N,আঙ্গুল,кӏисса
34,Fuß::N,পা,чӏанччан
35,Ferse::N,গোড়ালি,никъа
36,Knie::N,হাঁটু,ник
37,Oberschenkel::N,ঊরু,жира
38,Bein::N,পা,ччан
39,Körper::N,দেহ,чурх
40,Haut::N,ত্বক,бурчу
41,Blut::N,রক্ত,оь
42,Ader::N,শিরা,тунну
43,Sehne::N,কণ্ডরা,хьхьа
44,Knochen::N,অস্থি,ттаркӏ
45,Gehirn::N,মস্তিষ্ক,ня
46,Herz::N,হৃৎপিণ্ড,дакӏ
47,Herz::N,হৃৎপিণ্ড,къюкӏ
48,Magen::N,পাকস্থলী,лякьа
49,Leber::N,যকৃৎ,
50,Atem::N,শ্বাস,ссихӏ ласаву
51,Atem::N,শ্বাস,ссихӏ бигьаву
52,Hunger::N,ক্ষুধা,ккаши
53,Träne::N,অশ্রু,макь
54,Geschmack::N,স্বাদ,тӏин
55,Geschmack::N,স্বাদ,тӏааьн
56,Geruch::N,গন্ধ,кьанкь
57,Schlaf::N,ঘুম,шану
58,Traum::N,স্বপ্ন,макӏру
59,Himmel::N,আকাশ,ссав
60,Sonne::N,সূর্য,баргъ
61,Mond::N,চন্দ্র,барз
62,Stern::N,নক্ষত্র,цӏуку
63,Luft::N,বায়ু,гьава
64,Wind::N,বাতাস,марч
65,Welle::N,ঢেউ,щатӏи
66,Welle::N,তরঙ্গ,щатӏи
67,Wasser::N,জল,щин
68,Stein::N,ঢিল,чару
69,Stein::N,প্রস্তর,чару
70,Boden::N,ভূতল,аьрщи
71,Erde::N,ভূমি,аьрщи
72,Staub::N,ধুলা,ххит
73,Rauch::N,ধোঁয়া,пуркӏу
74,Funke::N,স্ফুলিঙ্গ,пиягь
75,Feuer::N,অগ্নি,цӏу
76,Licht::N,আলো,чани
77,Schatten::N,ছায়া,ххют
78,Wetter::N,আবহাওয়া,гьава
79,Nebel::N,কুহেলিকা,шархь ттурлу
80,Wolke::N,মেঘ,ттурлу
81,Regen::N,বৃষ্টি,гъарал
82,Schnee::N,তুষার,марххала
83,Eis::N,বরফ,микӏ
84,Frost::N,তুষার,дяркъу
85,Frost::N,তুষার,замгьар
86,Kälte::N,শৈত্য,дяркъу
87,Hitze::N,তাপ,кӏиришиву
88,Raureif::N,তুহিন,сил
89,Raureif::N,তুহিন,бурса
90,Regenbogen::N,রামধনু,ссурул ккуртта
91,Donner::N,বজ্রধ্বনি,къув
92,Strömung::N,স্রোত,экьинанаву
93,Tropfen::N,ফোঁটা,кӏунтӏ
94,Schaum::N,ফেনা,хьама
95,Schmutz::N,ধুলা,кьяркьи
96,See::N,হ্রদ,бяр
97,Sumpf::N,জলা,кунцӏа
98,Moor::N,মাঠ,
99,Wiese::N,তৃণভূমি,кьан
100,Wald::N,বন,вацӏа
101,Hügel::N,পাহাড়,бакӏу
102,Anhöhe::N,টিলা,
103,Berg::N,পর্বত,зунтту
104,Gipfel::N,শীর্ষ,мицӏ
105,Höhle::N,গুহা,нух
106,Abhang::N,ঢাল,сун
107,Quelle::N,উৎস,дайдихьу
108,Quelle::N,উৎস,бакӏ
109,Bach::N,ক্ষুদ্র নদী,чӏрир нех
110,Fluss::N,নদী,нех
111,Ufer::N,উপকূল,зума
112,Küste::N,তীর,зумаинхалу
113,Küste::N,তীর,зуманицӏалу
114,Festland::N,ভূমি,кьири
115,Meer::N,সমুদ্র,хьхьири
116,Bucht::N,উপসাগর,
117,Insel::N,দ্বীপ,жазира
118,Blume::N,ফুল,тӏутӏи
119,Gras::N,ঘাস,уртту
120,Wurzel::N,শিকড়,мархха
121,Baum::N,গাছ,мурхь
122,Stamm::N,স্কন্ধ,ттарцӏ
123,Rinde::N,বল্কল,ккамара
124,Ast::N,শাখা,матӏи
125,Zweig::N,ডাল,къяртта
126,Blatt::N,পর্ণ,чӏапӏи
127,Birke::N,ভুর্জ,кӏялахӏи
128,Birke::N,ভুর্জ,кӏялахӏилул мурхь
129,Kiefer[Baum]::N,পাইন গাছ,ттар
130,Kiefer[Baum]::N,পাইন গাছ,ттарлил мурхь
131,Weide[Baum]::N,উইলো,щавщи
132,Tanne::N,দেবদারূ গাছ,ттарлил мурхь
133,Horn::N,শিং,хъи
134,Feder::N,পালক,лелуххул тӏиму
135,Fell::N,রোম,бурчу
136,Flügel::N,ডানা,хъа
137,Flügel::N,ডানা,ххурупӏайрал тӏиму
138,Klaue::N,নখর,михь
139,Kralle::N,নখর,ххяппа
140,Schwanz::N,লেজ,магъ
