,Concept_ID,pt,he
0,Auge::N,olho,עין
1,Ohr::N,orelha,אזן
2,Nase::N,nariz,אף
3,Nase::N,nariz,חטם
4,Mund::N,boca,פה
5,Zahn::N,dente,שן
6,Zunge::N,língua,לשון
7,Lippe::N,lábio,שפה
8,Wange::N,face,לחי
9,Gesicht::N,cara,פנים
10,Gesicht::N,rosto,פנים
11,Stirn::N,testa,מצח
12,Haar::N,cabelo,שערה
13,Schnurrbart::N,bigode,שפם
14,Bart::N,barba,זקן
15,Kinn::N,queixo,סנטר
16,Kiefer[Anatomie]::N,maxila,לסת
17,Kiefer[Anatomie]::N,mandíbula,לסת
18,Kehle::N,garganta,גרון
19,Hals::N,colo,צואר
20,Hals::N,pescoço,צואר
21,Genick::N,nuca,ערף
22,Kopf::N,cabeça,ראש
23,Rücken::N,dorso,גב
24,Rücken::N,costas,גב
25,Bauch::N,ventre,בטן
26,Bauch::N,barriga,בטן
27,Nabel::N,umbigo,טבור
28,Busen::N,seio,שד
29,Brust::N,peito,חזה
30,Schulter::N,ombro,כתף
31,Arm::N,braço,זרוע
32,Ellenbogen::N,cotovelo,מרפק
33,Hand::N,mão,יד
34,Handfläche::N,palma,כף יד
35,Handfläche::N,palma da mão,כף יד
36,Finger::N,dedo,אצבע
37,Fingernagel::N,unha,צפרן
38,Nagel[Anatomie]::N,unha,צפרן
39,Zeh::N,dedo do pé,אצבע
40,Fuß::N,pé,רגל
41,Ferse::N,calcanhar,עקב
42,Knie::N,joelho,ברך
43,Oberschenkel::N,coxa,ירך
44,Bein::N,perna,רגל
45,Körper::N,corpo,גוף
46,Haut::N,pele,עור
47,Blut::N,sangue,דם
48,Ader::N,veia,וריד
49,Sehne::N,tendão,גיד
50,Knochen::N,osso,עצם
51,Gehirn::N,cérebro,מוח
52,Herz::N,coração,לב
53,Magen::N,estômago,קבה
54,Leber::N,fígado,כבד
55,Atem::N,fôlego,נשימה
56,Hunger::N,fome,רעב
57,Träne::N,lágrima,דמעה
58,Geschmack::N,gosto,טעם
59,Geruch::N,odor,ריח
60,Geruch::N,cheiro,ריח
61,Schlaf::N,sono,שנה
62,Traum::N,sonho,חלום
63,Himmel::N,céu,שמים
64,Sonne::N,sol,שמש
65,Mond::N,lua,ירח
66,Stern::N,estrela,כוכב
67,Luft::N,ar,אויר
68,Wind::N,vento,רוח
69,Welle::N,onda,גל
70,Wasser::N,água,מים
71,Stein::N,pedra,אבן
72,Boden::N,solo,קרקע
73,Erde::N,terra,אדמה
74,Staub::N,pó,אבק
75,Rauch::N,fumo,עשן
76,Funke::N,faísca,ניצוץ
77,Funke::N,centelha,ניצוץ
78,Feuer::N,fogo,אש
79,Licht::N,luz,אור
80,Schatten::N,sombra,צל
81,Wetter::N,tempo,מזג אויר
82,Nebel::N,nevoeiro,ערפל
83,Wolke::N,nuvem,ענן
84,Regen::N,chuva,גשם
85,Schnee::N,neve,שלג
86,Eis::N,gelo,קרח
87,Frost::N,gelo,צנה
88,Frost::N,geada,צנה
89,Kälte::N,frio,קר
90,Hitze::N,ardor,חם
91,Raureif::N,geada,כפור
92,Regenbogen::N,arco-iris,קשת
93,Donner::N,trovão,רעם
94,Strömung::N,corrente,זרימה
95,Tropfen::N,gota,טפה
96,Schaum::N,espuma,קצף
97,Schmutz::N,sujidade,לכלוך
98,Schmutz::N,imundície,לכלוך
99,See::N,lago,אגם
100,Sumpf::N,charco,בצה
101,Sumpf::N,pântano,בצה
102,Moor::N,pântano,בצה
103,Wiese::N,prado,מרעה
104,Wald::N,bosque,יער
105,Wald::N,floresta,יער
106,Hügel::N,colina,תל
107,Anhöhe::N,alto,מעלה
108,Anhöhe::N,outeiro,מעלה
109,Berg::N,monte,הר
110,Berg::N,montanha,הר
111,Gipfel::N,pico,פסגה
112,Höhle::N,caverna,מערה
113,Abhang::N,encosta,מדרון
114,Abhang::N,encosta,שפוע
115,Quelle::N,fonte,מעין
116,Bach::N,regato,נחל
117,Bach::N,ribeiro,נחל
118,Fluss::N,rio,נהר
119,Ufer::N,beira,גדה
120,Küste::N,costa,חוף
121,Festland::N,terra firme,יבשה
122,Meer::N,mar,ים
123,Bucht::N,baía,מפרץ
124,Insel::N,ilha,אי
125,Blume::N,flor,פרח
126,Gras::N,erva,דשא
127,Wurzel::N,raiz,שרש
128,Baum::N,árvore,עץ
129,Stamm::N,tronco,גזע
130,Rinde::N,casca,קלפת עץ
131,Ast::N,ramo,ענף
132,Zweig::N,galho,ענף
133,Blatt::N,folha,עלה
134,Birke::N,bétula,שדר
135,Kiefer[Baum]::N,pinheiro,ארן
136,Weide[Baum]::N,salgueiro,ערבה
