,Concept_ID,kl,no
0,Auge::N,isi,øye
1,Ohr::N,siut,øre
2,Mund::N,paaq,munn
3,Mund::N,qaneq,munn
4,Zahn::N,kigut,tann
5,Zunge::N,oqaq,tunge
6,Lippe::N,qarloq,leppe
7,Wange::N,ersaq,kinn
8,Gesicht::N,kiinaq,fjes
9,Gesicht::N,kiinaq,ansikt
10,Stirn::N,qaaq,panne
11,Haar::N,meqqoq,hår
12,Bart::N,umik,skjegg
13,Kinn::N,talloq,hake
14,Kiefer[Anatomie]::N,alleroq,kjeve
15,Kehle::N,malaq,strupe
16,Hals::N,qungaseq,hals
17,Genick::N,pukusuk,nakke
18,Kopf::N,niaqoq,hode
19,Rücken::N,qimerlut,rygg
20,Bauch::N,naaq,buk
21,Bauch::N,naaq,mage
22,Nabel::N,qalaseq,navle
23,Busen::N,iviangeq,barm
24,Brust::N,iviangeq,bryst
25,Schulter::N,ersik,skulder
26,Schulter::N,assaqqoq,skulder
27,Arm::N,taleq,arm
28,Ellenbogen::N,ikusik,albue
29,Hand::N,assak,hånd
30,Handfläche::N,itumak,håndflate
31,Finger::N,inuak,finger
32,Fingernagel::N,kikiak,fingernegl
33,Nagel[Anatomie]::N,kukik,negl
34,Zeh::N,isigak,tå
35,Ferse::N,kimmik,hæl
36,Knie::N,seeqqoq,kne
37,Oberschenkel::N,uppat,lår
38,Oberschenkel::N,quttoraq,lår
39,Bein::N,isigak,bein
40,Körper::N,timi,kropp
41,Körper::N,timi,legeme
42,Haut::N,mattak,hud
43,Haut::N,mattak,skinn
44,Blut::N,aak,blod
45,Ader::N,taqaq,åre
46,Sehne::N,ujalu,sene
47,Sehne::N,ujaloq,sene
48,Knochen::N,saanikut,bein
49,Knochen::N,saanikut,knokkel
50,Gehirn::N,qarasaq,hjerne
51,Herz::N,uummat,hjerte
52,Magen::N,aqajaroq,mage
53,Leber::N,tinguk,lever
54,Atem::N,anerneq,pust
55,Hunger::N,kaanneq,sult
56,Träne::N,qia,tåre
57,Träne::N,qiak,tåre
58,Geschmack::N,qilanaartuut,smak
59,Geruch::N,tipi,lukt
60,Geruch::N,tipik,lukt
61,Traum::N,sinnattoq,drøm
62,Traum::N,sinnattugaq,drøm
63,Himmel::N,qilak,himmel
64,Sonne::N,seqineq,sol
65,Mond::N,qaammat,måne
66,Stern::N,ulloriaq,stjerne
67,Luft::N,silaannaq,luft
68,Wind::N,anori,vind
69,Wind::N,anorsarik,vind
70,Welle::N,aalappaa,bølge
71,Wasser::N,imeq,vann
72,Stein::N,ujarak,stein
73,Boden::N,nateq,bakke
74,Erde::N,issoq,jord
75,Staub::N,pujualanerit,støv
76,Staub::N,pujoralanerit,støv
77,Rauch::N,iseq,røyk
78,Rauch::N,pujoq,røyk
79,Funke::N,illoorneq,gnist
80,Feuer::N,inneq,ild
81,Licht::N,qaamaneq,lys
82,Schatten::N,tarraq,skygge
83,Wetter::N,sila,vær
84,Nebel::N,pujoq,tåke
85,Wolke::N,nuia,sky
86,Regen::N,sialuk,regn
87,Schnee::N,aput,snø
88,Eis::N,siku,is
89,Frost::N,issi,frost
90,Frost::N,issik,frost
91,Kälte::N,issi,kulde
92,Hitze::N,kianneq,hete
93,Hitze::N,kiassuseq,hete
94,Raureif::N,kaneq,rimfrost
95,Regenbogen::N,neriusaaq,regnbue
96,Donner::N,kalleq,torden
97,Tropfen::N,kuseriarneq,dråpe
98,Schaum::N,qapuk,skum
99,Schmutz::N,minguk,søl
100,Schmutz::N,minguk,skitt
101,See::N,taseq,sjø
102,Sumpf::N,maqulluk,sump
103,Sumpf::N,maqulluk,myrlende
104,Wiese::N,masarsuk,eng
105,Hügel::N,qattuneq,haug
106,Hügel::N,qattuneq,bakke
107,Hügel::N,majuariaq,haug
108,Hügel::N,majuariaq,bakke
109,Hügel::N,majorajaaq,haug
110,Hügel::N,majorajaaq,bakke
111,Hügel::N,qaqqannguaq,haug
112,Hügel::N,qaqqannguaq,bakke
113,Berg::N,qaqqaq,berg
114,Berg::N,qaqqaq,fjell
115,Höhle::N,qaarusuk,hule
116,Abhang::N,ippik,li
117,Abhang::N,ippik,skråning
118,Abhang::N,sivinganeq,li
119,Abhang::N,sivinganeq,skråning
120,Abhang::N,sivingajaaq,li
121,Abhang::N,sivingajaaq,skråning
122,Abhang::N,kussangajaaq,li
123,Abhang::N,kussangajaaq,skråning
124,Bach::N,kuunnguaq,bekk
125,Fluss::N,kuuk,elv
126,Ufer::N,sissap sinaa,bredd
127,Küste::N,sineriak,kyst
128,Meer::N,imaq,hav
129,Bucht::N,ikeq,bukt
130,Bucht::N,kangerluk,bukt
131,Bucht::N,kangerliumaneq,bukt
132,Insel::N,qeqertaq,øy
133,Blume::N,naasoq,blomst
134,Gras::N,ivigaq,gress
135,Wurzel::N,niulutaq,rot
136,Baum::N,orpik,tre
137,Stamm::N,kanaartaq,stamme
138,Rinde::N,ameraq,bark
139,Ast::N,avalequt,gren
140,Zweig::N,avalequt,kvist
141,Blatt::N,pilutaq,blad
142,Birke::N,patitsit,bjørk
143,Weide[Baum]::N,palleq,selje
144,Weide[Baum]::N,palleq,piletre
145,Tanne::N,orsuerneq,gran
146,Horn::N,nassuk,horn
147,Feder::N,suluk,fjær
148,Fell::N,ameq,skinn
149,Flügel::N,suluk,vinge
150,Flügel::N,isaroq,vinge
151,Klaue::N,kukik,klauv
152,Kralle::N,kukik,klo
153,Schwanz::N,pamioq,hale
154,Schwanz::N,paperuusaq,hale
155,Ei::N,mannik,egg
156,Nest::N,ullut,rede
157,Bau::N,ini,hi
158,Tier::N,uumasoq,dyr
159,Herde::N,unguukkat,flokk
160,Kuh::N,ussik,ku
161,Bulle::N,angukulak,tyr
162,Bulle::N,anguteralak,tyr
163,Bulle::N,angutikulooq,tyr
164,Schaf::N,sava,får
165,Schwein::N,puuluki,gris
166,Hund::N,qimmeq,hund
167,Katze::N,puisaaq,katt
168,Bär::N,allaq,bjørn
169,Eichhörnchen::N,sissinnguaq,ekorn
170,Fuchs::N,terianniaq,rev
171,Hase::N,ukaleq,hare
172,Maus::N,teriannguaq,mus
173,Wolf::N,amaroq,ulv
174,Wolf::N,amaroq,varg
175,Vogel::N,timmiaq,fugl
176,Huhn::N,kukkukooq,høne
177,Huhn::N,marloraaqaaq,høne
178,Hahn::N,kiasiusaq,hane
179,Gans::N,nerleq,gås
180,Adler::N,nattoralik,ørn
181,Eule::N,uppik,ugle
182,Kranich::N,qorlorfik,trane
183,Krähe::N,tuluatsiaq,kråke
184,Kuckuck::N,kukkooq,gjøk
185,Schwan::N,qussuk,svane
186,Fisch::N,aalisagaq,fisk
187,Schlange[Tier]::N,pulateriarsuk,orm
188,Schlange[Tier]::N,pulateriarsuk,slange
189,Schlange[Tier]::N,pulateriaarsuk,orm
190,Schlange[Tier]::N,pulateriaarsuk,slange
191,Spinne::N,aasiaq,edderkopp
192,Spinne::N,nissavaarsuk,edderkopp
193,Ameise::N,uniaaluk,maur
194,Laus::N,kumak,lus
195,Mücke::N,ippernaq,mygg
196,Fliege::N,ippernaq,flue
197,Schmetterling::N,paluaq,sommerfugl
198,Schmetterling::N,pakkaluaq,sommerfugl
199,Schmetterling::N,utsuppaluaq,sommerfugl
200,Schmetterling::N,taqaleqisaaq,sommerfugl
201,Beere::N,paarmaq,bær
202,Beere::N,paarngaq,bær
203,Apfel::N,iipili,eple
204,Pilz::N,anngiusaq,sopp
205,Zwiebel::N,uanitsoq,løk
206,Saat::N,naatsiiassaq,sæd
207,Korn::N,maannineq,korn
208,Schale::N,niutsivik,skall
209,Schale::N,ilulissaq qaartussaq,skall
210,Grube::N,itersaq,grop
211,Falle::N,pualavoq,felle
