,Concept_ID,fa,ab
0,Auge::N,چشم,ала
1,Ohr::N,گوش,алымҳа
2,Nase::N,بینی,аҧынҵа
3,Mund::N,دهان,аҧышə
4,Zahn::N,دندان,ахаҧыц
5,Zunge::N,زبان,абз
6,Lippe::N,لب,ақьышə
7,Wange::N,لپ,аӡамҩа
8,Gesicht::N,رو,аҿы
9,Gesicht::N,چهره,аҿы
10,Stirn::N,پیشانی,алахь
11,Haar::N,مو,ахəыц
12,Schnurrbart::N,سبیل,аҧаҵа
13,Bart::N,ریش,ажакьа
14,Kinn::N,چانه,ацламкəыгə
15,Kiefer[Anatomie]::N,فک,ацламҳəа
16,Kiefer[Anatomie]::N,آرواره,ацламҳəа
17,Kehle::N,حلق,ахəда
18,Hals::N,گردن,ахəда
19,Genick::N,پشت گردن,ахəдаџьал
20,Kopf::N,سر,ахы
21,Kopf::N,کله,ахы
22,Rücken::N,پشت,азқəа
23,Bauch::N,شکم,амгəа
24,Nabel::N,ناف,аҷапан
25,Busen::N,پستان,агəыҧҳəы
26,Brust::N,سینه,агəышҧы
27,Schulter::N,دوش,ажəҩахыр
28,Schulter::N,شانه,ажəҩахыр
29,Arm::N,بازو,амахəар
30,Ellenbogen::N,آرنج,амашьхəылҵ
31,Hand::N,دست,анапы
32,Handfläche::N,کف دست,анапсаргəыҵа
33,Finger::N,انگشت,анацəа
34,Fingernagel::N,ناخن دست,анапхыц
35,Nagel[Anatomie]::N,ناخن,ашьапхыц
36,Zeh::N,انگشت پا,ашьацəа
37,Fuß::N,پا,ашьапсыргəыҵа
38,Ferse::N,پاشنه,ашьхəа
39,Knie::N,زانو,ашьамхы
40,Oberschenkel::N,ران,ауаҭəа
41,Bein::N,پا,ашьапы
42,Bein::N,لنگ,ашьапы
43,Körper::N,تن,ацəеижь
44,Körper::N,بدن,ацəеижь
45,Haut::N,پوست,ацəа
46,Blut::N,خون,ашьа
47,Ader::N,رگ,ада
48,Sehne::N,زردپی,адаш
49,Knochen::N,استخوان,абаҩ
50,Gehirn::N,مخ,ахшлыбаҩ
