,Concept_ID,os,ar
0,Auge::N,цӕст,عين
1,Ohr::N,хъус,أذن
2,Nase::N,фындз,أنف
3,Mund::N,дзых,فم
4,Zahn::N,дӕндаг,سن
5,Zunge::N,ӕвзаг,لسان
6,Lippe::N,был,شفة
7,Wange::N,рус,خد
8,Wange::N,рус,وجنة
9,Wange::N,уадул,خد
10,Wange::N,уадул,وجنة
11,Wange::N,ӕхсӕрфарс,خد
12,Wange::N,ӕхсӕрфарс,وجنة
13,Gesicht::N,цӕсгом,وجه
14,Stirn::N,ных,جبين
15,Haar::N,хил,شعر
16,Schnurrbart::N,рихи,شارب
17,Bart::N,зачъе,لحية
18,Kinn::N,роцъо,ذقن
19,Kiefer[Anatomie]::N,ӕфсӕр,فك
20,Kehle::N,хъуыр,حلق
21,Hals::N,къубал,عنق
22,Hals::N,къубал,رقبة
23,Genick::N,къӕбут,قفا
24,Kopf::N,сӕр,رأس
25,Rücken::N,фӕсонтӕ,ظهر
26,Bauch::N,гуыбын,بطن
27,Nabel::N,бикъ,سرة
28,Busen::N,дзидзи,ثدي
29,Brust::N,риу,صدر
30,Schulter::N,уӕхск,كتف
31,Arm::N,цонг,ذراع
32,Ellenbogen::N,рæмбын,كوع
33,Hand::N,къух,يد
34,Handfläche::N,армытъӕпӕн,كف
35,Finger::N,ӕнруылдз,إصبع
36,Fingernagel::N,ных,ظفر
37,Nagel[Anatomie]::N,ных,ظفر
38,Zeh::N,къух,إصبع القدم
39,Fuß::N,фад,قدم
40,Ferse::N,зӕвӕт,كعب
41,Knie::N,уӕраг,ركبة
42,Oberschenkel::N,агъд,فخذ
43,Bein::N,зӕнг,ساق
44,Körper::N,буар,جسم
45,Haut::N,царм,بشرة
46,Blut::N,туг,دم
47,Ader::N,дадзин,عرق
48,Ader::N,тугдадзин,عرق
49,Sehne::N,хъиутæ,طنب
50,Sehne::N,нуар,طنب
51,Knochen::N,стӕг,عظم
52,Gehirn::N,магъз,دماغ
53,Herz::N,зӕрдӕ,قلب
54,Magen::N,ахсӕн,معدة
55,Leber::N,игæр,كبد
56,Atem::N,улӕфт,نفس
57,Hunger::N,стонг,جوع
58,Träne::N,цæссыг,دمعة
