,Concept_ID,os,pt
0,Auge::N,цӕст,olho
1,Ohr::N,хъус,orelha
2,Nase::N,фындз,nariz
3,Mund::N,дзых,boca
4,Zahn::N,дӕндаг,dente
5,Zunge::N,ӕвзаг,língua
6,Lippe::N,был,lábio
7,Wange::N,рус,face
8,Wange::N,уадул,face
9,Wange::N,ӕхсӕрфарс,face
10,Gesicht::N,цӕсгом,cara
11,Gesicht::N,цӕсгом,rosto
12,Stirn::N,ных,testa
13,Haar::N,хил,cabelo
14,Schnurrbart::N,рихи,bigode
15,Bart::N,зачъе,barba
16,Kinn::N,роцъо,queixo
17,Kiefer[Anatomie]::N,ӕфсӕр,maxila
18,Kiefer[Anatomie]::N,ӕфсӕр,mandíbula
19,Kehle::N,хъуыр,garganta
20,Hals::N,къубал,colo
21,Hals::N,къубал,pescoço
22,Genick::N,къӕбут,nuca
23,Kopf::N,сӕр,cabeça
24,Rücken::N,фӕсонтӕ,dorso
25,Rücken::N,фӕсонтӕ,costas
26,Bauch::N,гуыбын,ventre
27,Bauch::N,гуыбын,barriga
28,Nabel::N,бикъ,umbigo
29,Busen::N,дзидзи,seio
30,Brust::N,риу,peito
31,Schulter::N,уӕхск,ombro
32,Arm::N,цонг,braço
33,Ellenbogen::N,рæмбын,cotovelo
34,Hand::N,къух,mão
35,Handfläche::N,армытъӕпӕн,palma
36,Handfläche::N,армытъӕпӕн,palma da mão
37,Finger::N,ӕнруылдз,dedo
38,Fingernagel::N,ных,unha
39,Nagel[Anatomie]::N,ных,unha
40,Zeh::N,къух,dedo do pé
41,Fuß::N,фад,pé
42,Ferse::N,зӕвӕт,calcanhar
43,Knie::N,уӕраг,joelho
44,Oberschenkel::N,агъд,coxa
45,Bein::N,зӕнг,perna
46,Körper::N,буар,corpo
47,Haut::N,царм,pele
48,Blut::N,туг,sangue
49,Ader::N,дадзин,veia
50,Ader::N,тугдадзин,veia
51,Sehne::N,хъиутæ,tendão
52,Sehne::N,нуар,tendão
53,Knochen::N,стӕг,osso
54,Gehirn::N,магъз,cérebro
55,Herz::N,зӕрдӕ,coração
56,Magen::N,ахсӕн,estômago
57,Leber::N,игæр,fígado
58,Atem::N,улӕфт,fôlego
59,Hunger::N,стонг,fome
60,Träne::N,цæссыг,lágrima
61,Geschmack::N,ад,gosto
62,Geruch::N,смаг,odor
