,Concept_ID,ady,nl
0,Auge::N,нэ,oog
1,Ohr::N,тхьакӏу́м,oor
2,Nase::N,пэ,neus
3,Mund::N,жэ,mond
4,Zahn::N,цэ,tand
5,Zunge::N,бзэгу,tong
6,Lippe::N,ӏупшӏэ́,lip
7,Wange::N,нэкӏу́шъу,wang
8,Gesicht::N,нэ́гу,gelaat
9,Gesicht::N,нэ́гу,gezicht
10,Stirn::N,натӏэ́,voorhoofd
11,Haar::N,шъхьацы́,haar
12,Bart::N,жакӏэ́,baard
13,Kinn::N,жэкӏэпэпкъ,kin
14,Kiefer[Anatomie]::N,жэпкъы́,kaak
15,Kehle::N,чый,keel
16,Kehle::N,чый,strot
17,Hals::N,пшъэ,hals
18,Genick::N,шъхьэпхэтыку,nek
19,Kopf::N,шъхьэ́,hoofd
20,Rücken::N,кӏыбы́,rug
21,Bauch::N,ныбэ́,buik
22,Busen::N,бгъэ́,boezem
23,Brust::N,бгъэ́,borst
24,Schulter::N,блыпкъ,schouder
25,Arm::N,ӏэ,arm
26,Ellenbogen::N,ӏэнтэ́гъу,elleboog
27,Hand::N,ӏэтхьэцу,hand
28,Handfläche::N,ӏэ́гу,handpalm
29,Finger::N,ӏэхъуа́мб,vinger
30,Fingernagel::N,ӏэбжъа́н,nagel
31,Nagel[Anatomie]::N,ӏэбжъа́н,nagel
32,Zeh::N,ӏэхъуа́мб,teen
33,Fuß::N,лъэгу,voet
34,Ferse::N,лъэдакъэ,hak
35,Ferse::N,лъэдакъэ,hiel
36,Knie::N,лъагуа́ндж,knie
37,Oberschenkel::N,ко,dij
38,Bein::N,лъакъо́,been
39,Körper::N,пкъышъол,lichaam
40,Haut::N,кӏы́шъу,huid
41,Blut::N,лъы,bloed
42,Ader::N,льытф,ader
43,Sehne::N,фэ,pees
44,Knochen::N,къупшъхьэ́,bot
45,Knochen::N,къупшъхьэ́,been
46,Knochen::N,къупшъхьэ́,knook
47,Gehirn::N,куцӏы,hersenen
48,Herz::N,гу,hart
49,Magen::N,мышкӏу,maag
50,Leber::N,шӏу,lever
51,Atem::N,къэщэныр,adem
52,Hunger::N,гъаблэ́,honger
53,Träne::N,нэпсы,traan
54,Geschmack::N,ӏэшӏугъа́кӏ,smaak
55,Geruch::N,мэ,geur
56,Schlaf::N,пчыхьы́пӏ,slaap
57,Traum::N,пчыхьы́пӏ,droom
58,Himmel::N,уашъо́,hemel
59,Sonne::N,тыгъэ,zon
60,Mond::N,мазэ,maan
61,Stern::N,жъуагъо́,ster
62,Luft::N,жьы,lucht
63,Wind::N,жьыбгъэ́,wind
64,Welle::N,ор,golf
65,Welle::N,оры,golf
66,Wasser::N,псы,water
67,Stein::N,мыжъо́,steen
68,Boden::N,чӏ́ыгу,grond
69,Erde::N,чӏ́ыгу,aarde
70,Staub::N,сап,stof
71,Rauch::N,ӏугъо́,rook
72,Funke::N,мэшӏуа́ч,vonk
73,Feuer::N,машӏо́,vuur
74,Licht::N,нэфы,licht
75,Licht::N,нэфын,licht
76,Schatten::N,жьау́,schaduw
77,Schatten::N,ныбжьыкъу,schaduw
78,Nebel::N,пща́гъу,mist
79,Nebel::N,пща́гъу,nevel
80,Wolke::N,ошъуапщэ,wolk
81,Regen::N,ощхы,regen
82,Schnee::N,осы́,sneeuw
83,Eis::N,мылы,ijs
84,Kälte::N,чъыӏэ́,kou
85,Kälte::N,чъыӏэ́,koude
86,Hitze::N,фэба́е,hitte
87,Regenbogen::N, лэгъупэкъо́пс,regenboog
88,Donner::N,шыблэ́,donder
89,Strömung::N,ток,stroming
90,Tropfen::N,ткӏопс,druppel
91,Tropfen::N,гъуаткӏу,druppel
92,Schaum::N,тхъурбэ,schuim
93,Schmutz::N,псынжъы,vuil
94,See::N,хыку́м,meer
95,See::N,псыхъура́й,meer
96,Sumpf::N,орыжъ,moeras
97,Moor::N,орыжъ,veen
98,Wiese::N,хъупӏэ́,wei
99,Wiese::N,хъупӏэ́,weide
100,Wiese::N,мэкъупӏ,wei
101,Wiese::N,мэкъупӏ,weide
102,Wald::N,мэзы́,bos
103,Hügel::N,ӏуашъхь,heuvel
104,Anhöhe::N,чӏыӏэтыгъ,hoogte
105,Berg::N,къушъхьэ́,berg
106,Gipfel::N,шыгу,top
107,Höhle::N,гъочӏэгъ,hol
108,Abhang::N,чапэ,helling
109,Quelle::N,псынэчэ́чъ,bron
110,Bach::N,псышкуашку,beek
111,Fluss::N,псыхъо́,stroom
112,Ufer::N,нэпкъы,wal
113,Ufer::N,нэпкъы,oever
114,Küste::N,ӏушъо,kust
115,Festland::N,чӏл́ыгу,vasteland
116,Meer::N,хы,zee
117,Bucht::N,хыблыгу,baai
118,Bucht::N,хыблыгу,inham
119,Insel::N,хыгъэхъу́н,eiland
120,Blume::N,къэгъа́гь,bloem
121,Gras::N,уцы́,gras
122,Wurzel::N,лъапсэ́,wortel
123,Baum::N,чъыгы́,boom
124,Stamm::N,пкъы,stam
125,Rinde::N,пхъашъо́,schors
126,Ast::N,куамэ,tak
127,Zweig::N,къутамэ́,twijg
128,Blatt::N,тхьап,blad
129,Birke::N,пчэн,berk
130,Kiefer[Baum]::N,сэснэй,den
131,Weide[Baum]::N,пце́л,wilg
132,Tanne::N,ель,spar
133,Horn::N,бжъэ,hoorn
134,Feder::N,къамӏы́й,veer
135,Feder::N,къамӏы́й,pluim
136,Fell::N,шъо,vel
137,Flügel::N,тамэ́,vleugel
138,Klaue::N,лъэбжъа́н,klauw
139,Kralle::N,лъакъо,klauw
140,Schwanz::N,кӏэ,staart
141,Ei::N,кӏэнкӏэ́,ei
142,Nest::N,набгъо́,nest
143,Bau::N,гъу,hol
144,Bau::N,бы,hol
145,Tier::N,псэу́шъхь,dier
146,Herde::N,ӏэхъогъу,kudde
147,Kuh::N,чэмы́,koe
148,Bulle::N,цу,stier
149,Pferd::N,шы,paard
150,Schaf::N,мэлы́,schaap
151,Schwein::N,къо,varken
152,Hund::N,бьэ,hond
153,Katze::N,чэты́у,kat
154,Bär::N,мышъэ́,beer
155,Eichhörnchen::N,цызэ́,eekhoorntje
156,Elch::N,лось,eland
157,Fuchs::N,баджэ́,vos
158,Hase::N,тхьакӏумкӏы́хь,haas
159,Maus::N,цыгъо́,muis
160,Wolf::N,тыгъу́жъ,wolf
161,Vogel::N,бзы́у,vogel
162,Schwarm::N,отэр,zwerm
163,Huhn::N,чэты́,kip
164,Huhn::N,чэты́,hoen
165,Hahn::N,атакъэ́,haan
166,Gans::N,къа́з,gans
167,Ente::N,псычэ́т,eend
168,Eule::N,тыгъурыгъу,uil
169,Kranich::N,къэрэ́у,kraanvogel
170,Krähe::N,къолэ́жъ,kraai
171,Kuckuck::N,куку́у,koekoek
172,Fisch::N,пцэжъы́й,vis
173,Barsch::N,тхыкъэц,baars
174,Hecht::N,лэнд,snoek
175,Schlange[Tier]::N,блэ́,slang
176,Wurm::N,хьамлыу,worm
177,Spinne::N,бэдж,spin
178,Ameise::N,къамзэ́гу,mier
179,Laus::N,цӏэ,luis
180,Mücke::N,аргъо́й,mug
181,Fliege::N,бадзэ́,vlieg
182,Schmetterling::N,хьампӏыра́шъу,vlinder
183,Beere::N,маткӏо,bes
184,Apfel::N,мыӏэры́с,appel
185,Pilz::N,хьаӏу,paddestoel
186,Zwiebel::N,бжьыны́,ui
187,Saat::N,чылапхъ,zaad
188,Korn::N,цэ,graan
189,Korn::N,цэ,korrel
190,Heu::N,мэкъу,hooi
191,Schale::N,кӏы́шъу,schil
192,Grube::N,машэ́,kuil
193,Falle::N,зэраубытырэ́ ӏэмэпсы́м,val
194,Schlinge::N,бзыуубыт,strop
195,Spur::N,ужы,spoor
196,Spur::N,лъэуж,spoor
197,Asche::N,яжьэ́,as
198,Dreck::N,псынжъы,drek
199,Eisen::N,гыучӏы́,ijzer
200,Eisen::N,къэнджа́л,ijzer
201,Gold::N,дышъэ́,goud
202,Silber::N,тыжьы́н,zilver
203,Kohle::N,шӏомыкӏ,kool
204,Glas::N,апч,glas
205,Lehm::N,етӏагъо́,klei
206,Sand::N,пшахъо,zand
207,Mensch::N,цӏыфы́,mens
208,Mann::N,хъулъфы́гъ,man
209,Frau::N,бӏылъфыгъэ́,vrouw
210,Kind::N,кӏэлэцӏы́кӏу,kind
211,Junge::N,кӏэлэцӏы́кӏу,jongen
212,Mädchen::N,пшъэшъэжъый,meisje
213,Familie::N,быны́,gezin
214,Familie::N,быны́,familie
215,Familie::N,уна́гъу,gezin
216,Familie::N,уна́гъу,familie
217,Großvater::N,тэтэ́жъ,grootvader
218,Großmutter::N,нэнэ́жъ,grootmoeder
219,Eltern::N,ны-тыхэ́р,ouders
220,Vater::N,ты,vader
221,Mutter::N,ны,moeder
222,Sohn::N,къо,zoon
223,Tochter::N,пхъу,dochter
224,Bruder::N,шы,broer
225,Bruder::N,шы,broeder
226,Schwester::N,шы́пхъу,zus
227,Schwester::N,шы́пхъу,zuster
228,Onkel::N,янэ́ш,oom
229,Tante::N,атэшыпхъу,tante
230,Ehemann::N,лӏы,echtgenoot
231,Ehefrau::N,шъу́з,echtgenote
232,Freude::N,гушӏуа́гъу,vreugde
233,Gelächter::N,щхыныр,gelach
234,Glück::N,насы́п,geluk
235,Kummer::N,тхьамыкӏагъу,verdriet
236,Wunsch::N,шӏонгъоны́гъ,wens
237,Wunsch::N,шӏонгъоны́гъ,verlangen
238,Lust::N,шӏонгъоны́гъ,zin
239,Lust::N,шӏонгъоны́гъ,lust
240,Geist::N,гу,geest
241,Gedanke::N,гупшыс,gedachte
242,Gedächtnis::N,память,geheugen
243,Verstand::N,акъы́л,verstand
244,Sinn::N,мэхьанэ,betekenis
245,Grund::N,ушъхьагъу,reden
246,Wahrheit::N,шъыпкъэ́,waarheid
247,Gespräch::N,гущыӏ,gesprek
248,Märchen::N,пшысэ,sprookje
249,Erzählung::N,къэба́р,verhaal
250,Nachricht::N,къэба́р,tijding
251,Neuigkeit::N,къэбарыкӏ,nieuws
252,Neuigkeit::N,къэбарыкӏ,nieuwtje
253,Name::N,цӏэ,naam
254,Rätsel::N,коджэхь-къоджэшх,raadsel
255,Rede::N,гущыӏ,rede
256,Sprache::N,бзэ,taal
257,Stimme::N,макъэ́,stem
258,Wort::N,гущыӏ,woord
259,Zeichen::N,тамы́гъ,teken
260,Ruf::N,джэ макъ,roep
261,Lärm::N,макъэ,lawaai
262,Laut::N,макъэ,klank
263,Laut::N,макъэ,geluid
264,Lied::N,орэ́д,lied
265,Ruhe::N,самбырыныгъ,rust
266,Ruhe::N,самбырыныгъ,stilte
267,Leute::N,цӏыфхэ́р,lui
268,Leute::N,цӏыфхэ́р,mensen
269,Volk::N,цӏыф лъэпкъ,volk
270,Arbeit::N,ӏофшӏакӏэ́н,werk
271,Arbeit::N,ӏофшӏакӏэ́н,arbeid
272,Gast::N,хьакӏэ́,gast
273,Geschenk::N,шӏухьафтын,cadeau
274,Geschenk::N,шӏухьафтын,geschenk
275,Spiel::N,еоны́р,spel
276,Spiel::N,джэгуны́р,spel
277,Spiel::N,къегъэӏоны́р,spel
278,Gesellschaft::N,обществ,gezelschap
279,Hilfe::N,ӏэпыӏэгъу,hulp
280,Freund::N,ныбджэгъу,vriend
281,Kamerad::N,ныбджэгъу,maat
282,Kamerad::N,ныбджэгъу,metgezel
283,Angelegenheit::N,ӏофы́,zaak
284,Angelegenheit::N,ӏофы́,aangelegenheid
285,Anzahl::N,пчъагъэ́,tal
286,Anzahl::N,пчъагъэ́,aantal
287,Art::N,изэрэщы́т,slag
288,Art::N,изэрэщы́т,soort
289,Art::N,лъэпкъ,slag
290,Art::N,лъэпкъ,soort
291,Stück::N,такъы́р,stuk
292,Teil::N,щыщ,deel
293,Teil::N,ӏахь,deel
294,Hälfte::N,ныкъо́,helft
295,Kreis::N,хъура́й,kring
296,Kreis::N,хъура́й,cirkel
297,Kreuz::N,къащ,kruis
298,Linie::N,хъахъ,lijn
299,Linie::N,итхъа́гъ,lijn
300,Strich::N,хъахъ,haal
301,Strich::N,хъахъ,streep
302,Strich::N,итхъагъ,haal
303,Strich::N,итхъагъ,streep
304,Abstand::N,азыфагу,afstand
305,Entfernung::N,чӏыгууанэ,afstand
306,Gegend::N,чӏыпӏэ́,streek
307,Platz::N,азыфагу,ruimte
308,Ort::N,чӏыпӏэ́,oord
309,Ort::N,чӏыпӏэ́,plaats
310,Seite::N,лъэны́къу,zij
311,Seite::N,лъэны́къу,kant
312,Seite::N,лъэны́къу,zijde
313,Mitte::N,гузэ́гу,midden
314,Gegenstand::N,пкъыгъо,voorwerp
315,Rand::N,цакӏэ́,rand
316,Rand::N,цакӏэ́,boord
317,Kante::N,цэгэналъ,kant
318,Ecke::N,къогъу,hoek
319,Spitze::N,пакӏэ,punt
320,Spitze::N,пакӏэ,spits
321,Ende::N,кӏэ,einde
322,Ende::N,кӏэ,uiteinde
323,Loch::N,гъуа́н,gat
324,Winkel::N,къогъу,hoek
325,Muster::N,тхыпхъэ,dessin
326,Muster::N,тхыпхъэ,patroon
327,Größe::N,иина́гъ,grootte
328,Länge::N,икӏыхьа́гъ,lengte
329,Höhe::N,лъэгагъ,hoogte
330,Gewicht::N,онтэгъугъэ́,gewicht
331,Menge::N,пчъагъэ́,hoeveelheid
332,Haufen::N,ӏат,hoop
333,Reihe::N,саты́р,rij
334,Reihe::N,саты́р,reeks
335,Boot::N,къуашъо́,boot
336,Ruder::N,къошъобэ́щ,roeiriem
337,Ski::N,лыжэхэр,ski
338,Lagerfeuer::N,пхъэмашӏу,kampvuur
339,Gang::N,кӏоныр,wandeling
340,Schritt::N,лъэубэ́къу,stap
341,Schritt::N,лъэубэ́къу,schrede
342,Norden::N,темы́р,noorden
343,Süden::N,къыблэ́,zuiden
344,Westen::N,тыгъэкъохьа́пӏ,westen
345,Osten::N,тыгьэкъокӏы́пӏ,oosten
346,Holz::N,чъыгы́,hout
347,Brett::N,пхъэ́мбгъу,plank
348,Platte::N,упсыхьагъ,plaat
349,Stütze::N,кӏэгъэкъон,stut
350,Stütze::N,кӏэгъэкъон,steun
351,Stange::N,къорэ́гъ,stang
352,Stock::N,бэщ,stok
353,Stab::N,бэщ кӏы́хь,staf
354,Rohr::N,онджэкъ,pijp
355,Haus::N,унэ́,huis
356,Heim::N,унэ́,tehuis
357,Ofen::N,гъэжъэн,kachel
358,Fußboden::N,джэхашъу,vloer
359,Tisch::N,стол,tafel
360,Stuhl::N,пхъэнтӏэ́кӏу,stoel
361,Wiege::N,кушъэ́,wieg
362,Bett::N,пӏэкӏо́р,bed
363,Regal::N,мэкӏай,rek
364,Kiste::N,ящык,kist
365,Fenster::N,шъхьаныгъу́пчъ,raam
366,Fenster::N,шъхьаныгъу́пчъ,venster
367,Tür::N,пчъэ,deur
368,Tor::N,къэла́пчъ,poort
369,Zaun::N,шӏыхьагъэ́,omheining
370,Dach::N,шъхьэ́,dak
371,Leiter::N,лъэо́й,ladder
372,Leiter::N,дэкӏояпӏэ́,ladder
373,Besen::N,пхъэнкӏы́пхъ,bezem
374,Spaten::N,къазгъы́р,schop
375,Schaufel::N,хэӏалъ,schep
376,Gabel::N,цацэ,vork
377,Löffel::N,джэмы́шх,lepel
378,Messer::N,шъэжъы́й,mes
379,Nagel::N,гъучӏыӏу́н,spijker
380,Netz::N,хъытыу,net
381,Haken::N,хьажтӏаркъу,haak
382,Griff::N,къопс,handvat
383,Schloss::N,ӏункӏы́бз,slot
384,Bild::N,сурэ́т,beeld
385,Puppe::N,нысхъа́п,pop
386,Beutel::N,дзыо́,zak
387,Beutel::N,дзыо́,buidel
388,Tasche::N,ӏэлъмэ́къ,tas
389,Eimer::N,щалъ,emmer
390,Deckel::N,шъхьэ,deksel
391,Geschirr::N,хьакъу-шыкъу,vaatwerk
392,Sack::N,дзыо́,zak
393,Tasse::N,чашк,kop
394,Topf::N,кастрюль,pan
395,Kessel::N,шыуа́н,ketel
396,Essen::N,шхэн,eten
397,Nahrung::N,шхэн,voedsel
398,Speise::N,шхыныгъу,spijs
399,Fleisch::N,лы,vlees
400,Getreide::N,лэжьыгъацэ́,graan
401,Brei::N,пӏастэ́,pap
402,Brei::N,пӏастэ́,brij
403,Brot::N,хьалыгъу,brood
404,Scheibe::N,такъы́р,plak
405,Scheibe::N,такъы́р,snede
406,Fett::N,дагъэ́,vet
407,Butter::N,тхъу,boter
408,Öl::N,тхъу,olie
409,Salz::N,щыгъу,zout
410,Suppe::N,хьантхъупс,soep
411,Honig::N,шъоу́,honing
412,Milch::N,щэ,melk
413,Tee::N,щай,thee
414,Leder::N,кӏы́шъу,leer
415,Leder::N,кӏы́шъу,leder
416,Wolle::N,цы,wol
417,Stoff::N,шэкӏы,stof
