,Concept_ID,he,en
0,Auge::N,עין,eye
1,Ohr::N,אזן,ear
2,Nase::N,אף,nose
3,Nase::N,חטם,nose
4,Mund::N,פה,mouth
5,Zahn::N,שן,tooth
6,Zunge::N,לשון,tongue
7,Lippe::N,שפה,lip
8,Wange::N,לחי,cheek
9,Gesicht::N,פנים,face
10,Stirn::N,מצח,forehead
11,Haar::N,שערה,hair
12,Schnurrbart::N,שפם,moustache
13,Bart::N,זקן,beard
14,Kinn::N,סנטר,chin
15,Kiefer[Anatomie]::N,לסת,jaw
16,Kehle::N,גרון,throat
17,Hals::N,צואר,neck
18,Genick::N,ערף,nape
19,Kopf::N,ראש,head
20,Rücken::N,גב,back
21,Rücken::N,גב,spine
22,Bauch::N,בטן,belly
23,Nabel::N,טבור,navel
24,Busen::N,שד,bosom
25,Brust::N,חזה,chest
26,Brust::N,חזה,breast
27,Schulter::N,כתף,shoulder
28,Arm::N,זרוע,arm
29,Ellenbogen::N,מרפק,elbow
30,Hand::N,יד,hand
31,Handfläche::N,כף יד,palm
32,Finger::N,אצבע,finger
33,Fingernagel::N,צפרן,fingernail
34,Nagel[Anatomie]::N,צפרן,nail
35,Zeh::N,אצבע,toe
36,Fuß::N,רגל,foot
37,Ferse::N,עקב,heel
38,Knie::N,ברך,knee
39,Oberschenkel::N,ירך,thigh
40,Bein::N,רגל,leg
41,Körper::N,גוף,body
42,Haut::N,עור,skin
43,Blut::N,דם,blood
44,Ader::N,וריד,vein
45,Sehne::N,גיד,sinew
46,Knochen::N,עצם,bone
47,Gehirn::N,מוח,brain
48,Herz::N,לב,heart
49,Magen::N,קבה,stomach
50,Leber::N,כבד,liver
51,Atem::N,נשימה,breath
52,Hunger::N,רעב,hunger
53,Träne::N,דמעה,tear
54,Geschmack::N,טעם,flavour
55,Geschmack::N,טעם,flavor
56,Geruch::N,ריח,odour
57,Geruch::N,ריח,odor
58,Schlaf::N,שנה,sleep
59,Traum::N,חלום,dream
60,Himmel::N,שמים,sky
61,Sonne::N,שמש,sun
62,Mond::N,ירח,moon
63,Stern::N,כוכב,star
64,Luft::N,אויר,air
65,Wind::N,רוח,wind
66,Welle::N,גל,wave
67,Wasser::N,מים,water
68,Stein::N,אבן,stone
69,Boden::N,קרקע,soil
70,Boden::N,קרקע,ground
71,Erde::N,אדמה,earth
72,Staub::N,אבק,dust
73,Rauch::N,עשן,smoke
74,Funke::N,ניצוץ,spark
75,Feuer::N,אש,fire
76,Licht::N,אור,light
77,Schatten::N,צל,shadow
78,Wetter::N,מזג אויר,weather
79,Nebel::N,ערפל,fog
80,Wolke::N,ענן,cloud
81,Regen::N,גשם,rain
82,Schnee::N,שלג,snow
83,Eis::N,קרח,ice
84,Frost::N,צנה,frost
85,Kälte::N,קר,chill
