,Concept_ID,et,mrj
0,Auge::N,silm,сӹнзӓ
1,Ohr::N,kõrv,пӹлӹш
2,Nase::N,nina,нер
3,Mund::N,suu,ышма
4,Zahn::N,hammas,пӱ
5,Zunge::N,keel,йӹлмӹ
6,Lippe::N,huul,тӹрвӹ
7,Wange::N,põsk,шӹргӹ
8,Gesicht::N,nägu,лицӓ
9,Stirn::N,otsmik,лепкӓ
10,Haar::N,juus,ӱп
11,Schnurrbart::N,vurrud,öрш
12,Schnurrbart::N,vuntsid,öрш
13,Bart::N,habe,пандаш
14,Kinn::N,lõug,онгылаш
15,Kiefer[Anatomie]::N,lõualuu,пӱ арата
16,Kehle::N,kõri,логер
17,Hals::N,kael,шӱ
18,Genick::N,kukal,ланга
19,Kopf::N,pea,вуй
20,Rücken::N,selg,туп
21,Bauch::N,kõht,мӹшкӹр
22,Nabel::N,naba,кӹлӹмдӹ
23,Busen::N,rind,цӹзӹ
24,Brust::N,rind,мел
25,Schulter::N,õlg,ӹнгӹжӓ
26,Arm::N,käsivars,кид
27,Ellenbogen::N,küünarnukk,кӹнервуй
28,Hand::N,käsi,лапа
29,Handfläche::N,pihk,кид лапа
30,Finger::N,sõrm,парня
31,Fingernagel::N,küüs,кӹч
32,Nagel[Anatomie]::N,küüs,кӹч
33,Zeh::N,varvas,парня
34,Fuß::N,jalg,ял лапа
35,Ferse::N,kand,ялгавал
36,Ferse::N,kand,ял кавал
37,Knie::N,põlv,пылвуй
38,Oberschenkel::N,reis,ӓрдӹ
39,Bein::N,jalg,ял
40,Körper::N,ihu,монгыр
41,Körper::N,keha,монгыр
42,Haut::N,nahk,кавашты
43,Blut::N,veri,вӹр
44,Ader::N,veen,вӹршӓр
45,Sehne::N,kõõlus,кукшышӱн
46,Knochen::N,luu,лу
47,Gehirn::N,aju,вим
48,Herz::N,süda,шӱм
49,Magen::N,magu,шӱм
50,Leber::N,maks,мокш
51,Atem::N,hingeõhk,шӱлӹш
52,Atem::N,hingamine,шӱлӹш
53,Hunger::N,nälg,шужымаш
54,Träne::N,pisar,сӹнзӓвӹд
55,Geschmack::N,maitse,тот
56,Geruch::N,lõhn,пыш
57,Schlaf::N,uni,ом
58,Traum::N,unenägu,ом
59,Himmel::N,taevas,пӹлгом
60,Sonne::N,päike,кечӹ
61,Mond::N,kuu,тӹлзӹ
62,Stern::N,täht,шӹдӹр
63,Luft::N,õhk,юж
64,Luft::N,õhk,воздух
65,Wind::N,tuul,мардеж
66,Welle::N,laine,ко
67,Welle::N,laine,коэ
68,Wasser::N,vesi,вӹд
69,Stein::N,kivi,кӱ
70,Boden::N,maa,рок
71,Boden::N,pinnas,рок
72,Erde::N,maa,свет
73,Staub::N,põrm,пырак
74,Rauch::N,suits,шӹкш
75,Funke::N,säde,ип
76,Funke::N,säde,тылип
77,Feuer::N,tuli,тыл
78,Licht::N,valgus,соты
79,Licht::N,valgus,валгыды
80,Schatten::N,vari,ӹмӹл
81,Wetter::N,ilm,игечӹ
82,Nebel::N,udu,тӹтӹрӓ
83,Wolke::N,pilv,пӹл
84,Regen::N,sadu,юр
85,Schnee::N,lumi,лым
86,Eis::N,jää,и
87,Frost::N,pakane,ӱштӹ
88,Kälte::N,külm,ӱштӹ
89,Kälte::N,külmus,ӱштӹ
90,Hitze::N,kuumus,шокшы
91,Hitze::N,palavus,шокшы
92,Raureif::N,härmatis,пöрш
93,Regenbogen::N,vikerkaar,шанавӹл
94,Donner::N,kõu,хӹдӹртӹш
95,Donner::N,müristamine,хӹдӹртӹш
96,Strömung::N,voolus,йогы
97,Strömung::N,jõevool,йогы
98,Tropfen::N,tilk,капльы
99,Tropfen::N,tilk,капльык
100,Schaum::N,vaht,шонг
101,Schmutz::N,pori,лявӹрӓ
102,Schmutz::N,mustus,лявӹрӓ
103,See::N,järv,йӓр
104,Sumpf::N,soo,лӱкӹ
105,Moor::N,raba,куп
106,Wiese::N,aas,алык
107,Wiese::N,nurm,алык
108,Wald::N,mets,шӹргӹ
109,Hügel::N,küngas,пӱгӹрикӓ
110,Anhöhe::N,küngas,кӱкшикӓ
111,Berg::N,mägi,кырык
112,Gipfel::N,mäetipp,неркӓ
113,Höhle::N,koobas,ы́раж
114,Abhang::N,nõlvak,полом
115,Quelle::N,allikas,вӹдсӹнзӓ
116,Bach::N,oja,ӓнгӹр
117,Fluss::N,jõgi,вӹд
118,Ufer::N,kallas,сир
119,Küste::N,rannik,сир
120,Festland::N,mander,мӱлӓндӹ
121,Festland::N,maismaa,мӱлӓндӹ
122,Meer::N,meri,тангыж
123,Bucht::N,laht,вӹдъял
124,Insel::N,saar,острок
125,Blume::N,lill,пеледӹш
126,Gras::N,rohi,шуды
127,Wurzel::N,juur,важ
128,Baum::N,puu,пушӓнгӹ
129,Stamm::N,tüvi,пушӓнгӹ тӹнг
130,Rinde::N,koor,каргыж
131,Ast::N,oks,укш
132,Zweig::N,oks,укш
133,Blatt::N,leht,листӹ
134,Birke::N,kask,куги
135,Kiefer[Baum]::N,mänd,йӓктӹ
136,Weide[Baum]::N,paju,уа
137,Tanne::N,nulg,кож
138,Horn::N,sarv,шур
139,Feder::N,sulg,пын
140,Fell::N,karvkate,кавашты
141,Fell::N,karusnahk,кавашты
142,Flügel::N,tiib,шылдыр
143,Flügel::N,tiivik,шылдыр
144,Klaue::N,küüs,кӹч
145,Kralle::N,küünis,лапа
146,Schwanz::N,saba,пач
147,Ei::N,muna,мыны
148,Nest::N,pesa,пӹжӓш
149,Bau::N,urg,ыраж
150,Tier::N,loom,во́льык
151,Herde::N,kari,кӹтö
152,Kuh::N,lehm,ышкал
153,Bulle::N,pull,ӱшкӱж
154,Pferd::N,hobune,имни
155,Schaf::N,lammas,шарык
156,Schwein::N,siga,сасна
157,Hund::N,koer,пи
158,Katze::N,kass,коти
159,Bär::N,karu,мöскӓ
160,Eichhörnchen::N,orav,ур
161,Elch::N,põder,шарды
162,Fuchs::N,rebane,рӹвӹж
163,Hase::N,jänes,морен
164,Maus::N,hiir,каля
165,Wolf::N,hunt,пирӹ
166,Vogel::N,lind,кек
167,Schwarm::N,parv,цуца
168,Huhn::N,kana,цӹвӹ
169,Hahn::N,kukk,ӓптӓн
170,Gans::N,hani,комбы
171,Adler::N,kotkas,кучкыж
172,Ente::N,part,лыды
173,Eule::N,kakk,тымана
174,Eule::N,öökull,тымана
175,Kranich::N,kurg,тырня
176,Kranich::N,kurg,тыртня
177,Krähe::N,vares,лудыгарак
178,Kuckuck::N,kägu,куку
179,Schwan::N,luik,йӱксӹ
180,Fisch::N,kala,кол
181,Barsch::N,ahven,алангы
182,Hecht::N,haug,нуж
183,Hecht::N,haug,нужгол
184,Schlange[Tier]::N,uss,кӹшкы
185,Wurm::N,uss,шукш
186,Wurm::N,vagel,шукш
187,Spinne::N,ämblik,ӓнгӹремшӹ
188,Ameise::N,sipelgas,кыткы
189,Laus::N,täi,ти
190,Mücke::N,sääsk,кужнер
191,Mücke::N,sääsk,кужынер
192,Fliege::N,kärbes,шӹнгӓ
193,Schmetterling::N,liblikas,лӹпӹ
194,Beere::N,mari,мöр
195,Apfel::N,õun,олма
196,Pilz::N,seen,понгы
197,Zwiebel::N,sibul,охыра
198,Saat::N,seeme,нӱшмӹ
199,Saat::N,seeme,нӱшмӱ
200,Korn::N,iva,пӹрцӹ
201,Korn::N,tera,пӹрцӹ
202,Heu::N,hein,шуды
203,Schale::N,koor,аваха
204,Schale::N,koor,карлангы
205,Grube::N,kaevand,йӓм
206,Falle::N,lõks,лӱдӹ
207,Falle::N,lõks,лӱдӹш
208,Falle::N,püünis,лӱдӹ
209,Falle::N,püünis,лӱдӹш
210,Schlinge::N,aas,онгы
211,Spur::N,jälg,кишӓ
212,Asche::N,tuhk,ломых
213,Asche::N,tuhk,ломпыж
214,Dreck::N,saast,лявӹрӓ
