,Concept_ID,sq,mhr
0,Auge::N,sy,шинча́
1,Ohr::N,vesh,пы́лыш
2,Nase::N,hundë,нер
3,Mund::N,gojë,умша́
4,Zahn::N,dhëmb,пӱй
5,Zunge::N,gjuhë,йы́лме
6,Lippe::N,buzë,тӱ́рвӧ
7,Wange::N,faqe,шӱ́ргӧ
8,Wange::N,mollëz,шӱ́ргӧ
9,Gesicht::N,fytyrë,чури́й
10,Stirn::N,ballë,саҥга́
11,Haar::N,flokë,ӱп
12,Schnurrbart::N,mustaqe,ӧ́рыш
13,Bart::N,mjekër,понда́ш
14,Kinn::N,mjekër,оҥыла́ш
15,Kiefer[Anatomie]::N,nofull,пӱйдӱ́ҥ
16,Kiefer[Anatomie]::N,nofull,пӱйората́
17,Kehle::N,fyt,лога́р
18,Kehle::N,grykë,лога́р
19,Hals::N,qafë,шӱй
20,Genick::N,arrëz,шӱйло́дыш
21,Kopf::N,kokë,вуй
22,Rücken::N,kurriz,туп
23,Bauch::N,bark,мӱ́шкыр
24,Nabel::N,kërthizë,кы́лымде
25,Busen::N,gji,чы́зе
26,Brust::N,gjoks,оҥ
27,Brust::N,kraharor,оҥ
28,Schulter::N,sup,ва́че
29,Schulter::N,krah,ва́че
30,Arm::N,krah,кид
31,Ellenbogen::N,bërryl,кынерву́й
32,Hand::N,dorë,кид
33,Hand::N,dorë,копа́
34,Handfläche::N,pëllëmbë,со́во
35,Finger::N,gisht,парня́
36,Fingernagel::N,thua,кидкӱ́ч
37,Fingernagel::N,thua,парнягӱ́ч
38,Nagel[Anatomie]::N,thua,кӱч
39,Zeh::N,gisht i këmbës,йолварня́
40,Fuß::N,këmbë,йол
41,Fuß::N,këmbë,йолкопа́
42,Ferse::N,thembër,тага́н
43,Knie::N,gju,пулву́й
44,Oberschenkel::N,kofshë,э́рде
45,Bein::N,këmbë,йол
46,Körper::N,trup,кап
47,Haut::N,lëkurë,кова́ште
48,Blut::N,gjak,вӱр
49,Ader::N,venë,шӧн
50,Sehne::N,dell,шӧн
51,Sehne::N,dell,кӱсе́н
52,Knochen::N,asht,лу
53,Knochen::N,kockë,лу
54,Gehirn::N,tru,вем
55,Gehirn::N,tru,вуйве́м
56,Herz::N,zemër,шӱм
57,Magen::N,stomak,пага́р
58,Leber::N,mëlçi,мокш
59,Atem::N,frymë,шӱ́лыш
60,Hunger::N,uri,шужыма́ш
61,Träne::N,lot,шинчавӱ́д
62,Geschmack::N,shije,там
63,Geruch::N,erë,пуш
64,Schlaf::N,gjumë,о́мо
65,Traum::N,ëndërr,йӱдо́мо
66,Himmel::N,qiell,кава́
67,Sonne::N,diell,ке́че
68,Mond::N,hënë,ты́лзе
69,Stern::N,yll,шӱ́дыр
70,Luft::N,ajër,юж
71,Wind::N,erë,марде́ж
72,Welle::N,valë,то́лкын
73,Welle::N,dallgë,то́лкын
74,Wasser::N,ujë,вӱд
75,Stein::N,gur,кӱ
76,Boden::N,tokë,рок
77,Boden::N,truall,рок
78,Erde::N,dhe,мла́нде
79,Erde::N,baltë,мла́нде
80,Staub::N,pluhur,пура́к
81,Rauch::N,tym,шикш
82,Funke::N,xixë,сеске́м
83,Funke::N,xixë,тулйы́п
84,Funke::N,shkëndijë,сеске́м
85,Funke::N,shkëndijë,тулйы́п
86,Feuer::N,zjarr,тул
87,Licht::N,dritë,со́то
88,Schatten::N,hije,ӱ́мыл
89,Wetter::N,mot,иге́че
90,Nebel::N,mjegull,тӱтыра́
91,Wolke::N,re,пыл
92,Regen::N,shi,йӱр
93,Schnee::N,borë,лум
94,Eis::N,akull,ий
95,Frost::N,ngricë,чатлама́
96,Kälte::N,të ftohtë,йӱ́штӧ
97,Hitze::N,vapë,шо́кшо
98,Hitze::N,nxehtësi,шо́кшо
99,Raureif::N,cikmë,пӧрш
100,Raureif::N,cikmë,по́кшым
101,Regenbogen::N,ylber,шонанпы́л
102,Donner::N,gjëmim,кӱ́дырчӧ
103,Donner::N,bubullimë,кӱ́дырчӧ
104,Strömung::N,rrymë,йо́гын
105,Tropfen::N,pikë,чӱча́лтыш
106,Schaum::N,shkumë,шоҥ
107,Schmutz::N,baltë,лавыра́
108,See::N,liqen,ер
109,Sumpf::N,batak,лӱ́кӧ
110,Moor::N,kënetë,куп
111,Wiese::N,livadh,о́лык
112,Wald::N,pyll,чодыра́
113,Hügel::N,kodër,арка́
114,Anhöhe::N,bregore,тӧва́
115,Anhöhe::N,bregore,кӱкшака́
116,Berg::N,mal,ку́рык
117,Gipfel::N,kulm,чаҥга́
118,Gipfel::N,kulm,курыкву́й
119,Höhle::N,shpellë,пеще́р
120,Höhle::N,shpellë,курыкпо́мыш
121,Höhle::N,zgafelle,пеще́р
122,Höhle::N,zgafelle,курыкпо́мыш
123,Abhang::N,shpat,та́йыл
124,Abhang::N,tatëpjetë,та́йыл
125,Quelle::N,krua,важ
126,Quelle::N,krua,вӱдшинча́
127,Quelle::N,burim,важ
128,Quelle::N,burim,вӱдшинча́
129,Bach::N,virua,изэҥе́р
130,Fluss::N,lumë,эҥе́р
131,Ufer::N,breg,сер
