,Concept_ID,is,fa
0,Auge::N,auga,چشم
1,Ohr::N,eyra,گوش
2,Nase::N,nef,بینی
3,Mund::N,munnur,دهان
4,Zahn::N,tönn,دندان
5,Zunge::N,tunga,زبان
6,Lippe::N,vör,لب
7,Wange::N,kinn,لپ
8,Wange::N,vangi,لپ
9,Gesicht::N,andlit,رو
10,Gesicht::N,andlit,چهره
11,Stirn::N,enni,پیشانی
12,Haar::N,hár,مو
13,Schnurrbart::N,yfirskegg,سبیل
14,Bart::N,skegg,ریش
15,Kinn::N,haka,چانه
16,Kiefer[Anatomie]::N,kjálki,فک
17,Kiefer[Anatomie]::N,kjálki,آرواره
18,Kiefer[Anatomie]::N,skoltur,فک
19,Kiefer[Anatomie]::N,skoltur,آرواره
20,Kehle::N,kverk,حلق
21,Hals::N,háls,گردن
22,Genick::N,hnakki,پشت گردن
23,Kopf::N,höfuð,سر
24,Kopf::N,höfuð,کله
25,Rücken::N,hryggur,پشت
26,Bauch::N,kviður,شکم
27,Nabel::N,nafli,ناف
28,Busen::N,barmur,پستان
29,Brust::N,brjóst,سینه
30,Schulter::N,öxl,دوش
31,Schulter::N,öxl,شانه
32,Arm::N,armur,بازو
33,Ellenbogen::N,olnbogi,آرنج
34,Hand::N,hönd,دست
35,Handfläche::N,lófi,کف دست
36,Finger::N,fingur,انگشت
37,Fingernagel::N,fingurnögl,ناخن دست
38,Nagel[Anatomie]::N,nögl,ناخن
39,Zeh::N,tá,انگشت پا
40,Fuß::N,fótur,پا
41,Ferse::N,hæll,پاشنه
42,Knie::N,kné,زانو
43,Oberschenkel::N,læri,ران
44,Bein::N,fótleggur,پا
45,Bein::N,fótleggur,لنگ
46,Körper::N,búkur,تن
47,Körper::N,búkur,بدن
48,Körper::N,líkami,تن
49,Körper::N,líkami,بدن
50,Haut::N,húð,پوست
51,Haut::N,skinn,پوست
52,Blut::N,blóð,خون
53,Ader::N,æð,رگ
54,Sehne::N,sin,زردپی
55,Knochen::N,bein,استخوان
56,Gehirn::N,heili,مخ
57,Gehirn::N,heili,مغز
58,Herz::N,hjarta,دل
59,Herz::N,hjarta,قلب
60,Magen::N,magi,معده
61,Leber::N,lifur,کبد
62,Atem::N,andi,نفس
63,Atem::N,andardráttur,نفس
64,Hunger::N,hungur,گرسنگی
65,Träne::N,tár,اشک
66,Geschmack::N,smekkur,مزه
67,Geruch::N,lykt,بو
68,Schlaf::N,svefn,خواب
69,Traum::N,draumur,رؤیا
70,Himmel::N,himinn,فلک
71,Himmel::N,himinn,آسمان
72,Sonne::N,sól,آفتاب
73,Sonne::N,sól,خورشید
74,Mond::N,tungl,ماه
75,Stern::N,stjarna,ستاره
76,Luft::N,loft,هوا
77,Wind::N,vindur,باد
78,Welle::N,alda,موج
79,Welle::N,bylgja,موج
80,Wasser::N,vatn,آب
81,Stein::N,steinn,سنگ
82,Boden::N,botn,زمین
83,Erde::N,jörð,خاک
84,Erde::N,jörð,زمین
85,Staub::N,ryk,گرد
86,Staub::N,ryk,غبار
87,Staub::N,duft,گرد
88,Staub::N,duft,غبار
89,Rauch::N,reykur,دود
90,Funke::N,neisti,جرقه
91,Feuer::N,eldur,آتش
92,Licht::N,ljós,نور
93,Licht::N,ljós,روشنی
94,Schatten::N,skuggi,سایه
95,Wetter::N,veður,هوا
96,Nebel::N,þoka,مه
97,Wolke::N,ský,ابر
98,Regen::N,regn,باران
99,Schnee::N,snjór,برف
100,Eis::N,ís,یخ
101,Frost::N,frost,یخبندان
102,Kälte::N,kuldi,سرما
103,Hitze::N,hiti,گرما
104,Hitze::N,hiti,حرارت
105,Raureif::N,hrím,برف ریزه
106,Regenbogen::N,regnbogi,رنگین‌کمان
107,Donner::N,þruma,رعد
108,Strömung::N,straumur,جریان
109,Tropfen::N,dropi,قطره
110,Schaum::N,froða,کف
111,Schmutz::N,óhreinindi,گل
112,Schmutz::N,óhreinindi,کثافت
113,See::N,stöðuvatn,دریاچه
114,Sumpf::N,fen,مرداب
115,Sumpf::N,fen,باتلاق
116,Moor::N,mýri,باتلاق
117,Wiese::N,engi,چمن
118,Wald::N,skógur,جنگل
119,Hügel::N,hæð,تل
120,Hügel::N,hæð,تپه
121,Hügel::N,hóll,تل
122,Hügel::N,hóll,تپه
123,Anhöhe::N,hæð,بلندی
124,Anhöhe::N,hóll,بلندی
125,Berg::N,fell,کوه
126,Berg::N,fjall,کوه
127,Gipfel::N,tindur,قله
128,Höhle::N,hellir,غار
129,Abhang::N,hlíð,سرازیری
130,Abhang::N,brekka,سرازیری
131,Quelle::N,lind,چشمه
132,Quelle::N,uppspretta,چشمه
133,Bach::N,lækur,نهر
134,Fluss::N,á,رود
135,Fluss::N,fljót,رود
136,Ufer::N,árbakki,ساحل
137,Ufer::N,árbakki,کرانه
138,Ufer::N,sjávarbakki,ساحل
139,Ufer::N,sjávarbakki,کرانه
140,Küste::N,strönd,ساحل
141,Festland::N,meginland,خشکی
142,Meer::N,haf,دریا
143,Meer::N,sjór,دریا
144,Bucht::N,vík,خلیج
145,Insel::N,eyja,جزیره
146,Blume::N,blóm,گل
147,Gras::N,gras,علف
148,Wurzel::N,rót,ریشه
149,Baum::N,tré,درخت
150,Stamm::N,stofn,تنه
151,Rinde::N,börkur,توژ
152,Rinde::N,börkur,پوست
153,Ast::N,grein,شاخه
154,Zweig::N,angi,شاخه
155,Zweig::N,kvistur,شاخه
156,Blatt::N,blað,برگ
157,Birke::N,birki,غان
158,Kiefer[Baum]::N,fura,کاج
159,Weide[Baum]::N,víðir,بید
160,Tanne::N,greni,صنوبر
161,Horn::N,horn,شاخ
162,Feder::N,fjöður,پر
163,Fell::N,skinn,خز
164,Flügel::N,vængur,پر
165,Flügel::N,vængur,بال
166,Klaue::N,kló,چنگ
167,Klaue::N,kló,پنجه
168,Kralle::N,kló,پنجه
169,Schwanz::N,rófa,دم
170,Schwanz::N,skott,دم
171,Ei::N,egg,تخم
172,Nest::N,hreiður,لانه
173,Bau::N,greni,بنا
174,Bau::N,greni,ساختمان
175,Bau::N,bæli,بنا
176,Bau::N,bæli,ساختمان
177,Tier::N,dýr,هیوان
178,Herde::N,hjörð,رمه
179,Kuh::N,kýr,گاو
180,Bulle::N,boli,گاو نر
181,Pferd::N,hestur,اسب
182,Schaf::N,kind,گوسفند
183,Schwein::N,svín,خوک
184,Hund::N,hundur,سگ
185,Katze::N,köttur,گربه
186,Bär::N,björn,خرس
187,Eichhörnchen::N,íkorni,سنجاب
188,Elch::N,elgur,گوزن شمالی
189,Fuchs::N,refur,روباه
190,Hase::N,héri,خرگوش
191,Maus::N,mús,موش
192,Wolf::N,úlfur,گرگ
193,Vogel::N,fugl,پرنده
194,Schwarm::N,sægur,دسته
195,Huhn::N,hæna,مرغ
196,Hahn::N,hani,خروس
197,Gans::N,gæs,غاز
198,Adler::N,örn,عقاب
199,Ente::N,önd,اردک
200,Ente::N,önd,مرغابی
201,Eule::N,uggla,جغد
202,Kranich::N,trana,درنا
203,Krähe::N,kráka,زاغ
204,Krähe::N,kráka,کلاغ
205,Kuckuck::N,gaukur,فاخته
206,Schwan::N,svanur,قو
207,Fisch::N,fiskur,ماهی
208,Barsch::N,aborri,ماهی خاردار
209,Hecht::N,gedda,اردک ماهی
210,Schlange[Tier]::N,naðra,مار
211,Wurm::N,ormur,کرم
212,Spinne::N,kónguló,عنکبوت
213,Ameise::N,maur,مورچه
