,Concept_ID,en,mhr
0,Auge::N,eye,шинча́
1,Ohr::N,ear,пы́лыш
2,Nase::N,nose,нер
3,Mund::N,mouth,умша́
4,Zahn::N,tooth,пӱй
5,Zunge::N,tongue,йы́лме
6,Lippe::N,lip,тӱ́рвӧ
7,Wange::N,cheek,шӱ́ргӧ
8,Gesicht::N,face,чури́й
9,Stirn::N,forehead,саҥга́
10,Haar::N,hair,ӱп
11,Schnurrbart::N,moustache,ӧ́рыш
12,Bart::N,beard,понда́ш
13,Kinn::N,chin,оҥыла́ш
14,Kiefer[Anatomie]::N,jaw,пӱйдӱ́ҥ
15,Kiefer[Anatomie]::N,jaw,пӱйората́
16,Kehle::N,throat,лога́р
17,Hals::N,neck,шӱй
18,Genick::N,nape,шӱйло́дыш
19,Kopf::N,head,вуй
20,Rücken::N,back,туп
21,Rücken::N,spine,туп
22,Bauch::N,belly,мӱ́шкыр
23,Nabel::N,navel,кы́лымде
24,Busen::N,bosom,чы́зе
25,Brust::N,chest,оҥ
26,Brust::N,breast,оҥ
27,Schulter::N,shoulder,ва́че
28,Arm::N,arm,кид
29,Ellenbogen::N,elbow,кынерву́й
30,Hand::N,hand,кид
31,Hand::N,hand,копа́
32,Handfläche::N,palm,со́во
33,Finger::N,finger,парня́
34,Fingernagel::N,fingernail,кидкӱ́ч
35,Fingernagel::N,fingernail,парнягӱ́ч
36,Nagel[Anatomie]::N,nail,кӱч
37,Zeh::N,toe,йолварня́
38,Fuß::N,foot,йол
39,Fuß::N,foot,йолкопа́
40,Ferse::N,heel,тага́н
41,Knie::N,knee,пулву́й
42,Oberschenkel::N,thigh,э́рде
43,Bein::N,leg,йол
44,Körper::N,body,кап
45,Haut::N,skin,кова́ште
46,Blut::N,blood,вӱр
47,Ader::N,vein,шӧн
48,Sehne::N,sinew,шӧн
49,Sehne::N,sinew,кӱсе́н
50,Knochen::N,bone,лу
51,Gehirn::N,brain,вем
52,Gehirn::N,brain,вуйве́м
53,Herz::N,heart,шӱм
54,Magen::N,stomach,пага́р
55,Leber::N,liver,мокш
56,Atem::N,breath,шӱ́лыш
57,Hunger::N,hunger,шужыма́ш
58,Träne::N,tear,шинчавӱ́д
59,Geschmack::N,flavour,там
60,Geschmack::N,flavor,там
61,Geruch::N,odour,пуш
62,Geruch::N,odor,пуш
63,Schlaf::N,sleep,о́мо
64,Traum::N,dream,йӱдо́мо
65,Himmel::N,sky,кава́
66,Sonne::N,sun,ке́че
67,Mond::N,moon,ты́лзе
68,Stern::N,star,шӱ́дыр
69,Luft::N,air,юж
70,Wind::N,wind,марде́ж
71,Welle::N,wave,то́лкын
72,Wasser::N,water,вӱд
73,Stein::N,stone,кӱ
74,Boden::N,soil,рок
75,Boden::N,ground,рок
76,Erde::N,earth,мла́нде
77,Staub::N,dust,пура́к
78,Rauch::N,smoke,шикш
79,Funke::N,spark,сеске́м
80,Funke::N,spark,тулйы́п
81,Feuer::N,fire,тул
82,Licht::N,light,со́то
83,Schatten::N,shadow,ӱ́мыл
84,Wetter::N,weather,иге́че
85,Nebel::N,fog,тӱтыра́
86,Wolke::N,cloud,пыл
87,Regen::N,rain,йӱр
88,Schnee::N,snow,лум
89,Eis::N,ice,ий
90,Frost::N,frost,чатлама́
91,Kälte::N,chill,йӱ́штӧ
92,Hitze::N,heat,шо́кшо
93,Raureif::N,hoarfrost,пӧрш
94,Raureif::N,hoarfrost,по́кшым
95,Regenbogen::N,rainbow,шонанпы́л
96,Donner::N,thunder,кӱ́дырчӧ
97,Strömung::N,current,йо́гын
98,Tropfen::N,drop,чӱча́лтыш
99,Schaum::N,foam,шоҥ
100,Schmutz::N,dirt,лавыра́
101,See::N,lake,ер
102,Sumpf::N,swamp,лӱ́кӧ
103,Moor::N,moor,куп
104,Wiese::N,meadow,о́лык
105,Wald::N,forest,чодыра́
106,Hügel::N,hill,арка́
107,Anhöhe::N,elevation,тӧва́
108,Anhöhe::N,elevation,кӱкшака́
109,Berg::N,mountain,ку́рык
110,Gipfel::N,summit,чаҥга́
111,Gipfel::N,summit,курыкву́й
112,Höhle::N,cave,пеще́р
113,Höhle::N,cave,курыкпо́мыш
114,Abhang::N,slope,та́йыл
115,Quelle::N,source,важ
116,Quelle::N,source,вӱдшинча́
117,Bach::N,brook,изэҥе́р
118,Fluss::N,river,эҥе́р
119,Ufer::N,shore,сер
120,Küste::N,coast,вӱдтӱ́р
121,Festland::N,land,мла́нде
122,Meer::N,sea,те́ҥыз
123,Bucht::N,cove,икса́
124,Insel::N,island,отро́
125,Blume::N,flower,пеле́дыш
126,Gras::N,grass,шу́до
127,Wurzel::N,root,вож
128,Baum::N,tree,пуше́ҥге
129,Stamm::N,trunk,йы́тыр
130,Rinde::N,bark,шӱм
131,Ast::N,limb,укш
132,Zweig::N,branch,торма́к
133,Blatt::N,leaf,лышта́ш
134,Birke::N,birch,куэ́
135,Kiefer[Baum]::N,pine,пӱ́нчӧ
136,Weide[Baum]::N,willow,уа́
137,Tanne::N,fir,кож
138,Horn::N,horn,шур
139,Feder::N,feather,пы́стыл
140,Fell::N,fur,кова́ште
141,Flügel::N,wing,шу́лдыр
142,Klaue::N,claw,кӱч
143,Kralle::N,claw,ла́па
144,Kralle::N,claw,копа́
145,Schwanz::N,tail,поч
146,Ei::N,egg,му́но
147,Nest::N,nest,пыжа́ш
148,Bau::N,lair,пыжа́ш
149,Tier::N,animal,я́нлык
150,Tier::N,animal,живо́тный
151,Herde::N,flock,кӱ́тӱ
152,Herde::N,flock,тӱшка́
153,Kuh::N,cow,ушка́л
154,Bulle::N,bull,ӱ́шкыж
155,Pferd::N,horse,и́мне
156,Schaf::N,sheep,шо́рык
157,Schwein::N,pig,сӧсна́
158,Hund::N,dog,пий
159,Katze::N,cat,пы́рыс
160,Bär::N,bear,маска́
161,Eichhörnchen::N,squirrel,ур
162,Elch::N,elk,шо́рдо
163,Fuchs::N,fox,ры́выж
164,Hase::N,hare,мера́ҥ
165,Maus::N,mouse,коля́
166,Wolf::N,wolf,пи́ре
167,Vogel::N,bird,ка́йык
168,Schwarm::N,swarm,каша́к
169,Huhn::N,chicken,чы́ве
170,Hahn::N,cock,агыта́н
171,Gans::N,goose,ко́мбо
172,Adler::N,eagle,карагу́ш
173,Ente::N,duck,лу́до
174,Eule::N,owl,тумна́
175,Kranich::N,crane,турня́
176,Krähe::N,crow,кора́к
177,Kuckuck::N,cuckoo,куку́
178,Schwan::N,swan,йӱ́ксӧ
179,Fisch::N,fish,кол
180,Barsch::N,perch,ола́ҥге
181,Hecht::N,pike,нуж
182,Hecht::N,pike,чорта́н
183,Schlange[Tier]::N,snake,ки́шке
184,Wurm::N,worm,шукш
185,Spinne::N,spider,эҥыре́мыш
186,Ameise::N,ant,ку́тко
187,Laus::N,louse,тий
188,Mücke::N,midge,шыҥа́
189,Fliege::N,fly,ка́рме
190,Schmetterling::N,butterfly,лы́ве
191,Beere::N,berry,мӧр
192,Apfel::N,apple,олма́
193,Pilz::N,mushroom,по́ҥго
194,Zwiebel::N,onion,шога́н
195,Saat::N,seed,нӧ́шмӧ
196,Saat::N,seed,туш
197,Korn::N,grain,шу́рно
198,Heu::N,hay,шу́до
199,Schale::N,husk,шӱм
200,Grube::N,pit,выне́м
201,Falle::N,trap,лӧ́дӧ
202,Schlinge::N,noose,о́птыш
203,Schlinge::N,noose,шӧрга́лтыш
204,Spur::N,track,кыша́
205,Asche::N,ashes,ло́мыж
206,Dreck::N,filth,лавыра́
207,Eisen::N,iron,кӱ́ртньӧ
208,Gold::N,gold,шӧ́ртньӧ
209,Silber::N,silver,ший
210,Kohle::N,coal,мландышӱ́й
211,Glas::N,glass,янда́
212,Lehm::N,clay,шун
213,Sand::N,sand,ошма́
214,Mensch::N,human,еҥ
215,Mensch::N,human,айде́ме
216,Mann::N,man,пӧръе́ҥ
217,Frau::N,woman,ӱдырама́ш
218,Kind::N,child,аза́
219,Junge::N,boy,рве́зе
220,Mädchen::N,girl,ӱдыра́ш
221,Familie::N,family,еш
222,Großvater::N,grandfather,коча́
223,Großmutter::N,grandmother,кова́
224,Eltern::N,parents,ача́-ава́
225,Vater::N,father,ача́
226,Mutter::N,mother,ава́
227,Sohn::N,son,э́рге
228,Tochter::N,daughter,ӱ́дыр
229,Bruder::N,brother,иза́
230,Bruder::N,brother,шо́льо
231,Schwester::N,sister,ака́
232,Onkel::N,uncle,иза́
233,Tante::N,aunt,кока́
234,Ehemann::N,husband,мари́й
235,Ehefrau::N,wife,ва́те
236,Freude::N,joy,куа́н
237,Freude::N,joy,куаныма́ш
238,Gelächter::N,laughter,во́штылтыш
239,Glück::N,happiness,пиа́л
240,Kummer::N,grief,о́йго
241,Wunsch::N,wish,ку́мыл
242,Lust::N,desire,ку́мыл
243,Geist::N,spirit,ӧрт
244,Geist::N,spirit,чон
245,Gedanke::N,thought,ой
246,Gedanke::N,thought,шоныма́ш
247,Gedächtnis::N,memory,шарныма́ш
248,Verstand::N,mind,уш
249,Sinn::N,meaning,смысл
250,Grund::N,reason,ама́л
