,Concept_ID,uk,de
0,Auge::N,око,Auge
1,Ohr::N,вухо,Ohr
2,Nase::N,ніс,Nase
3,Mund::N,рот,Mund
4,Zahn::N,зуб,Zahn
5,Zunge::N,язик,Zunge
6,Lippe::N,губа,Lippe
7,Wange::N,щока,Wange
8,Gesicht::N,обличчя,Gesicht
9,Stirn::N,лоб,Stirn
10,Haar::N,волосся,Haar
11,Schnurrbart::N,вуса,Schnurrbart
12,Bart::N,борода,Bart
13,Kinn::N,підборіддя,Kinn
14,Kiefer[Anatomie]::N,щелепа,Kiefer
15,Kehle::N,горло,Kehle
16,Hals::N,шия,Hals
17,Genick::N,потилиця,Genick
18,Kopf::N,голова,Kopf
19,Rücken::N,спина,Rücken
20,Bauch::N,живіт,Bauch
21,Nabel::N,пупок,Nabel
22,Busen::N,груди,Busen
23,Brust::N,груди,Brust
24,Schulter::N,плече,Schulter
25,Arm::N,рука,Arm
26,Ellenbogen::N,лікоть,Ellenbogen
27,Hand::N,рука,Hand
28,Handfläche::N,долоня,Handfläche
29,Finger::N,палець,Finger
30,Fingernagel::N,ніготь,Fingernagel
31,Nagel[Anatomie]::N,ніготь,Nagel
32,Zeh::N,палець на нозі,Zeh
33,Fuß::N,нога,Fuß
34,Ferse::N,п’ятка,Ferse
35,Knie::N,коліно,Knie
36,Oberschenkel::N,стегно,Oberschenkel
37,Bein::N,нога,Bein
38,Körper::N,тіло,Körper
39,Haut::N,шкіра,Haut
40,Blut::N,кров,Blut
41,Ader::N,вена,Ader
42,Sehne::N,сухожилля,Sehne
43,Knochen::N,кістка,Knochen
44,Gehirn::N,мозок,Gehirn
45,Herz::N,серце,Herz
46,Magen::N,шлунок,Magen
47,Leber::N,печінка,Leber
48,Atem::N,дихання,Atem
49,Hunger::N,голод,Hunger
50,Träne::N,сльоза,Träne
51,Geschmack::N,смак,Geschmack
52,Geruch::N,запах,Geruch
53,Schlaf::N,сон,Schlaf
54,Schlaf::N,сплячка,Schlaf
55,Traum::N,сон,Traum
56,Himmel::N,небо,Himmel
57,Sonne::N,сонце,Sonne
58,Mond::N,місяць,Mond
59,Stern::N,зірка,Stern
60,Luft::N,повітря,Luft
61,Wind::N,вітер,Wind
62,Welle::N,хвиля,Welle
63,Wasser::N,вода,Wasser
64,Stein::N,камінь,Stein
65,Boden::N,ґрунт,Boden
66,Erde::N,земля,Erde
67,Staub::N,пил,Staub
68,Rauch::N,дим,Rauch
69,Funke::N,іскра,Funke
70,Feuer::N,вогонь,Feuer
71,Licht::N,світло,Licht
72,Schatten::N,тінь,Schatten
73,Wetter::N,погода,Wetter
74,Nebel::N,туман,Nebel
75,Wolke::N,хмара,Wolke
76,Regen::N,дощ,Regen
77,Schnee::N,сніг,Schnee
78,Eis::N,лід,Eis
79,Frost::N,мороз,Frost
80,Kälte::N,холод,Kälte
81,Hitze::N,жар,Hitze
82,Raureif::N,іній,Raureif
83,Regenbogen::N,райдуга,Regenbogen
84,Donner::N,грім,Donner
85,Strömung::N,струмина,Strömung
86,Tropfen::N,крапля,Tropfen
87,Schaum::N,піна,Schaum
88,Schmutz::N,бруд,Schmutz
89,See::N,озеро,See
90,Sumpf::N,драговина,Sumpf
91,Moor::N,болото,Moor
92,Wiese::N,луг,Wiese
93,Wiese::N,лука,Wiese
94,Wald::N,ліс,Wald
95,Hügel::N,горб,Hügel
96,Anhöhe::N,височина,Anhöhe
97,Berg::N,гора,Berg
98,Gipfel::N,вершина,Gipfel
99,Höhle::N,печера,Höhle
100,Abhang::N,схил,Abhang
101,Quelle::N,джерело,Quelle
102,Bach::N,струмок,Bach
103,Fluss::N,річка,Fluss
104,Ufer::N,берег,Ufer
105,Küste::N,узбережжя,Küste
106,Festland::N,суша,Festland
107,Meer::N,море,Meer
108,Bucht::N,бухта,Bucht
109,Bucht::N,затока,Bucht
110,Insel::N,острів,Insel
111,Blume::N,квітка,Blume
112,Gras::N,трава,Gras
113,Wurzel::N,корінь,Wurzel
114,Baum::N,дерево,Baum
115,Stamm::N,стовбур,Stamm
116,Rinde::N,кора,Rinde
117,Ast::N,гілка,Ast
118,Zweig::N,галузь,Zweig
119,Blatt::N,лист,Blatt
120,Birke::N,береза,Birke
121,Kiefer[Baum]::N,сосна,Kiefer
122,Weide[Baum]::N,верба,Weide
123,Tanne::N,ялиця,Tanne
124,Horn::N,ріг,Horn
125,Feder::N,перо,Feder
126,Fell::N,хутро,Fell
127,Flügel::N,крило,Flügel
128,Klaue::N,кіготь,Klaue
129,Kralle::N,лапа,Kralle
130,Schwanz::N,хвіст,Schwanz
131,Ei::N,яйце,Ei
132,Nest::N,гніздо,Nest
133,Bau::N,лігво,Bau
134,Tier::N,тварина,Tier
135,Herde::N,стадо,Herde
136,Kuh::N,корова,Kuh
137,Bulle::N,бик,Bulle
138,Bulle::N,бугай,Bulle
139,Pferd::N,кінь,Pferd
140,Schaf::N,вівця,Schaf
141,Schwein::N,свиня,Schwein
142,Hund::N,собака,Hund
143,Katze::N,кішка,Katze
144,Bär::N,ведмідь,Bär
145,Eichhörnchen::N,білка,Eichhörnchen
146,Elch::N,лось,Elch
147,Fuchs::N,лисиця,Fuchs
148,Hase::N,заєць,Hase
149,Maus::N,миша,Maus
150,Wolf::N,вовк,Wolf
151,Vogel::N,птах,Vogel
152,Schwarm::N,зграя,Schwarm
153,Huhn::N,курка,Huhn
154,Hahn::N,півень,Hahn
155,Gans::N,гуска,Gans
156,Adler::N,орел,Adler
157,Ente::N,качка,Ente
158,Eule::N,сова,Eule
159,Kranich::N,журавель,Kranich
160,Krähe::N,ворона,Krähe
161,Kuckuck::N,зозуля,Kuckuck
162,Schwan::N,лебідь,Schwan
163,Fisch::N,риба,Fisch
164,Barsch::N,окунь,Barsch
165,Hecht::N,щука,Hecht
166,Schlange[Tier]::N,змія,Schlange
167,Wurm::N,черв’як,Wurm
168,Spinne::N,павук,Spinne
169,Ameise::N,мурашка,Ameise
170,Laus::N,воша,Laus
171,Mücke::N,комар,Mücke
172,Fliege::N,муха,Fliege
173,Schmetterling::N,метелик,Schmetterling
174,Beere::N,ягода,Beere
175,Apfel::N,яблуко,Apfel
176,Pilz::N,гриб,Pilz
177,Zwiebel::N,цибуля,Zwiebel
178,Saat::N,сім’я,Saat
179,Korn::N,зерно,Korn
180,Heu::N,сіно,Heu
181,Schale::N,шкірка,Schale
182,Grube::N,яма,Grube
183,Falle::N,пастка,Falle
184,Schlinge::N,петля,Schlinge
185,Spur::N,слід,Spur
186,Asche::N,зола,Asche
187,Asche::N,попіл,Asche
188,Dreck::N,бруд,Dreck
189,Eisen::N,залізо,Eisen
190,Gold::N,золото,Gold
191,Silber::N,срібло,Silber
192,Kohle::N,вугілля,Kohle
193,Glas::N,скло,Glas
194,Lehm::N,глина,Lehm
195,Sand::N,пісок,Sand
196,Mensch::N,людина,Mensch
197,Mann::N,чоловік,Mann
198,Frau::N,жінка,Frau
199,Kind::N,дитина,Kind
200,Junge::N,хлопець,Junge
201,Mädchen::N,дівчина,Mädchen
202,Familie::N,сім’я,Familie
203,Familie::N,родина,Familie
204,Großvater::N,дідусь,Großvater
205,Großmutter::N,бабуся,Großmutter
206,Eltern::N,батьки,Eltern
207,Vater::N,батько,Vater
208,Mutter::N,мати,Mutter
209,Sohn::N,син,Sohn
210,Tochter::N,дочка,Tochter
211,Bruder::N,брат,Bruder
212,Schwester::N,сестра,Schwester
213,Onkel::N,дядько,Onkel
214,Tante::N,тітка,Tante
215,Ehemann::N,чоловік,Ehemann
216,Ehefrau::N,жінка,Ehefrau
217,Ehefrau::N,дружина,Ehefrau
218,Freude::N,радощі,Freude
219,Gelächter::N,сміх,Gelächter
220,Glück::N,щастя,Glück
221,Kummer::N,горе,Kummer
222,Wunsch::N,бажання,Wunsch
223,Lust::N,бажання,Lust
224,Geist::N,дух,Geist
225,Gedanke::N,думка,Gedanke
226,Gedächtnis::N,пам’ять,Gedächtnis
227,Verstand::N,розум,Verstand
228,Sinn::N,зміст,Sinn
229,Sinn::N,значення,Sinn
230,Grund::N,причина,Grund
231,Wahrheit::N,правда,Wahrheit
232,Gespräch::N,розмова,Gespräch
233,Märchen::N,байка,Märchen
234,Erzählung::N,повість,Erzählung
235,Erzählung::N,оповідання,Erzählung
236,Nachricht::N,повідомлення,Nachricht
237,Neuigkeit::N,новина,Neuigkeit
238,Name::N,ім’я,Name
239,Rätsel::N,загадка,Rätsel
240,Rede::N,промова,Rede
241,Sprache::N,мова,Sprache
242,Stimme::N,голос,Stimme
243,Wort::N,слово,Wort
244,Zeichen::N,знак,Zeichen
245,Ruf::N,оклик,Ruf
246,Lärm::N,шум,Lärm
247,Laut::N,звук,Laut
248,Ton::N,тон,Ton
249,Lied::N,пісня,Lied
250,Ruhe::N,спокій,Ruhe
251,Leute::N,люди,Leute
252,Volk::N,народ,Volk
253,Arbeit::N,робота,Arbeit
254,Gast::N,гість,Gast
255,Geschenk::N,подарунок,Geschenk
256,Spiel::N,гра,Spiel
257,Gesellschaft::N,товариство,Gesellschaft
258,Hilfe::N,допомога,Hilfe
259,Freund::N,друг,Freund
260,Freund::N,приятель,Freund
261,Kamerad::N,товариш,Kamerad
262,Angelegenheit::N,справа,Angelegenheit
263,Anzahl::N,число,Anzahl
264,Art::N,рід,Art
265,Stück::N,кусок,Stück
266,Teil::N,частина,Teil
267,Hälfte::N,половина,Hälfte
268,Kreis::N,круг,Kreis
269,Kreis::N,коло,Kreis
270,Kreuz::N,хрест,Kreuz
271,Linie::N,лінія,Linie
272,Strich::N,штрих,Strich
273,Abstand::N,проміжок,Abstand
274,Entfernung::N,відстань,Entfernung
275,Gegend::N,місцевість,Gegend
276,Platz::N,площа,Platz
277,Ort::N,місце,Ort
278,Seite::N,сторона,Seite
279,Mitte::N,середина,Mitte
280,Gegenstand::N,предмет,Gegenstand
281,Sache::N,річ,Sache
282,Rand::N,край,Rand
283,Kante::N,ребро,Kante
284,Ecke::N,ріг,Ecke
285,Spitze::N,кінчик,Spitze
286,Ende::N,кінець,Ende
287,Loch::N,діра,Loch
288,Winkel::N,куток,Winkel
289,Muster::N,узор,Muster
290,Größe::N,розмір,Größe
291,Länge::N,довжина,Länge
292,Höhe::N,висота,Höhe
293,Gewicht::N,вага,Gewicht
294,Menge::N,кількість,Menge
295,Haufen::N,купа,Haufen
296,Reihe::N,ряд,Reihe
297,Boot::N,човен,Boot
298,Ruder::N,весло,Ruder
299,Schlitten::N,сани,Schlitten
300,Ski::N,лижа,Ski
301,Lagerfeuer::N,вогнище,Lagerfeuer
302,Last::N,тягар,Last
303,Last::N,вантаж,Last
304,Gang::N,хід,Gang
305,Schritt::N,крок,Schritt
306,Norden::N,північ,Norden
307,Süden::N,південь,Süden
308,Westen::N,захід,Westen
309,Osten::N,схід,Osten
310,Holz::N,дрова,Holz
311,Brett::N,дошка,Brett
312,Platte::N,плита,Platte
313,Stütze::N,підпірка,Stütze
314,Stange::N,жердина,Stange
315,Stock::N,палиця,Stock
316,Stab::N,палиця,Stab
317,Rohr::N,труба,Rohr
318,Haus::N,дім,Haus
319,Haus::N,хата,Haus
320,Heim::N,житло,Heim
321,Ofen::N,піч,Ofen
322,Fußboden::N,підлога,Fußboden
323,Tisch::N,стіл,Tisch
324,Stuhl::N,стілець,Stuhl
325,Wiege::N,колиска,Wiege
326,Bett::N,ліжко,Bett
327,Bett::N,постіль,Bett
328,Regal::N,полиця,Regal
329,Kiste::N,ящик,Kiste
330,Fenster::N,вікно,Fenster
331,Tür::N,двері,Tür
332,Tor::N,ворота,Tor
