,Concept_ID,fa,tr
0,Auge::N,چشم,göz
1,Ohr::N,گوش,kulak
2,Nase::N,بینی,burun
3,Mund::N,دهان,ağız
4,Zahn::N,دندان,diş
5,Zunge::N,زبان,dil
6,Lippe::N,لب,dudak
7,Wange::N,لپ,yanak
8,Gesicht::N,رو,yüz
9,Gesicht::N,چهره,yüz
10,Stirn::N,پیشانی,alın
11,Haar::N,مو,saç
12,Schnurrbart::N,سبیل,bıyık
13,Bart::N,ریش,sakal
14,Kinn::N,چانه,çene
15,Kiefer[Anatomie]::N,فک,çene
16,Kiefer[Anatomie]::N,آرواره,çene
17,Kehle::N,حلق,boğaz
18,Hals::N,گردن,boyun
19,Hals::N,گردن,gerdan
20,Genick::N,پشت گردن,ense
21,Kopf::N,سر,baş
22,Kopf::N,سر,kafa
23,Kopf::N,کله,baş
24,Kopf::N,کله,kafa
25,Rücken::N,پشت,arka
26,Bauch::N,شکم,karın
27,Nabel::N,ناف,göbek
28,Busen::N,پستان,koyun
29,Brust::N,سینه,göğüs
30,Schulter::N,دوش,omuz
31,Schulter::N,شانه,omuz
32,Arm::N,بازو,kol
33,Ellenbogen::N,آرنج,dirsek
34,Hand::N,دست,el
35,Handfläche::N,کف دست,avuç
36,Handfläche::N,کف دست,el ayası
37,Finger::N,انگشت,parmak
38,Fingernagel::N,ناخن دست,el tırnağı
39,Nagel[Anatomie]::N,ناخن,tırnak
40,Zeh::N,انگشت پا,ayak parmağı
41,Fuß::N,پا,ayak
42,Ferse::N,پاشنه,topuk
43,Knie::N,زانو,diz
44,Oberschenkel::N,ران,uyluk
45,Bein::N,پا,bacak
46,Bein::N,لنگ,bacak
47,Körper::N,تن,vücut
48,Körper::N,بدن,vücut
49,Haut::N,پوست,cilt
50,Blut::N,خون,kan
51,Ader::N,رگ,damar
52,Sehne::N,زردپی,kiriş
53,Knochen::N,استخوان,kemik
54,Gehirn::N,مخ,beyin
55,Gehirn::N,مغز,beyin
56,Herz::N,دل,kalp
57,Herz::N,دل,yürek
58,Herz::N,قلب,kalp
59,Herz::N,قلب,yürek
60,Magen::N,معده,mide
61,Leber::N,کبد,karaciğer
62,Atem::N,نفس,nefes
63,Hunger::N,گرسنگی,açlık
64,Träne::N,اشک,gözyaşı
65,Geschmack::N,مزه,tat
66,Geschmack::N,مزه,lezzet
67,Geruch::N,بو,koku
68,Schlaf::N,خواب,uyku
69,Traum::N,رؤیا,düş
70,Traum::N,رؤیا,rüya
71,Himmel::N,فلک,gök
72,Himmel::N,آسمان,gök
73,Sonne::N,آفتاب,güneş
74,Sonne::N,خورشید,güneş
75,Mond::N,ماه,ay
76,Stern::N,ستاره,yıldız
77,Luft::N,هوا,hava
78,Wind::N,باد,yel
79,Wind::N,باد,rüzgâr
80,Welle::N,موج,dalga
81,Wasser::N,آب,su
82,Stein::N,سنگ,taş
83,Boden::N,زمین,yer
84,Boden::N,زمین,zemin
85,Erde::N,خاک,toprak
86,Erde::N,زمین,toprak
87,Staub::N,گرد,toz
88,Staub::N,غبار,toz
89,Rauch::N,دود,duman
90,Funke::N,جرقه,kıvılcım
91,Feuer::N,آتش,ateş
92,Licht::N,نور,ışık
93,Licht::N,روشنی,ışık
94,Schatten::N,سایه,gölge
95,Wetter::N,هوا,hava
96,Nebel::N,مه,pus
97,Wolke::N,ابر,bulut
98,Regen::N,باران,yağmur
99,Schnee::N,برف,kar
100,Eis::N,یخ,buz
101,Frost::N,یخبندان,don
102,Kälte::N,سرما,soğukluk
103,Hitze::N,گرما,sıcaklık
104,Hitze::N,حرارت,sıcaklık
105,Raureif::N,برف ریزه,kırç
106,Regenbogen::N,رنگین‌کمان,gökkuşağı
107,Donner::N,رعد,gök gürlemesi
108,Strömung::N,جریان,akıntı
109,Strömung::N,جریان,cereyan
110,Tropfen::N,قطره,damla
111,Schaum::N,کف,köpük
112,Schmutz::N,گل,çamur
113,Schmutz::N,گل,pislik
114,Schmutz::N,کثافت,çamur
115,Schmutz::N,کثافت,pislik
116,See::N,دریاچه,göl
117,Sumpf::N,مرداب,batak
118,Sumpf::N,باتلاق,batak
119,Moor::N,باتلاق,cılgıt
120,Wiese::N,چمن,çimen
121,Wald::N,جنگل,koru
122,Wald::N,جنگل,orman
123,Hügel::N,تل,tepe
124,Hügel::N,تپه,tepe
125,Anhöhe::N,بلندی,tümsek
126,Anhöhe::N,بلندی,yükseklik
127,Berg::N,کوه,dağ
128,Gipfel::N,قله,zirve
129,Höhle::N,غار,in
130,Höhle::N,غار,mağara
131,Abhang::N,سرازیری,bayır
132,Quelle::N,چشمه,pınar
133,Quelle::N,چشمه,kaynak
134,Bach::N,نهر,çay
135,Bach::N,نهر,dere
136,Fluss::N,رود,nehir
137,Ufer::N,ساحل,kıyı
138,Ufer::N,ساحل,sahil
139,Ufer::N,کرانه,kıyı
140,Ufer::N,کرانه,sahil
141,Küste::N,ساحل,kıyı
142,Küste::N,ساحل,sahil
143,Festland::N,خشکی,kara
144,Meer::N,دریا,deniz
145,Bucht::N,خلیج,koy
146,Bucht::N,خلیج,körfez
147,Insel::N,جزیره,ada
148,Blume::N,گل,çiçek
149,Gras::N,علف,ot
150,Gras::N,علف,çim
151,Wurzel::N,ریشه,kök
152,Baum::N,درخت,ağaç
153,Stamm::N,تنه,gövde
154,Rinde::N,توژ,kabuk
155,Rinde::N,پوست,kabuk
156,Ast::N,شاخه,dal
157,Ast::N,شاخه,budak
158,Zweig::N,شاخه,dal
159,Blatt::N,برگ,yaprak
160,Birke::N,غان,huş
161,Kiefer[Baum]::N,کاج,çam
162,Weide[Baum]::N,بید,söğüt
163,Tanne::N,صنوبر,çam
164,Tanne::N,صنوبر,köknar
165,Horn::N,شاخ,boynuz
166,Feder::N,پر,tüy
167,Fell::N,خز,post
168,Flügel::N,پر,kanat
169,Flügel::N,بال,kanat
170,Klaue::N,چنگ,pençe
171,Klaue::N,پنجه,pençe
172,Kralle::N,پنجه,tırnak
173,Schwanz::N,دم,kuyruk
174,Ei::N,تخم,yumurta
175,Nest::N,لانه,yuva
176,Bau::N,بنا,in
177,Bau::N,ساختمان,in
178,Tier::N,هیوان,hayvan
179,Herde::N,رمه,sürü
180,Kuh::N,گاو,inek
181,Bulle::N,گاو نر,boğa
182,Pferd::N,اسب,at
183,Pferd::N,اسب,beygir
184,Schaf::N,گوسفند,koyun
185,Schwein::N,خوک,domuz
186,Hund::N,سگ,it
187,Hund::N,سگ,köpek
188,Katze::N,گربه,kedi
189,Bär::N,خرس,ayı
190,Eichhörnchen::N,سنجاب,sincap
191,Elch::N,گوزن شمالی,büyük kuzey geyiği
192,Fuchs::N,روباه,tilki
193,Hase::N,خرگوش,tavşan
194,Maus::N,موش,fare
195,Maus::N,موش,sıçan
196,Wolf::N,گرگ,kurt
197,Vogel::N,پرنده,kuş
198,Schwarm::N,دسته,sürü
199,Huhn::N,مرغ,tavuk
200,Hahn::N,خروس,horoz
201,Gans::N,غاز,kaz
202,Adler::N,عقاب,kartal
203,Adler::N,عقاب,karakuş
204,Ente::N,اردک,ördek
205,Ente::N,مرغابی,ördek
206,Eule::N,جغد,baykuş
207,Kranich::N,درنا,turna
208,Krähe::N,زاغ,karga
209,Krähe::N,کلاغ,karga
210,Kuckuck::N,فاخته,guguk
211,Schwan::N,قو,kuğu
212,Fisch::N,ماهی,balık
213,Barsch::N,ماهی خاردار,hani
214,Barsch::N,ماهی خاردار,levrek
215,Hecht::N,اردک ماهی,turnabalığı
216,Schlange[Tier]::N,مار,yılan
217,Wurm::N,کرم,kurt
218,Wurm::N,کرم,solucan
219,Spinne::N,عنکبوت,örümcek
220,Ameise::N,مورچه,karınca
221,Laus::N,شپش,bit
222,Mücke::N,پشه,sivrisinek
223,Fliege::N,مگس,sinek
224,Schmetterling::N,پروانه,kelebek
225,Beere::N,گیله,tane
226,Apfel::N,سیب,elma
227,Pilz::N,قارچ,mantar
228,Zwiebel::N,پیاز,soğan
229,Saat::N,بذر,ekin
230,Korn::N,تخم,tane
231,Korn::N,دانه,tane
232,Heu::N,علف خشک,kuru ot
233,Schale::N,پوست,kabuk
234,Grube::N,گودال,çukur
235,Falle::N,دام,tuzak
236,Schlinge::N,حلقه,ilmik
237,Spur::N,رد,iz
238,Asche::N,خاکستر,kül
239,Dreck::N,کثافت,pislik
240,Eisen::N,آهن,demir
241,Gold::N,زر,altın
242,Gold::N,طلا,altın
243,Silber::N,نقره,gümüş
244,Kohle::N,زغال,kömür
245,Glas::N,شیشه,cam
246,Lehm::N,گل,balçık
247,Sand::N,شن,kum
248,Sand::N,ماسه,kum
249,Mensch::N,آدم,insan
250,Mensch::N,انسان,insan
251,Mann::N,مرد,adam
252,Mann::N,مرد,erkek
253,Frau::N,زن,bayan
254,Kind::N,بچه,çocuk
255,Kind::N,کودک,çocuk
256,Junge::N,پسر,erkek çocuk
257,Mädchen::N,دختر,kız
258,Familie::N,فامیل,aile
259,Familie::N,خانواده,aile
260,Großvater::N,پدربزرگ,dede
261,Großvater::N,پدربزرگ,büyükbaba
262,Großmutter::N,مادر‌بزرگ,nine
263,Großmutter::N,مادر‌بزرگ,büyükanne
