,Concept_ID,lez,hr
0,Auge::N,вил,oko
1,Ohr::N,яб,uho
2,Nase::N,нер,nos
3,Mund::N,сив,usta
4,Zahn::N,сас,zub
5,Zahn::N,свах,zub
6,Zunge::N,мез,jezik
7,Lippe::N,пӏуз,usna
8,Wange::N,хъвехъ,obraz
9,Gesicht::N,ччин,lice
10,Stirn::N,пел,čelo
11,Haar::N,чӏар,kosa
12,Schnurrbart::N,спел,brkovi
13,Schnurrbart::N,спелар,brkovi
14,Bart::N,ччуру,brada
15,Kinn::N,чене,brada
16,Kinn::N,чене,podbradak
17,Kiefer[Anatomie]::N,чене,čeljust
18,Kehle::N,туьд,grlo
19,Hals::N,гардан,vrat
20,Genick::N,кьам,zatiljak
21,Kopf::N,кьил,glava
22,Rücken::N,далу,leđa
23,Rücken::N,далу,hrbat
24,Bauch::N,руфун,trbuh
25,Nabel::N,пицӏ,pupak
26,Busen::N,мам,sisa
27,Busen::N,мам,njedra
28,Brust::N,хур,prsa
29,Schulter::N,къуьн,rame
30,Schulter::N,къуьн,pleći
31,Arm::N,гъил,ruka
32,Ellenbogen::N,кьуьнт,lakat
33,Hand::N,капаш,ruka
34,Handfläche::N,капан юкь,dlan
35,Finger::N,тӏуб,prst
36,Fingernagel::N,кек,nokat
37,Nagel[Anatomie]::N,кек,nokat
38,Zeh::N,кул,nozni prst
39,Fuß::N,кӏвач,noga
40,Fuß::N,кӏвач,stopalo
41,Ferse::N,дабан,peta
42,Knie::N,мет,koljeno
43,Bein::N,кӏвач,noga
44,Körper::N,беден,tijelo
45,Haut::N,хам,put
46,Haut::N,хам,koža
47,Blut::N,иви,krv
48,Ader::N,дамар,žila
49,Sehne::N,кьуру дамар,tetiva
50,Knochen::N,кӏараб,kost
51,Gehirn::N,мефт,
52,Herz::N,рикӏ,srce
53,Magen::N,хук,stomak
54,Magen::N,хук,želudac
55,Leber::N,лекь,jetra
56,Atem::N,ял,dah
57,Atem::N,нефес,dah
58,Hunger::N,каш,glad
59,Träne::N,вилин нагъв,suza
60,Geschmack::N,дад,ukus
61,Geschmack::N,тӏям,ukus
62,Geruch::N,ни,njuh
63,Geruch::N,ни,miris
64,Schlaf::N,ахвар,san
65,Traum::N,ахвар,san
66,Himmel::N,цав,nebo
67,Sonne::N,рагъ,sunce
68,Mond::N,варз,mjesec
69,Stern::N,гъед,zvijezda
70,Luft::N,гьава,zrak
71,Wind::N,гар,vjetar
72,Welle::N,лепе,val
73,Welle::N,лепе,talas
74,Wasser::N,яд,voda
75,Stein::N,къван,kamen
76,Boden::N,накьв,tlo
77,Boden::N,накьв,zemlja
78,Erde::N,ччил,zemlja
79,Staub::N,руг,prah
80,Staub::N,руг,prašina
81,Rauch::N,гум,dim
82,Funke::N,цӏелхем,iskra
83,Funke::N,цӏелхем,varnica
84,Feuer::N,цӏай,vatra
85,Licht::N,экв,svjetlo
86,Schatten::N,серин,hlad
87,Schatten::N,серин,sjena
88,Wetter::N,гьава,vrijeme
89,Nebel::N,ччилин циф,magla
90,Wolke::N,циф,oblak
91,Regen::N,марф,kiša
92,Schnee::N,жив,snijeg
93,Eis::N,мурк,led
94,Frost::N,аяз,mraz
95,Kälte::N,мекь,studen
96,Kälte::N,мекь,hladnoća
97,Kälte::N,мекьивал,studen
98,Kälte::N,мекьивал,hladnoća
99,Hitze::N,зегьем,vrućina
100,Raureif::N,къирав,inje
101,Regenbogen::N,яргъируш,duga
102,Donner::N,цавун ван,grom
103,Donner::N,цавун ван,grmljavina
104,Tropfen::N,стӏал,kap
105,Tropfen::N,стӏал,kaplja
106,Schaum::N,каф,pjena
107,Schmutz::N,чирк,nečistoća
108,Schmutz::N,чирк,prljavština
109,Schmutz::N,кьуруш,nečistoća
110,Schmutz::N,кьуруш,prljavština
111,See::N,вир,jezero
112,Sumpf::N,уьлен,bara
113,Wiese::N,векь,livada
114,Wald::N,там,šuma
115,Hügel::N,кӏунтӏ,brijeg
116,Hügel::N,кӏунтӏ,brežuljak
117,Anhöhe::N,тепе,uzvišica
118,Anhöhe::N,гьуьндуьрвал,uzvišica
119,Berg::N,дагъ,brdo
120,Gipfel::N,кӏукӏ,vrh
121,Höhle::N,кьветӏ,pećina
122,Höhle::N,кьветӏ,spilja
123,Abhang::N,гуьне,obronak
124,Abhang::N,гуьне,nizbrdica
125,Quelle::N,чешме,izvor
126,Quelle::N,чешме,vrelo
127,Bach::N,булах,potok
128,Fluss::N,вацӏ,rijeka
129,Ufer::N,къерех,obala
130,Küste::N,къерех,obala
131,Küste::N,къерех,morska obala
132,Festland::N,кьурамат,kopno
133,Meer::N,гьуьл,more
134,Bucht::N,бухта,zaliv
135,Insel::N,остров,ada
136,Insel::N,остров,otok
137,Blume::N,цуьк,cvijet
138,Gras::N,хъач,trava
139,Wurzel::N,дувул,korijen
140,Baum::N,ттар,drvo
141,Baum::N,ттар,stablo
142,Stamm::N,тан,deblo
143,Stamm::N,тан,stablo
144,Rinde::N,чкал,kora
145,Ast::N,тӏур,grana
146,Zweig::N,хел,grana
147,Blatt::N,пеш,list
148,Birke::N,верх,breza
149,Kiefer[Baum]::N,шамагъаж,bor
150,Weide[Baum]::N,цӏвелин ттар,iva
151,Weide[Baum]::N,цӏвелин ттар,vŕba
152,Tanne::N,ель,jela
153,Horn::N,карч,rog
154,Feder::N,цӏакул,pero
155,Fell::N,хам,koža
156,Flügel::N,лув,krilo
157,Klaue::N,къармах,papak
158,Kralle::N,пац,pandža
159,Kralle::N,тапас,pandža
160,Schwanz::N,ттум,rep
161,Ei::N,кака,jaje
162,Nest::N,муг,gnijezdo
163,Bau::N,тӏеквен,jazbina
164,Tier::N,гьайван,životinja
165,Herde::N,суьруь,krdo
166,Herde::N,суьруь,stado
167,Kuh::N,ккал,krava
168,Bulle::N,яц,bik
169,Bulle::N,бугъа,bik
170,Pferd::N,балкӏан,konj
171,Schaf::N,хеб,ovca
172,Schwein::N,вак,svinja
173,Hund::N,кицӏ,pas
174,Hund::N,кицӏ,pseto
175,Katze::N,кац,mačka
176,Bär::N,сев,medvjed
177,Eichhörnchen::N,белка,vjeverica
178,Elch::N,лось,los
179,Fuchs::N,сикӏ,lisica
180,Hase::N,къуьр,zec
181,Maus::N,кьиф,miš
182,Wolf::N,жанавур,vuk
183,Wolf::N,жанавур,kurjak
184,Vogel::N,луван ничхир,ptica
185,Schwarm::N,луж,roj
186,Schwarm::N,луж,jato
187,Huhn::N,верч,kokoš
188,Hahn::N,кӏек,kokot
189,Hahn::N,кӏек,pijevac
190,Gans::N,къаз,guska
191,Adler::N,лекь,orao
192,Ente::N,пӏатӏ,patka
193,Eule::N,тӏиб,sova
194,Kranich::N,дурна,ždral
195,Krähe::N,къаргъа,vrana
196,Kuckuck::N,кукупӏ,kukavica
197,Schwan::N,къугь,labud
198,Fisch::N,гъед,riba
199,Barsch::N,окунь,grgeč
200,Hecht::N,щука,štuka
201,Schlange[Tier]::N,илан,guja
202,Schlange[Tier]::N,илан,zmija
203,Schlange[Tier]::N,гъуьлягъ,guja
204,Schlange[Tier]::N,гъуьлягъ,zmija
205,Wurm::N,квак,crv
206,Spinne::N,хуьшрекан,pauk
207,Ameise::N,цегв,mrav
208,Laus::N,нет,uš
209,Mücke::N,ветӏ,komarac
210,Fliege::N,тӏветӏ,muha
211,Schmetterling::N,чепелукь,leptir
212,Beere::N,куьлуь емиш,boba
213,Beere::N,куьлуь емиш,bobica
214,Apfel::N,ич,jabuka
215,Pilz::N,къарникъуз,pečurka
216,Zwiebel::N,чичӏек,luk
217,Zwiebel::N,чичӏек,kapula
218,Saat::N,тумар,sjemenje
219,Korn::N,твар,zrno
220,Heu::N,векь,sijeno
221,Heu::N,векьер,sijeno
222,Schale::N,пириш,kora
223,Schale::N,пириш,ljuska
224,Schale::N,хъуьруьш,kora
225,Schale::N,хъуьруьш,ljuska
226,Grube::N,фур,jama
227,Falle::N,ракьар,zamka
228,Falle::N,ракьар,klopka
229,Schlinge::N,гьалкъа,uzao
230,Schlinge::N,гьалкъа,petlja
231,Spur::N,гел,trag
232,Spur::N,гел,slijed
233,Asche::N,руьхъ,pepeo
234,Dreck::N,чирк,blato
235,Dreck::N,кьуруш,blato
236,Eisen::N,ракь,željezo
237,Gold::N,алтун,zlato
238,Silber::N,гимиш,srebro
239,Kohle::N,цӏивин,ugalj
240,Kohle::N,цӏивин,ugljen
241,Glas::N,шуьше,staklo
242,Lehm::N,ччеб,glina
243,Lehm::N,ччеб,ilovača
244,Sand::N,къум,pijesak
245,Mensch::N,инсан,čovjek
246,Mann::N,итим,muškarac
247,Frau::N,паб,žena
248,Frau::N,дишегьли,žena
249,Kind::N,аял,čedo
250,Kind::N,аял,dijete
251,Junge::N,гада,momče
252,Junge::N,гада,dječak
253,Mädchen::N,руш,djevojka
