,Concept_ID,mn,et
0,Auge::N,нүд,silm
1,Ohr::N,чих,kõrv
2,Nase::N,хамар,nina
3,Mund::N,ам,suu
4,Zahn::N,шүд,hammas
5,Zunge::N,хэл,keel
6,Lippe::N,уруул,huul
7,Wange::N,хацар,põsk
8,Gesicht::N,царай,nägu
9,Gesicht::N,нүүр,nägu
10,Stirn::N,дух,otsmik
11,Haar::N,үс,juus
12,Schnurrbart::N,дээд сахал,vurrud
13,Schnurrbart::N,дээд сахал,vuntsid
14,Schnurrbart::N,живэр сахал,vurrud
15,Schnurrbart::N,живэр сахал,vuntsid
16,Bart::N,сахал,habe
17,Kinn::N,эрүү,lõug
18,Kiefer[Anatomie]::N,эрүү,lõualuu
19,Kehle::N,хоолой,kõri
20,Hals::N,хүзүү,kael
21,Genick::N,шил,kukal
22,Genick::N,хүзүү,kukal
23,Kopf::N,толгой,pea
24,Rücken::N,ар,selg
25,Rücken::N,нуруу,selg
26,Bauch::N,хэвлий,kõht
27,Bauch::N,гэдэс,kõht
28,Nabel::N,хүйс,naba
29,Busen::N,хөх,rind
30,Brust::N,цээж,rind
31,Schulter::N,мөр,õlg
32,Schulter::N,бугалга,õlg
33,Arm::N,гар,käsivars
34,Ellenbogen::N,тохой,küünarnukk
35,Hand::N,гар,käsi
36,Hand::N,алга,käsi
37,Handfläche::N,алга,pihk
38,Finger::N,хуруу,sõrm
39,Fingernagel::N,хурууны хумс,küüs
40,Nagel[Anatomie]::N,хумс,küüs
41,Zeh::N,хуруу,varvas
42,Fuß::N,хөл,jalg
43,Ferse::N,өсгий,kand
44,Knie::N,өвдөг,põlv
45,Oberschenkel::N,гуя,reis
46,Bein::N,хөл,jalg
47,Körper::N,бие,ihu
48,Körper::N,бие,keha
49,Haut::N,арьс,nahk
50,Blut::N,цус,veri
51,Ader::N,судас,veen
52,Sehne::N,бүлх,kõõlus
53,Sehne::N,шандас,kõõlus
54,Knochen::N,яс,luu
55,Gehirn::N,тархи,aju
56,Herz::N,зүрх,süda
57,Magen::N,ходоод,magu
58,Leber::N,элэг,maks
59,Atem::N,амьсгаа,hingeõhk
60,Atem::N,амьсгаа,hingamine
61,Hunger::N,өлсгөлөн,nälg
62,Träne::N,нулимс,pisar
63,Geschmack::N,амт,maitse
64,Geruch::N,үнэр,lõhn
65,Schlaf::N,нойр,uni
66,Traum::N,зүүд,unenägu
67,Himmel::N,тэнгэр,taevas
68,Himmel::N,огторгуй,taevas
69,Sonne::N,нар,päike
70,Mond::N,сар,kuu
71,Stern::N,од,täht
72,Luft::N,агаар,õhk
73,Wind::N,салхи,tuul
74,Welle::N,долгио,laine
75,Welle::N,давалгаа,laine
76,Wasser::N,ус,vesi
77,Stein::N,чулуу,kivi
78,Boden::N,хөрс,maa
79,Boden::N,хөрс,pinnas
80,Erde::N,газар,maa
81,Erde::N,шороо,maa
82,Staub::N,тоос,põrm
83,Rauch::N,утаа,suits
84,Funke::N,оч,säde
85,Feuer::N,гал,tuli
86,Licht::N,гэрэл,valgus
87,Licht::N,гэгээ,valgus
88,Schatten::N,сүүдэр,vari
89,Wetter::N,тэнгэр,ilm
90,Wetter::N,цаг уур,ilm
91,Nebel::N,будан,udu
92,Wolke::N,үүл,pilv
93,Regen::N,бороо,sadu
94,Schnee::N,цас,lumi
95,Eis::N,мөс,jää
96,Frost::N,хүйт,pakane
97,Kälte::N,хүйт,külm
98,Kälte::N,хүйт,külmus
99,Hitze::N,халуун,kuumus
100,Hitze::N,халуун,palavus
101,Raureif::N,цан,härmatis
102,Raureif::N,хяруу,härmatis
103,Regenbogen::N,солонго,vikerkaar
