,Concept_ID,cy,ja
191,Schmetterling::N,iâr fach yr haf,蝶
192,Beere::N,aeronen,漿果
193,Apfel::N,afal,林檎
194,Pilz::N,madarch,茸
195,Zwiebel::N,nionyn,玉葱
196,Zwiebel::N,winwnsyn,玉葱
197,Saat::N,had,種
198,Korn::N,grawn,粒
199,Heu::N,gwair,干し草
200,Schale::N,croen,皮
201,Schale::N,plisgyn,皮
202,Grube::N,pwll,穴
203,Grube::N,pydew,穴
204,Falle::N,magl,わな
205,Schlinge::N,cwlwm rhedeg,輪
206,Spur::N,ôl,跡
207,Asche::N,lludw,灰
208,Dreck::N,baw,泥
209,Dreck::N,budreddi,泥
210,Eisen::N,haearn,鉄
211,Gold::N,aur,金
212,Silber::N,arian,銀
213,Kohle::N,glo,炭
214,Glas::N,gwydr,ガラス
215,Lehm::N,clai,ローム
216,Sand::N,tywod,砂
217,Mensch::N,dyn,人
218,Mann::N,dyn,男
219,Mann::N,dyn,男性
220,Frau::N,merch,女
221,Frau::N,merch,女性
222,Frau::N,gwraig,女
223,Frau::N,gwraig,女性
224,Kind::N,plentyn,子
225,Kind::N,plentyn,子供
226,Junge::N,hogyn,男の子
227,Junge::N,bachgen,男の子
228,Mädchen::N,merch,女の子
229,Mädchen::N,geneth,女の子
230,Familie::N,teulu,家族
231,Familie::N,tylwyth,家族
232,Großvater::N,taid,祖父
233,Großvater::N,taid,おじいさん
234,Großvater::N,tad-cu,祖父
235,Großvater::N,tad-cu,おじいさん
236,Großmutter::N,nain,祖母
237,Großmutter::N,nain,おばあさん
238,Großmutter::N,mam-gu,祖母
239,Großmutter::N,mam-gu,おばあさん
240,Eltern::N,rhieni,親
241,Eltern::N,rhieni,両親
242,Vater::N,tad,父
243,Vater::N,tad,お父さん
244,Mutter::N,mam,母
245,Mutter::N,mam,お母さん
246,Sohn::N,mab,息子
247,Sohn::N,mab,息子さん
248,Tochter::N,merch,娘
249,Tochter::N,merch,お嬢さん
250,Bruder::N,brawd,弟
251,Schwester::N,chwaer,妹
252,Onkel::N,ewythr,伯父
253,Onkel::N,ewythr,伯父さん
254,Tante::N,modryb,叔母
255,Tante::N,modryb,叔母さん
256,Ehemann::N,gŵr,夫
257,Ehemann::N,gŵr,主人
258,Ehefrau::N,gwraig,妻
259,Ehefrau::N,gwraig,奥さん
260,Freude::N,gorfoledd,喜び
261,Gelächter::N,chwerthin,笑い
262,Glück::N,hapusrwydd,幸せ
263,Kummer::N,galar,悩み
264,Wunsch::N,dymuniad,希望
265,Lust::N,chwant,気
266,Geist::N,ysbryd,精神
267,Gedanke::N,meddwl,考え
268,Gedächtnis::N,cof,記憶
269,Verstand::N,meddwl,理解力
270,Sinn::N,ystyr,意味
271,Grund::N,achos,理由
272,Grund::N,rheswm,理由
273,Wahrheit::N,gwir,真実
274,Wahrheit::N,gwirionedd,真実
275,Gespräch::N,sgwrs,会話
276,Märchen::N,chwedl werin,童話
277,Erzählung::N,stori,物語
278,Nachricht::N,neges,報告
279,Neuigkeit::N,newydd,ニュース
280,Name::N,enw,名前
281,Rätsel::N,pos,謎
282,Rede::N,araith,演説
283,Sprache::N,iaith,言語
284,Stimme::N,llais,声
285,Wort::N,gair,言葉
286,Zeichen::N,arwydd,記号
287,Ruf::N,galwad,呼び声
288,Lärm::N,trwst,騒音
289,Laut::N,sain,音
290,Ton::N,tôn,音
291,Lied::N,cân,歌
292,Ruhe::N,tawelwch,静けさ
293,Leute::N,pobl,人々
294,Volk::N,pobl,民族
295,Arbeit::N,gwaith,仕事
296,Gast::N,gwestai,客
297,Geschenk::N,rhodd,贈り物
298,Geschenk::N,anrheg,贈り物
299,Spiel::N,chwarae,遊び
300,Gesellschaft::N,cwmni,社会
