,Concept_ID,xal,bn
0,Auge::N,нүдн,চক্ষু
1,Ohr::N,чикн,কর্ণ
2,Nase::N,хамр,নাক
3,Mund::N,амн,মুখ
4,Zahn::N,шүдн,দাঁত
5,Zunge::N,келн,জিহবা
6,Lippe::N,урл,অধর
7,Wange::N,халх,গণ্ড
8,Gesicht::N,нүр,মুখমণ্ডল
9,Stirn::N,маңна,কপাল
10,Haar::N,үсн,চুল
11,Schnurrbart::N,сахл,গোঁফ
12,Bart::N,сахл,শ্মশ্রু
13,Bart::N,өргнә сахл,শ্মশ্রু
14,Kinn::N,өргн,চিবুক
15,Kiefer[Anatomie]::N,өргн,চোয়াল
16,Kehle::N,хол,কণ্ঠ
17,Hals::N,күзүн,গল
18,Genick::N,гиҗг,ঘাড়
19,Kopf::N,толһа,মাথা
20,Rücken::N,нурһн,পৃষ্ঠ
21,Bauch::N,гесн,উদর
22,Nabel::N,киисн,নাভি
23,Busen::N,көкн,স্তন
24,Brust::N,чееҗ,বুক
25,Schulter::N,ээм,স্কন্ধ
26,Arm::N,һар,বাহু
27,Ellenbogen::N,тоха,কনুই
28,Hand::N,баһлцг,হাত
29,Handfläche::N,альхн,করতল
30,Finger::N,хурһн,আঙ্গুল
31,Finger::N,һарин хурһн,আঙ্গুল
32,Fingernagel::N,хумсн,হাতের নখ
33,Nagel[Anatomie]::N,хумсн,নখ
34,Zeh::N,хурһн,আঙ্গুল
35,Zeh::N,көлин хурһн,আঙ্গুল
36,Fuß::N,тавг,পা
37,Ferse::N,өскә,গোড়ালি
38,Knie::N,өвдг,হাঁটু
39,Oberschenkel::N,һуй,ঊরু
40,Bein::N,көл,পা
41,Körper::N,махмуд,দেহ
42,Haut::N,арсн,ত্বক
43,Blut::N,цусн,রক্ত
44,Ader::N,судцн,শিরা
45,Sehne::N,шүрүсн,কণ্ডরা
46,Knochen::N,ясн,অস্থি
47,Gehirn::N,экн,মস্তিষ্ক
48,Herz::N,зүркн,হৃৎপিণ্ড
49,Magen::N,гесн,পাকস্থলী
50,Leber::N,элкн,যকৃৎ
51,Atem::N,әмсхл,শ্বাস
52,Hunger::N,харһнлһн,ক্ষুধা
53,Träne::N,нульмсн,অশ্রু
54,Geschmack::N,амтн,স্বাদ
55,Geruch::N,үнр,গন্ধ
56,Schlaf::N,нөр,ঘুম
57,Traum::N,зүүдн,স্বপ্ন
58,Himmel::N,теңгр,আকাশ
59,Sonne::N,нарн,সূর্য
60,Mond::N,сар,চন্দ্র
61,Stern::N,одн,নক্ষত্র
62,Luft::N,аһар,বায়ু
