,Concept_ID,cy,udm
0,Auge::N,llygad,син
1,Ohr::N,clust,пель
2,Nase::N,trwyn,ныр
3,Mund::N,ceg,ым
4,Zahn::N,dant,пинь
5,Zunge::N,tafod,кыл
6,Lippe::N,gwefus,ымдур
7,Wange::N,boch,бам
8,Gesicht::N,wyneb,ымныр
9,Stirn::N,talcen,кымес
10,Haar::N,blew,йырси
11,Schnurrbart::N,mwstas,мыйык
12,Bart::N,barf,туш
13,Kinn::N,gên,ангес
14,Kiefer[Anatomie]::N,gên,ан
15,Kiefer[Anatomie]::N,gên,анлы
16,Kehle::N,gwddf,гульым
17,Hals::N,gwddf,чырты
18,Genick::N,gwar,йырбер
19,Genick::N,gwegil,йырбер
20,Kopf::N,pen,йыр
21,Rücken::N,cefn,мыш
22,Bauch::N,bol,кӧт
23,Nabel::N,bogail,гогы
24,Busen::N,bron,ноны
25,Brust::N,brest,мӧля
26,Schulter::N,ysgwydd,пельпум
27,Arm::N,braich,суй
28,Ellenbogen::N,penelin,гырпум
29,Hand::N,llaw,ки
30,Handfläche::N,palf,ки пыдэс
31,Handfläche::N,palf,кырым пыдэс
32,Finger::N,bys,чиньы
33,Fingernagel::N,ewin,гижы
34,Fingernagel::N,ewin,гиждӥнь
35,Nagel[Anatomie]::N,ewin,гижы
36,Zeh::N,bys troed,пыдчиньы
37,Fuß::N,troed,пыд
38,Ferse::N,sawdl,пыдбер
39,Knie::N,glin,пыдес
40,Oberschenkel::N,clun,макес
41,Bein::N,coes,пыд
42,Körper::N,corff,мугор
43,Körper::N,corff,вылтыр
44,Haut::N,croen,ку
45,Blut::N,gwaed,вир
46,Ader::N,gwythïen,вирсэр
47,Sehne::N,gewyn,вуж
48,Knochen::N,asgwrn,лы
49,Gehirn::N,ymennydd,вим
50,Herz::N,calon,сюлэм
51,Magen::N,cylla,ӝуш
52,Magen::N,stumog,ӝуш
53,Leber::N,iau,мус
54,Atem::N,anadl,лул
55,Atem::N,anadl,шокан
56,Hunger::N,newyn,кӧтсюман
57,Träne::N,deigryn,синкыли
58,Geschmack::N,cyflas,шӧм
59,Geruch::N,aroglau,зын
60,Schlaf::N,cwsg,вӧт
61,Traum::N,breuddwyd,уйвӧт
62,Himmel::N,awyr,ин
63,Sonne::N,haul,шунды
64,Mond::N,lleuad,толэзь
65,Stern::N,seren,кизили
66,Luft::N,awyr,омыр
67,Wind::N,gwynt,тӧл
68,Welle::N,ton,тулкым
69,Wasser::N,dŵr,ву
70,Stein::N,carreg,из
71,Boden::N,llawr,музъем
72,Erde::N,pridd,му
73,Staub::N,llwch,пыль
74,Rauch::N,mwg,ӵын
75,Funke::N,gwreichioni,гизьы
76,Feuer::N,tân,тыл
77,Licht::N,golau,тыл
78,Schatten::N,cysgod,вужер
79,Wetter::N,tywydd,куазь
80,Nebel::N,niwl,бус
81,Wolke::N,cwmwl,пилем
82,Regen::N,glaw,зор
83,Schnee::N,ôd,лымы
84,Schnee::N,eira,лымы
85,Eis::N,iâ,йӧ
86,Frost::N,rhew,кезьыт
87,Kälte::N,oerni,кезьыт
88,Kälte::N,annwyd,кезьыт
89,Hitze::N,gwres,пӧсь
90,Raureif::N,barrug,гӧр
91,Regenbogen::N,enfys,вуюись
92,Donner::N,tyrfau,гудыри
93,Strömung::N,cerrynt,бызён
94,Tropfen::N,dafn,шапык
95,Tropfen::N,diferyn,шапык
