,Concept_ID,br,ja
0,Auge::N,lagad,目
1,Ohr::N,skouarn,耳
2,Nase::N,fri,鼻
3,Mund::N,genoù,口
4,Zahn::N,dant,歯
5,Zunge::N,teod,舌
6,Lippe::N,muzell,唇
7,Wange::N,chot,頬
8,Gesicht::N,dremm,顔
9,Stirn::N,tal,額
10,Haar::N,blev,髪
11,Schnurrbart::N,mourenn,口髭
12,Bart::N,barv,髭
13,Kinn::N,groñj,顎
14,Kiefer[Anatomie]::N,javed,顎
15,Kehle::N,gouzoug,喉
16,Hals::N,gouzoug,首
17,Genick::N,choug,首
18,Kopf::N,penn,頭
19,Rücken::N,kein,背中
20,Bauch::N,kof,腹
21,Bauch::N,kof,お腹
22,Nabel::N,begel,へそ
23,Busen::N,bronn,乳房
24,Brust::N,bruched,胸
25,Schulter::N,skoaz,肩
26,Arm::N,brec'h,腕
27,Ellenbogen::N,ilin,肘
28,Hand::N,dorn,手
29,Handfläche::N,palv,手のひら
30,Finger::N,biz,指
31,Fingernagel::N,ivin,爪
32,Nagel[Anatomie]::N,ivin,爪
33,Zeh::N,biz-troad,足の指
34,Fuß::N,troad,足
35,Ferse::N,seul,かかと
36,Knie::N,glin,膝
37,Oberschenkel::N,morzhed,上腿
38,Bein::N,gar,足
39,Körper::N,korf,体
40,Haut::N,kroc'hen,皮膚
41,Blut::N,gwad,血
42,Ader::N,gwazhi,血管
43,Sehne::N,stir,腱
44,Knochen::N,askorn,骨
45,Gehirn::N,empenn,脳
46,Herz::N,kalon,心
47,Herz::N,kalon,心臓
48,Magen::N,stomog,胃
49,Leber::N,avu,肝臓
50,Atem::N,anal,息
51,Atem::N,anal,呼吸
52,Hunger::N,naon,空腹
53,Träne::N,daer,涙
54,Geschmack::N,blaz,味
55,Geruch::N,c'hwezh,匂い
56,Schlaf::N,kousked,睡眠
57,Traum::N,hune,夢
58,Himmel::N,oabl,空
59,Sonne::N,heol,太陽
60,Mond::N,loar,月
61,Stern::N,steredenn,星
62,Luft::N,aer,空気
63,Wind::N,avel,風
64,Welle::N,houlenn,波
65,Wasser::N,dour,水
66,Stein::N,maen,石
67,Boden::N,tachenn,土地
68,Erde::N,douar,土
69,Staub::N,poultr,埃
70,Rauch::N,moged,煙
71,Funke::N,ful,火花
72,Feuer::N,tan,火
73,Licht::N,gouloù,光
74,Schatten::N,disheol,陰
75,Wetter::N,amzer,天気
76,Nebel::N,brumenn,霧
77,Wolke::N,koumoulenn,雲
78,Regen::N,glav,雨
79,Schnee::N,erc'h,雪
80,Eis::N,skorn,氷
81,Frost::N,rev,霜
82,Kälte::N,yen,寒さ
83,Hitze::N,tommder,暑さ
84,Raureif::N,frim,霧氷
85,Regenbogen::N,gwareg-ar-glav,虹
86,Donner::N,kurun,雷
87,Strömung::N,red,流れ
88,Tropfen::N,bannac'h,滴
89,Tropfen::N,takenn,滴
90,Schaum::N,spoum,泡
91,Schmutz::N,fank,汚れ
92,See::N,lenn,湖
93,Sumpf::N,gwern,沼
94,Moor::N,taouarc'heg,湿原
95,Wiese::N,prad,草原
96,Wald::N,koad,森
97,Hügel::N,torgenn,丘
98,Anhöhe::N,run,高み
99,Berg::N,menez,山
100,Gipfel::N,barr,頂上
101,Höhle::N,kav,洞窟
102,Abhang::N,naou,斜面
103,Quelle::N,feunteun,泉
104,Bach::N,gwazh,小川
105,Fluss::N,stêr,川
106,Ufer::N,ribl,岸
107,Küste::N,aod,海岸
108,Festland::N,douar,陸
109,Meer::N,mor,海
110,Bucht::N,mor-bihan,湾
111,Insel::N,enez,島
112,Blume::N,bleunienn,花
113,Gras::N,geot,草
114,Wurzel::N,gwrizienn,根
115,Baum::N,gwezenn,木
116,Stamm::N,kef,幹
117,Rinde::N,rusk,皮層
118,Ast::N,barr,枝
119,Zweig::N,bod,小枝
120,Blatt::N,delienn,葉
121,Birke::N,bezvenn,樺
122,Kiefer[Baum]::N,pinenn,松
123,Weide[Baum]::N,halegenn,柳
124,Tanne::N,sapenn,樅
125,Horn::N,korn,角
126,Feder::N,pluñv,羽根
127,Fell::N,kreoñ,毛皮
128,Flügel::N,askell,羽
129,Klaue::N,skilf,鉤爪
130,Kralle::N,skilf,爪
131,Schwanz::N,lost,尻尾
132,Ei::N,vi,卵
133,Nest::N,neizh,巣
134,Bau::N,douarenn,穴
135,Tier::N,loen,動物
136,Herde::N,tropell,群れ
137,Kuh::N,buoc'h,牛
138,Bulle::N,tarv,雄牛
139,Pferd::N,marc'h,馬
140,Schaf::N,dañvad,羊
141,Schwein::N,pemoc'h,豚
142,Hund::N,ki,犬
143,Katze::N,kazh,猫
144,Bär::N,arzh,熊
145,Eichhörnchen::N,gwiñver,栗鼠
146,Elch::N,karv-dour,ヘラジカ
147,Fuchs::N,louarn,狐
148,Hase::N,gad,兎
149,Maus::N,logodenn,鼠
150,Wolf::N,bleiz,狼
151,Vogel::N,labous,鳥
152,Schwarm::N,nijad,群れ
153,Huhn::N,yar,鶏
154,Hahn::N,kilhog,雄鶏
155,Gans::N,gwazenn,ガチョウ
156,Adler::N,erer,鷲
157,Ente::N,houad,鴨
158,Eule::N,toud,フクロウ
159,Kranich::N,garan,鶴
160,Krähe::N,bran,烏
161,Kuckuck::N,koukoug,郭公
162,Schwan::N,alarc'h,白鳥
163,Fisch::N,pesk,魚
164,Barsch::N,brell,鱸
165,Hecht::N,beked,川魳
166,Schlange[Tier]::N,naer,蛇
167,Wurm::N,preñv,虫
168,Spinne::N,kevnidenn,蜘蛛
169,Ameise::N,merion,蟻
170,Laus::N,laouenn,虱
171,Mücke::N,moustik,蚊
172,Fliege::N,kelienenn,蝿
173,Schmetterling::N,balafenn,蝶
174,Beere::N,hog,漿果
175,Apfel::N,aval,林檎
176,Pilz::N,kabell-touseg,茸
177,Zwiebel::N,ognonenn,玉葱
178,Saat::N,had,種
179,Korn::N,ed,粒
180,Heu::N,foenn,干し草
181,Schale::N,peliadur,皮
182,Falle::N,pech,わな
183,Schlinge::N,krouglas,輪
184,Asche::N,ludu,灰
185,Dreck::N,fank,泥
186,Eisen::N,houarn,鉄
187,Gold::N,aour,金
188,Silber::N,arc'hant,銀
189,Kohle::N,glaou,炭
190,Glas::N,gwer,ガラス
191,Sand::N,traezh,砂
192,Mensch::N,den,人
193,Mann::N,den,男
194,Mann::N,den,男性
195,Frau::N,maouez,女
196,Frau::N,maouez,女性
197,Kind::N,bugel,子
198,Kind::N,bugel,子供
199,Junge::N,paotr,男の子
200,Mädchen::N,plac'h,女の子
201,Familie::N,familh,家族
202,Großvater::N,tad-kozh,祖父
203,Großvater::N,tad-kozh,おじいさん
204,Großmutter::N,mamm-gozh,祖母
205,Großmutter::N,mamm-gozh,おばあさん
206,Eltern::N,kerent,親
207,Eltern::N,kerent,両親
208,Vater::N,tad,父
209,Vater::N,tad,お父さん
210,Mutter::N,mamm,母
211,Mutter::N,mamm,お母さん
212,Sohn::N,mab,息子
213,Sohn::N,mab,息子さん
214,Tochter::N,merc'h,娘
215,Tochter::N,merc'h,お嬢さん
216,Bruder::N,breur,弟
217,Schwester::N,c'hoar,妹
218,Onkel::N,eontr,伯父
219,Onkel::N,eontr,伯父さん
220,Tante::N,moereb,叔母
221,Tante::N,moereb,叔母さん
222,Ehemann::N,gwaz,夫
223,Ehemann::N,gwaz,主人
224,Ehefrau::N,gwreg,妻
225,Ehefrau::N,gwreg,奥さん
226,Freude::N,levenez,喜び
227,Gelächter::N,c'hoarzherezh,笑い
228,Glück::N,chañs,幸せ
229,Kummer::N,doan,悩み
230,Wunsch::N,c'hoant,希望
231,Lust::N,c'hoant,気
232,Geist::N,spered,精神
233,Gedanke::N,soñj,考え
234,Gedächtnis::N,eñvor,記憶
235,Verstand::N,skiant,理解力
236,Sinn::N,ster,意味
237,Grund::N,kaoz,理由
238,Wahrheit::N,gwirionez,真実
239,Gespräch::N,kaozeadenn,会話
240,Märchen::N,kaoz korriganez,童話
241,Erzählung::N,kontadenn,物語
242,Nachricht::N,keloù,報告
243,Neuigkeit::N,kelaouenn,ニュース
244,Name::N,anv,名前
245,Rätsel::N,divinatez,謎
246,Rede::N,diskour,演説
247,Sprache::N,yezh,言語
248,Stimme::N,mouezh,声
249,Wort::N,ger,言葉
250,Zeichen::N,sin,記号
251,Ruf::N,galv,呼び声
252,Lärm::N,trouz,騒音
253,Ton::N,ton,音
254,Lied::N,kanaouenn,歌
255,Ruhe::N,sioulded,静けさ
256,Leute::N,tud,人々
257,Volk::N,pobl,民族
258,Arbeit::N,labour,仕事
259,Gast::N,kouviad,客
260,Geschenk::N,prof,贈り物
261,Spiel::N,c'hoari,遊び
262,Gesellschaft::N,kompagnunezh,社会
263,Gesellschaft::N,kavandad,社会
264,Hilfe::N,sikour,援助
265,Freund::N,mignon,友達
266,Kamerad::N,kamarad,同志
267,Angelegenheit::N,afer,件
268,Anzahl::N,niver,数
269,Art::N,sort,種類
270,Stück::N,tamm,部分
271,Teil::N,pezh,部分
272,Hälfte::N,hanterenn,半分
273,Kreis::N,kelc'h,円
274,Kreuz::N,kroaz,十字
275,Linie::N,linenn,線
276,Strich::N,tenn,線
277,Abstand::N,distok,距離
278,Entfernung::N,keid,距離
279,Entfernung::N,kehid,距離
280,Gegend::N,korn-bro,辺
281,Gegend::N,korn-bro,地域
282,Platz::N,plasenn,ゆとり
283,Ort::N,lec'h,所
284,Ort::N,lec'h,場所
285,Seite::N,tu,横
286,Mitte::N,kreiz,真ん中
287,Gegenstand::N,tra,物件
288,Sache::N,tra,物
289,Rand::N,kantenn,端
290,Kante::N,kantenn,縁
291,Ecke::N,korn,角
292,Spitze::N,begell,先頭
293,Ende::N,dibenn,端
294,Loch::N,toull,穴
295,Muster::N,tresadenn,模様
296,Größe::N,ment,大きさ
297,Länge::N,hirder,長さ
298,Höhe::N,uhelder,高さ
299,Gewicht::N,pouez,重さ
300,Menge::N,bern,量
301,Haufen::N,bern,堆積
302,Reihe::N,steud,並び
303,Boot::N,bag,ボート
304,Ruder::N,roeñv,オール
305,Schlitten::N,trainell,そり
306,Ski::N,ski,スキー
307,Last::N,karg,荷物
308,Gang::N,kerzh,歩み
309,Schritt::N,paz,歩
310,Norden::N,norzh,北
311,Norden::N,hanternoz,北
312,Süden::N,su,南
313,Süden::N,kreisteiz,南
314,Westen::N,kuzh-heol,西
315,Osten::N,reter,東
316,Osten::N,sav-heol,東
317,Holz::N,koad,木
318,Holz::N,koad,木材
319,Brett::N,plankenn,板
320,Platte::N,plakenn,盤
321,Stütze::N,harp,支柱
322,Stange::N,sparl,棒
323,Stock::N,bazh,杖
324,Stab::N,bazh,棒
325,Rohr::N,tub,管
326,Rohr::N,korz,管
327,Haus::N,ti,家
328,Heim::N,kêr,家
329,Ofen::N,forn,ストーブ
330,Fußboden::N,plañchod,床
331,Tisch::N,taol,机
332,Stuhl::N,kador,椅子
333,Wiege::N,kavell,揺籃
334,Bett::N,gwele,ベッド
335,Regal::N,estajerenn,棚
336,Kiste::N,kased,箱
337,Fenster::N,prenestr,窓
338,Tür::N,dor,戸
339,Tür::N,dor,ドア
340,Tor::N,portal,門
341,Zaun::N,sklotur,垣根
342,Dach::N,toenn,屋根
343,Leiter::N,skeul,梯子
344,Besen::N,skubell,ほうき
345,Spaten::N,pal,スコップ
346,Schaufel::N,pal,シャベル
347,Gabel::N,fourchetez,フォーク
348,Löffel::N,loa,スプーン
349,Messer::N,kontell,ナイフ
350,Nagel::N,tach,釘
351,Netz::N,roued,網
352,Haken::N,krog,鉤
353,Haken::N,krog,フック
354,Griff::N,kemer,取っ手
355,Schloss::N,potenn,錠
356,Bild::N,skeudenn,絵
357,Figur::N,skeud,像
358,Figur::N,figur,像
359,Puppe::N,merc'hodenn,人形
360,Beutel::N,sac'h,袋
361,Bündel::N,feskenn,束
362,Bündel::N,feskenn,包み
363,Tasche::N,sac'h,かばん
364,Eimer::N,sailh,バケツ
365,Deckel::N,pallenn,蓋
366,Geschirr::N,listriaj,食器
367,Sack::N,sac'h,袋
368,Tasse::N,tas,カップ
369,Topf::N,pod,鍋
370,Kessel::N,chaodouron,釜
371,Essen::N,pred,食事
372,Nahrung::N,boued,食物
373,Speise::N,meuz,料理
374,Fleisch::N,kig,肉
375,Getreide::N,ed,麦
376,Getreide::N,ed,穀物
377,Brei::N,yod,粥
378,Brot::N,bara,パン
379,Scheibe::N,tailhenn,枚
380,Scheibe::N,tailhenn,切れ
381,Fett::N,lard,脂肪
382,Butter::N,amann,バター
383,Öl::N,eoul,油
384,Salz::N,holen,塩
385,Suppe::N,soubenn,スープ
386,Honig::N,mel,蜂蜜
387,Milch::N,laezh,牛乳
388,Tee::N,te,茶
389,Tee::N,te,お茶
390,Leder::N,lêr,革
391,Wolle::N,gloan,毛糸
392,Stoff::N,danvez,布
393,Nadel::N,nadoz,針
394,Faden::N,neudenn,糸
395,Knopf::N,bouton,ボタン
396,Knoten::N,skoulm,結び目
397,Farbe::N,liv,ペンキ
398,Kleidung::N,dilhad,衣服
399,Hemd::N,roc'hed,シャツ
400,Kragen::N,gouzoug,襟
401,Ärmel::N,milgin,袖
402,Hose::N,bragoù,ズボン
403,Gürtel::N,gouriz,帯
404,Gürtel::N,gouriz,ベルト
405,Mütze::N,boned,帽子
406,Schuh::N,botez,靴
407,Stiefel::N,botez,ブーツ
408,Ring::N,gwalenn,輪
409,Band::N,bagad,リボン
410,Kamm::N,krib,櫛
411,Spiegel::N,melezour,鏡
412,Riemen::N,lerenn,緒
413,Schnur::N,kordenn,紐
414,Leine::N,roll,綱
415,Decke::N,golo,掛け布団
416,Kissen::N,goubenner,枕
417,Tuch::N,mezher,スカーフ
418,Handtuch::N,toailhon,タオル
419,Kraft::N,nerzh,力
420,Stärke::N,nerzhder,強さ
421,Gesundheit::N,yec'hed,健康
422,Krankheit::N,klañved,病気
423,Schmerz::N,poan,痛み
424,Schmerz::N,droug,痛み
425,Wunde::N,gloazadenn,傷
426,Fieber::N,terzhienn,熱
427,Arznei::N,louzoù,薬
428,Brücke::N,pont,橋
429,Brunnen::N,puñs,井戸
430,Weide::N,prad,牧場
431,Pfad::N,gwenodenn,小路
432,Weg::N,hent,道
433,Straße::N,ru,街道
434,Straße::N,hent,街道
435,Dorf::N,kêr,村
436,Dorf::N,kêriadenn,村
437,Stadt::N,kêr,町
438,Stadt::N,kêr,都市
439,Brief::N,lizher,手紙
440,Buch::N,levr,本
441,Buchstabe::N,lizherenn,文字
442,Zeitung::N,kazetenn,新聞
443,Leben::N,buhez,生活
444,Tod::N,marv,死
445,Grab::N,bez,墓
446,Kirche::N,iliz,教会
447,Sünde::N,pec'hed,罪
448,Gott::N,doue,神
449,Arbeiter::N,labourer,労働者
