,Concept_ID,ar,av
0,Auge::N,عين,
1,Ohr::N,أذن,гӏин
2,Nase::N,أنف,мегӏер
3,Mund::N,فم,кӏал
4,Zahn::N,سن,гӏус
5,Zunge::N,لسان,мацӏ
6,Lippe::N,شفة,кӏветӏ
7,Wange::N,خد,гӏоно
8,Wange::N,وجنة,гӏоно
9,Gesicht::N,وجه,гьумер
10,Stirn::N,جبين,нодо
11,Haar::N,شعر,рас
12,Schnurrbart::N,شارب,михъ
13,Bart::N,لحية,мегеж
14,Kinn::N,ذقن,нилъу
15,Kiefer[Anatomie]::N,فك,чанагъ
16,Kehle::N,حلق,щекъер
17,Hals::N,عنق,габур
18,Hals::N,رقبة,габур
19,Genick::N,قفا,гъванща
20,Kopf::N,رأس,бетӏер
21,Rücken::N,ظهر,мугъ
22,Bauch::N,بطن,чехь
23,Nabel::N,سرة,цӏину
24,Busen::N,ثدي,керен
25,Brust::N,صدر,керен
26,Schulter::N,كتف,гъажазубетӏер
27,Arm::N,ذراع,гъеж
28,Ellenbogen::N,كوع,гӏункӏрукь
29,Hand::N,يد,квер
30,Handfläche::N,كف,огъохъат
31,Handfläche::N,كف,жанисахъат
32,Finger::N,إصبع,килищ
33,Fingernagel::N,ظفر,малъ
34,Nagel[Anatomie]::N,ظفر,малъ
35,Zeh::N,إصبع القدم,килищ
36,Fuß::N,قدم,хӏетӏ
37,Fuß::N,قدم,хӏетӏе
38,Ferse::N,كعب,эгъе
39,Knie::N,ركبة,наку
40,Oberschenkel::N,فخذ,мачӏ
41,Bein::N,ساق,бох
42,Körper::N,جسم,къаркъала
43,Haut::N,بشرة,тӏом
44,Blut::N,دم,би
45,Ader::N,عرق,бидурихь
46,Sehne::N,طنب,
47,Knochen::N,عظم,ракьа
48,Gehirn::N,دماغ,гӏадалнах
49,Herz::N,قلب,ракӏ
50,Magen::N,معدة,кванирукъ
51,Leber::N,كبد,тӏул
52,Atem::N,نفس,хӏухь
53,Hunger::N,جوع,ракъи
54,Träne::N,دمعة,магӏу
55,Geschmack::N,طعم,тату
56,Geschmack::N,مذاق,тату
57,Geruch::N,رائحة,махӏ
58,Schlaf::N,نوم,макьу
59,Schlaf::N,منام,макьу
60,Traum::N,حلم,макьу
61,Himmel::N,سماء,зоб
62,Sonne::N,شمس,бакъ
63,Mond::N,قمر,моцӏ
64,Stern::N,نجم,цӏва
65,Stern::N,كوكب,цӏва
66,Luft::N,هواء,гьава
67,Wind::N,ريح,гьури
68,Welle::N,موجة,карачел
69,Wasser::N,ماء,лъим
70,Stein::N,حجر,гьецӏо
71,Boden::N,تراب,ракь
72,Erde::N,أرض,ракь
73,Erde::N,أرض,дуниял
74,Staub::N,غبار,хӏур
75,Rauch::N,دخان,кӏкӏуй
76,Funke::N,شرارة,
77,Feuer::N,نار,цӏа
78,Licht::N,نور,канлъи
79,Licht::N,ضوء,канлъи
80,Schatten::N,ظل,рагӏад
81,Schatten::N,فيء,рагӏад
82,Wetter::N,جو,гьава-бакъ
83,Wetter::N,طقس,гьава-бакъ
84,Nebel::N,ضباب,гӏодобнакӏкӏ
85,Wolke::N,غيمة,накӏкӏ
86,Wolke::N,سحابة,накӏкӏ
87,Regen::N,مطر,цӏад
88,Schnee::N,ثلج,гӏазу
89,Eis::N,جليد,цӏер
90,Frost::N,صقيع,замгьари
91,Kälte::N,برد,квач
92,Hitze::N,حر,багӏари
93,Hitze::N,حرارة,багӏари
94,Raureif::N,صقيع,мартӏ
95,Regenbogen::N,قوس قزح,нур
96,Regenbogen::N,قوس قزح,чамбара
97,Donner::N,رعد,гъугъай
98,Donner::N,رعد,гъугъади
99,Strömung::N,تيار,чвахи
100,Tropfen::N,قطرة,резел
101,Tropfen::N,قطرة,тӏинкӏ
102,Tropfen::N,قطرة,къатӏра
103,Tropfen::N,قطرة,тӏенкӏел
104,Schaum::N,زبد,полоп
105,Schaum::N,رغوة,полоп
106,Schmutz::N,وسخ,чороклъи
107,See::N,بحيرة,хӏор
108,Sumpf::N,مستنقع,хьуцӏ
