,Concept_ID,da,hy
0,Auge::N,øje,աչք
1,Ohr::N,øre,ականջ
2,Nase::N,næse,քիթ
3,Mund::N,mund,բերան
4,Zahn::N,tand,ատամ
5,Zunge::N,tunge,լեզու
6,Lippe::N,læbe,շրթունք
7,Wange::N,kind,այտ
8,Wange::N,kind,թուշ
9,Gesicht::N,ansigt,դեմք
10,Stirn::N,pande,ճակատ
11,Haar::N,hår,մազ
12,Schnurrbart::N,overskæg,բեղ
13,Bart::N,skæg,մորուք
14,Kinn::N,hage,կզակ
15,Kiefer[Anatomie]::N,kæbe,ծնոտ
16,Kehle::N,strube,կոկորդ
17,Hals::N,hals,վիզ
18,Hals::N,hals,պարանոց
19,Genick::N,nakke,ծոծրակ
20,Kopf::N,hoved,գլուխ
21,Rücken::N,ryg,մեջք
22,Bauch::N,mave,փոր
23,Bauch::N,mave,որովայն
24,Nabel::N,navle,պորտ
25,Busen::N,barm,ծոց
26,Brust::N,bryst,կուրծք
27,Schulter::N,skulder,ուս
28,Arm::N,arm,թեւ
29,Arm::N,arm,բազուկ
30,Ellenbogen::N,albue,արմունկ
31,Hand::N,hånd,ձեռք
32,Handfläche::N,håndflade,ափ
33,Finger::N,finger,մատ
34,Fingernagel::N,fingernegl,եղունգ
35,Nagel[Anatomie]::N,negl,եղունգ
36,Zeh::N,tå,ոտքի մատ
37,Fuß::N,fod,ոտք
38,Ferse::N,hæl,գարշապար
39,Knie::N,knæ,ծունկ
40,Oberschenkel::N,lår,ազդր
41,Bein::N,ben,ոտք
42,Körper::N,krop,մարմին
43,Körper::N,legeme,մարմին
44,Haut::N,hud,մաշկ
45,Blut::N,blod,արյուն
46,Ader::N,åre,երակ
47,Sehne::N,sene,ջիղ
48,Sehne::N,sene,ձգտան
49,Knochen::N,ben,ոսկոր
50,Gehirn::N,hjerne,խելք
51,Herz::N,hjerte,սիրտ
52,Magen::N,mave,ստամոքս
53,Leber::N,lever,լյարդ
54,Atem::N,ånde,շունչ
55,Hunger::N,sult,քաղց
56,Träne::N,tåre,արտասուք
57,Geschmack::N,smag,համ
58,Geschmack::N,smag,բուրմունք
59,Geruch::N,lugt,հոտ
60,Geruch::N,lugt,բուրում
61,Schlaf::N,søvn,քուն
62,Traum::N,drøm,երազ
63,Himmel::N,himmel,երկինք
64,Sonne::N,sol,արեւ
65,Mond::N,måne,լուսին
66,Stern::N,stjerne,աստղ
67,Luft::N,luft,օդ
68,Wind::N,vind,քամի
