,Concept_ID,fr,hi
0,Auge::N,œil,आँख
1,Auge::N,œil,चक्षु
2,Ohr::N,oreille,कान
3,Ohr::N,oreille,कर्ण
4,Nase::N,nez,नाक
5,Nase::N,nez,नासा
6,Mund::N,bouche,मुख
7,Mund::N,bouche,मुँह
8,Zahn::N,dent,दंत
9,Zahn::N,dent,दाँत
10,Zunge::N,langue,जीभ
11,Zunge::N,langue,ज़बान
12,Zunge::N,langue,जिह्वा
13,Lippe::N,lèvre,ओंठ
14,Lippe::N,lèvre,होंठ
15,Wange::N,joue,गाल
16,Wange::N,joue,कपोल
17,Gesicht::N,face,मुँह
18,Gesicht::N,face,चेहरा
19,Gesicht::N,visage,मुँह
20,Gesicht::N,visage,चेहरा
21,Stirn::N,front,माथा
22,Stirn::N,front,मस्तक
23,Haar::N,cheveu,बाल
24,Schnurrbart::N,moustache,मूँछें
25,Bart::N,barbe,दाढ़ी
26,Kinn::N,menton,चिबुक
27,Kiefer[Anatomie]::N,mâchoire,जबड़ा
28,Kehle::N,gorge,गला
29,Hals::N,cou,गला
30,Hals::N,cou,गरदन
31,Genick::N,nuque,गरदन
32,Genick::N,nuque,ग्रीवा
33,Kopf::N,tête,सिर
34,Kopf::N,tête,शीर्ष
35,Rücken::N,dos,पीठ
36,Bauch::N,ventre,उदर
37,Nabel::N,nombril,नाभि
38,Nabel::N,nombril,ढोंढी
39,Busen::N,sein,कुच
40,Busen::N,sein,स्तन
41,Brust::N,poitrine,वक्ष
42,Schulter::N,épaule,कंधा
43,Schulter::N,épaule,स्कंध
44,Arm::N,bras,बाँह
45,Arm::N,bras,बाज़ू
46,Ellenbogen::N,coude,कुहनी
47,Hand::N,main,हाथ
48,Hand::N,main,हस्त
49,Handfläche::N,paume,हथेली
50,Finger::N,doigt,उँगली
51,Finger::N,doigt,अँगुली
52,Fingernagel::N,ongle,नख
53,Fingernagel::N,ongle,नाख़ून
54,Nagel[Anatomie]::N,ongle,नख
55,Nagel[Anatomie]::N,ongle,नाख़ून
56,Zeh::N,orteil,उँगली
57,Zeh::N,orteil,पाँव की उँगली
58,Zeh::N,doigt de pied,उँगली
59,Zeh::N,doigt de pied,पाँव की उँगली
60,Fuß::N,pied,चरण
61,Fuß::N,pied,पाँव
62,Ferse::N,talon,एड़ी
63,Knie::N,genou,जानु
64,Knie::N,genou,घुटना
65,Oberschenkel::N,cuisse,उरु
66,Bein::N,jambe,टाँग
67,Körper::N,corps,तन
68,Körper::N,corps,देह
69,Körper::N,corps,शरीर
70,Haut::N,peau,चर्म
71,Haut::N,peau,त्वचा
72,Blut::N,sang,लहू
73,Blut::N,sang,ख़ून
74,Ader::N,veine,रग
75,Ader::N,veine,शिरा
76,Sehne::N,tendon,कंडरा
77,Sehne::N,tendon,स्नायु
78,Knochen::N,os,अस्थि
79,Gehirn::N,cerveau,दिमाग़
80,Gehirn::N,cerveau,मस्तिष्क
81,Herz::N,cœur,दिल
82,Herz::N,cœur,हृदय
83,Magen::N,estomac,मेदा
84,Magen::N,estomac,अमाशय
85,Leber::N,foie,जिगर
86,Leber::N,foie,यकृत्
87,Atem::N,haleine,दम
88,Atem::N,haleine,साँस
89,Atem::N,haleine,श्वास
90,Hunger::N,faim,भूख
91,Hunger::N,faim,क्षुधा
92,Träne::N,larme,आँसू
93,Träne::N,larme,अश्रु
94,Geschmack::N,goût,स्वाद
95,Geschmack::N,goût,ज़ायक़ा
96,Geschmack::N,saveur,स्वाद
97,Geschmack::N,saveur,ज़ायक़ा
98,Geruch::N,odeur,बू
99,Geruch::N,odeur,गंध
100,Schlaf::N,sommeil,नींद
101,Schlaf::N,sommeil,निद्रा
102,Traum::N,songe,सपना
103,Traum::N,songe,स्वप्न
104,Himmel::N,ciel,आकाश
105,Himmel::N,ciel,आसमान
106,Sonne::N,soleil,रवि
107,Sonne::N,soleil,सूरज
108,Sonne::N,soleil,सूर्य
109,Mond::N,lune,चाँद
110,Mond::N,lune,चंद्र
111,Stern::N,étoile,तारा
112,Stern::N,étoile,सितारा
113,Luft::N,air,हवा
114,Luft::N,air,वायु
115,Wind::N,vent,पाद
116,Welle::N,vague,लहर
117,Welle::N,vague,तरंग
118,Wasser::N,eau,जल
119,Wasser::N,eau,पानी
120,Stein::N,pierre,पत्थर
121,Boden::N,sol,मिट्टी
122,Boden::N,terrain,मिट्टी
123,Erde::N,terre,भूमि
124,Erde::N,terre,ज़मीन
125,Staub::N,poussière,धूल
126,Rauch::N,fumée,धूआँ
127,Rauch::N,fumée,धुम्र
128,Funke::N,étincelle,चिनगारी
129,Funke::N,étincelle,स्फुलिंग
130,Feuer::N,feu,आग
131,Feuer::N,feu,आतिश
132,Feuer::N,feu,अग्नि
133,Licht::N,lumière,रोशनी
134,Licht::N,lumière,प्रकाश
135,Schatten::N,ombre,छाया
136,Schatten::N,ombre,परछाई
137,Wetter::N,temps,ऋतु
138,Wetter::N,temps,मौसम
139,Nebel::N,brume,धुँध
140,Nebel::N,brume,कुहरा
141,Nebel::N,brouillard,धुँध
142,Nebel::N,brouillard,कुहरा
143,Wolke::N,nuage,मेघ
144,Wolke::N,nuage,अभ्र
145,Regen::N,pluie,मेंह
146,Regen::N,pluie,बारिश
147,Schnee::N,neige,हिम
148,Schnee::N,neige,बर्फ़
149,Eis::N,glace,हिम
150,Eis::N,glace,बर्फ़
151,Frost::N,gel,ठंड
152,Frost::N,gelée,ठंड
153,Kälte::N,froid,सर्दी
154,Kälte::N,froid,शीतलता
155,Hitze::N,chaleur,ताप
156,Hitze::N,chaleur,गरमी
157,Raureif::N,givre,पाला
158,Regenbogen::N,arc-en-ciel,इंद्र-धनुष
159,Donner::N,tonnerre,गरज
160,Donner::N,tonnerre,मेघ-गर्जन
161,Strömung::N,courant,बहाव
162,Strömung::N,courant,प्रवाह
163,Tropfen::N,goutte,बूँद
164,Schaum::N,écume,झाग
165,Schaum::N,mousse,झाग
166,Schmutz::N,boue,गंद
167,Schmutz::N,boue,कीचड़
168,Schmutz::N,saleté,गंद
169,Schmutz::N,saleté,कीचड़
170,See::N,lac,झील
171,See::N,lac,सरोवर
172,Sumpf::N,marais,दलदल
173,Sumpf::N,marais,धँसान
174,Sumpf::N,marécage,दलदल
175,Sumpf::N,marécage,धँसान
176,Moor::N,tourbière,झाबर
177,Moor::N,tourbière,धँसान
178,Wiese::N,pré,घास-स्थल
179,Wald::N,bois,जंगल
180,Wald::N,forêt,जंगल
181,Hügel::N,coteau,टीला
182,Hügel::N,coteau,पहाड़
183,Hügel::N,colline,टीला
184,Hügel::N,colline,पहाड़
185,Anhöhe::N,éminence,टीला
186,Anhöhe::N,éminence,पहाड़ी
187,Anhöhe::N,élévation,टीला
188,Anhöhe::N,élévation,पहाड़ी
189,Berg::N,mont,पहाड़
190,Berg::N,montagne,पहाड़
191,Gipfel::N,cime,शिखर
192,Gipfel::N,sommet,शिखर
193,Höhle::N,caverne,गुहा
194,Höhle::N,caverne,गुफ़ा
195,Abhang::N,pente,ढाल
196,Abhang::N,pente,ढलान
197,Abhang::N,versant,ढाल
198,Abhang::N,versant,ढलान
199,Quelle::N,source,चश्मा
200,Quelle::N,fontaine,चश्मा
201,Bach::N,ruisseau,सोता
202,Bach::N,ruisseau,नदिका
203,Fluss::N,fleuve,नदी
204,Fluss::N,fleuve,सरिता
205,Fluss::N,rivière,नदी
206,Fluss::N,rivière,सरिता
207,Ufer::N,bord,तट
208,Ufer::N,bord,किनारा
209,Ufer::N,rivage,तट
210,Ufer::N,rivage,किनारा
211,Küste::N,côte,समुद्र-तट
212,Festland::N,terre ferme,महाद्वीप
213,Meer::N,mer,सागर
214,Meer::N,mer,समुद्र
215,Bucht::N,baie,खाड़ी
216,Insel::N,île,टापू
217,Insel::N,île,द्वीप
218,Blume::N,fleur,फूल
219,Blume::N,fleur,पुष्प
220,Gras::N,herbe,घास
221,Wurzel::N,racine,मूल
222,Baum::N,arbre,पेड़
223,Baum::N,arbre,वृक्ष
224,Stamm::N,tronc,धड़
225,Rinde::N,écorce,छाल
226,Rinde::N,écorce,वल्कल
227,Ast::N,branche,डाल
228,Ast::N,branche,शाखा
229,Zweig::N,rameau,टहनी
230,Blatt::N,feuille,पत्र
231,Blatt::N,feuille,पत्ता
232,Birke::N,bouleau,भूर्ज
233,Kiefer[Baum]::N,pin,पाइन-वृक्ष
234,Weide[Baum]::N,saule,बेंत
235,Tanne::N,sapin,फ़र
236,Horn::N,corne,सींग
237,Horn::N,corne,विषाण
238,Feder::N,plume,पर
239,Feder::N,plume,पंख
240,Fell::N,peau,खाल
241,Fell::N,peau,पशु-चर्म
242,Flügel::N,aile,पंख
243,Flügel::N,aile,डैना
244,Klaue::N,serre,पंजा
245,Kralle::N,ongle,पंजा
246,Kralle::N,ongle,नाख़ून
247,Kralle::N,griffe,पंजा
248,Kralle::N,griffe,नाख़ून
249,Schwanz::N,queue,पूँछ
250,Ei::N,œuf,अंडा
251,Nest::N,nid,नीड़
252,Nest::N,nid,घोंसला
253,Bau::N,terrier,बिल
254,Bau::N,terrier,माँद
255,Tier::N,animal,पशु
256,Tier::N,animal,जानवर
257,Herde::N,troupeau,गल्ला
258,Kuh::N,vache,गौ
259,Kuh::N,vache,गाय
260,Bulle::N,taureau,साँड़
261,Pferd::N,cheval,अश्व
262,Pferd::N,cheval,घोड़ा
263,Schaf::N,mouton,भेड़
264,Schwein::N,porc,शूकर
265,Schwein::N,cochon,शूकर
266,Hund::N,chien,श्वान
267,Hund::N,chien,कुत्ता
268,Katze::N,chat,बिल्ली
269,Bär::N,ours,रीछ
270,Bär::N,ours,भालू
271,Eichhörnchen::N,écureuil,गिलहरी
272,Elch::N,élan,एल्क
273,Fuchs::N,renard,लोमड़ी
274,Hase::N,lièvre,खरहा
275,Hase::N,lièvre,ख़रगोश
276,Maus::N,souris,मूष
277,Maus::N,souris,चूहा
278,Wolf::N,loup,वृक
279,Wolf::N,loup,भेड़िया
280,Vogel::N,oiseau,पक्षी
281,Vogel::N,oiseau,चिड़िया
282,Schwarm::N,nuée,झुंड
283,Schwarm::N,volée,झुंड
284,Huhn::N,poule,मुर्ग़ी
285,Hahn::N,coq,मुर्ग़ा
286,Gans::N,oie,हंस
287,Gans::N,oie,हंसिनी
288,Adler::N,aigle,उक़ाब
289,Ente::N,canard,बतख़
290,Ente::N,canard,बत्तक
291,Eule::N,hibou,उल्लू
292,Kranich::N,grue,सारस
293,Kranich::N,grue,क्रौंंच
294,Krähe::N,corneille,काक
295,Kuckuck::N,coucou,कोयल
296,Kuckuck::N,coucou,कोकिल
297,Schwan::N,cygne,हंस
298,Schwan::N,cygne,मराल
299,Fisch::N,poisson,मछली
300,Fisch::N,poisson,मत्स्य
301,Barsch::N,perche,पर्च
302,Hecht::N,brochet,पाइक
303,Schlange[Tier]::N,serpent,सर्प
304,Wurm::N,ver,कृमि
305,Wurm::N,ver,कीड़ा
306,Spinne::N,araignée,लूता
307,Spinne::N,araignée,मकड़ी
308,Ameise::N,fourmi,चींटी
309,Laus::N,pou,जूँ
310,Mücke::N,moucheron,डाँस
311,Fliege::N,mouche,मक्खी
312,Fliege::N,mouche,मक्षिका
313,Schmetterling::N,papillon,तितली
314,Beere::N,baie,बेरी
315,Apfel::N,pomme,सेब
316,Pilz::N,champignon,खुंबी
317,Zwiebel::N,oignon,प्याज़
318,Saat::N,semence,बीज
319,Korn::N,grain,दाना
320,Heu::N,foin,मूखी घास
321,Schale::N,pelure,बकला
322,Schale::N,pelure,छिलका
323,Grube::N,fosse,गड्ढा
324,Falle::N,piège,जाल
325,Falle::N,piège,फँदा
326,Schlinge::N,lacs,फँदा
327,Spur::N,trace,सुराग़
328,Spur::N,trace,पद-चिह्न
329,Asche::N,cendre,राख
330,Dreck::N,crotte,मैल
331,Dreck::N,crotte,गंदगी
332,Eisen::N,fer,लोहा
333,Gold::N,or,सोना
334,Gold::N,or,स्वर्ण
335,Silber::N,argent,रजत
336,Silber::N,argent,चाँदी
337,Kohle::N,charbon,कोयला
338,Glas::N,verre,काँच
339,Lehm::N,glaise,चिकनी मिट्टी
340,Sand::N,sable,रेत
341,Sand::N,sable,बालू
342,Mensch::N,homme,मानव
343,Mensch::N,homme,इनसान
344,Mensch::N,homme,मनुष्य
345,Mann::N,homme,आदमी
346,Mann::N,homme,पुरुष
347,Frau::N,femme,औरत
348,Frau::N,femme,महिला
349,Frau::N,femme,स्त्री
350,Kind::N,enfant,बाल
351,Kind::N,enfant,बच्चा
352,Junge::N,garçon,लड़का
353,Mädchen::N,fille,लड़की
354,Mädchen::N,fille,कुमारी
355,Mädchen::N,jeune fille,लड़की
356,Mädchen::N,jeune fille,कुमारी
357,Familie::N,famille,परिवार
358,Großvater::N,grand-père,दादा
359,Großmutter::N,grand-mère,नानी
360,Eltern::N,parents,माँ-बाप
361,Eltern::N,parents,माता-पिता
362,Vater::N,père,बाप
363,Vater::N,père,पिता
364,Mutter::N,mère,माँ
365,Mutter::N,mère,माता
366,Sohn::N,fils,बेटा
367,Sohn::N,fils,पुत्र
