,Concept_ID,bg,ar
0,Auge::N,око,عين
1,Ohr::N,ухо,أذن
2,Nase::N,нос,أنف
3,Mund::N,уста,فم
4,Zahn::N,зъб,سن
5,Zunge::N,език,لسان
6,Lippe::N,устна,شفة
7,Wange::N,буза,خد
8,Wange::N,буза,وجنة
9,Gesicht::N,лице,وجه
10,Gesicht::N,образ,وجه
11,Stirn::N,чело,جبين
12,Haar::N,коса,شعر
13,Haar::N,косъм,شعر
14,Schnurrbart::N,мустаци,شارب
15,Bart::N,брада,لحية
16,Kinn::N,брада,ذقن
17,Kinn::N,брадичка,ذقن
18,Kiefer[Anatomie]::N,челюст,فك
19,Kehle::N,гърло,حلق
20,Hals::N,врат,عنق
21,Hals::N,врат,رقبة
22,Genick::N,тил,قفا
23,Kopf::N,глава,رأس
24,Rücken::N,гръб,ظهر
25,Bauch::N,корем,بطن
26,Nabel::N,пъп,سرة
27,Busen::N,бозка,ثدي
28,Brust::N,гръд,صدر
29,Schulter::N,рамо,كتف
30,Schulter::N,плещи,كتف
31,Arm::N,ръка,ذراع
32,Ellenbogen::N,лакът,كوع
33,Hand::N,ръка,يد
34,Hand::N,китка,يد
35,Handfläche::N,длан,كف
36,Finger::N,пръст,إصبع
37,Fingernagel::N,нокът,ظفر
38,Nagel[Anatomie]::N,нокът,ظفر
39,Zeh::N,пръст на крак,إصبع القدم
40,Fuß::N,крак,قدم
41,Fuß::N,нога,قدم
42,Ferse::N,пета,كعب
43,Knie::N,коляно,ركبة
44,Oberschenkel::N,бедро,فخذ
45,Bein::N,крак,ساق
46,Bein::N,нога,ساق
47,Körper::N,тяло,جسم
48,Haut::N,кожа,بشرة
49,Blut::N,кръв,دم
50,Ader::N,вена,عرق
51,Ader::N,артерия,عرق
52,Sehne::N,жила,طنب
53,Sehne::N,сухожилие,طنب
54,Knochen::N,кост,عظم
55,Gehirn::N,мозък,دماغ
56,Herz::N,сърце,قلب
57,Magen::N,стомах,معدة
58,Leber::N,черен дроб,كبد
59,Atem::N,дишане,نفس
60,Hunger::N,глад,جوع
61,Träne::N,сълза,دمعة
62,Geschmack::N,вкус,طعم
63,Geschmack::N,вкус,مذاق
64,Geruch::N,миризма,رائحة
65,Schlaf::N,сън,نوم
66,Schlaf::N,сън,منام
67,Traum::N,сън,حلم
68,Himmel::N,небе,سماء
69,Sonne::N,слънце,شمس
70,Mond::N,луна,قمر
71,Mond::N,месец,قمر
72,Stern::N,звезда,نجم
73,Stern::N,звезда,كوكب
74,Luft::N,въздух,هواء
75,Wind::N,вятър,ريح
76,Welle::N,вълна,موجة
77,Wasser::N,вода,ماء
78,Stein::N,камък,حجر
79,Boden::N,земя,تراب
80,Boden::N,почва,تراب
81,Erde::N,земя,أرض
82,Erde::N,почва,أرض
83,Staub::N,прах,غبار
84,Rauch::N,дим,دخان
85,Rauch::N,пушек,دخان
86,Funke::N,искра,شرارة
87,Feuer::N,огън,نار
88,Licht::N,светлина,نور
89,Licht::N,светлина,ضوء
90,Schatten::N,сянка,ظل
91,Schatten::N,сянка,فيء
92,Wetter::N,време,جو
93,Wetter::N,време,طقس
94,Nebel::N,мъгла,ضباب
95,Wolke::N,облак,غيمة
96,Wolke::N,облак,سحابة
97,Regen::N,дъжд,مطر
98,Schnee::N,сняг,ثلج
99,Eis::N,лед,جليد
100,Frost::N,мраз,صقيع
101,Kälte::N,студ,برد
102,Hitze::N,жега,حر
103,Hitze::N,жега,حرارة
104,Hitze::N,горещина,حر
105,Hitze::N,горещина,حرارة
106,Raureif::N,скреж,صقيع
107,Raureif::N,слана,صقيع
108,Regenbogen::N,дъга,قوس قزح
109,Donner::N,гръм,رعد
110,Strömung::N,течение,تيار
111,Tropfen::N,капка,قطرة
112,Schaum::N,пяна,زبد
113,Schaum::N,пяна,رغوة
114,Schmutz::N,кал,وسخ
115,Schmutz::N,мръсотия,وسخ
116,See::N,езеро,بحيرة
117,Sumpf::N,блато,مستنقع
118,Moor::N,мочурище,مستنقع
119,Wiese::N,ливада,مرج
120,Wald::N,гора,غابة
121,Hügel::N,рид,تل
122,Hügel::N,хълм,تل
123,Anhöhe::N,могила,تل
124,Anhöhe::N,възвишение,تل
125,Berg::N,планина,جبل
126,Gipfel::N,връх,قمة
127,Höhle::N,пещера,كهف
128,Abhang::N,склон,منحدر
129,Abhang::N,стръмнина,منحدر
130,Quelle::N,извор,منبع
131,Bach::N,поток,مجرى
132,Fluss::N,река,نهر
133,Ufer::N,бряг,ضفة
134,Küste::N,бряг,ساحل
135,Küste::N,крайбрежие,ساحل
136,Festland::N,суша,بر
137,Meer::N,море,بحر
138,Bucht::N,залив,خليج
139,Insel::N,остров,جزيرة
140,Blume::N,цвете,زهرة
141,Gras::N,трева,حشيش
142,Wurzel::N,корен,أصل
143,Baum::N,дърво,شجرة
144,Stamm::N,стъбло,جذع
145,Rinde::N,кора,قشرة
146,Ast::N,клон,فرع
147,Zweig::N,клон,غصن
148,Blatt::N,лист,ورقة
149,Birke::N,бреза,قضبان
150,Kiefer[Baum]::N,бор,صنوبرة
151,Weide[Baum]::N,върба,صفصاف
152,Tanne::N,ела,شوح
153,Tanne::N,ела,تبوب
154,Horn::N,рог,قرن
155,Feder::N,перо,ريشة
156,Fell::N,кожа,فرو
157,Flügel::N,крило,جناح
158,Klaue::N,нокът,مخلب
159,Kralle::N,нокът,مخلب
160,Schwanz::N,опашка,ذيل
161,Ei::N,яйце,بيض
162,Nest::N,гнездо,عش
163,Bau::N,дупка,جحر
164,Tier::N,животно,حيوان
165,Herde::N,стадо,قطيع
166,Kuh::N,крава,بقرة
167,Bulle::N,бик,ثور
168,Pferd::N,кон,خيل
169,Schaf::N,овца,شاة
170,Schwein::N,свиня,خنزير
171,Hund::N,куче,كلب
172,Katze::N,котка,قطة
173,Bär::N,мечка,دب
174,Eichhörnchen::N,катерица,سنجاب
175,Elch::N,лос,موظ
176,Fuchs::N,лисица,ثعلب
177,Hase::N,заек,أرنب
178,Maus::N,мишка,فأرة
179,Wolf::N,вълк,ذئب
180,Vogel::N,птица,طير
181,Schwarm::N,рой,سرب
182,Schwarm::N,рояк,سرب
183,Huhn::N,кокошка,دجاجة
184,Hahn::N,петел,ديك
185,Gans::N,гъска,وزة
186,Adler::N,орел,نسر
187,Ente::N,патица,بطة
188,Eule::N,сова,بوم
189,Kranich::N,жерав,كركي
190,Krähe::N,врана,غراب
191,Kuckuck::N,кукувица,وقواق
192,Schwan::N,лебед,إوز عراقي
193,Fisch::N,риба,سمك
194,Barsch::N,костур,فرخ أوربي
195,Hecht::N,щука,سمك الكراكي
196,Schlange[Tier]::N,змия,حية
197,Schlange[Tier]::N,змия,ثعبان
198,Wurm::N,червей,دودة
199,Spinne::N,паяк,عنكبوت
200,Ameise::N,мравка,نملة
201,Laus::N,въшка,قملة
202,Mücke::N,комар,ناموسة
203,Fliege::N,муха,ذبابة
204,Schmetterling::N,пеперуда,فراشة
205,Beere::N,плод,حبة
206,Apfel::N,ябълка,تفاح
207,Pilz::N,гъба,فطر
208,Zwiebel::N,лук,بصل
209,Zwiebel::N,кромид,بصل
210,Saat::N,семе,زرع
211,Korn::N,зърно,حبة
212,Heu::N,сено,دريس
213,Schale::N,кора,قشرة
214,Grube::N,яма,نقرة
215,Grube::N,дупка,نقرة
216,Falle::N,примка,فخ
217,Falle::N,примка,مصيدة
218,Schlinge::N,клуп,عروة
219,Spur::N,диря,أثر
220,Spur::N,следа,أثر
221,Asche::N,пепел,رماد
222,Dreck::N,кал,قذر
223,Eisen::N,желязо,حديد
224,Gold::N,злато,ذهب
225,Silber::N,сребро,فضة
226,Kohle::N,въглища,فحم
227,Glas::N,стъкло,زجاج
228,Lehm::N,глина,طين
229,Sand::N,пясък,رمل
230,Mensch::N,човек,إنسان
231,Mann::N,мъж,رجل
232,Frau::N,жена,امرأة
233,Kind::N,дете,طفل
234,Junge::N,момче,ولد
235,Mädchen::N,момиче,بنت
236,Familie::N,фамилия,عائلة
237,Familie::N,семейство,عائلة
238,Großvater::N,дядо,جد
239,Großmutter::N,баба,جدة
240,Eltern::N,родители,أبوان
241,Eltern::N,родители,والدان
242,Vater::N,баща,أب
243,Mutter::N,майка,أم
244,Sohn::N,син,إبن
245,Tochter::N,дъщеря,بنت
246,Tochter::N,дъщеря,إبنة
247,Bruder::N,брат,أخ
248,Bruder::N,брат,شقيق
249,Schwester::N,сестра,أخت
250,Onkel::N,чичо,عم
251,Onkel::N,вуйчо,عم
252,Tante::N,леля,عمة
253,Ehemann::N,съпруг,زوج
254,Ehefrau::N,съпруга,زوجة
255,Freude::N,радост,فرح
256,Freude::N,радост,سرور
257,Gelächter::N,смях,قهقهة
258,Glück::N,щастие,سعادة
259,Kummer::N,тъга,غم
260,Wunsch::N,желание,منية
261,Lust::N,желание,شهوة
262,Geist::N,дух,روح
263,Gedanke::N,мисъл,فكرة
264,Gedächtnis::N,памет,ذاكرة
265,Verstand::N,ум,عقل
266,Verstand::N,разум,عقل
267,Sinn::N,смисъл,معنى
268,Grund::N,причина,سبب
269,Wahrheit::N,правда,حقيقة
270,Gespräch::N,разговор,محادثة
271,Märchen::N,приказка,خرافة
272,Erzählung::N,разказ,قصة
273,Erzählung::N,разказ,حكاية
274,Nachricht::N,вест,خبر
275,Nachricht::N,известие,خبر
276,Neuigkeit::N,новина,خبر جديد
277,Name::N,име,اسم
278,Rätsel::N,гатанка,لغز
279,Rede::N,реч,خطبة
280,Rede::N,слово,خطبة
281,Sprache::N,език,لغة
282,Stimme::N,глас,صوت
283,Wort::N,дума,كلمة
284,Zeichen::N,знак,رمز
285,Zeichen::N,знак,إشارة
286,Ruf::N,зов,نداء
287,Lärm::N,шум,صخب
288,Lärm::N,шум,ضجة
289,Lärm::N,глъчка,صخب
290,Lärm::N,глъчка,ضجة
291,Laut::N,звук,صوت
292,Ton::N,тон,نغمة
293,Lied::N,песен,أغنية
294,Ruhe::N,тишина,هدوء
295,Ruhe::N,спокойствие,هدوء
296,Leute::N,хора,ناس
297,Volk::N,народ,شعب
298,Arbeit::N,труд,عمل
299,Arbeit::N,работа,عمل
300,Gast::N,гост,ضيف
301,Geschenk::N,дар,هدية
302,Geschenk::N,подарък,هدية
303,Spiel::N,игра,لعب
304,Gesellschaft::N,общество,صحبة
305,Hilfe::N,помощ,عون
306,Hilfe::N,помощ,مساعدة
307,Freund::N,приятел,صديق
308,Kamerad::N,другар,زميل
309,Angelegenheit::N,работа,أمر
