,Concept_ID,sk,tr
0,Auge::N,oko,göz
1,Ohr::N,ucho,kulak
2,Nase::N,nos,burun
3,Mund::N,ústa,ağız
4,Zahn::N,zub,diş
5,Zunge::N,jazyk,dil
6,Lippe::N,pera,dudak
7,Wange::N,líce,yanak
8,Gesicht::N,tvár,yüz
9,Gesicht::N,obličaj,yüz
10,Stirn::N,čelo,alın
11,Haar::N,vlas,saç
12,Schnurrbart::N,fúzy,bıyık
13,Bart::N,brada,sakal
14,Kinn::N,brada,çene
15,Kiefer[Anatomie]::N,čeľusť,çene
16,Kehle::N,hrdlo,boğaz
17,Hals::N,krk,boyun
18,Hals::N,krk,gerdan
19,Genick::N,väzy,ense
20,Kopf::N,hlava,baş
21,Kopf::N,hlava,kafa
22,Rücken::N,chrbát,arka
23,Bauch::N,brucho,karın
24,Nabel::N,pupok,göbek
25,Busen::N,prsia,koyun
26,Brust::N,hruď,göğüs
27,Schulter::N,plece,omuz
28,Arm::N,rameno,kol
29,Ellenbogen::N,lakeť,dirsek
30,Hand::N,ruka,el
31,Handfläche::N,dlaň,avuç
32,Handfläche::N,dlaň,el ayası
33,Finger::N,prst,parmak
34,Fingernagel::N,necht,el tırnağı
35,Nagel[Anatomie]::N,necht,tırnak
36,Zeh::N,prst na nohe,ayak parmağı
37,Fuß::N,noha,ayak
38,Ferse::N,päta,topuk
39,Knie::N,koleno,diz
40,Oberschenkel::N,stehno,uyluk
41,Bein::N,noha,bacak
42,Körper::N,telo,vücut
43,Haut::N,koža,cilt
44,Blut::N,krv,kan
45,Ader::N,žila,damar
46,Sehne::N,šľacha,kiriş
47,Knochen::N,kosť,kemik
48,Gehirn::N,mozog,beyin
49,Herz::N,srdce,kalp
50,Herz::N,srdce,yürek
51,Magen::N,žalúdok,mide
52,Leber::N,pečeň,karaciğer
53,Atem::N,dych,nefes
54,Hunger::N,hlad,açlık
55,Träne::N,slza,gözyaşı
56,Geschmack::N,chuť,tat
57,Geschmack::N,chuť,lezzet
58,Geruch::N,pach,koku
59,Schlaf::N,spánok,uyku
60,Traum::N,sen,düş
61,Traum::N,sen,rüya
62,Himmel::N,nebo,gök
63,Sonne::N,slnko,güneş
64,Mond::N,mesiac,ay
65,Stern::N,hviezda,yıldız
66,Luft::N,vzduch,hava
67,Wind::N,vietor,yel
68,Wind::N,vietor,rüzgâr
69,Welle::N,vlna,dalga
70,Wasser::N,voda,su
71,Stein::N,kameň,taş
