,Concept_ID,se,ja
0,Auge::N,tjelmie,目
1,Auge::N,tjalmme,目
2,Auge::N,čalbmi,目
3,Auge::N,čalme,目
4,Auge::N,čâ´lmm,目
5,Auge::N,ча̄лльм,目
6,Ohr::N,bieljie,耳
7,Ohr::N,biellje,耳
8,Ohr::N,beallji,耳
9,Ohr::N,pelji,耳
10,Ohr::N,pe´llj,耳
11,Ohr::N,пе̄лльй,耳
12,Nase::N,njuenie,鼻
13,Nase::N,njunnje,鼻
14,Nase::N,njunni,鼻
15,Nase::N,njuṇe,鼻
16,Nase::N,njuu´nn,鼻
17,Nase::N,нюннҍ,鼻
18,Mund::N,njaelmie,口
19,Mund::N,njálmme,口
20,Mund::N,njálbmi,口
21,Mund::N,njälmi,口
22,Mund::N,njä´lmm,口
23,Mund::N,ня̄лльм,口
24,Zahn::N,baenie,歯
25,Zahn::N,bádne,歯
26,Zahn::N,bátni,歯
27,Zahn::N,pääṇi,歯
28,Zahn::N,pää´nn,歯
29,Zahn::N,па̄ннҍ,歯
30,Zunge::N,njoektjeme,舌
31,Zunge::N,njuovtjav,舌
32,Zunge::N,njuovčča,舌
33,Zunge::N,njuovčâ,舌
34,Zunge::N,njuhččâm,舌
35,Zunge::N,нюхчем,舌
36,Lippe::N,bangseme,唇
37,Lippe::N,njálmmerabdda,唇
38,Lippe::N,bavssa,唇
39,Lippe::N,poovsâ,唇
40,Lippe::N,põõus,唇
41,Lippe::N,пэ̄кс,唇
42,Wange::N,skiehrie,頬
43,Wange::N,nierra,頬
44,Wange::N,muohtu,頬
45,Wange::N,nieṛâ,頬
46,Wange::N,njiõrr,頬
47,Wange::N,нӣрр,頬
48,Gesicht::N,ååredæjja,顔
49,Gesicht::N,muohto,顔
50,Gesicht::N,muođut,顔
51,Gesicht::N,ámadadju,顔
52,Gesicht::N,muáđuh,顔
53,Gesicht::N,muâđ,顔
54,Gesicht::N,ка̄ссв,顔
55,Stirn::N,gaalloe,額
56,Stirn::N,gállo,額
57,Stirn::N,gállu,額
58,Stirn::N,kállu,額
59,Stirn::N,käll,額
60,Stirn::N,вуэххьц,額
61,Haar::N,voepte,髪
62,Haar::N,vuoppta,髪
63,Haar::N,vuokta,髪
64,Haar::N,vuop'tâ,髪
65,Haar::N,vuõpt,髪
66,Haar::N,вӯппт,髪
67,Schnurrbart::N,bijjie-skaavtjoe,口髭
68,Schnurrbart::N,njunjevuolskávttjá,口髭
69,Schnurrbart::N,seamu,口髭
70,Schnurrbart::N,siämu,口髭
71,Schnurrbart::N,ää´bben,口髭
72,Schnurrbart::N,о̄а̄бпан,口髭
73,Bart::N,skaavtja,髭
74,Bart::N,skaavtjoe,髭
75,Bart::N,skávttjá,髭
76,Bart::N,seamu,髭
77,Bart::N,siämu,髭
78,Bart::N,seäm,髭
79,Bart::N,ся̄м,髭
80,Kinn::N,gaejpie,顎
81,Kinn::N,gájbbe,顎
82,Kinn::N,gáibi,顎
83,Kinn::N,käibi,顎
84,Kinn::N,käi´bb,顎
85,Kinn::N,ка̄ййп,顎
86,Kiefer[Anatomie]::N,gaejpie,顎
87,Kiefer[Anatomie]::N,oalol,顎
88,Kiefer[Anatomie]::N,oaloldákte,顎
89,Kiefer[Anatomie]::N,gáibi,顎
90,Kiefer[Anatomie]::N,uá'lultähti,顎
91,Kiefer[Anatomie]::N,vuâl'lõš,顎
92,Kiefer[Anatomie]::N,вуаллнешш,顎
93,Kehle::N,gealoe,喉
94,Kehle::N,tjåttå,喉
95,Kehle::N,njiello,喉
96,Kehle::N,čotta,喉
97,Kehle::N,čuudâ,喉
98,Kehle::N,čoodd,喉
99,Kehle::N,чонт,喉
100,Kehle::N,кэ̄ҏс,喉
101,Hals::N,tjeapohke,首
102,Hals::N,tjiebet,首
103,Hals::N,čeabet,首
104,Hals::N,čiäppát,首
105,Hals::N,čeäppat,首
106,Hals::N,ча̄пэх,首
107,Genick::N,tjovrese,首
108,Genick::N,nisske,首
109,Genick::N,niehkki,首
110,Genick::N,niski,首
111,Genick::N,niek'ki,首
112,Genick::N,nji´šǩǩmaadd,首
113,Genick::N,нышшькмоант,首
114,Kopf::N,åejjie,頭
115,Kopf::N,oajvve,頭
116,Kopf::N,oaivi,頭
117,Kopf::N,uái'vi,頭
118,Kopf::N,vuei´vv,頭
119,Kopf::N,вуэййв,頭
120,Rücken::N,rudtje,背中
121,Rücken::N,hárddo,背中
122,Rücken::N,tjavelk,背中
123,Rücken::N,sealgi,背中
124,Rücken::N,selgi,背中
125,Rücken::N,čielgi,背中
126,Rücken::N,seä´lǧǧ,背中
127,Rücken::N,се̄лльк,背中
128,Bauch::N,tjåejjie,腹
129,Bauch::N,tjåejjie,お腹
130,Bauch::N,tjoajvve,腹
131,Bauch::N,tjoajvve,お腹
132,Bauch::N,čoavji,腹
133,Bauch::N,čoavji,お腹
134,Bauch::N,čuáv'ji,腹
135,Bauch::N,čuáv'ji,お腹
136,Bauch::N,čåu´jj,腹
137,Bauch::N,čåu´jj,お腹
138,Bauch::N,чо̄ввьй,腹
139,Bauch::N,чо̄ввьй,お腹
140,Nabel::N,naepie,へそ
141,Nabel::N,náhpe,へそ
142,Nabel::N,náhpi,へそ
143,Nabel::N,nääpi,へそ
144,Nabel::N,nää´pp,へそ
145,Nabel::N,на̄бпь,へそ
146,Busen::N,boenge,乳房
147,Busen::N,bållå,乳房
148,Busen::N,čižži,乳房
149,Busen::N,njamma,乳房
150,Busen::N,njižže,乳房
151,Busen::N,nje´ǯǯ,乳房
152,Busen::N,раннҍт,乳房
153,Brust::N,mïelke,胸
154,Brust::N,radde,胸
155,Brust::N,mielgga,胸
156,Brust::N,raddi,胸
157,Brust::N,radde,胸
158,Brust::N,râ´dd,胸
159,Brust::N,раннҍт,胸
160,Schulter::N,åelkie,肩
161,Schulter::N,oalgge,肩
162,Schulter::N,hárdu,肩
163,Schulter::N,ärdee,肩
164,Schulter::N,uál'gi,肩
165,Schulter::N,a´rddi,肩
166,Schulter::N,vuä´lǧǧ,肩
167,Schulter::N,вуэллык,肩
168,Arm::N,gïete,腕
169,Arm::N,giehta,腕
170,Arm::N,giehta,腕
171,Arm::N,kietâ,腕
172,Arm::N,kie'tâkaaṿâ,腕
173,Arm::N,ǩiõtt,腕
174,Arm::N,кӣдт,腕
175,Ellenbogen::N,gernjere,肘
176,Ellenbogen::N,garŋŋel,肘
177,Ellenbogen::N,gargŋil,肘
178,Ellenbogen::N,käŋŋir,肘
179,Ellenbogen::N,kõõnjâr,肘
180,Ellenbogen::N,карьнэль,肘
181,Hand::N,gïete,手
182,Hand::N,giehta,手
183,Hand::N,giehta,手
184,Hand::N,kietâ,手
185,Hand::N,ǩiõtt,手
186,Hand::N,кӣдт,手
187,Handfläche::N,gïeten-låapoe,手のひら
188,Handfläche::N,giehtavuodo,手のひら
189,Handfläche::N,tjårmmåvuodo,手のひら
190,Handfläche::N,giehtaloahpu,手のひら
191,Handfläche::N,kiämád,手のひら
192,Handfläche::N,kuámmir,手のひら
193,Handfläche::N,kuä´m'mer,手のひら
194,Handfläche::N,ǩiõttǩeä´m'men,手のひら
195,Handfläche::N,ко̄а̄ллдэгк,手のひら
196,Handfläche::N,кӣдткоалдэгк,手のひら
197,Finger::N,soerme,指
198,Finger::N,tjuvdde,指
199,Finger::N,suorbma,指
200,Finger::N,čuvde,指
201,Finger::N,suor'mâ,指
202,Finger::N,suõrmm,指
203,Finger::N,це̄ххп,指
204,Fingernagel::N,gadtse,爪
205,Fingernagel::N,guehpere,爪
206,Fingernagel::N,gadtsa,爪
207,Fingernagel::N,gazza,爪
208,Fingernagel::N,kozzâ,爪
209,Fingernagel::N,kõʒʒ,爪
210,Fingernagel::N,кэ̄ннц,爪
211,Nagel[Anatomie]::N,gadtse,爪
212,Nagel[Anatomie]::N,guehpere,爪
213,Nagel[Anatomie]::N,gadtsa,爪
214,Nagel[Anatomie]::N,gazza,爪
215,Nagel[Anatomie]::N,kozzâ,爪
216,Nagel[Anatomie]::N,kõʒʒ,爪
217,Nagel[Anatomie]::N,кэ̄ннц,爪
218,Zeh::N,tjiehtjere,足の指
219,Zeh::N,juolggetjuvdde,足の指
220,Zeh::N,juolgesuorbma,足の指
221,Zeh::N,jyel'gisuor'mâ,足の指
222,Zeh::N,jue´lǧǧsuõrmm,足の指
223,Zeh::N,ю̄лльк-це̄һп,足の指
224,Fuß::N,juelkie,足
225,Fuß::N,juolgge,足
226,Fuß::N,juolgi,足
227,Fuß::N,jyel'gi,足
228,Fuß::N,jue´lǧǧ,足
229,Fuß::N,ла̄бпь,足
230,Ferse::N,båetskie,かかと
231,Ferse::N,boasske,かかと
232,Ferse::N,šušmi,かかと
233,Ferse::N,šušme,かかと
234,Ferse::N,jue´lǧǧkädd,かかと
235,Ferse::N,ка̄ннт,かかと
236,Knie::N,boelve,膝
237,Knie::N,buolvva,膝
238,Knie::N,čibbi,膝
239,Knie::N,veaŋki,膝
240,Knie::N,iidâ,膝
241,Knie::N,puõlvv,膝
242,Knie::N,пуллв,膝
243,Oberschenkel::N,ruaksja,上腿
244,Oberschenkel::N,tjibbe,上腿
245,Oberschenkel::N,gassaváhkká,上腿
246,Oberschenkel::N,badjeváhkáa,上腿
247,Oberschenkel::N,čuár'bpeeḷi,上腿
248,Oberschenkel::N,če´bb,上腿
249,Oberschenkel::N,чуаррбе̄лль,上腿
250,Bein::N,juelkie,足
251,Bein::N,juolgge,足
252,Bein::N,juolgi,足
253,Bein::N,jyel'gi,足
254,Bein::N,jue´lǧǧ,足
255,Bein::N,ю̄лльк,足
256,Körper::N,kråahpe,体
257,Körper::N,rumáj,体
258,Körper::N,rumaš,体
259,Körper::N,ruumâš,体
260,Körper::N,rå´pp,体
261,Körper::N,лышшьк,体
262,Körper::N,роаӈӈьк,体
263,Haut::N,njaltja,皮膚
264,Haut::N,lijkke,皮膚
265,Haut::N,tjuobma,皮膚
266,Haut::N,liiki,皮膚
267,Haut::N,liške,皮膚
268,Haut::N,le´šǩǩ,皮膚
269,Haut::N,лышшьк,皮膚
270,Blut::N,vïrre,血
271,Blut::N,maelie,血
272,Blut::N,varra,血
273,Blut::N,varra,血
274,Blut::N,vorrâ,血
275,Blut::N,võrr,血
276,Blut::N,вэ̄рр,血
277,Ader::N,åerie,血管
278,Ader::N,aajroe,血管
279,Ader::N,suodna,血管
280,Ader::N,varrasuotna,血管
281,Ader::N,suoṇâ,血管
282,Ader::N,suõnn,血管
283,Ader::N,сӯнн,血管
284,Sehne::N,soene,腱
285,Sehne::N,gåårtenje,腱
286,Sehne::N,suodna,腱
287,Sehne::N,suotna,腱
288,Sehne::N,suoṇâ,腱
289,Sehne::N,suõnn,腱
290,Sehne::N,сӯнн,腱
291,Knochen::N,måara,骨
292,Knochen::N,måaroe,骨
293,Knochen::N,dákte,骨
294,Knochen::N,dákti,骨
295,Knochen::N,tähti,骨
296,Knochen::N,tä´htt,骨
297,Knochen::N,та̄ххт,骨
298,Knochen::N,та̄ффьт,骨
299,Gehirn::N,aajla,脳
300,Gehirn::N,vuojŋam,脳
301,Gehirn::N,vuoigŋašat,脳
302,Gehirn::N,vuoi'ŋâšeh,脳
303,Gehirn::N,vuo'ivâšneh,脳
304,Gehirn::N,vuõivâšn,脳
305,Gehirn::N,вуэййвэшна,脳
306,Herz::N,vaajmoe,心
307,Herz::N,vaajmoe,心臓
308,Herz::N,tsåhke,心
309,Herz::N,tsåhke,心臓
310,Herz::N,váibmu,心
311,Herz::N,váibmu,心臓
312,Herz::N,váimu,心
