,Concept_ID,hu,ba
70,Wind::N,szél,ел
71,Welle::N,hullám,тулҡын
72,Wasser::N,víz,һыу
73,Stein::N,kő,таш
74,Boden::N,föld,тупраҡ
75,Boden::N,talaj,тупраҡ
76,Erde::N,föld,балсҡ
77,Staub::N,por,туҙан
78,Rauch::N,füst,төтөн
79,Funke::N,szikra,осҡон
80,Feuer::N,tűz,ут
81,Licht::N,fény,яҡтылыҡ
82,Schatten::N,árnyék,күләгә
83,Wetter::N,idő,һауа торошо
84,Wetter::N,időjárás,һауа торошо
85,Nebel::N,köd,төман
86,Wolke::N,felhő,болот
87,Regen::N,eső,ямғыр
88,Schnee::N,hó,ҡар
89,Eis::N,jég,боҙ
90,Frost::N,fagy,һалҡын
91,Kälte::N,hideg,һыуыҡ
92,Hitze::N,hő,томра
93,Hitze::N,hő,эҫелек
94,Hitze::N,hőség,томра
95,Hitze::N,hőség,эҫелек
96,Raureif::N,zúzmara,ҡырау
97,Regenbogen::N,szivárvány,йәйғор
98,Donner::N,dörgés,күк күкрәү
99,Donner::N,mennydörgés,күк күкрәү
100,Strömung::N,áramlat,ағым
101,Tropfen::N,csepp,тамсы
102,Schaum::N,hab,күбек
103,Schaum::N,tajték,күбек
104,Schmutz::N,piszok,батҡаҡ
105,See::N,tó,күл
106,Sumpf::N,mocsár,һаҙлык
107,Moor::N,láp,һаҙ
108,Wiese::N,rét,болон
109,Wiese::N,mező,болон
110,Wald::N,erdő,урман
111,Hügel::N,domb,түбә
112,Anhöhe::N,magaslat,түбә
113,Anhöhe::N,magaslat,ҡалҡыулыҡ
114,Berg::N,hegy,тау
115,Gipfel::N,csúcs,түбә
116,Höhle::N,barlang,мәмерйә
117,Abhang::N,lejtő,ипкен
118,Quelle::N,forrás,шишмә
119,Bach::N,patak,шишмә
120,Fluss::N,folyó,йылға
121,Ufer::N,part,яр
122,Küste::N,tengerpart,яр буйы
123,Festland::N,szárazföld,ҡоро ер
124,Meer::N,tenger,диңгез
125,Bucht::N,öböl,бухта
126,Insel::N,sziget,үтрау
127,Blume::N,virág,сәскә
128,Gras::N,fű,үлән
129,Wurzel::N,gyökér,тамыр
130,Baum::N,fa,ағас
131,Stamm::N,tő,олон
132,Stamm::N,tő,көбәк
133,Stamm::N,törzs,олон
134,Stamm::N,törzs,көбәк
135,Rinde::N,kéreg,ҡабыҡ
136,Ast::N,ág,ботаҡ
137,Zweig::N,gally,ботаҡ
138,Zweig::N,gally,тармаҡ
139,Blatt::N,levél,япраҡ
140,Birke::N,nyír,ҡайын
141,Kiefer[Baum]::N,fenyő,ҡарғай
142,Weide[Baum]::N,fűz,тал
143,Tanne::N,fenyő,шыршы
144,Horn::N,szarv,мөғөҙ
145,Feder::N,toll,ҡауырһын
146,Fell::N,szőr,тире
147,Fell::N,bunda,тире
148,Flügel::N,szárny,ҡанат
149,Klaue::N,köröm,тырнаҡ
150,Kralle::N,karom,аяҡ
151,Schwanz::N,farok,ҡойроҡ
152,Ei::N,tojás,йомортҡа
153,Nest::N,fészek,оя
154,Bau::N,odú,оң
155,Tier::N,állat,жайуан
156,Tier::N,állat,йыртҡыс
157,Herde::N,nyáj,көтөү
158,Herde::N,csorda,көтөү
159,Kuh::N,tehén,һыйыр
160,Bulle::N,bika,үгеҙ
161,Pferd::N,ló,ат
162,Schaf::N,juh,һарыҡ
163,Schaf::N,birka,һарыҡ
164,Schwein::N,sertés,сусҡа
165,Hund::N,eb,эт
166,Hund::N,kutya,эт
167,Katze::N,macska,бесәй
168,Bär::N,medve,айыу
169,Eichhörnchen::N,mókus,тейен
170,Elch::N,jávorszarvas,мышы
171,Fuchs::N,róka,төлкө
172,Hase::N,nyúl,ҡуян
173,Maus::N,egér,сысҡан
174,Wolf::N,farkas,бүре
175,Vogel::N,madár,ҡош
176,Schwarm::N,raj,көтөү
177,Huhn::N,tyúk,тауыҡ
178,Hahn::N,kakas,әтәс
179,Gans::N,lúd,ҡаҙ
180,Gans::N,liba,ҡаҙ
181,Adler::N,sas,бөркөт
182,Ente::N,kacsa,өйрәк
183,Eule::N,bagoly,өкө
184,Eule::N,bagoly,ябалаҡ
185,Kranich::N,daru,торна
186,Krähe::N,varjú,ҡарға
187,Kuckuck::N,kakukk,кәкүк
188,Schwan::N,hattyú,аҡҡош
189,Fisch::N,hal,балыҡ
190,Barsch::N,sügér,алабуға
191,Hecht::N,csuka,суртан
192,Schlange[Tier]::N,kígyó,йылан
